,0
0,1.7939370879224374e-05
1,1.7810833838303618e-05
2,1.783736782297804e-05
3,1.782208934795839e-05
4,1.7732813643496158e-05
5,1.778438045949261e-05
6,1.807544823227713e-05
7,1.8099190322955154e-05
8,1.791402310304421e-05
9,1.783467994372595e-05
10,1.7876607034905042e-05
11,1.787432736094216e-05
12,1.803407367544437e-05
13,1.792670838557962e-05
14,1.8432943081078975e-05
15,1.892711756593595e-05
16,1.8258135782414643e-05
17,1.819358209784293e-05
18,1.830085263099981e-05
19,1.8327107864764354e-05
20,1.84139183244762e-05
21,1.833503355182762e-05
22,1.9106467092653092e-05
23,1.8813998077078742e-05
24,1.817508347673197e-05
25,1.7915721172935996e-05
26,1.7853664712112525e-05
27,1.7771723807998024e-05
28,1.773367772348236e-05
29,1.7757729966183046e-05
30,1.7868464481990148e-05
31,1.7817617747856143e-05
32,1.7940983596452765e-05
33,1.794882845054084e-05
34,1.7964328363860018e-05
35,1.8099310466136778e-05
36,1.825929171432405e-05
37,1.8281729684081346e-05
38,1.8624942050434693e-05
39,1.880961244626604e-05
40,1.8155350952471238e-05
41,1.8191212017141178e-05
42,1.829858885894977e-05
43,1.8190990925497077e-05
44,1.823690429025122e-05
45,1.8271615678371907e-05
46,1.8130367596690095e-05
47,1.8043952348375043e-05
48,1.7951934536671307e-05
49,1.788622775875874e-05
50,1.779467512756358e-05
51,1.782086564809634e-05
52,1.7842777685194873e-05
53,1.7815732306071924e-05
54,1.8108134801128742e-05
55,1.8374335251823743e-05
56,1.8624756363048758e-05
57,1.8681898736273604e-05
58,1.891412281012572e-05
59,1.965885113483063e-05
60,1.915690807747132e-05
61,1.8970388083921915e-05
62,1.9154464417371598e-05
63,1.9303756776589265e-05
64,1.92054603630051e-05
65,1.920953459571514e-05
66,1.8702783040204226e-05
67,1.8782343751182617e-05
68,1.8784909008814908e-05
69,1.8683226723195594e-05
70,1.854651358114454e-05
71,1.8485076738690187e-05
72,1.8201038331459206e-05
73,1.7807003032034182e-05
74,1.784996228395284e-05
75,1.7866164777795085e-05
76,1.7875740979998023e-05
77,1.783191059244383e-05
78,1.797935475402539e-05
79,1.82094037494756e-05
80,1.879405073461894e-05
81,1.8768227001871314e-05
82,1.8753317326584217e-05
83,1.8908349487634832e-05
84,1.905444131696226e-05
85,1.9205858812242116e-05
86,1.964080096973628e-05
87,2.1786546264688693e-05
88,2.0202315495270836e-05
89,1.887145608924107e-05
90,1.8752789284867644e-05
91,1.8536241025188652e-05
92,1.8584715295277054e-05
93,1.8455278918657636e-05
94,1.8357306837311033e-05
95,1.836370396962227e-05
96,1.8836710527848716e-05
97,1.8491956360072562e-05
98,1.7900539843356817e-05
99,1.7870495090755868e-05
100,1.777804000886047e-05
101,1.7815387327364536e-05
102,1.7931841052963102e-05
103,1.7875520918777156e-05
104,1.796802716700194e-05
105,1.820709856813999e-05
106,1.8273952622179954e-05
107,1.8200060519454487e-05
108,1.8471425451350545e-05
109,1.8504763576702912e-05
110,1.8860814755466347e-05
111,1.9704936089388458e-05
112,1.97443241766261e-05
113,1.8535979952588844e-05
114,1.8730400580683182e-05
115,1.8456046528833762e-05
116,1.8344821913219134e-05
117,1.825470031467379e-05
118,1.815091185907454e-05
119,1.8260113245967035e-05
120,1.8294416041287865e-05
121,1.7830142013549802e-05
122,1.7902873777409645e-05
123,1.7799690356970063e-05
124,1.778560187970908e-05
125,1.7857086226311436e-05
126,1.7977425302915706e-05
127,1.8120951665012012e-05
128,1.8377664714766513e-05
129,1.8478055200581744e-05
130,1.857000556881141e-05
131,1.84907842407446e-05
132,1.857859202193901e-05
133,1.8568423853761577e-05
134,1.9537337301424018e-05
135,2.132603106347997e-05
136,1.9608521612991657e-05
137,1.8591818031127132e-05
138,1.8562560909674925e-05
139,1.8489038433475947e-05
140,1.8676537125815707e-05
141,1.8678547157060508e-05
142,1.847638268119382e-05
143,1.8463365335989345e-05
144,1.968865360629217e-05
145,1.8169629918317806e-05
146,1.7951316127413334e-05
147,1.7834824098251793e-05
148,1.7851544890400303e-05
149,1.7842812338764123e-05
150,1.791917446676924e-05
151,1.7979201586419627e-05
152,1.812245465162249e-05
153,1.815923530603547e-05
154,1.8301876602574993e-05
155,1.8333882113406414e-05
156,1.844959320665737e-05
157,1.8303918563044124e-05
158,1.871970906436782e-05
159,2.0063407833948044e-05
160,1.892933314946159e-05
161,1.828382825350455e-05
162,1.83900292887028e-05
163,1.837376386655846e-05
164,1.8380292165242246e-05
165,1.8474343925940868e-05
166,1.831171183432343e-05
167,1.8363053030751848e-05
168,1.892835033552299e-05
169,1.798923501681573e-05
170,1.799671859201167e-05
171,1.796405498733289e-05
172,1.789928118521669e-05
173,1.7901104913625788e-05
174,1.817955260562249e-05
175,1.820508480334986e-05
176,1.8165332612707e-05
177,1.827988488500484e-05
178,1.8253932132357367e-05
179,1.8332828500405667e-05
180,1.8442608644104457e-05
181,1.8539597788284117e-05
182,1.9129318479156454e-05
183,1.981536095771181e-05
184,1.961192201876843e-05
185,1.865706085184008e-05
186,1.8663293045936578e-05
187,1.8539762055809515e-05
188,1.854488135810307e-05
189,1.8420638117222098e-05
190,1.82981670240502e-05
191,1.8329010025446155e-05
192,1.827027643553743e-05
193,1.798190629172874e-05
194,1.7986835695896412e-05
195,1.7950584036080002e-05
196,1.7913487754716156e-05
197,1.799915920631558e-05
198,1.8421679563544446e-05
199,1.8275998065374942e-05
200,1.8207544584609484e-05
201,1.8237574016460708e-05
202,1.8250878195128972e-05
203,1.8615878336892836e-05
204,1.853372503361629e-05
205,1.854359229946192e-05
206,1.8932074316575278e-05
207,1.8859344806522056e-05
