,0
0,1.2385759095506394e-05
1,1.231389480889423e-05
2,1.232445113230111e-05
3,1.231681055421691e-05
4,1.2273386775661299e-05
5,1.2376371279126541e-05
6,1.2541519535982632e-05
7,1.2828024647405458e-05
8,1.2437365227822264e-05
9,1.2305935022609411e-05
10,1.2339234019045397e-05
11,1.2313393732612495e-05
12,1.241776263294008e-05
13,1.2364209095117947e-05
14,1.2536847844352281e-05
15,1.2806554798063807e-05
16,1.2480154232753521e-05
17,1.2446378357781038e-05
18,1.25083405053921e-05
19,1.2547692878345185e-05
20,1.2573877758843758e-05
21,1.2522450319979217e-05
22,1.2904140818482282e-05
23,1.2751067676306581e-05
24,1.2704414356284882e-05
25,1.2446616671366258e-05
26,1.244939937575243e-05
27,1.2333533417625581e-05
28,1.2282356108120753e-05
29,1.2292043516077366e-05
30,1.2353583796550927e-05
31,1.2323210909450224e-05
32,1.2353043867441043e-05
33,1.2369659329891034e-05
34,1.2370711642512866e-05
35,1.2480054677803762e-05
36,1.2557374732314786e-05
37,1.2534511855983602e-05
38,1.265706750701472e-05
39,1.2750147327659617e-05
40,1.2511160969117507e-05
41,1.2521165969703852e-05
42,1.2554311204868611e-05
43,1.2523943813750514e-05
44,1.2580422938907214e-05
45,1.2772094178126807e-05
46,1.2642724425185714e-05
47,1.2526010529721233e-05
48,1.2455521144355955e-05
49,1.2428939806489978e-05
50,1.2317538193477483e-05
51,1.2320681467647385e-05
52,1.2327341989871862e-05
53,1.2325519458914912e-05
54,1.242939267781868e-05
55,1.2800078905998212e-05
56,1.3050974259314607e-05
57,1.309614858733348e-05
58,1.3132960802396398e-05
59,1.3644304424522945e-05
60,1.3315608167842532e-05
61,1.3228642359048409e-05
62,1.323580383919555e-05
63,1.3310624753433567e-05
64,1.3549679439405247e-05
65,1.2979425371429646e-05
66,1.2559605409318395e-05
67,1.258665125733867e-05
68,1.2679961117758282e-05
69,1.2589110991855464e-05
70,1.2510049701196294e-05
71,1.2603507177777392e-05
72,1.2764212016249483e-05
73,1.2263417909975574e-05
74,1.2297175479100253e-05
75,1.2303242180285533e-05
76,1.2297639598316615e-05
77,1.2267272941017589e-05
78,1.2325818265024245e-05
79,1.2446058293434223e-05
80,1.2607538822173609e-05
81,1.2584605470268408e-05
82,1.2564219553580625e-05
83,1.263436290478504e-05
84,1.2693982299984695e-05
85,1.2756459214480179e-05
86,1.2868958200747271e-05
87,1.4003170953283303e-05
88,1.3698309785403721e-05
89,1.2798270679822794e-05
90,1.2735085590566772e-05
91,1.2568671323022744e-05
92,1.259378248459128e-05
93,1.2551094349482165e-05
94,1.2497351482351661e-05
95,1.2486485210975108e-05
96,1.295711136284633e-05
97,1.2506962541306671e-05
98,1.2235581602456193e-05
99,1.2258098431297501e-05
100,1.2172042689072014e-05
101,1.2172080555684412e-05
102,1.2245099138816216e-05
103,1.2191375172476938e-05
104,1.2258245531751344e-05
105,1.2391975373969545e-05
106,1.2452938746765105e-05
107,1.2368116226592228e-05
108,1.2514095527044643e-05
109,1.2519241944578152e-05
110,1.299509104740749e-05
111,1.3255290805597934e-05
112,1.3272582460890884e-05
113,1.2609197160613774e-05
114,1.2600460508926214e-05
115,1.2473148264312285e-05
116,1.2462577582690296e-05
117,1.2412175105492708e-05
118,1.2364771386330741e-05
119,1.2548251790126549e-05
120,1.2455106287225522e-05
121,1.2247584481227111e-05
122,1.236397685347814e-05
123,1.2262927307858876e-05
124,1.2246983482209304e-05
125,1.2266630786845775e-05
126,1.2356341326586539e-05
127,1.2293081842042887e-05
128,1.252661818112348e-05
129,1.2533139837277568e-05
130,1.2654681013421307e-05
131,1.2556466495723188e-05
132,1.2560707501707414e-05
133,1.2591628689844793e-05
134,1.3108478783524853e-05
135,1.4122909856646718e-05
136,1.3133270077753174e-05
137,1.2601935781338901e-05
138,1.2567616613670163e-05
139,1.253659572993427e-05
140,1.2634190156035035e-05
141,1.270871340226446e-05
142,1.254448178773632e-05
143,1.261979292283158e-05
144,1.3288167795625112e-05
145,1.2482373244889075e-05
146,1.2338140199533206e-05
147,1.2206142288068028e-05
148,1.2270054750278043e-05
149,1.2259927314032135e-05
150,1.228265213112803e-05
151,1.2305646165552068e-05
152,1.2376736219687912e-05
153,1.239284409944724e-05
154,1.2526524269412056e-05
155,1.2540685304365952e-05
156,1.2686033056463378e-05
157,1.255344689586559e-05
158,1.2554102190816409e-05
159,1.3150448362786763e-05
160,1.2591837793396734e-05
161,1.2486940497453353e-05
162,1.250327526241837e-05
163,1.2511607594464563e-05
164,1.2592087596822493e-05
165,1.2890386194313511e-05
166,1.2535248990679296e-05
167,1.2573085882902369e-05
168,1.2657764810134719e-05
169,1.2318296563190963e-05
170,1.2349661222176427e-05
171,1.235120309408976e-05
172,1.2347625288080107e-05
173,1.2336003221292492e-05
174,1.2352971549330854e-05
175,1.2368522902607294e-05
176,1.2481587991738101e-05
177,1.254757872761064e-05
178,1.2532567011490826e-05
179,1.2575063611437765e-05
180,1.2631954094561242e-05
181,1.2790921446606118e-05
182,1.3030968869857826e-05
183,1.3578986130416828e-05
184,1.336729429766613e-05
185,1.2853719086102545e-05
186,1.2760355511355714e-05
187,1.263996166231609e-05
188,1.2692628724711485e-05
189,1.2612360562354974e-05
190,1.2553115413686846e-05
191,1.2569419921640936e-05
192,1.2405146836557333e-05
193,1.2462982847076835e-05
194,1.249365216024081e-05
195,1.238780349753935e-05
196,1.2320927981637135e-05
197,1.2371802597539975e-05
198,1.2577250504397873e-05
199,1.2455728810864274e-05
200,1.2485575675144185e-05
201,1.2527223162703119e-05
202,1.2528214542221273e-05
203,1.2744450566820174e-05
204,1.2671481135600297e-05
205,1.2751501614404348e-05
206,1.2739994928536323e-05
207,1.286264751139513e-05
208,1.3228414168191785e-05
209,1.3172689218926113e-05
210,1.3147109165066338e-05
211,1.3141365401555073e-05
212,1.3361945066266098e-05
213,1.3735463747938149e-05
214,1.3256828392228582e-05
215,1.326224725598567e-05
216,1.3010110106238042e-05
217,1.278308873350045e-05
218,1.2723545701400827e-05
219,1.2717603083114456e-05
220,1.2513458008654745e-05
221,1.2501920935111634e-05
222,1.253109667903656e-05
223,1.2559681340703898e-05
224,1.2974187937652531e-05
225,1.292037057630633e-05
226,1.299388402371303e-05
227,1.3015385699188454e-05
228,1.2969541875831053e-05
229,1.3106802277772254e-05
230,1.3658402952468644e-05
231,1.4725561429189579e-05
232,1.377226121645953e-05
233,1.3397545207181812e-05
234,1.3105420679945315e-05
235,1.3157227019862711e-05
236,1.3140836623410044e-05
237,1.3127489422951465e-05
238,1.3043785245586176e-05
239,1.3029486510605497e-05
240,1.2653483744387288e-05
241,1.2570316455608884e-05
242,1.2549480007715224e-05
243,1.2536172135698963e-05
244,1.2597055173530382e-05
245,1.2652899856736153e-05
246,1.2847668094653289e-05
247,1.2638219252935989e-05
248,1.2612474168853987e-05
249,1.2614605553222474e-05
250,1.2626375159654884e-05
251,1.2756494263795519e-05
252,1.2907631398409372e-05
253,1.2706800989455363e-05
254,1.2858088659063819e-05
255,1.2865548504353502e-05
256,1.2865918155130512e-05
257,1.2872119554465103e-05
258,1.3115313003347933e-05
259,1.3142202539758127e-05
260,1.295189184581523e-05
261,1.2800731196488194e-05
262,1.2654068782466347e-05
263,1.265859198662677e-05
264,1.2611064754244391e-05
265,1.2491323111216712e-05
266,1.2512153832928424e-05
267,1.2470931840130709e-05
268,1.2488744831534084e-05
269,1.2520747172430972e-05
270,1.2627634646515063e-05
271,1.2631402046568516e-05
272,1.2630481577951075e-05
273,1.266573209294087e-05
274,1.2738335199487779e-05
275,1.2720134683179843e-05
276,1.2727902478592558e-05
277,1.2832254907659684e-05
278,1.3166337364046325e-05
279,1.3659945454363366e-05
280,1.3814377722429755e-05
281,1.3027636404798603e-05
282,1.2810408217344857e-05
283,1.286192084161169e-05
284,1.272255829433073e-05
285,1.2647309746478506e-05
286,1.2581120850752693e-05
287,1.263341467271499e-05
288,1.2679919765481071e-05
289,1.2733298357762426e-05
290,1.2442829573938036e-05
291,1.2382523641369102e-05
292,1.2374043449124773e-05
293,1.2316802151475553e-05
294,1.242560279597573e-05
295,1.2409868931438642e-05
296,1.2555418991612878e-05
297,1.2647389964756241e-05
298,1.2815184415443315e-05
299,1.2831268354062624e-05
300,1.308948709061839e-05
301,1.3056204150408233e-05
302,1.2965287096812272e-05
303,1.3579303843192971e-05
304,1.3940113313630923e-05
305,1.4048453314995154e-05
306,1.3392049839868531e-05
307,1.3464320433815617e-05
308,1.3460126929600216e-05
309,1.3328482105876864e-05
310,1.3375252395609012e-05
311,1.3342026488606143e-05
312,1.3495746044791991e-05
313,1.2519393085918343e-05
314,1.2505209136822165e-05
315,1.249024396811331e-05
316,1.2503263235997589e-05
317,1.2528922440242142e-05
318,1.2590668653264325e-05
319,1.2524530264095234e-05
320,1.2570120703362366e-05
321,1.2640296563173578e-05
322,1.271031206014904e-05
323,1.268529736874925e-05
324,1.2665004701982684e-05
325,1.2728783247158608e-05
326,1.2903886086957123e-05
327,1.2949501112450844e-05
328,1.2948125864637726e-05
329,1.2665078678121242e-05
330,1.263200773120661e-05
331,1.2637933146725465e-05
332,1.2716616984436314e-05
333,1.2749546478762437e-05
334,1.2620675612698209e-05
335,1.2687491116801344e-05
336,1.3153060154450037e-05
337,1.2593732419036024e-05
338,1.2575544932169759e-05
339,1.2550550335187046e-05
340,1.2500908442758165e-05
341,1.2459837158419354e-05
342,1.2545857596825124e-05
343,1.253092085234101e-05
344,1.2613445125935818e-05
345,1.2667139552595073e-05
346,1.2670514512246541e-05
347,1.2704007075410233e-05
348,1.2720334280876422e-05
349,1.2793957572875884e-05
350,1.2844263469799926e-05
351,1.3303872627368634e-05
352,1.2998683561684215e-05
353,1.2955878329674463e-05
354,1.2958384809530896e-05
355,1.3172779002481665e-05
356,1.3218576132166197e-05
357,1.3144725708703863e-05
358,1.3083855675267288e-05
359,1.2933635953805597e-05
360,1.3195024311269094e-05
361,1.278096852607225e-05
362,1.2864363637467393e-05
363,1.2875361261051038e-05
364,1.2864744350585473e-05
365,1.2798537659506183e-05
366,1.2869571249046864e-05
367,1.2916423890215583e-05
368,1.291689437966984e-05
369,1.2919765880377374e-05
370,1.2994329508204538e-05
371,1.3118034932722788e-05
372,1.3066362595459288e-05
373,1.3055610366234154e-05
374,1.3115363996800582e-05
375,1.4319408213406211e-05
376,1.3958521513184648e-05
377,1.3234199626325392e-05
378,1.3291937787090667e-05
379,1.3032524278666686e-05
380,1.3030417546606732e-05
381,1.3025564640777554e-05
382,1.3032335871734506e-05
383,1.2987300905639728e-05
384,1.2916830776507346e-05
385,1.2821639385930223e-05
386,1.2798588906367763e-05
387,1.2779957794496573e-05
388,1.2768866498632308e-05
389,1.282448501927833e-05
390,1.3005886358661255e-05
391,1.2885180538134089e-05
392,1.2898815809865077e-05
393,1.2944449165983021e-05
394,1.3008607859007347e-05
395,1.3059178257410025e-05
396,1.3202106774386997e-05
397,1.319208412141544e-05
398,1.3438536243800482e-05
399,1.4018364432130085e-05
400,1.3727050809362301e-05
401,1.326189621174938e-05
402,1.3215686526116058e-05
403,1.316291472155638e-05
404,1.3161203760705421e-05
405,1.3283884463649241e-05
406,1.3143321127714985e-05
407,1.3133028858912746e-05
408,1.3077562386778243e-05
409,1.2884059817068322e-05
410,1.2924711331801e-05
411,1.2798176127790724e-05
412,1.279612218718729e-05
413,1.2836810928581801e-05
414,1.2863954991847273e-05
415,1.2946940504572887e-05
416,1.3142988221399828e-05
417,1.3154221052756782e-05
418,1.3269312093767709e-05
419,1.3405022624105654e-05
420,1.3349650653160094e-05
421,1.3377018275847797e-05
422,1.3669373715587221e-05
423,1.4218809998479999e-05
424,1.4071760127223798e-05
425,1.4181001612490544e-05
426,1.396888482057939e-05
427,1.3946225742233701e-05
428,1.3809094331574032e-05
429,1.366107800374054e-05
430,1.3591987515379019e-05
431,1.3632349953991164e-05
432,1.4113926960423171e-05
433,1.3805595226958358e-05
434,1.380364575903552e-05
435,1.371229318897115e-05
436,1.3715749655461834e-05
437,1.3788159331611153e-05
438,1.391202038546214e-05
439,1.382300075676159e-05
440,1.41036429904151e-05
441,1.4128137506095241e-05
442,1.4154940785803971e-05
443,1.427081132677526e-05
444,1.434394049714207e-05
445,1.4259387994701338e-05
446,1.4427829429261458e-05
447,1.5197918291156654e-05
