time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2024-11-13 20:31:27.310780
",breadthFirstSearch,99.19,0.17900390625,96.0,0.19%,0.0,0.0,0.00020313262939453125,0.0
"2024-11-13 20:31:28.959347
",breadthFirstSearch,99.97,0.33369140625,96.0,0.35%,0.0,0.0,0.00020313262939453125,0.0
"2024-11-13 20:31:30.968267
",breadthFirstSearch,99.96,0.37548828125,96.0,0.39%,0.0,0.0,0.00020313262939453125,0.0
"2024-11-13 20:31:32.977063
",breadthFirstSearch,99.80,0.42265625,96.0,0.44%,0.0,0.0,0.00020313262939453125,0.0
"2024-11-13 20:31:34.986614
",breadthFirstSearch,100.46,0.23681640625,96.0,0.25%,0.0,0.0,0.00021457672119140625,0.01767578125
"2024-11-13 20:31:36.997962
",breadthFirstSearch,99.31,0.31884765625,96.0,0.33%,0.0,0.0,0.00021457672119140625,0.01767578125
"2024-11-13 20:31:39.004390
",breadthFirstSearch,99.94,0.36064453125,96.0,0.38%,0.0,0.0,0.00021457672119140625,0.01767578125
"2024-11-13 20:31:41.014220
",breadthFirstSearch,99.78,0.1583984375,96.0,0.17%,0.0,0.0,0.00034809112548828125,0.0353515625
"2024-11-13 20:31:43.021493
",breadthFirstSearch,100.02,0.32548828125,96.0,0.34%,0.0,0.0,0.00034809112548828125,0.0353515625
"2024-11-13 20:31:45.028995
",breadthFirstSearch,99.67,0.37158203125,96.0,0.39%,0.0,0.0,0.00034809112548828125,0.0353515625
"2024-11-13 20:31:47.034212
",breadthFirstSearch,96.98,0.073203125,96.0,0.08%,0.0,0.0,0.00034809112548828125,0.050390625
"2024-11-13 20:31:49.043302
",breadthFirstSearch,489.02,0.72158203125,96.0,0.75%,0.0,0.0,0.60546875,0.050390625
"2024-11-13 20:31:51.050674
",breadthFirstSearch,180.11,1.44,96.0,1.50%,0.0,0.0,1.39,0.050390625
"2024-11-13 20:31:53.058012
",breadthFirstSearch,138.50,2.176,96.0,2.27%,0.0,0.0,2.21,0.050390625
"2024-11-13 20:31:55.063562
",breadthFirstSearch,145.42,2.984,96.0,3.11%,0.0,0.0,3.1,0.050390625
"2024-11-13 20:31:57.205360
",breadthFirstSearch,141.73,3.7,96.0,3.85%,0.0,0.0,3.9,0.050390625
"2024-11-13 20:31:59.212859
",breadthFirstSearch,144.93,4.44,96.0,4.62%,0.0,0.0,4.72,0.050390625
"2024-11-13 20:32:01.218972
",breadthFirstSearch,146.63,5.202,96.0,5.42%,0.0,0.0,5.56,0.050390625
"2024-11-13 20:32:03.225164
",breadthFirstSearch,145.55,5.948,96.0,6.20%,0.0,0.0,6.37,0.050390625
"2024-11-13 20:32:05.235014
",breadthFirstSearch,146.86,6.697,96.0,6.98%,0.0,0.0,7.2,0.050390625
"2024-11-13 20:32:07.241228
",breadthFirstSearch,143.34,7.46,96.0,7.77%,0.0,0.0,8.03,0.050390625
"2024-11-13 20:32:09.250096
",breadthFirstSearch,149.70,8.231,96.0,8.57%,0.0,0.0,8.89,0.050390625
"2024-11-13 20:32:11.259021
",breadthFirstSearch,140.88,8.963,96.0,9.34%,0.0,0.0,9.71,0.050390625
"2024-11-13 20:32:13.266773
",breadthFirstSearch,154.07,9.781,96.0,10.19%,0.0,0.0,10.6,0.050390625
"2024-11-13 20:32:15.277350
",breadthFirstSearch,155.49,10.6,96.0,11.04%,0.0,0.0,11.6,0.050390625
"2024-11-13 20:32:17.287485
",breadthFirstSearch,135.55,11.35,96.0,11.82%,0.0,0.0,12.5,0.050390625
"2024-11-13 20:32:19.293843
",breadthFirstSearch,144.67,12.1,96.0,12.61%,0.0,0.0,13.4,0.050390625
"2024-11-13 20:32:21.301812
",breadthFirstSearch,147.63,12.86,96.0,13.40%,0.0,0.0,14.3,0.050390625
"2024-11-13 20:32:23.311413
",breadthFirstSearch,135.64,13.49,96.0,14.05%,0.0,0.0,15.2,0.050390625
"2024-11-13 20:32:25.317484
",breadthFirstSearch,142.70,13.97,96.0,14.55%,0.0,0.0,16.2,0.050390625
"2024-11-13 20:32:27.327709
",breadthFirstSearch,130.62,14.13,96.0,14.72%,0.0,0.0,17.2,0.050390625
"2024-11-13 20:32:29.335176
",breadthFirstSearch,131.22,14.2,96.0,14.80%,0.0,0.0,18.1,0.050390625
"2024-11-13 20:32:31.345095
",breadthFirstSearch,127.23,14.25,96.0,14.85%,0.0,0.0,19.1,0.050390625
