Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
5.45,0.47,2024-11-14 23:43:54.682,0.0,3.01,2.44,0.25,0.22,75.28000000000002,34112,35984,0.0,0.01,38,0.02,0.0,84,0.02,0.01,58
8.07,0.8,2024-11-14 23:43:54.781,0.099,4.41,3.66,0.43,0.37,98.85999999999999,32864,33800,0.01,0.02,13,0.02,0.01,92,0.03,0.02,46
6.83,0.62,2024-11-14 23:43:54.882,0.2,3.78,3.04,0.34,0.28,44.7,32552,33176,0.0,0.0,49,0.01,0.0,70,0.01,0.0,56
4.56,0.33,2024-11-14 23:43:54.982,0.3,2.55,2.0,0.19,0.14,43.49,34320,33384,0.0,0.0,46,0.01,0.0,74,0.01,0.0,56
6.12,0.54,2024-11-14 23:43:55.082,0.4,3.37,2.75,0.29,0.24,51.79000000000002,33696,33904,0.0,0.0,48,0.01,0.0,76,0.01,0.0,62
6.19,0.55,2024-11-14 23:43:55.183,0.501,3.43,2.76,0.3,0.25,53.8,33904,33800,0.0,0.0,56,0.01,0.0,67,0.02,0.01,61
6.13,0.53,2024-11-14 23:43:55.292,0.61,3.38,2.75,0.29,0.23,70.15999999999998,32864,34632,0.01,0.01,72,0.02,0.0,51,0.02,0.01,65
6.58,0.59,2024-11-14 23:43:55.384,0.702,3.59,2.99,0.33,0.27,83.98999999999998,32552,37232,0.01,0.01,15,0.02,0.01,96,0.02,0.01,58
4.61,0.33,2024-11-14 23:43:55.483,0.801,2.58,2.04,0.19,0.14,36.32999999999999,32656,36504,0.0,0.0,63,0.0,0.0,60,0.01,0.0,61
4.27,0.28,2024-11-14 23:43:55.584,0.902,2.41,1.86,0.16,0.11,46.75999999999999,32968,36608,0.0,0.0,67,0.0,0.0,66,0.01,0.0,66
4.82,0.37,2024-11-14 23:43:55.684,1.002,2.69,2.13,0.21,0.16,40.20000000000002,32552,36296,0.0,0.0,62,0.01,0.0,61,0.01,0.0,62
5.51,0.46,2024-11-14 23:43:55.784,1.102,3.05,2.45,0.26,0.2,38.500000000000014,32760,36712,0.0,0.0,67,0.01,0.0,64,0.01,0.0,65
5.15,0.39,2024-11-14 23:43:55.884,1.202,2.87,2.28,0.22,0.17,53.89,33280,36296,0.0,0.0,61,0.01,0.0,75,0.01,0.0,68
6.59,0.56,2024-11-14 23:43:55.985,1.303,3.59,3.0,0.3,0.26,80.19,33384,37544,0.0,0.0,23,0.01,0.0,95,0.02,0.01,69
6.3,0.56,2024-11-14 23:43:56.085,1.403,3.48,2.82,0.31,0.25,50.84999999999999,33384,37544,0.0,0.0,54,0.01,0.0,79,0.01,0.0,69
5.91,0.49,2024-11-14 23:43:56.194,1.512,3.26,2.65,0.27,0.22,40.16000000000002,33384,37752,0.0,0.0,47,0.01,0.0,81,0.01,0.0,70
5.73,0.49,2024-11-14 23:43:56.285,1.603,3.19,2.54,0.28,0.22,44.83999999999998,33072,36920,0.0,0.0,80,0.01,0.0,55,0.01,0.01,71
4.65,0.34,2024-11-14 23:43:56.385,1.703,2.6,2.05,0.2,0.14,44.43000000000004,33176,37544,0.0,0.0,68,0.01,0.0,61,0.01,0.0,65
4.97,0.41,2024-11-14 23:43:56.486,1.804,2.77,2.2,0.24,0.17,44.84999999999999,32864,37128,0.0,0.0,54,0.01,0.0,79,0.01,0.0,68
5.05,0.39,2024-11-14 23:43:56.585,1.903,2.8,2.25,0.23,0.17,45.59999999999998,32760,36504,0.0,0.0,47,0.01,0.0,85,0.01,0.0,67
6.44,0.55,2024-11-14 23:43:56.686,2.004,3.55,2.9,0.31,0.24,82.74999999999999,33384,37960,0.0,0.0,32,0.01,0.01,93,0.02,0.01,74
5.81,0.49,2024-11-14 23:43:56.786,2.104,3.2,2.61,0.28,0.21,43.52999999999999,32968,36296,0.0,0.0,63,0.0,0.0,74,0.01,0.0,68
6.54,0.57,2024-11-14 23:43:56.887,2.205,3.61,2.93,0.32,0.25,38.69999999999999,33280,36400,0.0,0.0,63,0.01,0.0,74,0.01,0.0,68
5.08,0.37,2024-11-14 23:43:56.996,2.314,2.82,2.26,0.21,0.16,36.670000000000016,33696,36296,0.0,0.0,68,0.01,0.0,70,0.01,0.0,69
6.84,0.62,2024-11-14 23:43:57.087,2.405,3.77,3.07,0.34,0.28,56.879999999999995,33176,37024,0.0,0.0,70,0.02,0.0,79,0.02,0.0,75
6.65,0.6,2024-11-14 23:43:57.188,2.506,3.65,3.0,0.33,0.28,60.97000000000001,32864,37648,0.0,0.0,53,0.02,0.0,87,0.02,0.0,76
8.23,0.78,2024-11-14 23:43:57.288,2.606,4.48,3.76,0.42,0.36,87.17000000000002,33592,37440,0.0,0.0,30,0.01,0.01,93,0.02,0.01,73
4.66,0.31,2024-11-14 23:43:57.388,2.706,2.61,2.05,0.17,0.13,43.24000000000001,33904,36816,0.0,0.0,68,0.0,0.0,72,0.01,0.0,70
4.37,0.31,2024-11-14 23:43:57.492,2.81,2.43,1.95,0.18,0.13,39.11999999999998,32864,35360,0.0,0.0,67,0.0,0.0,62,0.01,0.0,65
5.0,0.38,2024-11-14 23:43:57.589,2.907,2.82,2.17,0.22,0.16,42.260000000000005,33592,36400,0.0,0.0,73,0.01,0.0,68,0.01,0.0,71
4.32,0.3,2024-11-14 23:43:57.688,3.006,2.42,1.9,0.17,0.13,32.11000000000001,34424,36192,0.0,0.0,70,0.0,0.0,67,0.01,0.0,69
5.31,0.41,2024-11-14 23:43:57.789,3.107,2.9,2.41,0.23,0.19,49.03999999999999,33696,36816,0.0,0.0,66,0.01,0.0,76,0.01,0.0,72
7.22,0.67,2024-11-14 23:43:57.897,3.215,3.95,3.28,0.36,0.31,74.5,33488,37128,0.0,0.0,32,0.02,0.01,93,0.02,0.01,75
6.85,0.62,2024-11-14 23:43:57.989,3.307,3.78,3.07,0.33,0.29,45.26000000000003,33488,36088,0.0,0.0,65,0.01,0.0,78,0.01,0.01,72
6.56,0.6,2024-11-14 23:43:58.090,3.408,3.59,2.96,0.33,0.27,54.839999999999996,33176,35256,0.0,0.0,60,0.01,0.0,77,0.02,0.0,71
5.76,0.5,2024-11-14 23:43:58.190,3.508,3.17,2.6,0.28,0.23,69.22,33904,34840,0.0,0.0,62,0.01,0.0,82,0.01,0.0,74
4.42,0.31,2024-11-14 23:43:58.290,3.608,2.48,1.94,0.18,0.13,39.77999999999997,33904,34112,0.0,0.0,69,0.0,0.0,61,0.01,0.0,65
5.03,0.39,2024-11-14 23:43:58.390,3.708,2.79,2.24,0.22,0.17,52.35,34320,34840,0.0,0.0,59,0.01,0.0,81,0.01,0.0,72
5.4,0.43,2024-11-14 23:43:58.490,3.808,2.99,2.41,0.24,0.19,59.58999999999998,34944,35776,0.0,0.0,33,0.01,0.0,92,0.02,0.01,70
6.2,0.55,2024-11-14 23:43:58.591,3.909,3.4,2.8,0.3,0.25,70.93000000000004,34840,35672,0.0,0.0,50,0.01,0.0,91,0.01,0.01,80
4.48,0.3,2024-11-14 23:43:58.700,4.018,2.51,1.96,0.16,0.13,38.65000000000001,34632,35256,0.0,0.0,61,0.0,0.0,66,0.01,0.0,63
5.12,0.33,2024-11-14 23:43:58.791,4.109,2.85,2.28,0.19,0.15,41.18999999999999,33176,34424,0.0,0.0,81,0.01,0.0,47,0.01,0.01,65
5.69,0.49,2024-11-14 23:43:58.891,4.209,3.16,2.53,0.27,0.22,36.83000000000001,33592,34216,0.0,0.0,68,0.01,0.0,71,0.01,0.0,69
4.66,0.35,2024-11-14 23:43:58.992,4.31,2.61,2.05,0.2,0.15,38.070000000000014,33384,34632,0.0,0.0,72,0.01,0.0,63,0.01,0.0,67
9.48,0.94,2024-11-14 23:43:59.091,4.409,5.14,4.34,0.49,0.45,91.13000000000002,32968,34216,0.0,0.0,43,0.03,0.0,88,0.04,0.01,75
8.85,0.88,2024-11-14 23:43:59.191,4.509,4.75,4.1,0.45,0.42,98.82000000000002,33696,36088,0.0,0.0,31,0.02,0.01,94,0.02,0.01,77
4.56,0.36,2024-11-14 23:43:59.291,4.609,2.58,1.98,0.2,0.15,44.74999999999999,34112,34840,0.0,0.0,70,0.01,0.0,66,0.01,0.0,68
6.54,0.6,2024-11-14 23:43:59.391,4.709,3.58,2.97,0.33,0.27,49.39999999999999,33904,34424,0.0,0.0,70,0.01,0.0,65,0.01,0.0,67
4.47,0.36,2024-11-14 23:43:59.492,4.81,2.51,1.96,0.22,0.15,39.91000000000001,34320,34008,0.0,0.0,70,0.0,0.0,61,0.01,0.0,65
5.31,0.43,2024-11-14 23:43:59.601,4.919,2.74,2.57,0.22,0.21,30.000000000000007,34112,34632,0.0,0.0,67,0.01,0.0,77,0.01,0.0,74
5.42,0.44,2024-11-14 23:43:59.693,5.011,3.25,2.16,0.27,0.17,53.35000000000002,34216,34736,0.0,0.0,65,0.02,0.0,83,0.02,0.0,72
6.79,0.63,2024-11-14 23:43:59.792,5.11,3.68,3.11,0.34,0.29,87.52,34320,34944,0.0,0.0,32,0.02,0.01,93,0.02,0.01,75
5.35,0.45,2024-11-14 23:43:59.893,5.211,2.98,2.37,0.26,0.19,38.940000000000005,34632,34528,0.0,0.0,68,0.0,0.0,68,0.01,0.0,68
5.02,0.4,2024-11-14 23:43:59.992,5.31,2.81,2.22,0.22,0.18,50.84999999999997,34008,33592,0.0,0.0,38,0.01,0.0,88,0.01,0.0,66
6.89,0.63,2024-11-14 23:44:00.093,5.411,3.72,3.16,0.33,0.3,58.09000000000002,33800,33072,0.0,0.0,60,0.02,0.0,79,0.02,0.0,73
5.45,0.46,2024-11-14 23:44:00.194,5.512,3.05,2.4,0.26,0.2,44.57,33696,33384,0.0,0.0,59,0.01,0.0,84,0.01,0.0,74
6.83,0.63,2024-11-14 23:44:00.294,5.612,3.75,3.08,0.34,0.29,79.37999999999997,33384,35568,0.0,0.0,28,0.02,0.01,93,0.02,0.01,75
9.78,1.09,2024-11-14 23:44:00.403,5.721,5.1,4.68,0.49,0.6,127.92000000000003,33800,38168,0.01,0.0,21,0.04,0.02,97,0.04,0.02,84
5.8,0.47,2024-11-14 23:44:00.494,5.812,3.19,2.6,0.25,0.22,74.75,33384,35880,0.0,0.0,43,0.01,0.0,91,0.01,0.01,78
4.92,0.4,2024-11-14 23:44:00.594,5.912,2.74,2.17,0.22,0.18,36.1,33592,35360,0.0,0.0,66,0.01,0.0,77,0.01,0.0,73
7.96,0.85,2024-11-14 23:44:00.699,6.017,4.24,3.72,0.4,0.45,108.94999999999999,32656,36712,0.0,0.0,42,0.02,0.02,93,0.03,0.02,85
5.16,0.45,2024-11-14 23:44:00.795,6.113,2.89,2.27,0.25,0.2,61.730000000000004,32760,36504,0.0,0.0,72,0.01,0.0,70,0.01,0.0,71
5.44,0.44,2024-11-14 23:44:00.895,6.213,3.03,2.4,0.24,0.19,42.73000000000001,32968,35776,0.0,0.0,65,0.01,0.0,78,0.01,0.0,72
5.78,0.47,2024-11-14 23:44:00.996,6.314,3.19,2.59,0.25,0.22,71.94999999999999,32968,35152,0.0,0.0,64,0.02,0.0,89,0.02,0.0,80
9.17,0.92,2024-11-14 23:44:01.096,6.414,4.96,4.21,0.48,0.44,108.61999999999999,32968,36400,0.01,0.0,22,0.03,0.01,96,0.04,0.02,78
5.22,0.41,2024-11-14 23:44:01.196,6.514,2.89,2.33,0.23,0.18,70.30999999999999,34112,35256,0.0,0.0,64,0.01,0.0,80,0.01,0.0,74
4.62,0.37,2024-11-14 23:44:01.305,6.623,2.58,2.04,0.21,0.16,29.740000000000006,33384,34736,0.0,0.0,64,0.0,0.0,55,0.01,0.0,59
5.77,0.51,2024-11-14 23:44:01.396,6.714,3.21,2.57,0.28,0.23,44.55,33072,34112,0.0,0.0,72,0.01,0.0,75,0.01,0.0,74
4.51,0.36,2024-11-14 23:44:01.496,6.814,2.52,1.99,0.22,0.14,44.359999999999985,32240,33904,0.0,0.0,75,0.0,0.0,60,0.01,0.0,69
5.28,0.42,2024-11-14 23:44:01.597,6.915,2.94,2.35,0.23,0.19,51.040000000000006,31824,34528,0.0,0.0,65,0.01,0.0,84,0.01,0.0,76
7.44,0.7,2024-11-14 23:44:01.697,7.015,4.04,3.4,0.37,0.33,85.60999999999999,31824,37336,0.0,0.0,22,0.02,0.01,97,0.02,0.01,76
4.96,0.38,2024-11-14 23:44:01.798,7.116,2.77,2.19,0.22,0.16,44.62,32240,36920,0.0,0.0,70,0.01,0.0,71,0.01,0.0,70
4.98,0.41,2024-11-14 23:44:01.897,7.215,2.78,2.2,0.23,0.17,41.4,32656,36712,0.0,0.0,71,0.0,0.0,64,0.01,0.0,67
