time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2024-11-13 22:38:42.543910
",convexHull,100.44,0.29423828125,96.0,0.31%,0.0,0.0,0.006240234375,0.0
"2024-11-13 22:38:42.543910
",breadthFirstSearch,95.65,0.1654296875,96.0,0.17%,0.0,0.0,0.0060546875,0.0
"2024-11-13 22:38:45.199603
",convexHull,97.88,0.36181640625,96.0,0.38%,0.0,0.0,0.0103515625,0.0
"2024-11-13 22:38:45.199603
",breadthFirstSearch,96.53,0.3609375,96.0,0.38%,0.0,0.0,0.012109375,0.0
"2024-11-13 22:38:47.212955
",convexHull,99.81,0.4072265625,96.0,0.42%,0.0,0.0,0.0103515625,0.0
"2024-11-13 22:38:47.212955
",breadthFirstSearch,100.06,0.40595703125,96.0,0.42%,0.0,0.0,0.0123046875,0.0
"2024-11-13 22:38:49.225949
",convexHull,93.00,0.05548828125,96.0,0.06%,0.0,0.0,0.01220703125,0.0181640625
"2024-11-13 22:38:49.225949
",breadthFirstSearch,93.78,0.06642578125,96.0,0.07%,0.0,0.0,0.01279296875,0.0177734375
"2024-11-13 22:38:51.240989
",convexHull,100.09,0.3029296875,96.0,0.32%,0.0,0.0,0.01220703125,0.0181640625
"2024-11-13 22:38:51.240989
",breadthFirstSearch,100.35,0.32001953125,96.0,0.33%,0.0,0.0,0.01279296875,0.0177734375
"2024-11-13 22:38:53.254294
",convexHull,99.92,0.3154296875,96.0,0.33%,0.0,0.0,0.01220703125,0.0181640625
"2024-11-13 22:38:53.254294
",breadthFirstSearch,99.86,0.34619140625,96.0,0.36%,0.0,0.0,0.01279296875,0.0177734375
"2024-11-13 22:38:55.267585
",convexHull,99.68,0.15869140625,96.0,0.17%,0.0,0.0,0.01220703125,0.03076171875
"2024-11-13 22:38:55.267585
",breadthFirstSearch,99.84,0.39365234375,96.0,0.41%,0.0,0.0,0.01279296875,0.0177734375
"2024-11-13 22:38:57.284023
",convexHull,100.18,0.35654296875,96.0,0.37%,0.0,0.0,0.01220703125,0.03076171875
"2024-11-13 22:38:57.284023
",breadthFirstSearch,99.76,0.2576171875,96.0,0.27%,0.0,0.0,0.01279296875,0.03544921875
"2024-11-13 22:38:59.295914
",convexHull,99.70,0.41201171875,96.0,0.43%,0.0,0.0,0.01220703125,0.03076171875
"2024-11-13 22:38:59.295914
",breadthFirstSearch,99.80,0.35009765625,96.0,0.36%,0.0,0.0,0.01279296875,0.03544921875
"2024-11-13 22:39:01.311108
",convexHull,99.17,0.42255859375,96.0,0.44%,0.0,0.0,0.01220703125,0.03076171875
"2024-11-13 22:39:01.311108
",breadthFirstSearch,98.71,0.3921875,96.0,0.41%,0.0,0.0,0.01279296875,0.03544921875
"2024-11-13 22:39:03.325245
",convexHull,100.27,0.42265625,96.0,0.44%,0.0,0.0,0.01220703125,0.03076171875
"2024-11-13 22:39:03.325245
",breadthFirstSearch,182.20,0.05091796875,96.0,0.05%,0.0,0.0,0.027734375,0.05341796875
"2024-11-13 22:39:05.337289
",convexHull,99.62,0.46396484375,96.0,0.48%,0.0,0.0,0.01220703125,0.03076171875
"2024-11-13 22:39:05.337289
",breadthFirstSearch,253.66,0.73818359375,96.0,0.77%,0.0,0.0,0.697265625,0.05341796875
"2024-11-13 22:39:07.345953
",convexHull,2601.18,6.798,96.0,7.08%,0.0,0.0,0.0123046875,0.05849609375
"2024-11-13 22:39:07.345953
",breadthFirstSearch,175.09,1.385,96.0,1.44%,0.0,0.0,1.38,0.05341796875
"2024-11-13 22:39:09.355985
",convexHull,4802.35,28.35,96.0,29.53%,0.0,0.0,0.0123046875,0.05849609375
"2024-11-13 22:39:09.355985
",breadthFirstSearch,200.29,2.045,96.0,2.13%,0.0,0.0,2.07,0.05341796875
