Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
7.7,0.71,2024-11-13 22:38:24.212,0.0,4.28,3.41,0.39,0.32,84.47,34216,36504,0.01,0.02,18,0.02,0.0,91,0.03,0.02,48
6.82,0.59,2024-11-13 22:38:24.312,0.1,3.75,3.07,0.32,0.27,76.67999999999999,31824,35360,0.01,0.01,48,0.01,0.0,72,0.02,0.01,57
5.4,0.42,2024-11-13 22:38:24.411,0.199,3.02,2.38,0.23,0.19,52.739999999999995,31408,35152,0.0,0.0,72,0.01,0.0,55,0.01,0.0,66
4.92,0.38,2024-11-13 22:38:24.512,0.3,2.74,2.18,0.23,0.15,44.38999999999999,31304,34736,0.0,0.0,68,0.0,0.0,52,0.01,0.0,63
6.42,0.54,2024-11-13 22:38:24.613,0.401,3.53,2.89,0.28,0.25,56.63000000000002,30680,35672,0.0,0.0,49,0.01,0.0,75,0.02,0.0,62
6.09,0.53,2024-11-13 22:38:24.713,0.501,3.37,2.72,0.3,0.23,49.569999999999986,31720,35880,0.0,0.0,53,0.01,0.0,74,0.01,0.0,65
6.67,0.57,2024-11-13 22:38:24.821,0.609,3.66,3.01,0.32,0.26,59.14,30784,34216,0.0,0.0,52,0.02,0.0,79,0.02,0.01,64
7.61,0.72,2024-11-13 22:38:24.913,0.701,4.14,3.47,0.38,0.34,90.0,31304,32240,0.01,0.01,18,0.02,0.01,94,0.02,0.01,64
4.93,0.35,2024-11-13 22:38:25.013,0.801,2.72,2.21,0.19,0.16,45.809999999999974,31304,32240,0.0,0.0,64,0.01,0.0,71,0.01,0.0,67
4.71,0.35,2024-11-13 22:38:25.113,0.901,2.61,2.1,0.2,0.15,50.27999999999998,31408,32656,0.0,0.0,70,0.0,0.0,56,0.01,0.0,64
5.3,0.42,2024-11-13 22:38:25.214,1.002,2.98,2.32,0.24,0.18,47.12000000000001,30680,32240,0.0,0.0,88,0.01,0.0,28,0.01,0.01,64
5.02,0.41,2024-11-13 22:38:25.313,1.101,2.82,2.2,0.24,0.17,45.4,30576,32968,0.0,0.0,69,0.01,0.0,61,0.01,0.0,65
5.54,0.44,2024-11-13 22:38:25.414,1.202,3.08,2.46,0.25,0.19,57.55000000000001,30784,33696,0.0,0.0,77,0.01,0.0,64,0.01,0.0,72
7.7,0.71,2024-11-13 22:38:25.514,1.302,4.19,3.51,0.38,0.33,84.69000000000001,30784,35048,0.0,0.0,25,0.01,0.01,94,0.02,0.01,72
6.32,0.55,2024-11-13 22:38:25.614,1.402,3.5,2.82,0.3,0.25,53.909999999999975,30992,34632,0.0,0.0,62,0.01,0.0,75,0.01,0.0,70
6.17,0.52,2024-11-13 22:38:25.723,1.511,3.41,2.76,0.28,0.23,44.28000000000001,31096,34632,0.0,0.0,59,0.01,0.0,76,0.01,0.0,70
5.89,0.51,2024-11-13 22:38:25.814,1.602,3.26,2.63,0.28,0.23,47.5,30888,33696,0.0,0.0,71,0.01,0.0,72,0.01,0.0,72
4.86,0.38,2024-11-13 22:38:25.915,1.703,2.76,2.11,0.24,0.15,45.96999999999998,30576,34320,0.0,0.0,67,0.0,0.0,58,0.01,0.0,63
5.27,0.41,2024-11-13 22:38:26.014,1.802,2.91,2.36,0.21,0.2,55.37999999999999,30056,34424,0.0,0.0,62,0.01,0.0,72,0.01,0.0,68
6.53,0.58,2024-11-13 22:38:26.115,1.903,3.6,2.93,0.31,0.27,80.04,29744,30784,0.0,0.0,45,0.01,0.01,86,0.02,0.01,73
5.56,0.42,2024-11-13 22:38:26.215,2.003,3.08,2.48,0.23,0.19,61.0,29536,31928,0.0,0.0,83,0.01,0.0,34,0.01,0.01,57
4.77,0.38,2024-11-13 22:38:26.315,2.103,2.7,2.07,0.22,0.16,40.78999999999998,29432,31616,0.0,0.0,68,0.0,0.0,58,0.01,0.0,63
5.03,0.37,2024-11-13 22:38:26.416,2.204,2.82,2.2,0.21,0.16,41.019999999999996,30056,31512,0.0,0.0,68,0.01,0.0,68,0.01,0.0,68
5.06,0.38,2024-11-13 22:38:26.524,2.312,2.84,2.22,0.22,0.16,36.15,29952,31824,0.0,0.0,73,0.0,0.0,56,0.01,0.0,64
6.92,0.6,2024-11-13 22:38:26.616,2.404,3.81,3.1,0.32,0.28,58.300000000000026,30472,31720,0.0,0.0,72,0.02,0.0,74,0.02,0.0,73
7.25,0.66,2024-11-13 22:38:26.717,2.505,3.99,3.25,0.35,0.31,64.05999999999999,29432,31616,0.0,0.0,62,0.02,0.0,73,0.02,0.0,69
7.9,0.75,2024-11-13 22:38:26.816,2.604,4.3,3.6,0.39,0.35,96.64999999999996,29848,35880,0.0,0.0,28,0.02,0.01,94,0.02,0.01,77
4.83,0.34,2024-11-13 22:38:26.917,2.705,2.72,2.11,0.19,0.15,43.51000000000001,29848,35880,0.0,0.0,70,0.0,0.0,73,0.01,0.0,72
4.98,0.36,2024-11-13 22:38:27.021,2.809,2.78,2.2,0.21,0.15,41.06999999999997,29536,34944,0.0,0.0,69,0.01,0.0,64,0.01,0.0,66
5.04,0.41,2024-11-13 22:38:27.117,2.905,2.84,2.2,0.24,0.17,46.66999999999999,31096,35568,0.0,0.0,81,0.01,0.0,68,0.01,0.0,75
4.79,0.35,2024-11-13 22:38:27.217,3.005,2.72,2.07,0.19,0.16,36.53000000000001,30784,35776,0.0,0.0,90,0.01,0.0,32,0.01,0.0,66
6.09,0.54,2024-11-13 22:38:27.317,3.105,3.38,2.71,0.3,0.24,52.34,32032,35568,0.0,0.0,68,0.01,0.0,71,0.02,0.0,69
