time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2024-11-13 21:55:04.443690
",minSpanningForest,99.84,0.2892578125,96.0,0.30%,0.0,0.0,3.1280517578125e-05,0.0
"2024-11-13 21:55:04.443690
",breadthFirstSearch,100.09,0.17529296875,96.0,0.18%,0.0,0.0,5.464553833007812e-05,0.0
"2024-11-13 21:55:07.104494
",minSpanningForest,99.64,0.35478515625,96.0,0.37%,0.0,0.0,3.1280517578125e-05,0.0
"2024-11-13 21:55:07.104494
",breadthFirstSearch,99.56,0.3541015625,96.0,0.37%,0.0,0.0,5.464553833007812e-05,0.0
"2024-11-13 21:55:09.119131
",minSpanningForest,99.95,0.39677734375,96.0,0.41%,0.0,0.0,3.1280517578125e-05,0.0
"2024-11-13 21:55:09.119131
",breadthFirstSearch,99.89,0.3998046875,96.0,0.42%,0.0,0.0,5.464553833007812e-05,0.0
"2024-11-13 21:55:11.132386
",minSpanningForest,95.29,0.039814453125,96.0,0.04%,0.0,0.0,3.1280517578125e-05,0.018359375
"2024-11-13 21:55:11.132386
",breadthFirstSearch,98.79,0.100390625,96.0,0.10%,0.0,0.0,6.6375732421875e-05,0.017578125
"2024-11-13 21:55:13.146811
",minSpanningForest,100.27,0.26943359375,96.0,0.28%,0.0,0.0,5.855560302734375e-05,0.018359375
"2024-11-13 21:55:13.146811
",breadthFirstSearch,99.76,0.30888671875,96.0,0.32%,0.0,0.0,6.6375732421875e-05,0.017578125
"2024-11-13 21:55:15.161385
",minSpanningForest,100.33,0.33935546875,96.0,0.35%,0.0,0.0,5.855560302734375e-05,0.018359375
"2024-11-13 21:55:15.161385
",breadthFirstSearch,100.27,0.340234375,96.0,0.35%,0.0,0.0,6.6375732421875e-05,0.017578125
"2024-11-13 21:55:17.174403
",minSpanningForest,100.06,0.3763671875,96.0,0.39%,0.0,0.0,5.855560302734375e-05,0.018359375
"2024-11-13 21:55:17.174403
",breadthFirstSearch,96.43,0.041201171875,96.0,0.04%,0.0,0.0,6.6375732421875e-05,0.03525390625
"2024-11-13 21:55:19.191309
",minSpanningForest,99.77,0.40908203125,96.0,0.43%,0.0,0.0,5.855560302734375e-05,0.018359375
"2024-11-13 21:55:19.191309
",breadthFirstSearch,99.72,0.2830078125,96.0,0.29%,0.0,0.0,7.419586181640625e-05,0.03525390625
"2024-11-13 21:55:21.205352
",minSpanningForest,99.97,0.4185546875,96.0,0.44%,0.0,0.0,5.855560302734375e-05,0.018359375
"2024-11-13 21:55:21.205352
",breadthFirstSearch,99.97,0.34267578125,96.0,0.36%,0.0,0.0,7.419586181640625e-05,0.03525390625
"2024-11-13 21:55:23.218832
",minSpanningForest,99.78,0.1455078125,96.0,0.15%,0.0,0.0,6.6375732421875e-05,0.04150390625
"2024-11-13 21:55:23.218832
",breadthFirstSearch,99.85,0.38388671875,96.0,0.40%,0.0,0.0,7.419586181640625e-05,0.03525390625
"2024-11-13 21:55:25.234943
",minSpanningForest,100.45,0.27890625,96.0,0.29%,0.0,0.0,6.6375732421875e-05,0.04150390625
"2024-11-13 21:55:25.234943
",breadthFirstSearch,136.50,0.030595703125,96.0,0.03%,0.0,0.0,0.0451171875,0.05322265625
"2024-11-13 21:55:27.245459
",minSpanningForest,91.91,0.07748046875,96.0,0.08%,0.0,0.0,7.028579711914063e-05,0.05078125
"2024-11-13 21:55:27.245459
",breadthFirstSearch,126.98,0.09724609375,96.0,0.10%,0.0,0.0,0.736328125,0.05322265625
"2024-11-13 21:55:29.257113
",minSpanningForest,99.92,0.29169921875,96.0,0.30%,0.0,0.0,7.028579711914063e-05,0.05078125
"2024-11-13 21:55:29.257113
",breadthFirstSearch,134.05,0.1544921875,96.0,0.16%,0.0,0.0,1.48,0.05322265625
"2024-11-13 21:55:31.273011
",minSpanningForest,100.17,0.3529296875,96.0,0.37%,0.0,0.0,7.028579711914063e-05,0.05078125
"2024-11-13 21:55:31.273011
",breadthFirstSearch,128.83,0.21552734375,96.0,0.22%,0.0,0.0,2.2,0.05322265625
"2024-11-13 21:55:33.279332
",minSpanningForest,99.72,0.3953125,96.0,0.41%,0.0,0.0,7.028579711914063e-05,0.05078125
"2024-11-13 21:55:33.279332
",breadthFirstSearch,138.87,0.28193359375,96.0,0.29%,0.0,0.0,2.91,0.05322265625
"2024-11-13 21:55:35.291550
",minSpanningForest,88.76,0.4072265625,96.0,0.42%,0.0,0.0,7.028579711914063e-05,0.07041015625
"2024-11-13 21:55:35.291550
",breadthFirstSearch,132.32,0.34638671875,96.0,0.36%,0.0,0.0,3.59,0.05322265625
"2024-11-13 21:55:37.303908
",minSpanningForest,4749.21,12.37,96.0,12.89%,0.0,0.0,7.810592651367188e-05,0.07041015625
"2024-11-13 21:55:37.303908
",breadthFirstSearch,91.07,0.4326171875,96.0,0.45%,0.0,0.0,4.29,0.05322265625
"2024-11-13 21:55:39.313501
",minSpanningForest,4818.11,35.3,96.0,36.77%,0.0,0.0,7.810592651367188e-05,0.07041015625
"2024-11-13 21:55:39.313501
",breadthFirstSearch,97.02,0.511328125,96.0,0.53%,0.0,0.0,4.94,0.05322265625
"2024-11-13 21:55:41.323497
",minSpanningForest,2.53,40.49,96.0,42.18%,0.0,0.0,0.040234375,0.07041015625
"2024-11-13 21:55:41.323497
",breadthFirstSearch,95.28,0.5705078125,96.0,0.59%,0.0,0.0,5.55,0.05322265625
"2024-11-13 21:55:43.333910
",minSpanningForest,2.66,40.49,96.0,42.18%,0.0,0.0,0.099609375,0.07041015625
"2024-11-13 21:55:43.333910
",breadthFirstSearch,117.51,0.63173828125,96.0,0.66%,0.0,0.0,6.18,0.05322265625
"2024-11-13 21:55:45.344972
",minSpanningForest,2.65,40.49,96.0,42.18%,0.0,0.0,0.1572265625,0.07041015625
"2024-11-13 21:55:45.344972
",breadthFirstSearch,134.97,0.6984375,96.0,0.73%,0.0,0.0,6.82,0.05322265625
"2024-11-13 21:55:47.352144
",minSpanningForest,3.02,40.49,96.0,42.18%,0.0,0.0,0.21484375,0.07041015625
"2024-11-13 21:55:47.352144
",breadthFirstSearch,129.87,0.7751953125,96.0,0.81%,0.0,0.0,7.46,0.05322265625
"2024-11-13 21:55:49.364465
",minSpanningForest,2.76,40.49,96.0,42.18%,0.0,0.0,0.2685546875,0.07041015625
"2024-11-13 21:55:49.364465
",breadthFirstSearch,129.79,0.83681640625,96.0,0.87%,0.0,0.0,8.11,0.05322265625
"2024-11-13 21:55:51.378606
",minSpanningForest,2.41,40.49,96.0,42.18%,0.0,0.0,0.318359375,0.07041015625
"2024-11-13 21:55:51.378606
",breadthFirstSearch,112.80,0.89033203125,96.0,0.93%,0.0,0.0,8.72,0.05322265625
"2024-11-13 21:55:53.388211
",minSpanningForest,2.73,40.49,96.0,42.18%,0.0,0.0,0.3720703125,0.07041015625
"2024-11-13 21:55:53.388211
",breadthFirstSearch,124.05,0.95439453125,96.0,0.99%,0.0,0.0,9.37,0.05322265625
"2024-11-13 21:55:55.399039
",minSpanningForest,2.92,40.49,96.0,42.18%,0.0,0.0,0.4267578125,0.07041015625
"2024-11-13 21:55:55.399039
",breadthFirstSearch,128.76,1.018,96.0,1.06%,0.0,0.0,9.98,0.05322265625
"2024-11-13 21:55:57.407270
",minSpanningForest,3.03,40.49,96.0,42.18%,0.0,0.0,0.482421875,0.07041015625
"2024-11-13 21:55:57.407270
",breadthFirstSearch,134.97,1.108,96.0,1.15%,0.0,0.0,10.6,0.05322265625
"2024-11-13 21:55:59.419490
",minSpanningForest,2.47,40.5,96.0,42.18%,0.0,0.0,0.5341796875,0.07041015625
"2024-11-13 21:55:59.419490
",breadthFirstSearch,132.69,1.231,96.0,1.28%,0.0,0.0,11.3,0.05322265625
"2024-11-13 21:56:01.430475
",minSpanningForest,2.02,40.49,96.0,42.18%,0.0,0.0,0.5751953125,0.07041015625
"2024-11-13 21:56:01.430475
",breadthFirstSearch,116.50,1.328,96.0,1.38%,0.0,0.0,11.9,0.05322265625
