Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
6.33,0.53,2024-11-13 21:54:46.116,0.0,3.46,2.87,0.28,0.25,102.99999999999997,32552,33176,0.01,0.01,23,0.02,0.01,93,0.03,0.02,52
6.3,0.54,2024-11-13 21:54:46.216,0.1,3.47,2.83,0.3,0.24,63.61999999999996,31200,32344,0.01,0.01,66,0.01,0.0,53,0.02,0.01,62
6.07,0.51,2024-11-13 21:54:46.316,0.2,3.38,2.68,0.28,0.23,56.87999999999999,30472,32656,0.0,0.0,72,0.01,0.0,49,0.01,0.0,64
4.95,0.34,2024-11-13 21:54:46.416,0.3,2.76,2.19,0.19,0.15,54.55,31200,31928,0.0,0.0,60,0.0,0.0,62,0.01,0.0,61
7.25,0.66,2024-11-13 21:54:46.517,0.401,3.97,3.29,0.35,0.3,75.97999999999999,30680,31616,0.01,0.0,68,0.02,0.0,68,0.02,0.01,68
5.75,0.45,2024-11-13 21:54:46.617,0.501,3.17,2.58,0.25,0.21,61.80999999999999,30368,31512,0.0,0.0,63,0.01,0.0,64,0.01,0.0,64
6.28,0.52,2024-11-13 21:54:46.726,0.61,3.46,2.82,0.3,0.22,66.00999999999999,29640,31096,0.0,0.0,44,0.02,0.0,83,0.02,0.01,61
6.27,0.56,2024-11-13 21:54:46.818,0.702,3.43,2.84,0.31,0.25,88.66999999999999,30992,32032,0.01,0.01,20,0.02,0.01,90,0.02,0.01,55
5.89,0.48,2024-11-13 21:54:46.918,0.802,3.26,2.63,0.27,0.21,50.030000000000015,30784,32240,0.0,0.0,83,0.01,0.0,31,0.01,0.0,63
6.55,0.57,2024-11-13 21:54:47.017,0.901,3.61,2.94,0.32,0.25,55.04,30680,32448,0.0,0.0,65,0.0,0.0,62,0.01,0.0,64
