Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
6.1,0.54,2024-11-13 22:24:38.833,0.0,3.43,2.67,0.3,0.24,76.92,35880,34008,0.01,0.01,50,0.02,0.0,68,0.03,0.02,56
8.52,0.84,2024-11-13 22:24:38.932,0.099,4.62,3.89,0.45,0.39,96.75000000000003,32760,35984,0.01,0.02,28,0.03,0.01,84,0.04,0.03,52
6.25,0.55,2024-11-13 22:24:39.032,0.199,3.46,2.79,0.31,0.24,46.83000000000001,32032,34944,0.0,0.0,72,0.01,0.0,48,0.01,0.01,65
4.72,0.35,2024-11-13 22:24:39.132,0.299,2.63,2.08,0.22,0.13,45.09000000000001,32656,35152,0.0,0.0,66,0.0,0.0,55,0.01,0.0,63
5.92,0.51,2024-11-13 22:24:39.233,0.4,3.27,2.65,0.28,0.22,51.28999999999999,32032,34424,0.0,0.0,52,0.01,0.0,74,0.01,0.0,61
6.68,0.6,2024-11-13 22:24:39.332,0.499,3.66,3.01,0.33,0.28,61.34,33072,35672,0.0,0.0,53,0.02,0.0,73,0.02,0.01,63
6.41,0.53,2024-11-13 22:24:39.441,0.608,3.54,2.87,0.29,0.24,55.639999999999986,33072,35152,0.0,0.0,53,0.01,0.0,80,0.02,0.0,63
7.3,0.7,2024-11-13 22:24:39.533,0.7,3.94,3.35,0.37,0.32,86.05999999999997,32864,35048,0.01,0.01,29,0.02,0.0,93,0.02,0.01,65
5.48,0.45,2024-11-13 22:24:39.632,0.799,3.03,2.45,0.26,0.19,39.44,32344,34736,0.0,0.0,70,0.01,0.0,50,0.01,0.0,61
4.96,0.39,2024-11-13 22:24:39.733,0.9,2.76,2.2,0.23,0.16,45.519999999999996,32448,34216,0.0,0.0,75,0.0,0.0,58,0.01,0.0,69
5.09,0.38,2024-11-13 22:24:39.833,1.0,2.84,2.25,0.21,0.17,46.41999999999999,32864,34840,0.0,0.0,66,0.0,0.0,62,0.01,0.0,65
