Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
6.6,0.57,2024-11-13 22:11:03.836,0.0,3.7,2.9,0.32,0.26,76.20000000000002,33488,35360,0.01,0.01,31,0.02,0.0,84,0.03,0.02,51
7.5,0.69,2024-11-13 22:11:03.937,0.101,4.1,3.4,0.38,0.31,90.26999999999998,31616,37336,0.0,0.01,36,0.02,0.0,82,0.02,0.01,56
6.71,0.59,2024-11-13 22:11:04.037,0.201,3.69,3.02,0.32,0.26,47.47999999999999,32448,36816,0.0,0.0,65,0.01,0.0,57,0.01,0.0,62
4.71,0.35,2024-11-13 22:11:04.137,0.301,2.65,2.06,0.22,0.13,44.89,32032,36400,0.0,0.0,68,0.0,0.0,57,0.01,0.0,64
7.49,0.68,2024-11-13 22:11:04.237,0.401,4.08,3.41,0.36,0.31,61.54000000000003,32656,35360,0.0,0.0,57,0.02,0.0,74,0.02,0.0,66
5.87,0.49,2024-11-13 22:11:04.338,0.502,3.25,2.61,0.28,0.22,52.91000000000002,32136,35360,0.0,0.0,54,0.01,0.0,71,0.01,0.0,62
6.79,0.61,2024-11-13 22:11:04.447,0.611,3.74,3.05,0.34,0.27,67.99000000000001,32448,35152,0.01,0.0,62,0.02,0.0,72,0.02,0.01,66
6.63,0.61,2024-11-13 22:11:04.539,0.703,3.62,3.01,0.33,0.28,87.18,31824,34112,0.01,0.01,24,0.02,0.01,91,0.02,0.01,63
4.81,0.33,2024-11-13 22:11:04.638,0.802,2.69,2.12,0.18,0.15,36.34999999999998,31616,33488,0.0,0.0,60,0.0,0.0,61,0.01,0.0,60
4.9,0.33,2024-11-13 22:11:04.739,0.903,2.74,2.16,0.19,0.15,42.84000000000004,31720,33592,0.0,0.0,74,0.0,0.0,57,0.01,0.0,67
5.48,0.45,2024-11-13 22:11:04.839,1.003,3.03,2.45,0.25,0.2,46.34000000000001,31408,33176,0.0,0.0,68,0.01,0.0,59,0.01,0.0,65
5.23,0.4,2024-11-13 22:11:04.939,1.103,2.93,2.3,0.23,0.18,46.99000000000002,30576,32968,0.0,0.0,74,0.01,0.0,64,0.01,0.0,70
5.53,0.45,2024-11-13 22:11:05.039,1.203,3.06,2.48,0.25,0.2,58.14999999999998,31408,32864,0.0,0.0,65,0.01,0.0,71,0.02,0.0,68
8.2,0.75,2024-11-13 22:11:05.140,1.304,4.44,3.76,0.4,0.36,84.69000000000003,31408,33488,0.0,0.0,28,0.02,0.0,92,0.02,0.01,69
7.56,0.7,2024-11-13 22:11:05.240,1.404,4.14,3.42,0.38,0.32,65.51,30784,33592,0.0,0.0,79,0.02,0.0,64,0.02,0.01,70
5.88,0.49,2024-11-13 22:11:05.349,1.513,3.25,2.63,0.27,0.21,39.98,31408,34112,0.0,0.0,66,0.01,0.0,70,0.01,0.0,69
5.84,0.5,2024-11-13 22:11:05.440,1.604,3.25,2.59,0.28,0.22,45.36000000000001,30888,33072,0.0,0.0,71,0.01,0.0,72,0.01,0.0,71
5.02,0.36,2024-11-13 22:11:05.541,1.705,2.79,2.22,0.2,0.16,43.309999999999995,30576,33384,0.0,0.0,65,0.0,0.0,64,0.01,0.0,65
5.28,0.41,2024-11-13 22:11:05.641,1.805,2.95,2.34,0.23,0.18,47.89,30680,33488,0.0,0.0,60,0.01,0.0,80,0.01,0.0,70
6.09,0.53,2024-11-13 22:11:05.741,1.905,3.36,2.74,0.29,0.24,57.01,30160,33072,0.0,0.0,44,0.01,0.0,89,0.01,0.01,71
6.07,0.53,2024-11-13 22:11:05.841,2.005,3.34,2.73,0.28,0.24,73.30000000000001,30576,33696,0.0,0.0,51,0.01,0.0,90,0.01,0.01,75
5.66,0.46,2024-11-13 22:11:05.942,2.106,3.15,2.52,0.26,0.2,39.08,30368,33592,0.0,0.0,77,0.0,0.0,64,0.01,0.0,70
4.9,0.36,2024-11-13 22:11:06.042,2.206,2.74,2.16,0.21,0.15,40.37999999999999,31096,33488,0.0,0.0,74,0.0,0.0,64,0.01,0.0,70
4.64,0.34,2024-11-13 22:11:06.151,2.315,2.61,2.03,0.2,0.13,34.31,31096,33696,0.0,0.0,71,0.0,0.0,61,0.01,0.0,66
8.21,0.76,2024-11-13 22:11:06.242,2.406,4.49,3.72,0.4,0.35,62.16999999999998,31304,33488,0.0,0.0,70,0.02,0.0,76,0.02,0.0,74
6.56,0.59,2024-11-13 22:11:06.342,2.506,3.58,2.98,0.32,0.27,58.130000000000024,31200,33384,0.0,0.0,66,0.02,0.0,77,0.02,0.0,73
6.99,0.64,2024-11-13 22:11:06.443,2.607,3.83,3.16,0.35,0.29,93.02999999999997,31824,34008,0.0,0.0,40,0.02,0.0,90,0.02,0.01,73
5.41,0.42,2024-11-13 22:11:06.542,2.706,3.01,2.4,0.24,0.18,46.73999999999998,32240,34008,0.0,0.0,76,0.0,0.0,69,0.01,0.0,73
4.92,0.4,2024-11-13 22:11:06.647,2.811,2.77,2.15,0.23,0.17,41.35999999999998,31408,32448,0.0,0.0,68,0.01,0.0,64,0.01,0.0,66
5.12,0.37,2024-11-13 22:11:06.744,2.908,2.86,2.25,0.21,0.17,47.57,34840,32968,0.0,0.0,84,0.01,0.0,46,0.01,0.0,67
5.03,0.41,2024-11-13 22:11:06.844,3.008,2.8,2.23,0.24,0.17,41.57,35152,33384,0.0,0.0,86,0.01,0.0,45,0.01,0.0,69
5.65,0.47,2024-11-13 22:11:06.944,3.108,3.13,2.53,0.26,0.21,49.839999999999975,34632,33176,0.0,0.0,80,0.01,0.0,65,0.01,0.0,73
7.43,0.7,2024-11-13 22:11:07.052,3.216,4.04,3.39,0.37,0.32,72.65999999999998,33904,34736,0.0,0.0,40,0.02,0.0,89,0.02,0.01,74
6.2,0.55,2024-11-13 22:11:07.144,3.308,3.46,2.73,0.31,0.24,46.58000000000002,33904,34424,0.01,0.0,80,0.01,0.0,58,0.01,0.01,70
7.38,0.65,2024-11-13 22:11:07.245,3.409,4.04,3.34,0.35,0.3,61.74000000000003,34528,34736,0.0,0.0,63,0.01,0.0,78,0.02,0.0,72
5.86,0.46,2024-11-13 22:11:07.345,3.509,3.27,2.59,0.26,0.2,65.89999999999999,34216,34216,0.0,0.0,72,0.01,0.0,68,0.01,0.0,70
5.0,0.36,2024-11-13 22:11:07.445,3.609,2.76,2.24,0.2,0.16,41.449999999999996,34008,34840,0.0,0.0,67,0.0,0.0,62,0.01,0.0,64
5.38,0.38,2024-11-13 22:11:07.546,3.71,2.99,2.39,0.22,0.16,56.42999999999999,34424,34008,0.0,0.0,66,0.01,0.0,75,0.01,0.0,71
6.34,0.55,2024-11-13 22:11:07.646,3.81,3.47,2.87,0.31,0.24,72.47000000000001,34632,34320,0.0,0.0,40,0.02,0.0,85,0.02,0.01,71
