time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2024-11-13 20:49:28.721801
",convexHull,99.77,0.17998046875,96.0,0.19%,0.0,0.0,0.0001678466796875,0.0
"2024-11-13 20:49:30.368330
",convexHull,99.29,0.335546875,96.0,0.35%,0.0,0.0,0.0001678466796875,0.0
"2024-11-13 20:49:32.375795
",convexHull,99.65,0.38125,96.0,0.40%,0.0,0.0,0.0001678466796875,0.0
"2024-11-13 20:49:34.383701
",convexHull,96.07,0.017177734375,96.0,0.02%,0.0,0.0,0.0001678466796875,0.01796875
"2024-11-13 20:49:36.393107
",convexHull,100.15,0.26923828125,96.0,0.28%,0.0,0.0,0.000179290771484375,0.01796875
"2024-11-13 20:49:38.400043
",convexHull,99.99,0.30048828125,96.0,0.31%,0.0,0.0,0.0002460479736328125,0.01796875
"2024-11-13 20:49:40.407761
",convexHull,97.18,0.08080078125,96.0,0.08%,0.0,0.0,0.000316619873046875,0.03056640625
"2024-11-13 20:49:42.415613
",convexHull,100.15,0.312109375,96.0,0.33%,0.0,0.0,0.000316619873046875,0.03056640625
"2024-11-13 20:49:44.424101
",convexHull,100.07,0.39912109375,96.0,0.42%,0.0,0.0,0.00044155120849609375,0.03056640625
"2024-11-13 20:49:46.432103
",convexHull,99.89,0.41162109375,96.0,0.43%,0.0,0.0,0.00044155120849609375,0.03056640625
"2024-11-13 20:49:48.441313
",convexHull,100.02,0.41171875,96.0,0.43%,0.0,0.0,0.00044155120849609375,0.03056640625
"2024-11-13 20:49:50.452063
",convexHull,94.53,0.020283203125,96.0,0.02%,0.0,0.0,0.00044155120849609375,0.0552734375
"2024-11-13 20:49:52.459363
",convexHull,4667.08,10.43,96.0,10.87%,0.0,0.0,0.00044918060302734375,0.0552734375
"2024-11-13 20:49:54.466939
",convexHull,4796.78,31.19,96.0,32.49%,0.0,0.0,0.00044918060302734375,0.0552734375
"2024-11-13 20:49:56.475747
",convexHull,50.22,34.54,96.0,35.98%,0.0,0.0,0.1181640625,0.0552734375
"2024-11-13 20:49:58.483211
",convexHull,45.81,34.57,96.0,36.01%,0.0,0.0,0.255859375,0.0552734375
"2024-11-13 20:50:00.492996
",convexHull,48.58,34.64,96.0,36.08%,0.0,0.0,0.400390625,0.0552734375
"2024-11-13 20:50:02.500328
",convexHull,49.01,34.71,96.0,36.16%,0.0,0.0,0.544921875,0.0552734375
"2024-11-13 20:50:04.510770
",convexHull,48.64,34.78,96.0,36.23%,0.0,0.0,0.6875,0.0552734375
"2024-11-13 20:50:06.516241
",convexHull,49.12,34.85,96.0,36.30%,0.0,0.0,0.8330078125,0.0552734375
"2024-11-13 20:50:08.524844
",convexHull,50.01,34.92,96.0,36.37%,0.0,0.0,1.0,0.0552734375
"2024-11-13 20:50:10.536188
",convexHull,51.64,34.99,96.0,36.44%,0.0,0.0,1.15,0.0552734375
"2024-11-13 20:50:12.543614
",convexHull,51.81,35.05,96.0,36.51%,0.0,0.0,1.3,0.0552734375
"2024-11-13 20:50:14.553142
",convexHull,51.87,35.12,96.0,36.59%,0.0,0.0,1.44,0.0552734375
"2024-11-13 20:50:16.562387
",convexHull,52.41,35.19,96.0,36.66%,0.0,0.0,1.59,0.0552734375
"2024-11-13 20:50:18.574016
",convexHull,50.63,35.26,96.0,36.73%,0.0,0.0,1.74,0.0552734375
"2024-11-13 20:50:20.581845
",convexHull,51.60,35.33,96.0,36.80%,0.0,0.0,1.88,0.0552734375
"2024-11-13 20:50:22.590798
",convexHull,50.79,35.39,96.0,36.87%,0.0,0.0,2.03,0.0552734375
"2024-11-13 20:50:24.598443
",convexHull,51.64,35.46,96.0,36.94%,0.0,0.0,2.17,0.0552734375
"2024-11-13 20:50:26.608335
",convexHull,51.56,35.53,96.0,37.01%,0.0,0.0,2.32,0.0552734375
"2024-11-13 20:50:28.614911
",convexHull,50.90,35.6,96.0,37.08%,0.0,0.0,2.46,0.0552734375
"2024-11-13 20:50:30.621203
",convexHull,4793.38,44.22,96.0,46.06%,0.0,0.0,2.47,0.0552734375
"2024-11-13 20:50:32.626607
",convexHull,4795.02,64.16,96.0,66.83%,0.0,0.0,2.47,0.0552734375
"2024-11-13 20:50:34.634058
",convexHull,4796.30,79.89,96.0,83.21%,0.0,0.0,2.47,0.0552734375
"2024-11-13 20:50:36.640580
",convexHull,4783.54,95.06,96.0,99.03%,0.0,0.0,2.47,0.0552734375
"2024-11-13 20:50:38.652196
",convexHull,4770.18,95.38,96.0,99.36%,0.0,0.0,2.47,0.0552734375
"2024-11-13 20:50:40.666512
",convexHull,4606.56,95.6,96.0,99.58%,0.0,0.0,2.47,0.0552734375
"2024-11-13 20:50:42.672078
",convexHull,318.12,95.72,96.0,99.71%,0.0,0.0,2.47,0.0552734375
"2024-11-13 20:50:44.678721
",convexHull,343.20,95.81,96.0,99.80%,0.0,0.0,2.47,0.0552734375
"2024-11-13 20:50:46.686980
",convexHull,350.33,95.86,96.0,99.85%,0.0,0.0,2.47,0.0552734375
"2024-11-13 20:50:48.691667
",convexHull,329.23,95.9,96.0,99.89%,0.0,0.0,2.47,0.0552734375
"2024-11-13 20:50:50.699056
",convexHull,339.35,95.92,96.0,99.92%,0.0,0.0,2.47,0.0552734375
"2024-11-13 20:50:52.706166
",convexHull,99.52,76.33,96.0,79.51%,0.0,0.0,2.47,0.0552734375
"2024-11-13 20:50:54.718727
",convexHull,176.24,46.51,96.0,48.45%,0.0,0.0,2.48,0.0552734375
"2024-11-13 20:50:56.718336
",convexHull,1419.50,48.73,96.0,50.76%,0.0,0.0,3.12,0.0552734375
"2024-11-13 20:50:58.727022
",convexHull,747.08,50.15,96.0,52.24%,0.0,0.0,3.77,0.0552734375
"2024-11-13 20:51:00.729565
",convexHull,571.69,51.38,96.0,53.52%,0.0,0.0,4.41,0.0552734375
"2024-11-13 20:51:02.737242
",convexHull,852.63,52.69,96.0,54.89%,0.0,0.0,5.05,0.0552734375
"2024-11-13 20:51:04.742256
",convexHull,1266.55,54.51,96.0,56.78%,0.0,0.0,5.68,0.0552734375
"2024-11-13 20:51:06.749471
",convexHull,4507.24,58.47,96.0,60.90%,0.0,0.0,6.0,0.0552734375
"2024-11-13 20:51:08.759364
",convexHull,4776.17,62.75,96.0,65.37%,0.0,0.0,6.06,0.0552734375
"2024-11-13 20:51:10.763689
",convexHull,4777.10,75.68,96.0,78.83%,0.0,0.0,6.06,0.0552734375
"2024-11-13 20:51:12.771320
",convexHull,99.86,52.35,96.0,54.53%,0.0,0.0,6.06,0.0552734375
"2024-11-13 20:51:14.779181
",convexHull,99.40,25.7,96.0,26.78%,0.0,0.0,6.06,0.0552734375
