Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
6.3,0.56,2024-11-13 20:49:10.385,0.0,3.59,2.71,0.32,0.24,76.44000000000001,34008,32760,0.01,0.02,19,0.02,0.01,89,0.03,0.02,47
6.83,0.6,2024-11-13 20:49:10.485,0.1,3.76,3.07,0.33,0.27,84.66,33592,33384,0.01,0.01,68,0.02,0.01,51,0.03,0.02,60
4.63,0.32,2024-11-13 20:49:10.585,0.2,2.65,1.99,0.18,0.14,42.29999999999997,33592,32968,0.0,0.0,72,0.0,0.0,50,0.01,0.0,65
5.03,0.38,2024-11-13 20:49:10.685,0.3,2.84,2.19,0.21,0.16,42.87000000000001,33488,33072,0.0,0.0,67,0.01,0.0,61,0.01,0.0,65
6.71,0.61,2024-11-13 20:49:10.786,0.401,3.7,3.01,0.34,0.27,58.61000000000004,33072,33176,0.0,0.0,55,0.02,0.0,74,0.02,0.01,64
6.44,0.56,2024-11-13 20:49:10.885,0.5,3.58,2.86,0.31,0.25,51.75000000000001,33592,33696,0.0,0.0,61,0.01,0.0,66,0.01,0.0,64
6.42,0.54,2024-11-13 20:49:10.994,0.609,3.58,2.85,0.3,0.24,62.75000000000001,33072,33280,0.0,0.0,55,0.02,0.0,77,0.02,0.01,65
8.08,0.79,2024-11-13 20:49:11.085,0.7,4.42,3.66,0.42,0.37,89.17000000000002,32864,34008,0.01,0.01,19,0.02,0.01,92,0.03,0.01,56
5.15,0.38,2024-11-13 20:49:11.186,0.801,2.92,2.23,0.22,0.17,37.769999999999996,32552,34216,0.0,0.0,70,0.0,0.0,61,0.01,0.0,67
4.58,0.33,2024-11-13 20:49:11.285,0.9,2.64,1.93,0.2,0.12,45.28000000000002,32344,33592,0.0,0.0,66,0.01,0.0,63,0.01,0.0,64
4.79,0.33,2024-11-13 20:49:11.385,1.0,2.75,2.04,0.19,0.14,45.47,32136,33592,0.0,0.0,62,0.0,0.0,64,0.01,0.0,63
