time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2024-11-15 00:23:33.126165
",convexHull,100.47,0.29130859375,96.0,0.30%,0.0,0.0,0.000164031982421875,0.0
"2024-11-15 00:23:33.126165
",convexHull,100.07,0.1814453125,96.0,0.19%,0.0,0.0,0.0,0.0
"2024-11-15 00:23:35.783212
",convexHull,99.46,0.35703125,96.0,0.37%,0.0,0.0,0.000164031982421875,0.0
"2024-11-15 00:23:35.783212
",convexHull,99.82,0.35595703125,96.0,0.37%,0.0,0.0,0.0,0.0
"2024-11-15 00:23:37.797440
",convexHull,100.21,0.40283203125,96.0,0.42%,0.0,0.0,0.000164031982421875,0.0
"2024-11-15 00:23:37.797440
",convexHull,100.04,0.40166015625,96.0,0.42%,0.0,0.0,0.0,0.0
"2024-11-15 00:23:39.812326
",convexHull,96.50,0.09134765625,96.0,0.10%,0.0,0.0,0.00017547607421875,0.01806640625
"2024-11-15 00:23:39.812326
",convexHull,95.64,0.083544921875,96.0,0.09%,0.0,0.0,0.0,0.01806640625
"2024-11-15 00:23:41.826654
",convexHull,100.06,0.295703125,96.0,0.31%,0.0,0.0,0.00017547607421875,0.01806640625
"2024-11-15 00:23:41.826654
",convexHull,100.11,0.2947265625,96.0,0.31%,0.0,0.0,0.0,0.01806640625
"2024-11-15 00:23:43.842622
",convexHull,100.18,0.31083984375,96.0,0.32%,0.0,0.0,0.00017547607421875,0.01806640625
"2024-11-15 00:23:43.842622
",convexHull,100.23,0.30732421875,96.0,0.32%,0.0,0.0,0.0,0.01806640625
"2024-11-15 00:23:45.855387
",convexHull,99.78,0.2009765625,96.0,0.21%,0.0,0.0,0.00018405914306640625,0.03076171875
"2024-11-15 00:23:45.855387
",convexHull,99.79,0.15390625,96.0,0.16%,0.0,0.0,0.0,0.03076171875
"2024-11-15 00:23:47.869681
",convexHull,99.93,0.36767578125,96.0,0.38%,0.0,0.0,0.00018405914306640625,0.03076171875
"2024-11-15 00:23:47.869681
",convexHull,99.68,0.35810546875,96.0,0.37%,0.0,0.0,0.0,0.03076171875
"2024-11-15 00:23:49.883058
",convexHull,99.14,0.41748046875,96.0,0.43%,0.0,0.0,0.000308990478515625,0.03076171875
"2024-11-15 00:23:49.883058
",convexHull,98.99,0.4078125,96.0,0.42%,0.0,0.0,0.0,0.03076171875
"2024-11-15 00:23:51.897936
",convexHull,100.00,0.41162109375,96.0,0.43%,0.0,0.0,0.000308990478515625,0.03076171875
"2024-11-15 00:23:51.897936
",convexHull,100.02,0.411328125,96.0,0.43%,0.0,0.0,0.0,0.03076171875
"2024-11-15 00:23:53.913569
",convexHull,100.03,0.41943359375,96.0,0.44%,0.0,0.0,0.000308990478515625,0.03076171875
"2024-11-15 00:23:53.913569
",convexHull,100.04,0.41259765625,96.0,0.43%,0.0,0.0,0.0,0.03076171875
"2024-11-15 00:23:55.927808
",convexHull,95.19,0.029873046875,96.0,0.03%,0.0,0.0,0.000308990478515625,0.05849609375
"2024-11-15 00:23:55.927808
",convexHull,94.80,0.093056640625,96.0,0.10%,0.0,0.0,0.0,0.05849609375
"2024-11-15 00:23:57.941724
",convexHull,4785.99,18.49,96.0,19.26%,0.0,0.0,0.00032806396484375,0.05849609375
"2024-11-15 00:23:57.941724
",convexHull,4801.10,13.79,96.0,14.37%,0.0,0.0,0.0,0.05849609375
"2024-11-15 00:23:59.952920
",convexHull,27.75,34.95,96.0,36.40%,0.0,0.0,0.484375,0.05849609375
"2024-11-15 00:23:59.952920
",convexHull,3343.23,34.58,96.0,36.02%,0.0,0.0,0.041796875,0.05849609375
"2024-11-15 00:24:03.280019
",convexHull,25.78,35.24,96.0,36.71%,0.0,0.0,0.8330078125,0.05849609375
"2024-11-15 00:24:03.280019
",convexHull,25.39,35.01,96.0,36.47%,0.0,0.0,0.5537109375,0.05849609375
"2024-11-15 00:24:05.295094
",convexHull,27.07,35.5,96.0,36.98%,0.0,0.0,1.17,0.05849609375
"2024-11-15 00:24:05.295094
",convexHull,27.97,35.28,96.0,36.75%,0.0,0.0,0.8740234375,0.05849609375
"2024-11-15 00:24:07.305921
",convexHull,30.96,35.84,96.0,37.33%,0.0,0.0,1.58,0.05849609375
"2024-11-15 00:24:07.305921
",convexHull,30.86,35.55,96.0,37.04%,0.0,0.0,1.22,0.05849609375
"2024-11-15 00:24:09.319726
",convexHull,29.31,36.14,96.0,37.64%,0.0,0.0,1.94,0.05849609375
"2024-11-15 00:24:09.319726
",convexHull,30.26,35.83,96.0,37.33%,0.0,0.0,1.56,0.05849609375
"2024-11-15 00:24:11.334967
",convexHull,26.31,36.41,96.0,37.92%,0.0,0.0,2.26,0.05849609375
"2024-11-15 00:24:11.334967
",convexHull,26.77,36.08,96.0,37.58%,0.0,0.0,1.86,0.05849609375
"2024-11-15 00:24:13.348328
",convexHull,26.70,36.65,96.0,38.18%,0.0,0.0,2.56,0.05849609375
"2024-11-15 00:24:13.348328
",convexHull,27.78,36.34,96.0,37.86%,0.0,0.0,2.18,0.05849609375
"2024-11-15 00:24:15.361496
",convexHull,32.31,36.97,96.0,38.51%,0.0,0.0,2.94,0.05849609375
"2024-11-15 00:24:15.361496
",convexHull,32.30,36.62,96.0,38.15%,0.0,0.0,2.51,0.05849609375
"2024-11-15 00:24:17.372442
",convexHull,30.12,37.27,96.0,38.83%,0.0,0.0,3.32,0.05849609375
"2024-11-15 00:24:17.372442
",convexHull,31.23,36.9,96.0,38.44%,0.0,0.0,2.85,0.05849609375
"2024-11-15 00:24:19.387478
",convexHull,29.94,37.59,96.0,39.16%,0.0,0.0,3.7,0.05849609375
"2024-11-15 00:24:19.387478
",convexHull,30.72,37.18,96.0,38.73%,0.0,0.0,3.19,0.05849609375
"2024-11-15 00:24:21.402274
",convexHull,31.03,37.91,96.0,39.49%,0.0,0.0,4.09,0.05849609375
"2024-11-15 00:24:21.402274
",convexHull,30.62,37.46,96.0,39.02%,0.0,0.0,3.53,0.05849609375
"2024-11-15 00:24:23.413061
",convexHull,28.64,38.23,96.0,39.83%,0.0,0.0,4.48,0.05849609375
"2024-11-15 00:24:23.413061
",convexHull,27.83,37.76,96.0,39.34%,0.0,0.0,3.89,0.05849609375
"2024-11-15 00:24:25.426793
",convexHull,31.73,38.55,96.0,40.16%,0.0,0.0,4.87,0.05849609375
"2024-11-15 00:24:25.426793
",convexHull,32.24,38.04,96.0,39.63%,0.0,0.0,4.23,0.05849609375
"2024-11-15 00:24:27.440504
",convexHull,28.49,38.83,96.0,40.45%,0.0,0.0,5.21,0.05849609375
"2024-11-15 00:24:27.440504
",convexHull,28.73,38.31,96.0,39.91%,0.0,0.0,4.55,0.05849609375
"2024-11-15 00:24:29.454592
",convexHull,32.52,39.1,96.0,40.73%,0.0,0.0,5.53,0.05849609375
"2024-11-15 00:24:29.454592
",convexHull,31.98,38.6,96.0,40.21%,0.0,0.0,4.91,0.05849609375
"2024-11-15 00:24:31.466833
",convexHull,31.67,39.43,96.0,41.07%,0.0,0.0,5.92,0.05849609375
"2024-11-15 00:24:31.466833
",convexHull,32.36,38.91,96.0,40.53%,0.0,0.0,5.28,0.05849609375
"2024-11-15 00:24:33.479728
",convexHull,28.34,39.73,96.0,41.39%,0.0,0.0,6.29,0.05849609375
"2024-11-15 00:24:33.479728
",convexHull,28.82,39.18,96.0,40.81%,0.0,0.0,5.6,0.05849609375
"2024-11-15 00:24:35.491934
",convexHull,28.74,40.02,96.0,41.69%,0.0,0.0,6.64,0.05849609375
"2024-11-15 00:24:35.491934
",convexHull,28.81,39.44,96.0,41.08%,0.0,0.0,5.91,0.05849609375
"2024-11-15 00:24:37.506109
",convexHull,29.05,40.31,96.0,41.99%,0.0,0.0,6.99,0.05849609375
"2024-11-15 00:24:37.506109
",convexHull,29.98,39.71,96.0,41.36%,0.0,0.0,6.24,0.05849609375
"2024-11-15 00:24:39.522570
",convexHull,29.00,40.6,96.0,42.29%,0.0,0.0,7.34,0.05849609375
"2024-11-15 00:24:39.522570
",convexHull,29.74,39.99,96.0,41.65%,0.0,0.0,6.57,0.05849609375
"2024-11-15 00:24:41.534571
",convexHull,30.11,40.9,96.0,42.60%,0.0,0.0,7.71,0.05849609375
"2024-11-15 00:24:41.534571
",convexHull,30.14,40.27,96.0,41.95%,0.0,0.0,6.92,0.05849609375
"2024-11-15 00:24:43.549019
",convexHull,24.80,41.16,96.0,42.88%,0.0,0.0,8.03,0.05849609375
"2024-11-15 00:24:43.549019
",convexHull,24.92,40.54,96.0,42.23%,0.0,0.0,7.25,0.05849609375
"2024-11-15 00:24:45.560139
",convexHull,28.48,41.44,96.0,43.17%,0.0,0.0,8.37,0.05849609375
"2024-11-15 00:24:45.560139
",convexHull,28.78,40.83,96.0,42.53%,0.0,0.0,7.6,0.05849609375
"2024-11-15 00:24:47.574998
",convexHull,27.40,41.73,96.0,43.47%,0.0,0.0,8.72,0.05849609375
"2024-11-15 00:24:47.574998
",convexHull,26.51,41.09,96.0,42.80%,0.0,0.0,7.92,0.05849609375
"2024-11-15 00:24:49.588431
",convexHull,29.94,42.01,96.0,43.76%,0.0,0.0,9.07,0.05849609375
"2024-11-15 00:24:49.588431
",convexHull,29.49,41.37,96.0,43.10%,0.0,0.0,8.27,0.05849609375
"2024-11-15 00:24:51.602397
",convexHull,30.57,42.28,96.0,44.04%,0.0,0.0,9.4,0.05849609375
"2024-11-15 00:24:51.602397
",convexHull,29.33,41.66,96.0,43.40%,0.0,0.0,8.62,0.05849609375
"2024-11-15 00:24:53.615293
",convexHull,27.81,42.57,96.0,44.34%,0.0,0.0,9.75,0.05849609375
"2024-11-15 00:24:53.615293
",convexHull,27.57,41.96,96.0,43.71%,0.0,0.0,8.98,0.05849609375
"2024-11-15 00:24:55.631098
",convexHull,28.15,42.85,96.0,44.63%,0.0,0.0,10.1,0.05849609375
"2024-11-15 00:24:55.631098
",convexHull,28.10,42.25,96.0,44.01%,0.0,0.0,9.34,0.05849609375
"2024-11-15 00:24:57.640697
",convexHull,29.06,43.12,96.0,44.92%,0.0,0.0,10.4,0.05849609375
"2024-11-15 00:24:57.640697
",convexHull,28.92,42.51,96.0,44.28%,0.0,0.0,9.66,0.05849609375
"2024-11-15 00:24:59.656274
",convexHull,29.71,43.4,96.0,45.21%,0.0,0.0,10.8,0.05849609375
"2024-11-15 00:24:59.656274
",convexHull,30.59,42.83,96.0,44.62%,0.0,0.0,10.0,0.05849609375
"2024-11-15 00:25:01.667520
",convexHull,30.68,43.73,96.0,45.56%,0.0,0.0,11.2,0.05849609375
"2024-11-15 00:25:01.667520
",convexHull,30.79,43.12,96.0,44.92%,0.0,0.0,10.4,0.05849609375
"2024-11-15 00:25:03.681987
",convexHull,29.59,44.03,96.0,45.87%,0.0,0.0,11.5,0.05849609375
"2024-11-15 00:25:03.681987
",convexHull,30.08,43.4,96.0,45.21%,0.0,0.0,10.7,0.05849609375
"2024-11-15 00:25:05.694050
",convexHull,29.73,44.33,96.0,46.17%,0.0,0.0,11.9,0.05849609375
"2024-11-15 00:25:05.694050
",convexHull,30.37,43.68,96.0,45.50%,0.0,0.0,11.1,0.05849609375
"2024-11-15 00:25:07.706726
",convexHull,30.66,44.62,96.0,46.48%,0.0,0.0,12.2,0.05849609375
"2024-11-15 00:25:07.706726
",convexHull,31.39,43.99,96.0,45.82%,0.0,0.0,11.4,0.05849609375
"2024-11-15 00:25:09.720173
",convexHull,29.52,44.9,96.0,46.77%,0.0,0.0,12.6,0.05849609375
"2024-11-15 00:25:09.720173
",convexHull,29.93,44.27,96.0,46.12%,0.0,0.0,11.8,0.05849609375
"2024-11-15 00:25:11.734656
",convexHull,25.67,45.19,96.0,47.07%,0.0,0.0,12.9,0.05849609375
"2024-11-15 00:25:11.734656
",convexHull,25.26,44.57,96.0,46.42%,0.0,0.0,12.1,0.05849609375
"2024-11-15 00:25:13.745909
",convexHull,26.60,45.45,96.0,47.35%,0.0,0.0,13.2,0.05849609375
"2024-11-15 00:25:13.745909
",convexHull,26.22,44.83,96.0,46.70%,0.0,0.0,12.5,0.05849609375
"2024-11-15 00:25:15.758710
",convexHull,26.51,45.72,96.0,47.63%,0.0,0.0,13.6,0.05849609375
"2024-11-15 00:25:15.758710
",convexHull,25.78,45.09,96.0,46.97%,0.0,0.0,12.8,0.05849609375
"2024-11-15 00:25:17.770764
",convexHull,32.28,46.03,96.0,47.95%,0.0,0.0,13.9,0.05849609375
"2024-11-15 00:25:17.770764
",convexHull,31.58,45.39,96.0,47.28%,0.0,0.0,13.1,0.05849609375
"2024-11-15 00:25:19.787108
",convexHull,31.50,46.31,96.0,48.24%,0.0,0.0,14.3,0.05849609375
"2024-11-15 00:25:19.787108
",convexHull,31.50,45.72,96.0,47.62%,0.0,0.0,13.5,0.05849609375
"2024-11-15 00:25:21.797897
",convexHull,32.91,46.62,96.0,48.57%,0.0,0.0,14.7,0.05849609375
"2024-11-15 00:25:21.797897
",convexHull,31.75,46.02,96.0,47.94%,0.0,0.0,13.9,0.05849609375
"2024-11-15 00:25:23.810664
",convexHull,33.14,46.94,96.0,48.89%,0.0,0.0,15.0,0.05849609375
