Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
7.27,0.65,2024-11-15 00:23:14.742,0.0,3.98,3.28,0.34,0.31,62.550000000000026,33800,34008,0.0,0.01,30,0.01,0.0,83,0.02,0.01,51
8.68,0.86,2024-11-15 00:23:14.842,0.1,4.67,4.01,0.46,0.41,100.77000000000001,32344,34944,0.01,0.02,16,0.03,0.01,89,0.03,0.02,45
4.65,0.34,2024-11-15 00:23:14.941,0.199,2.63,2.02,0.19,0.15,42.26999999999999,32968,34112,0.0,0.0,51,0.01,0.0,70,0.01,0.0,58
5.1,0.39,2024-11-15 00:23:15.042,0.3,2.84,2.26,0.21,0.17,43.010000000000005,32344,33904,0.0,0.0,57,0.0,0.0,63,0.01,0.0,59
5.58,0.45,2024-11-15 00:23:15.142,0.4,3.1,2.48,0.25,0.21,51.9,32032,34008,0.0,0.0,53,0.01,0.0,74,0.01,0.0,63
6.58,0.58,2024-11-15 00:23:15.242,0.5,3.61,2.96,0.32,0.26,60.25999999999999,32136,33904,0.0,0.0,41,0.02,0.0,79,0.02,0.01,61
6.22,0.53,2024-11-15 00:23:15.351,0.609,3.42,2.8,0.3,0.23,56.910000000000004,32032,34008,0.0,0.0,49,0.02,0.0,79,0.02,0.01,60
7.42,0.71,2024-11-15 00:23:15.443,0.701,4.04,3.38,0.38,0.34,83.5,32760,33696,0.01,0.01,11,0.02,0.01,95,0.03,0.02,54
4.58,0.28,2024-11-15 00:23:15.543,0.801,2.58,2.0,0.16,0.13,36.139999999999986,32448,33384,0.0,0.0,62,0.01,0.0,64,0.01,0.0,63
4.7,0.36,2024-11-15 00:23:15.643,0.901,2.62,2.07,0.21,0.15,49.080000000000005,32552,33384,0.0,0.0,69,0.0,0.0,64,0.01,0.0,67
4.65,0.31,2024-11-15 00:23:15.744,1.002,2.62,2.03,0.17,0.14,44.49,33072,33800,0.0,0.0,62,0.01,0.0,66,0.01,0.0,64
4.89,0.38,2024-11-15 00:23:15.843,1.101,2.72,2.17,0.21,0.17,46.39999999999998,32656,33072,0.0,0.0,58,0.01,0.0,74,0.01,0.0,65
5.15,0.4,2024-11-15 00:23:15.944,1.202,2.87,2.28,0.22,0.18,57.569999999999986,33488,33488,0.0,0.0,54,0.01,0.0,78,0.01,0.0,65
6.16,0.55,2024-11-15 00:23:16.044,1.302,3.37,2.79,0.3,0.26,71.9,33280,33384,0.0,0.0,21,0.02,0.01,95,0.02,0.01,66
6.99,0.64,2024-11-15 00:23:16.145,1.403,3.84,3.14,0.34,0.3,59.25999999999999,33488,33592,0.0,0.0,43,0.02,0.0,86,0.02,0.01,71
6.26,0.56,2024-11-15 00:23:16.253,1.511,3.44,2.82,0.31,0.25,48.12,33072,34008,0.0,0.0,55,0.01,0.0,79,0.02,0.0,72
5.09,0.4,2024-11-15 00:23:16.345,1.603,2.83,2.26,0.23,0.17,45.73,32032,33280,0.0,0.0,70,0.01,0.0,73,0.01,0.0,71
4.51,0.35,2024-11-15 00:23:16.445,1.703,2.51,2.0,0.2,0.15,44.02999999999999,32240,33280,0.0,0.0,69,0.0,0.0,66,0.01,0.0,67
4.6,0.37,2024-11-15 00:23:16.546,1.804,2.6,2.0,0.22,0.15,35.92,32344,33384,0.0,0.0,65,0.0,0.0,63,0.01,0.0,64
5.47,0.44,2024-11-15 00:23:16.645,1.903,3.01,2.46,0.24,0.2,55.62999999999997,32864,33800,0.0,0.0,56,0.02,0.0,83,0.02,0.0,71
6.99,0.64,2024-11-15 00:23:16.746,2.004,3.82,3.17,0.33,0.3,84.93,32240,36088,0.0,0.0,25,0.02,0.01,95,0.02,0.01,74
4.64,0.34,2024-11-15 00:23:16.846,2.104,2.61,2.03,0.2,0.14,43.53000000000001,32656,36608,0.0,0.0,58,0.01,0.0,81,0.01,0.0,71
5.21,0.42,2024-11-15 00:23:16.946,2.204,2.9,2.31,0.22,0.19,42.53999999999999,33384,36608,0.0,0.0,80,0.01,0.0,72,0.01,0.0,77
4.55,0.36,2024-11-15 00:23:17.055,2.313,2.54,2.01,0.21,0.15,32.14000000000002,32968,36920,0.0,0.0,66,0.0,0.0,67,0.01,0.0,67
7.31,0.69,2024-11-15 00:23:17.147,2.405,4.02,3.29,0.36,0.32,51.49,31928,36296,0.0,0.0,68,0.01,0.0,82,0.02,0.0,75
7.01,0.63,2024-11-15 00:23:17.248,2.506,3.82,3.19,0.33,0.3,70.16999999999999,32656,36296,0.0,0.0,74,0.02,0.0,69,0.03,0.01,71
6.73,0.63,2024-11-15 00:23:17.347,2.605,3.7,3.03,0.34,0.29,92.31999999999998,32032,35880,0.0,0.0,42,0.02,0.01,92,0.02,0.01,75
4.69,0.37,2024-11-15 00:23:17.447,2.705,2.62,2.07,0.21,0.16,39.529999999999994,32032,34528,0.0,0.0,64,0.01,0.0,75,0.01,0.0,69
4.66,0.36,2024-11-15 00:23:17.552,2.81,2.61,2.06,0.21,0.15,40.620000000000005,31824,34112,0.0,0.0,66,0.01,0.0,69,0.01,0.0,67
4.67,0.28,2024-11-15 00:23:17.648,2.906,2.63,2.04,0.16,0.12,44.89000000000001,32136,34736,0.0,0.0,75,0.01,0.0,76,0.01,0.0,75
4.47,0.32,2024-11-15 00:23:17.748,3.006,2.51,1.96,0.19,0.14,32.93000000000001,32760,34528,0.0,0.0,69,0.01,0.0,72,0.01,0.0,71
5.16,0.38,2024-11-15 00:23:17.849,3.107,2.87,2.29,0.21,0.17,47.839999999999996,32968,35464,0.0,0.0,49,0.01,0.0,91,0.01,0.0,78
6.42,0.58,2024-11-15 00:23:17.957,3.215,3.51,2.91,0.3,0.28,69.63999999999999,32344,36504,0.0,0.0,27,0.02,0.01,92,0.02,0.01,75
5.97,0.51,2024-11-15 00:23:18.049,3.307,3.3,2.67,0.28,0.23,48.019999999999996,32760,36504,0.0,0.0,69,0.01,0.0,80,0.01,0.01,75
6.91,0.62,2024-11-15 00:23:18.149,3.407,3.78,3.13,0.33,0.29,53.46000000000002,32656,35672,0.0,0.0,63,0.01,0.0,81,0.02,0.0,75
6.11,0.49,2024-11-15 00:23:18.250,3.508,3.34,2.77,0.26,0.23,74.27,32240,35880,0.0,0.0,62,0.02,0.0,82,0.02,0.01,75
4.7,0.37,2024-11-15 00:23:18.350,3.608,2.66,2.04,0.22,0.15,41.910000000000004,33072,35672,0.0,0.0,67,0.01,0.0,62,0.01,0.0,64
4.48,0.29,2024-11-15 00:23:18.449,3.707,2.5,1.98,0.17,0.12,42.569999999999986,32864,35984,0.0,0.0,70,0.0,0.0,71,0.01,0.0,70
5.28,0.43,2024-11-15 00:23:18.550,3.808,2.92,2.35,0.24,0.19,53.600000000000016,32240,36192,0.0,0.0,59,0.01,0.0,83,0.01,0.0,73
7.93,0.74,2024-11-15 00:23:18.650,3.908,4.31,3.62,0.38,0.36,83.13000000000004,33072,36608,0.0,0.0,25,0.01,0.01,96,0.02,0.01,78
7.12,0.63,2024-11-15 00:23:18.759,4.017,3.92,3.19,0.33,0.3,44.94999999999998,33072,36608,0.0,0.0,66,0.0,0.0,72,0.01,0.0,69
5.24,0.43,2024-11-15 00:23:18.851,4.109,2.92,2.33,0.23,0.2,38.32999999999998,32760,36296,0.0,0.0,68,0.01,0.0,80,0.01,0.0,75
4.64,0.34,2024-11-15 00:23:18.951,4.209,2.59,2.05,0.19,0.15,34.15000000000003,32760,36400,0.0,0.0,68,0.01,0.0,70,0.01,0.0,69
4.69,0.36,2024-11-15 00:23:19.052,4.31,2.63,2.06,0.21,0.15,42.22000000000001,32864,36296,0.0,0.0,64,0.0,0.0,64,0.01,0.0,64
8.92,0.86,2024-11-15 00:23:19.151,4.409,4.87,4.05,0.45,0.42,105.82000000000001,32552,36088,0.0,0.0,46,0.03,0.0,87,0.03,0.01,76
