time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2024-11-14 01:23:43.686059
",nBody,99.97,0.2880859375,96.0,0.30%,0.0,0.0,0.0,0.0
"2024-11-14 01:23:43.686059
",convexHull,99.87,0.1771484375,96.0,0.18%,0.0,0.0,7.810592651367187e-06,0.0
"2024-11-14 01:23:46.342664
",nBody,99.65,0.359765625,96.0,0.37%,0.0,0.0,0.0,0.0
"2024-11-14 01:23:46.342664
",convexHull,99.67,0.3548828125,96.0,0.37%,0.0,0.0,7.810592651367187e-06,0.0
"2024-11-14 01:23:48.357206
",nBody,99.70,0.40390625,96.0,0.42%,0.0,0.0,0.0,0.0
"2024-11-14 01:23:48.357206
",convexHull,99.77,0.40107421875,96.0,0.42%,0.0,0.0,7.810592651367187e-06,0.0
"2024-11-14 01:23:50.372054
",nBody,95.68,0.39033203125,96.0,0.41%,0.0,0.0,0.0,0.019140625
"2024-11-14 01:23:50.372054
",convexHull,95.97,0.086650390625,96.0,0.09%,0.0,0.0,1.56402587890625e-05,0.01806640625
"2024-11-14 01:23:52.387675
",nBody,100.18,0.24853515625,96.0,0.26%,0.0,0.0,0.0,0.019140625
"2024-11-14 01:23:52.387675
",convexHull,100.26,0.29462890625,96.0,0.31%,0.0,0.0,1.56402587890625e-05,0.01806640625
"2024-11-14 01:23:54.399644
",nBody,99.81,0.47744140625,96.0,0.50%,0.0,0.0,0.0,0.019140625
"2024-11-14 01:23:54.399644
",convexHull,99.84,0.30810546875,96.0,0.32%,0.0,0.0,1.56402587890625e-05,0.01806640625
"2024-11-14 01:23:56.413433
",nBody,99.98,0.47177734375,96.0,0.49%,0.0,0.0,0.0,0.019140625
"2024-11-14 01:23:56.413433
",convexHull,100.16,0.1822265625,96.0,0.19%,0.0,0.0,2.346038818359375e-05,0.03076171875
"2024-11-14 01:23:58.430342
",nBody,99.61,0.49990234375,96.0,0.52%,0.0,0.0,0.0,0.019140625
"2024-11-14 01:23:58.430342
",convexHull,99.61,0.3638671875,96.0,0.38%,0.0,0.0,2.346038818359375e-05,0.03076171875
