Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
5.99,0.53,2024-11-14 01:23:25.359,0.0,3.3,2.69,0.29,0.24,69.96000000000002,33592,34320,0.01,0.01,18,0.02,0.0,90,0.03,0.02,44
7.13,0.67,2024-11-14 01:23:25.459,0.1,3.95,3.18,0.37,0.3,81.93999999999998,32968,33904,0.0,0.01,57,0.02,0.0,68,0.02,0.01,61
6.8,0.6,2024-11-14 01:23:25.560,0.201,3.73,3.07,0.32,0.28,45.290000000000006,32552,33904,0.0,0.0,67,0.0,0.0,57,0.01,0.0,64
4.92,0.36,2024-11-14 01:23:25.659,0.3,2.76,2.17,0.19,0.17,45.370000000000005,32448,33592,0.0,0.0,65,0.0,0.0,60,0.01,0.0,63
7.28,0.63,2024-11-14 01:23:25.760,0.401,3.98,3.29,0.33,0.3,72.74,31928,33696,0.01,0.0,75,0.02,0.0,53,0.02,0.01,65
5.27,0.42,2024-11-14 01:23:25.860,0.501,2.95,2.32,0.24,0.18,48.78,32240,33592,0.0,0.0,58,0.01,0.0,71,0.01,0.0,64
6.62,0.54,2024-11-14 01:23:25.970,0.611,3.62,3.0,0.29,0.24,57.03,31720,32864,0.0,0.0,58,0.01,0.0,79,0.02,0.01,66
6.81,0.63,2024-11-14 01:23:26.060,0.701,3.7,3.11,0.34,0.3,85.67000000000003,32136,34112,0.01,0.01,20,0.02,0.0,92,0.02,0.01,59
5.83,0.5,2024-11-14 01:23:26.161,0.802,3.27,2.56,0.27,0.22,36.699999999999996,31720,33488,0.0,0.0,68,0.0,0.0,61,0.01,0.0,66
4.81,0.33,2024-11-14 01:23:26.261,0.902,2.65,2.16,0.18,0.15,43.54,32136,33488,0.0,0.0,63,0.0,0.0,66,0.01,0.0,64
