time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2024-11-14 01:17:09.591977
",convexHull,99.15,0.28916015625,96.0,0.30%,0.0,0.0,7.810592651367187e-06,0.0
"2024-11-14 01:17:09.591977
",nearestNeighbors,99.93,0.17373046875,96.0,0.18%,0.0,0.0,0.0,0.0
"2024-11-14 01:17:12.248178
",convexHull,99.90,0.3556640625,96.0,0.37%,0.0,0.0,7.810592651367187e-06,0.0
"2024-11-14 01:17:12.248178
",nearestNeighbors,99.83,0.40126953125,96.0,0.42%,0.0,0.0,0.0,0.0
"2024-11-14 01:17:14.261920
",convexHull,99.22,0.4005859375,96.0,0.42%,0.0,0.0,7.810592651367187e-06,0.0
"2024-11-14 01:17:14.261920
",nearestNeighbors,99.24,0.6302734375,96.0,0.66%,0.0,0.0,0.0,0.0
"2024-11-14 01:17:16.275841
",convexHull,95.63,0.045078125,96.0,0.05%,0.0,0.0,1.56402587890625e-05,0.01796875
"2024-11-14 01:17:16.275841
",nearestNeighbors,99.11,0.678515625,96.0,0.71%,0.0,0.0,0.0,0.0
"2024-11-14 01:17:18.289185
",convexHull,100.06,0.29091796875,96.0,0.30%,0.0,0.0,1.56402587890625e-05,0.01796875
"2024-11-14 01:17:18.289185
",nearestNeighbors,99.84,0.7267578125,96.0,0.76%,0.0,0.0,0.0,0.0
"2024-11-14 01:17:20.303377
",convexHull,98.99,0.30009765625,96.0,0.31%,0.0,0.0,1.56402587890625e-05,0.01796875
"2024-11-14 01:17:20.303377
",nearestNeighbors,99.57,0.7673828125,96.0,0.80%,0.0,0.0,0.0,0.0
"2024-11-14 01:17:22.318249
",convexHull,97.55,0.08927734375,96.0,0.09%,0.0,0.0,2.346038818359375e-05,0.0306640625
"2024-11-14 01:17:22.318249
",nearestNeighbors,100.18,0.79921875,96.0,0.83%,0.0,0.0,0.0,0.0
"2024-11-14 01:17:24.332042
",convexHull,99.78,0.29638671875,96.0,0.31%,0.0,0.0,2.346038818359375e-05,0.0306640625
"2024-11-14 01:17:24.332042
",nearestNeighbors,99.81,0.83798828125,96.0,0.87%,0.0,0.0,0.0,0.0
"2024-11-14 01:17:26.349491
",convexHull,100.07,0.3955078125,96.0,0.41%,0.0,0.0,2.346038818359375e-05,0.0306640625
"2024-11-14 01:17:26.349491
",nearestNeighbors,99.74,0.87265625,96.0,0.91%,0.0,0.0,0.0,0.0
"2024-11-14 01:17:28.361311
",convexHull,100.05,0.4103515625,96.0,0.43%,0.0,0.0,2.346038818359375e-05,0.0306640625
"2024-11-14 01:17:28.361311
",nearestNeighbors,100.03,0.92060546875,96.0,0.96%,0.0,0.0,0.0,0.0
"2024-11-14 01:17:30.375626
",convexHull,99.55,0.41142578125,96.0,0.43%,0.0,0.0,2.346038818359375e-05,0.0306640625
"2024-11-14 01:17:30.375626
",nearestNeighbors,99.51,0.97529296875,96.0,1.02%,0.0,0.0,0.0,0.0
"2024-11-14 01:17:32.390611
",convexHull,100.23,0.45087890625,96.0,0.47%,0.0,0.0,2.346038818359375e-05,0.0306640625
"2024-11-14 01:17:32.390611
",nearestNeighbors,100.29,1.044,96.0,1.09%,0.0,0.0,0.0,0.0
"2024-11-14 01:17:34.403611
",convexHull,3513.15,8.796,96.0,9.16%,0.0,0.0,3.1280517578125e-05,0.0564453125
"2024-11-14 01:17:34.403611
",nearestNeighbors,99.29,1.039,96.0,1.08%,0.0,0.0,0.0,0.0
"2024-11-14 01:17:36.416560
",convexHull,4785.69,29.67,96.0,30.91%,0.0,0.0,3.1280517578125e-05,0.0564453125
"2024-11-14 01:17:36.416560
",nearestNeighbors,99.74,1.041,96.0,1.08%,0.0,0.0,0.0,0.0
"2024-11-14 01:17:38.425346
",convexHull,48.40,34.54,96.0,35.98%,0.0,0.0,0.78515625,0.0564453125
"2024-11-14 01:17:38.425346
",nearestNeighbors,99.98,1.043,96.0,1.09%,0.0,0.0,0.0,0.0
"2024-11-14 01:17:40.443083
",convexHull,33.76,34.54,96.0,35.98%,0.0,0.0,1.7,0.0564453125
"2024-11-14 01:17:40.443083
",nearestNeighbors,99.34,0.20205078125,96.0,0.21%,0.0,0.0,0.0,0.0775390625
"2024-11-14 01:17:42.456071
",convexHull,21.97,34.54,96.0,35.98%,0.0,0.0,2.48,0.0564453125
"2024-11-14 01:17:42.456071
",nearestNeighbors,88.72,0.04572265625,96.0,0.05%,0.0,0.0,0.0,0.1181640625
"2024-11-14 01:17:44.468848
",convexHull,23.45,34.54,96.0,35.98%,0.0,0.0,3.18,0.0564453125
"2024-11-14 01:17:44.468848
",nearestNeighbors,100.19,0.29287109375,96.0,0.31%,0.0,0.0,0.0,0.1181640625
"2024-11-14 01:17:46.481546
",convexHull,23.65,34.54,96.0,35.98%,0.0,0.0,3.9,0.0564453125
"2024-11-14 01:17:46.481546
",nearestNeighbors,99.96,0.362890625,96.0,0.38%,0.0,0.0,0.0,0.1181640625
"2024-11-14 01:17:48.491729
",convexHull,30.71,34.54,96.0,35.98%,0.0,0.0,4.74,0.0564453125
"2024-11-14 01:17:48.491729
",nearestNeighbors,99.86,0.408984375,96.0,0.43%,0.0,0.0,0.0,0.1181640625
"2024-11-14 01:17:50.502454
",convexHull,46.46,34.54,96.0,35.98%,0.0,0.0,5.74,0.0564453125
"2024-11-14 01:17:50.502454
",nearestNeighbors,94.15,0.03853515625,96.0,0.04%,0.0,0.0,0.0,0.1376953125
"2024-11-14 01:17:52.515500
",convexHull,29.95,34.54,96.0,35.98%,0.0,0.0,6.66,0.0564453125
"2024-11-14 01:17:52.515500
",nearestNeighbors,2116.89,5.202,96.0,5.42%,0.0,0.0,0.0,0.1376953125
"2024-11-14 01:17:54.527469
",convexHull,26.71,34.54,96.0,35.98%,0.0,0.0,7.35,0.0564453125
"2024-11-14 01:17:54.527469
",nearestNeighbors,4795.11,19.56,96.0,20.37%,0.0,0.0,0.0,0.1376953125
"2024-11-14 01:17:56.538435
",convexHull,26.22,34.54,96.0,35.98%,0.0,0.0,8.02,0.0564453125
"2024-11-14 01:17:56.538435
",nearestNeighbors,4784.43,40.64,96.0,42.33%,0.0,0.0,0.0,0.1376953125
"2024-11-14 01:17:58.545577
",convexHull,30.71,34.54,96.0,35.98%,0.0,0.0,8.72,0.0564453125
"2024-11-14 01:17:58.545577
",nearestNeighbors,3999.71,52.35,96.0,54.53%,0.0,0.0,0.0,0.1376953125
"2024-11-14 01:18:00.559407
",convexHull,45.48,34.54,96.0,35.98%,0.0,0.0,9.73,0.0564453125
"2024-11-14 01:18:00.559407
",nearestNeighbors,4795.04,52.35,96.0,54.54%,0.0,0.0,0.0,0.1376953125
"2024-11-14 01:18:02.568630
",convexHull,47.87,34.54,96.0,35.98%,0.0,0.0,10.7,0.0564453125
"2024-11-14 01:18:02.568630
",nearestNeighbors,4779.70,52.36,96.0,54.54%,0.0,0.0,0.0,0.1376953125
"2024-11-14 01:18:04.579975
",convexHull,32.16,34.54,96.0,35.98%,0.0,0.0,11.3,0.0564453125
"2024-11-14 01:18:04.579975
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,0.0,0.1376953125
"2024-11-14 01:18:06.596652
",convexHull,34.13,34.54,96.0,35.98%,0.0,0.0,12.0,0.0564453125
"2024-11-14 01:18:06.596652
",nearestNeighbors,0.00,52.35,96.0,54.54%,0.0,0.0,0.0,0.1376953125
"2024-11-14 01:18:08.609471
",convexHull,33.11,34.54,96.0,35.98%,0.0,0.0,12.6,0.0564453125
"2024-11-14 01:18:08.609471
",nearestNeighbors,0.00,52.35,96.0,54.53%,0.0,0.0,0.0,0.1376953125
"2024-11-14 01:18:10.622701
",convexHull,47.31,34.54,96.0,35.98%,0.0,0.0,13.5,0.0564453125
"2024-11-14 01:18:10.622701
",nearestNeighbors,0.00,52.35,96.0,54.53%,0.0,0.0,0.0,0.1376953125
"2024-11-14 01:18:12.636940
",convexHull,50.15,34.54,96.0,35.98%,0.0,0.0,14.5,0.0564453125
"2024-11-14 01:18:12.636940
",nearestNeighbors,0.00,52.35,96.0,54.53%,0.0,0.0,0.0,0.1376953125
"2024-11-14 01:18:14.649665
",convexHull,35.91,34.54,96.0,35.98%,0.0,0.0,15.3,0.0564453125
"2024-11-14 01:18:14.649665
",nearestNeighbors,0.00,52.35,96.0,54.53%,0.0,0.0,0.0,0.1376953125
"2024-11-14 01:18:16.663013
",convexHull,35.73,34.54,96.0,35.98%,0.0,0.0,15.9,0.0564453125
"2024-11-14 01:18:16.663013
",nearestNeighbors,0.00,52.35,96.0,54.53%,0.0,0.0,0.0,0.1376953125
"2024-11-14 01:18:18.675116
",convexHull,35.75,34.54,96.0,35.98%,0.0,0.0,16.6,0.0564453125
"2024-11-14 01:18:18.675116
",nearestNeighbors,0.00,52.35,96.0,54.53%,0.0,0.0,0.0,0.1376953125
"2024-11-14 01:18:20.688899
",convexHull,35.16,34.54,96.0,35.98%,0.0,0.0,17.2,0.0564453125
"2024-11-14 01:18:20.688899
",nearestNeighbors,0.00,52.35,96.0,54.53%,0.0,0.0,0.0,0.1376953125
