Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
5.71,0.49,2024-11-14 01:16:51.242,0.0,3.18,2.53,0.27,0.22,126.91999999999999,33488,32864,0.01,0.01,44,0.02,0.0,76,0.02,0.01,55
8.22,0.8,2024-11-14 01:16:51.342,0.1,4.5,3.72,0.43,0.38,113.09999999999998,33488,35568,0.01,0.02,27,0.03,0.01,83,0.04,0.03,48
5.48,0.45,2024-11-14 01:16:51.442,0.2,3.07,2.41,0.24,0.2,56.349999999999994,33384,34840,0.0,0.0,65,0.0,0.0,60,0.01,0.0,63
5.19,0.41,2024-11-14 01:16:51.543,0.301,2.91,2.28,0.23,0.18,57.61999999999999,33176,34632,0.0,0.0,66,0.01,0.0,59,0.01,0.0,63
6.87,0.63,2024-11-14 01:16:51.643,0.401,3.77,3.1,0.34,0.29,70.69000000000001,32344,35048,0.0,0.0,52,0.02,0.0,76,0.02,0.01,64
5.67,0.48,2024-11-14 01:16:51.742,0.5,3.17,2.5,0.26,0.22,53.78000000000001,33384,34944,0.0,0.0,56,0.01,0.0,72,0.01,0.0,64
6.57,0.57,2024-11-14 01:16:51.852,0.61,3.6,2.98,0.31,0.26,62.77,33072,33488,0.0,0.0,52,0.02,0.0,77,0.02,0.01,63
6.39,0.56,2024-11-14 01:16:51.943,0.701,3.52,2.87,0.3,0.26,88.14999999999998,33280,34216,0.01,0.01,19,0.02,0.01,91,0.03,0.01,59
4.96,0.38,2024-11-14 01:16:52.044,0.802,2.79,2.17,0.21,0.16,46.290000000000006,32968,33280,0.0,0.0,70,0.0,0.0,60,0.01,0.0,67
4.92,0.37,2024-11-14 01:16:52.144,0.902,2.75,2.16,0.21,0.16,55.35999999999999,33072,33384,0.0,0.0,74,0.01,0.0,55,0.01,0.0,66
5.14,0.39,2024-11-14 01:16:52.244,1.002,2.89,2.25,0.21,0.17,52.899999999999984,32552,33280,0.0,0.0,74,0.01,0.0,55,0.01,0.0,68
5.21,0.38,2024-11-14 01:16:52.345,1.103,2.91,2.31,0.21,0.18,49.730000000000004,32240,32760,0.0,0.0,75,0.01,0.0,53,0.01,0.0,67
5.54,0.44,2024-11-14 01:16:52.444,1.202,3.07,2.46,0.24,0.2,59.330000000000005,33072,31824,0.0,0.0,67,0.01,0.0,70,0.01,0.0,69
8.1,0.76,2024-11-14 01:16:52.545,1.303,4.42,3.69,0.4,0.36,86.58000000000004,32968,34320,0.01,0.0,56,0.02,0.0,87,0.02,0.01,72
7.34,0.67,2024-11-14 01:16:52.645,1.403,4.02,3.32,0.35,0.32,62.28000000000002,33072,33488,0.0,0.0,61,0.02,0.0,78,0.02,0.0,72
5.68,0.45,2024-11-14 01:16:52.754,1.512,3.15,2.53,0.25,0.21,39.45000000000001,33280,33072,0.0,0.0,64,0.01,0.0,70,0.01,0.0,68
5.27,0.42,2024-11-14 01:16:52.845,1.603,2.96,2.31,0.22,0.2,44.379999999999995,32136,32760,0.0,0.0,71,0.01,0.0,71,0.01,0.0,71
5.57,0.47,2024-11-14 01:16:52.946,1.704,3.11,2.47,0.25,0.21,52.83,31928,33280,0.0,0.0,82,0.01,0.0,58,0.01,0.0,73
5.39,0.41,2024-11-14 01:16:53.046,1.804,3.0,2.39,0.22,0.18,48.67,32240,33072,0.0,0.0,68,0.01,0.0,75,0.01,0.0,72
