workload,pgbench-100,pgbench-50,pgbench-10,x265,llama,faiss,spark,removeDuplicates,breadthFirstSearch,minSpanningForest,wordCounts,suffixArray,convexHull,nearestNeighbors,nBody,nothing
pgbench-100,0.004681993428796768,0.004718508779822158,0.0037862809608070693,0.004433623616373038,0.005762613287738077,0.005523048504343478,0.003777825334497981,0.004538515348022381,0.004437060119166172,0.005131938654282861,0.0042330342585446224,0.004560342110669218,0.004666781445677713,0.0055311333302711894,0.0043151966003171244,0.0070754699235242875
pgbench-50,0.005232771107807142,0.005061542853630914,0.0035782545075365396,0.0051693274114521055,0.005366142486027174,0.006179446397341175,0.0035554589688882076,0.00458481257730191,0.005050792052828494,0.0052316678317010715,0.004099661158484273,0.0047034949556058366,0.005129190467999932,0.004951324912566618,0.004729062734118856,0.006542521497727701
pgbench-10,0.01805565713535654,0.016335666772167256,0.013736502751506615,0.016024823617941997,0.02162415295648346,0.018447566883029124,0.014121304451814877,0.015298049690452885,0.01518842481246006,0.017055454200095948,0.01441776512151321,0.015509090163092647,0.016845438119704084,0.015784600057724838,0.015547914076111322,0.027000551161626734
x265,0.16343621506781006,0.13168546161433095,0.10013579535867738,0.12310828533263175,0.13189374461503653,0.1547316935636151,0.10080928967149183,0.12563022763824414,0.128530292794362,0.13444308353799891,0.11664635638796006,0.12611348537000042,0.13805803732692135,0.13523076422564953,0.12487283334056977,0.20393794162003215
llama,0.10947680478235093,0.12376968903647613,0.09299167868294948,0.1309158397307278,0.1522042844223287,0.106053947530167,0.07971510335669162,0.131515274744243,0.136326225844772,0.13449775977276035,0.11694668845160425,0.14465625378231886,0.12870189182320313,0.13052661728086407,0.15443917050900624,0.1608259728525474
faiss,0.0021171720125174403,0.002248606653043347,0.002332855700913242,0.002338379312614948,0.0018694579987910641,0.002179105172421994,0.002042827800018233,0.0022898567948336818,0.001991441033981006,0.0023057840018986236,0.00227985469091673,0.002161249150780061,0.0021002286595755643,0.0019615899379954657,0.002139018114099759,0.0038325504253947868
spark,0.1846878520383254,0.1651829500882826,0.14927810501360453,0.18656224194383028,0.16809715667434993,0.17463149255713967,0.14191649703385298,0.15014543069035957,0.15560897543366486,0.18645365376875175,0.15470673093992537,0.1596259183550918,0.17287746813014215,0.17475977777902757,0.16612302925306796,0.29282826626208985
removeDuplicates,0.015025851646549925,0.01475685987994663,0.011449819377330502,0.014139967371969122,0.017349865621946993,0.020610315759226925,0.01151609687758073,0.016406472733591616,0.014892583287489575,0.016157863810545084,0.013836459478960882,0.014372764860581151,0.015253017533008457,0.014947488859797933,0.013133755918858934,0.021263953932301637
breadthFirstSearch,0.020489864710955638,0.018925437831899976,0.015636242742072676,0.019040166050602957,0.020204320295794033,0.025360421903501754,0.015922730556000558,0.021545931564871005,0.022205285698330447,0.022129824038878584,0.018094938247007274,0.02130860813134715,0.02116572492816208,0.02044360069340697,0.018205190153517674,0.02938437257751328
minSpanningForest,0.019183022898513466,0.019369936744190637,0.016092679096519236,0.019022543202889305,0.02090972139245098,0.02313317601920789,0.015942783648265416,0.020696545911660008,0.02115156504007434,0.023153184786203953,0.018341505317907,0.019908801168988098,0.020410606914042864,0.020504380366311945,0.019147328295762572,0.030631176955284556
wordCounts,0.007807036236390827,0.007093731505668551,0.005737883169077487,0.007315333124692026,0.007972487588178695,0.009326332574829801,0.005732166554025161,0.007338783956724734,0.007312229911417315,0.007902933001183447,0.007011920731168517,0.007414901033992179,0.008063570824082142,0.007522432786611943,0.007107506106966598,0.010002462410966471
suffixArray,0.10459642160860141,0.09903160547818589,0.08142828569707168,0.0989236191205416,0.1073368185579042,0.13080173896103947,0.08130586881983719,0.10794188998221688,0.10411655288959727,0.1115744577447587,0.09382846901772841,0.10897975592207242,0.10444122732816424,0.10016880410861917,0.09363360043070965,0.14609313713244826
convexHull,0.10475109582178493,0.1008641153461538,0.07467344876427819,0.10048472258724388,0.11280729931902256,0.10341380123582157,0.0741627206835611,0.10241342848782505,0.10889791520569936,0.11215766068008926,0.08551664252912111,0.10168476210524162,0.11651783939632974,0.10547620577207638,0.09326088502635155,0.13402959041542817
nearestNeighbors,0.017063425396916753,0.01733012370940456,0.012419427242046708,0.016970348779386146,0.018485121394951485,0.020920543169333214,0.012412648048321347,0.017442233126572965,0.018049683916553344,0.018910297275860365,0.015580911121255092,0.017811129452804195,0.019792424751843833,0.01933003143998304,0.017167926937290544,0.023015141528265833
nBody,0.08204193395259725,0.06595682219627273,0.04525433095821869,0.06774297017233478,0.06937712024621283,0.08837279875257653,0.04532861561006309,0.05604469939844269,0.058188712008694354,0.06189998725122892,0.05375506500994481,0.055471337048636174,0.07193117562097151,0.06612061365865504,0.06592053928874342,0.07683533710904349
