mode,batch_size,query_start,query_end,query_time
IVF,64,2025-02-15 23:46:15.803570,2025-02-15 23:46:16.624506,0 days 00:00:00.820936
IVF,64,2025-02-15 23:46:16.624599,2025-02-15 23:46:18.484313,0 days 00:00:01.859714
IVF,64,2025-02-15 23:46:18.484377,2025-02-15 23:46:19.799290,0 days 00:00:01.314913
IVF,64,2025-02-15 23:46:19.799380,2025-02-15 23:46:21.340719,0 days 00:00:01.541339
IVF,64,2025-02-15 23:46:21.340800,2025-02-15 23:46:22.473727,0 days 00:00:01.132927
IVF,64,2025-02-15 23:46:22.473823,2025-02-15 23:46:23.456599,0 days 00:00:00.982776
IVF,64,2025-02-15 23:46:23.456647,2025-02-15 23:46:24.505676,0 days 00:00:01.049029
IVF,64,2025-02-15 23:46:24.505751,2025-02-15 23:46:25.448678,0 days 00:00:00.942927
IVF,64,2025-02-15 23:46:25.448727,2025-02-15 23:46:26.678133,0 days 00:00:01.229406
IVF,64,2025-02-15 23:46:26.678213,2025-02-15 23:46:28.388310,0 days 00:00:01.710097
IVF,64,2025-02-15 23:46:28.388410,2025-02-15 23:46:29.326648,0 days 00:00:00.938238
IVF,64,2025-02-15 23:46:29.326699,2025-02-15 23:46:30.247983,0 days 00:00:00.921284
IVF,64,2025-02-15 23:46:30.248033,2025-02-15 23:46:31.451851,0 days 00:00:01.203818
IVF,64,2025-02-15 23:46:31.451929,2025-02-15 23:46:32.537989,0 days 00:00:01.086060
IVF,64,2025-02-15 23:46:32.538065,2025-02-15 23:46:33.585360,0 days 00:00:01.047295
IVF,64,2025-02-15 23:46:33.585433,2025-02-15 23:46:34.540409,0 days 00:00:00.954976
IVF,64,2025-02-15 23:46:34.540485,2025-02-15 23:46:35.460738,0 days 00:00:00.920253
IVF,64,2025-02-15 23:46:35.460792,2025-02-15 23:46:36.415412,0 days 00:00:00.954620
IVF,64,2025-02-15 23:46:36.415461,2025-02-15 23:46:37.433899,0 days 00:00:01.018438
IVF,64,2025-02-15 23:46:37.433947,2025-02-15 23:46:38.381687,0 days 00:00:00.947740
IVF,64,2025-02-15 23:46:38.381735,2025-02-15 23:46:39.317684,0 days 00:00:00.935949
IVF,64,2025-02-15 23:46:39.317757,2025-02-15 23:46:40.229821,0 days 00:00:00.912064
IVF,64,2025-02-15 23:46:40.229872,2025-02-15 23:46:41.209490,0 days 00:00:00.979618
