time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-17 08:57:10.236181
",faiss,2.91,0.010634765625,96.0,0.01%,0.0,0.0,0.006904296875,0.0
"2025-02-17 08:57:10.236181
",breadthFirstSearch,260.77,0.029345703125,96.0,0.03%,0.0,0.0,0.9541015625,0.0
"2025-02-17 08:57:12.588449
",faiss,3.36,0.013095703125,96.0,0.01%,0.0,0.0,0.0094921875,0.0
"2025-02-17 08:57:12.588449
",breadthFirstSearch,254.42,0.040234375,96.0,0.04%,0.0,0.0,1.95,0.0
"2025-02-17 08:57:14.599568
",faiss,3.76,0.01580078125,96.0,0.02%,0.0,0.0,0.0111328125,0.0
"2025-02-17 08:57:14.599568
",breadthFirstSearch,259.11,0.0511328125,96.0,0.05%,0.0,0.0,2.94,0.0
"2025-02-17 08:57:16.610364
",faiss,3.65,0.01802734375,96.0,0.02%,0.0,0.0,0.01318359375,0.0
"2025-02-17 08:57:16.610364
",breadthFirstSearch,261.67,0.06326171875,96.0,0.07%,0.0,0.0,3.93,0.0
"2025-02-17 08:57:18.622065
",faiss,2.69,0.020498046875,96.0,0.02%,0.0,0.0,0.0142578125,0.0
"2025-02-17 08:57:18.622065
",breadthFirstSearch,259.92,0.07537109375,96.0,0.08%,0.0,0.0,4.93,0.0
"2025-02-17 08:57:20.635775
",faiss,2.57,0.023095703125,96.0,0.02%,0.0,0.0,0.0154296875,0.0
"2025-02-17 08:57:20.635775
",breadthFirstSearch,255.84,0.086337890625,96.0,0.09%,0.0,0.0,5.93,0.0
"2025-02-17 08:57:22.647738
",faiss,1.92,0.025,96.0,0.03%,0.0,0.0,0.01611328125,0.0
"2025-02-17 08:57:22.647738
",breadthFirstSearch,256.57,0.0986328125,96.0,0.10%,0.0,0.0,6.91,0.0
"2025-02-17 08:57:24.661714
",faiss,1.67,0.026357421875,96.0,0.03%,0.0,0.0,0.01806640625,0.0
"2025-02-17 08:57:24.661714
",breadthFirstSearch,266.42,0.109375,96.0,0.11%,0.0,0.0,7.91,0.0
"2025-02-17 08:57:26.672680
",faiss,0.63,0.027431640625,96.0,0.03%,0.0,0.0,0.02041015625,0.0
"2025-02-17 08:57:26.672680
",breadthFirstSearch,260.77,0.12099609375,96.0,0.13%,0.0,0.0,8.89,0.0
"2025-02-17 08:57:28.686613
",faiss,4.47,0.030068359375,96.0,0.03%,0.0,0.0,0.0244140625,0.0
"2025-02-17 08:57:28.686613
",breadthFirstSearch,250.99,0.1318359375,96.0,0.14%,0.0,0.0,9.88,0.0
"2025-02-17 08:57:30.698799
",faiss,2.87,0.032451171875,96.0,0.03%,0.0,0.0,0.025390625,0.0
"2025-02-17 08:57:30.698799
",breadthFirstSearch,254.96,0.143359375,96.0,0.15%,0.0,0.0,10.9,0.0
"2025-02-17 08:57:32.710552
",faiss,3.26,0.03490234375,96.0,0.04%,0.0,0.0,0.02626953125,0.0
"2025-02-17 08:57:32.710552
",breadthFirstSearch,261.28,0.15478515625,96.0,0.16%,0.0,0.0,11.8,0.0
"2025-02-17 08:57:34.723311
",faiss,6.02,0.037529296875,96.0,0.04%,0.0,0.0,0.02841796875,0.0
"2025-02-17 08:57:34.723311
",breadthFirstSearch,261.52,0.16630859375,96.0,0.17%,0.0,0.0,12.8,0.0
"2025-02-17 08:57:36.734482
",faiss,17.17,0.044052734375,96.0,0.05%,0.0,0.0,0.02998046875,0.0
"2025-02-17 08:57:36.734482
",breadthFirstSearch,254.46,0.17744140625,96.0,0.18%,0.0,0.0,13.8,0.0
