mode,batch_size,query_start,query_end,query_time
IVF,64,2025-02-17 09:02:59.945025,2025-02-17 09:03:00.844776,0 days 00:00:00.899751
IVF,64,2025-02-17 09:03:00.845585,2025-02-17 09:03:02.128397,0 days 00:00:01.282812
IVF,64,2025-02-17 09:03:02.128633,2025-02-17 09:03:03.168210,0 days 00:00:01.039577
IVF,64,2025-02-17 09:03:03.168279,2025-02-17 09:03:04.177287,0 days 00:00:01.009008
IVF,64,2025-02-17 09:03:04.177358,2025-02-17 09:03:05.246029,0 days 00:00:01.068671
IVF,64,2025-02-17 09:03:05.246336,2025-02-17 09:03:06.231386,0 days 00:00:00.985050
IVF,64,2025-02-17 09:03:06.231448,2025-02-17 09:03:07.193287,0 days 00:00:00.961839
IVF,64,2025-02-17 09:03:07.193691,2025-02-17 09:03:08.311678,0 days 00:00:01.117987
IVF,64,2025-02-17 09:03:08.311749,2025-02-17 09:03:09.418088,0 days 00:00:01.106339
IVF,64,2025-02-17 09:03:09.418152,2025-02-17 09:03:10.359034,0 days 00:00:00.940882
IVF,64,2025-02-17 09:03:10.359117,2025-02-17 09:03:11.275367,0 days 00:00:00.916250
IVF,64,2025-02-17 09:03:11.275442,2025-02-17 09:03:12.417723,0 days 00:00:01.142281
IVF,64,2025-02-17 09:03:12.417790,2025-02-17 09:03:13.539276,0 days 00:00:01.121486
IVF,64,2025-02-17 09:03:13.539341,2025-02-17 09:03:14.557926,0 days 00:00:01.018585
IVF,64,2025-02-17 09:03:14.558009,2025-02-17 09:03:15.481710,0 days 00:00:00.923701
IVF,64,2025-02-17 09:03:15.481787,2025-02-17 09:03:16.398749,0 days 00:00:00.916962
IVF,64,2025-02-17 09:03:16.398824,2025-02-17 09:03:17.377973,0 days 00:00:00.979149
IVF,64,2025-02-17 09:03:17.378035,2025-02-17 09:03:18.375220,0 days 00:00:00.997185
IVF,64,2025-02-17 09:03:18.375301,2025-02-17 09:03:19.311308,0 days 00:00:00.936007
IVF,64,2025-02-17 09:03:19.311402,2025-02-17 09:03:20.266788,0 days 00:00:00.955386
IVF,64,2025-02-17 09:03:20.266884,2025-02-17 09:03:21.212332,0 days 00:00:00.945448
IVF,64,2025-02-17 09:03:21.212503,2025-02-17 09:03:22.237914,0 days 00:00:01.025411
IVF,64,2025-02-17 09:03:22.237998,2025-02-17 09:03:23.190765,0 days 00:00:00.952767
IVF,64,2025-02-17 09:03:23.190841,2025-02-17 09:03:24.153008,0 days 00:00:00.962167
IVF,64,2025-02-17 09:03:24.153078,2025-02-17 09:03:25.163272,0 days 00:00:01.010194
IVF,64,2025-02-17 09:03:25.164434,2025-02-17 09:03:26.071516,0 days 00:00:00.907082
IVF,64,2025-02-17 09:03:26.071607,2025-02-17 09:03:26.944954,0 days 00:00:00.873347
IVF,64,2025-02-17 09:03:26.945036,2025-02-17 09:03:27.841422,0 days 00:00:00.896386
IVF,64,2025-02-17 09:03:27.841523,2025-02-17 09:03:28.728030,0 days 00:00:00.886507
IVF,64,2025-02-17 09:03:28.728101,2025-02-17 09:03:29.629328,0 days 00:00:00.901227
IVF,64,2025-02-17 09:03:29.629407,2025-02-17 09:03:30.612400,0 days 00:00:00.982993
IVF,64,2025-02-17 09:03:30.612476,2025-02-17 09:03:31.555580,0 days 00:00:00.943104
IVF,64,2025-02-17 09:03:31.555655,2025-02-17 09:03:32.517038,0 days 00:00:00.961383
IVF,64,2025-02-17 09:03:32.517769,2025-02-17 09:03:33.437685,0 days 00:00:00.919916
IVF,64,2025-02-17 09:03:33.437779,2025-02-17 09:03:34.389103,0 days 00:00:00.951324
IVF,64,2025-02-17 09:03:34.389184,2025-02-17 09:03:35.308497,0 days 00:00:00.919313
IVF,64,2025-02-17 09:03:35.308559,2025-02-17 09:03:36.209716,0 days 00:00:00.901157
IVF,64,2025-02-17 09:03:36.209898,2025-02-17 09:03:37.078606,0 days 00:00:00.868708
IVF,64,2025-02-17 09:03:37.079016,2025-02-17 09:03:38.052968,0 days 00:00:00.973952
IVF,64,2025-02-17 09:03:38.053191,2025-02-17 09:03:39.073325,0 days 00:00:01.020134
IVF,64,2025-02-17 09:03:39.073775,2025-02-17 09:03:40.013361,0 days 00:00:00.939586
IVF,64,2025-02-17 09:03:40.014544,2025-02-17 09:03:40.974398,0 days 00:00:00.959854
IVF,64,2025-02-17 09:03:40.974502,2025-02-17 09:03:41.891203,0 days 00:00:00.916701
IVF,64,2025-02-17 09:03:41.891292,2025-02-17 09:03:42.896034,0 days 00:00:01.004742
IVF,64,2025-02-17 09:03:42.896099,2025-02-17 09:03:43.832749,0 days 00:00:00.936650
IVF,64,2025-02-17 09:03:43.832839,2025-02-17 09:03:44.805978,0 days 00:00:00.973139
IVF,64,2025-02-17 09:03:44.806069,2025-02-17 09:03:45.860702,0 days 00:00:01.054633
IVF,64,2025-02-17 09:03:45.860791,2025-02-17 09:03:46.798079,0 days 00:00:00.937288
IVF,64,2025-02-17 09:03:46.798407,2025-02-17 09:03:47.780496,0 days 00:00:00.982089
IVF,64,2025-02-17 09:03:47.780575,2025-02-17 09:03:48.718423,0 days 00:00:00.937848
IVF,64,2025-02-17 09:03:48.718502,2025-02-17 09:03:49.693692,0 days 00:00:00.975190
IVF,64,2025-02-17 09:03:49.693779,2025-02-17 09:03:50.696669,0 days 00:00:01.002890
IVF,64,2025-02-17 09:03:50.696748,2025-02-17 09:03:51.685749,0 days 00:00:00.989001
IVF,64,2025-02-17 09:03:51.686186,2025-02-17 09:03:52.654596,0 days 00:00:00.968410
IVF,64,2025-02-17 09:03:52.654689,2025-02-17 09:03:53.605985,0 days 00:00:00.951296
IVF,64,2025-02-17 09:03:53.606073,2025-02-17 09:03:54.543481,0 days 00:00:00.937408
IVF,64,2025-02-17 09:03:54.543570,2025-02-17 09:03:55.458932,0 days 00:00:00.915362
IVF,64,2025-02-17 09:03:55.459026,2025-02-17 09:03:56.413778,0 days 00:00:00.954752
IVF,64,2025-02-17 09:03:56.414147,2025-02-17 09:03:57.394239,0 days 00:00:00.980092
IVF,64,2025-02-17 09:03:57.394386,2025-02-17 09:03:58.360131,0 days 00:00:00.965745
IVF,64,2025-02-17 09:03:58.360358,2025-02-17 09:03:59.326017,0 days 00:00:00.965659
IVF,64,2025-02-17 09:03:59.326083,2025-02-17 09:04:00.294793,0 days 00:00:00.968710
IVF,64,2025-02-17 09:04:00.294945,2025-02-17 09:04:01.331300,0 days 00:00:01.036355
IVF,64,2025-02-17 09:04:01.331367,2025-02-17 09:04:02.268386,0 days 00:00:00.937019
IVF,64,2025-02-17 09:04:02.268460,2025-02-17 09:04:03.205049,0 days 00:00:00.936589
IVF,64,2025-02-17 09:04:03.205116,2025-02-17 09:04:04.116322,0 days 00:00:00.911206
IVF,64,2025-02-17 09:04:04.116404,2025-02-17 09:04:05.025041,0 days 00:00:00.908637
IVF,64,2025-02-17 09:04:05.025137,2025-02-17 09:04:05.952861,0 days 00:00:00.927724
IVF,64,2025-02-17 09:04:05.952932,2025-02-17 09:04:06.933896,0 days 00:00:00.980964
IVF,64,2025-02-17 09:04:06.933974,2025-02-17 09:04:07.867807,0 days 00:00:00.933833
IVF,64,2025-02-17 09:04:07.867876,2025-02-17 09:04:08.834276,0 days 00:00:00.966400
IVF,64,2025-02-17 09:04:08.834359,2025-02-17 09:04:09.817072,0 days 00:00:00.982713
IVF,64,2025-02-17 09:04:09.817147,2025-02-17 09:04:10.764688,0 days 00:00:00.947541
IVF,64,2025-02-17 09:04:10.764766,2025-02-17 09:04:11.732435,0 days 00:00:00.967669
IVF,64,2025-02-17 09:04:11.732550,2025-02-17 09:04:12.625957,0 days 00:00:00.893407
IVF,64,2025-02-17 09:04:12.626223,2025-02-17 09:04:13.591417,0 days 00:00:00.965194
IVF,64,2025-02-17 09:04:13.591512,2025-02-17 09:04:14.588268,0 days 00:00:00.996756
IVF,64,2025-02-17 09:04:14.588627,2025-02-17 09:04:15.513406,0 days 00:00:00.924779
IVF,64,2025-02-17 09:04:15.513490,2025-02-17 09:04:16.481351,0 days 00:00:00.967861
IVF,64,2025-02-17 09:04:16.481435,2025-02-17 09:04:17.450256,0 days 00:00:00.968821
IVF,64,2025-02-17 09:04:17.450328,2025-02-17 09:04:18.405400,0 days 00:00:00.955072
IVF,64,2025-02-17 09:04:18.405477,2025-02-17 09:04:19.374215,0 days 00:00:00.968738
IVF,64,2025-02-17 09:04:19.374301,2025-02-17 09:04:20.356785,0 days 00:00:00.982484
IVF,64,2025-02-17 09:04:20.356864,2025-02-17 09:04:21.263741,0 days 00:00:00.906877
IVF,64,2025-02-17 09:04:21.263820,2025-02-17 09:04:22.279648,0 days 00:00:01.015828
IVF,64,2025-02-17 09:04:22.279726,2025-02-17 09:04:23.197586,0 days 00:00:00.917860
IVF,64,2025-02-17 09:04:23.197666,2025-02-17 09:04:24.123904,0 days 00:00:00.926238
IVF,64,2025-02-17 09:04:24.123977,2025-02-17 09:04:25.092975,0 days 00:00:00.968998
IVF,64,2025-02-17 09:04:25.093040,2025-02-17 09:04:26.008030,0 days 00:00:00.914990
IVF,64,2025-02-17 09:04:26.008107,2025-02-17 09:04:26.975425,0 days 00:00:00.967318
IVF,64,2025-02-17 09:04:26.975502,2025-02-17 09:04:27.938713,0 days 00:00:00.963211
IVF,64,2025-02-17 09:04:27.938775,2025-02-17 09:04:28.893010,0 days 00:00:00.954235
IVF,64,2025-02-17 09:04:28.893301,2025-02-17 09:04:29.808099,0 days 00:00:00.914798
IVF,64,2025-02-17 09:04:29.808192,2025-02-17 09:04:30.805040,0 days 00:00:00.996848
IVF,64,2025-02-17 09:04:30.805152,2025-02-17 09:04:31.768484,0 days 00:00:00.963332
IVF,64,2025-02-17 09:04:31.768571,2025-02-17 09:04:32.749483,0 days 00:00:00.980912
IVF,64,2025-02-17 09:04:32.749564,2025-02-17 09:04:33.646903,0 days 00:00:00.897339
IVF,64,2025-02-17 09:04:33.646982,2025-02-17 09:04:34.596365,0 days 00:00:00.949383
IVF,64,2025-02-17 09:04:34.596441,2025-02-17 09:04:35.526236,0 days 00:00:00.929795
