time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-17 09:46:06.318349
",convexHull,4792.67,24.21,96.0,25.21%,0.0,0.0,0.002587890625,0.0
"2025-02-17 09:46:06.318349
",faiss,100.29,0.089189453125,96.0,0.09%,0.0,0.0,0.008984375,3.910064697265625e-06
"2025-02-17 09:46:08.647386
",convexHull,18.50,34.54,96.0,35.98%,0.0,0.0,0.2333984375,0.0
"2025-02-17 09:46:08.647386
",faiss,18.86,0.372265625,96.0,0.39%,0.0,0.0,0.3388671875,3.910064697265625e-06
"2025-02-17 09:46:10.659711
",convexHull,40.42,34.55,96.0,35.99%,0.0,0.0,1.17,0.0
"2025-02-17 09:46:10.659711
",faiss,99.84,3.76,96.0,3.92%,0.0,0.0,0.3974609375,3.910064697265625e-06
"2025-02-17 09:46:12.669070
",convexHull,40.20,34.55,96.0,35.99%,0.0,0.0,2.11,0.0
"2025-02-17 09:46:12.669070
",faiss,99.49,7.735,96.0,8.06%,0.0,0.0,0.3974609375,3.910064697265625e-06
"2025-02-17 09:46:14.682258
",convexHull,31.05,34.55,96.0,35.99%,0.0,0.0,2.77,0.0
"2025-02-17 09:46:14.682258
",faiss,99.68,11.72,96.0,12.21%,0.0,0.0,0.3974609375,3.910064697265625e-06
"2025-02-17 09:46:16.692628
",convexHull,31.25,34.55,96.0,35.99%,0.0,0.0,3.43,0.0
"2025-02-17 09:46:16.692628
",faiss,100.36,15.73,96.0,16.39%,0.0,0.0,0.3974609375,3.910064697265625e-06
"2025-02-17 09:46:18.704454
",convexHull,30.89,34.55,96.0,35.99%,0.0,0.0,4.1,0.0
"2025-02-17 09:46:18.704454
",faiss,100.10,19.74,96.0,20.57%,0.0,0.0,0.3974609375,3.910064697265625e-06
"2025-02-17 09:46:20.715606
",convexHull,39.95,34.55,96.0,35.99%,0.0,0.0,4.98,0.0
"2025-02-17 09:46:20.715606
",faiss,99.83,23.76,96.0,24.75%,0.0,0.0,0.3974609375,3.910064697265625e-06
"2025-02-17 09:46:22.725864
",convexHull,42.57,34.56,96.0,36.00%,0.0,0.0,6.04,0.0
"2025-02-17 09:46:22.725864
",faiss,99.60,27.78,96.0,28.94%,0.0,0.0,0.3974609375,3.910064697265625e-06
"2025-02-17 09:46:24.738109
",convexHull,30.93,34.56,96.0,36.00%,0.0,0.0,6.85,0.0
"2025-02-17 09:46:24.738109
",faiss,99.78,31.83,96.0,33.15%,0.0,0.0,0.3974609375,3.910064697265625e-06
"2025-02-17 09:46:26.748137
",convexHull,30.78,34.56,96.0,36.00%,0.0,0.0,7.5,0.0
"2025-02-17 09:46:26.748137
",faiss,99.89,35.88,96.0,37.38%,0.0,0.0,0.3974609375,3.910064697265625e-06
"2025-02-17 09:46:28.759104
",convexHull,30.86,34.56,96.0,36.00%,0.0,0.0,8.16,0.0
"2025-02-17 09:46:28.759104
",faiss,100.18,39.95,96.0,41.62%,0.0,0.0,0.3974609375,3.910064697265625e-06
"2025-02-17 09:46:30.771164
",convexHull,37.86,34.56,96.0,36.00%,0.0,0.0,8.93,0.0
"2025-02-17 09:46:30.771164
",faiss,100.17,44.0,96.0,45.83%,0.0,0.0,0.3974609375,3.910064697265625e-06
"2025-02-17 09:46:32.781257
",convexHull,41.48,34.56,96.0,36.00%,0.0,0.0,9.96,0.0
"2025-02-17 09:46:32.781257
",faiss,99.77,47.83,96.0,49.82%,0.0,0.0,0.3974609375,3.910064697265625e-06
"2025-02-17 09:46:34.794569
",convexHull,34.37,34.57,96.0,36.01%,0.0,0.0,10.9,0.0
"2025-02-17 09:46:34.794569
",faiss,100.03,50.77,96.0,52.88%,0.0,0.0,0.3974609375,3.910064697265625e-06
"2025-02-17 09:46:36.804602
",convexHull,29.84,34.57,96.0,36.01%,0.0,0.0,11.6,0.0
"2025-02-17 09:46:36.804602
",faiss,99.70,53.71,96.0,55.95%,0.0,0.0,0.3974609375,3.910064697265625e-06
"2025-02-17 09:46:38.817276
",convexHull,29.35,34.57,96.0,36.01%,0.0,0.0,12.3,0.0
"2025-02-17 09:46:38.817276
",faiss,99.92,56.66,96.0,59.02%,0.0,0.0,0.3974609375,3.910064697265625e-06
"2025-02-17 09:46:40.828890
",convexHull,32.24,34.57,96.0,36.01%,0.0,0.0,13.1,0.0
"2025-02-17 09:46:40.828890
",faiss,99.73,59.6,96.0,62.08%,0.0,0.0,0.3974609375,3.910064697265625e-06
"2025-02-17 09:46:42.839392
",convexHull,40.20,34.57,96.0,36.01%,0.0,0.0,14.1,0.0
"2025-02-17 09:46:42.839392
",faiss,99.90,62.53,96.0,65.14%,0.0,0.0,0.3974609375,3.910064697265625e-06
"2025-02-17 09:46:44.849013
",convexHull,37.21,34.57,96.0,36.02%,0.0,0.0,15.0,0.0
"2025-02-17 09:46:44.849013
",faiss,99.25,65.48,96.0,68.21%,0.0,0.0,0.3974609375,3.910064697265625e-06
"2025-02-17 09:46:46.869225
",convexHull,29.65,34.58,96.0,36.02%,0.0,0.0,15.7,0.0
"2025-02-17 09:46:46.869225
",faiss,99.85,68.43,96.0,71.28%,0.0,0.0,0.3974609375,3.910064697265625e-06
"2025-02-17 09:46:48.881028
",convexHull,29.80,34.58,96.0,36.02%,0.0,0.0,16.4,0.0
"2025-02-17 09:46:48.881028
",faiss,99.90,71.36,96.0,74.33%,0.0,0.0,0.3974609375,3.910064697265625e-06
"2025-02-17 09:46:50.891925
",convexHull,18.00,34.58,96.0,36.02%,0.0,0.0,17.0,0.0
"2025-02-17 09:46:50.891925
",faiss,27.25,72.86,96.0,75.90%,0.0,0.0,0.5947265625,3.910064697265625e-06
"2025-02-17 09:46:52.905047
",convexHull,17.87,34.58,96.0,36.02%,0.0,0.0,17.4,0.0
"2025-02-17 09:46:52.905047
",faiss,24.73,72.86,96.0,75.90%,0.0,0.0,1.02,3.910064697265625e-06
"2025-02-17 09:46:54.913773
",convexHull,17.79,34.58,96.0,36.02%,0.0,0.0,17.9,0.0
"2025-02-17 09:46:54.913773
",faiss,24.71,72.86,96.0,75.90%,0.0,0.0,1.44,3.910064697265625e-06
"2025-02-17 09:46:56.923949
",convexHull,17.68,34.58,96.0,36.02%,0.0,0.0,18.3,0.0
"2025-02-17 09:46:56.923949
",faiss,28.28,72.86,96.0,75.90%,0.0,0.0,1.85,3.910064697265625e-06
"2025-02-17 09:46:58.935020
",convexHull,17.64,34.58,96.0,36.02%,0.0,0.0,18.7,0.0
"2025-02-17 09:46:58.935020
",faiss,24.88,72.86,96.0,75.90%,0.0,0.0,2.26,3.910064697265625e-06
"2025-02-17 09:47:00.945834
",convexHull,17.95,34.58,96.0,36.02%,0.0,0.0,19.1,0.0
"2025-02-17 09:47:00.945834
",faiss,24.72,72.86,96.0,75.90%,0.0,0.0,2.67,3.910064697265625e-06
"2025-02-17 09:47:02.957082
",convexHull,17.29,34.58,96.0,36.02%,0.0,0.0,19.5,0.0
"2025-02-17 09:47:02.957082
",faiss,24.93,72.86,96.0,75.90%,0.0,0.0,3.08,3.910064697265625e-06
"2025-02-17 09:47:04.967883
",convexHull,18.38,34.58,96.0,36.03%,0.0,0.0,20.0,0.0
"2025-02-17 09:47:04.967883
",faiss,23.24,72.87,96.0,75.90%,0.0,0.0,3.5,3.910064697265625e-06
