mode,batch_size,query_start,query_end,query_time
IVF,64,2025-02-17 09:51:44.084299,2025-02-17 09:51:45.139849,0 days 00:00:01.055550
IVF,64,2025-02-17 09:51:45.139956,2025-02-17 09:51:46.234445,0 days 00:00:01.094489
IVF,64,2025-02-17 09:51:46.234511,2025-02-17 09:51:47.257059,0 days 00:00:01.022548
IVF,64,2025-02-17 09:51:47.257116,2025-02-17 09:51:48.336941,0 days 00:00:01.079825
IVF,64,2025-02-17 09:51:48.337315,2025-02-17 09:51:49.353500,0 days 00:00:01.016185
IVF,64,2025-02-17 09:51:49.353753,2025-02-17 09:51:50.372487,0 days 00:00:01.018734
IVF,64,2025-02-17 09:51:50.372550,2025-02-17 09:51:51.405938,0 days 00:00:01.033388
IVF,64,2025-02-17 09:51:51.406010,2025-02-17 09:51:52.369701,0 days 00:00:00.963691
IVF,64,2025-02-17 09:51:52.370238,2025-02-17 09:51:53.389222,0 days 00:00:01.018984
IVF,64,2025-02-17 09:51:53.389285,2025-02-17 09:51:54.470502,0 days 00:00:01.081217
IVF,64,2025-02-17 09:51:54.470570,2025-02-17 09:51:55.474007,0 days 00:00:01.003437
IVF,64,2025-02-17 09:51:55.474578,2025-02-17 09:51:56.467777,0 days 00:00:00.993199
IVF,64,2025-02-17 09:51:56.467829,2025-02-17 09:51:57.655417,0 days 00:00:01.187588
IVF,64,2025-02-17 09:51:57.655472,2025-02-17 09:51:58.675654,0 days 00:00:01.020182
IVF,64,2025-02-17 09:51:58.675702,2025-02-17 09:51:59.658751,0 days 00:00:00.983049
IVF,64,2025-02-17 09:51:59.658836,2025-02-17 09:52:00.657207,0 days 00:00:00.998371
IVF,64,2025-02-17 09:52:00.657272,2025-02-17 09:52:01.784769,0 days 00:00:01.127497
IVF,64,2025-02-17 09:52:01.784834,2025-02-17 09:52:02.970350,0 days 00:00:01.185516
IVF,64,2025-02-17 09:52:02.970478,2025-02-17 09:52:04.057198,0 days 00:00:01.086720
IVF,64,2025-02-17 09:52:04.057268,2025-02-17 09:52:05.086866,0 days 00:00:01.029598
IVF,64,2025-02-17 09:52:05.086947,2025-02-17 09:52:06.182188,0 days 00:00:01.095241
IVF,64,2025-02-17 09:52:06.182252,2025-02-17 09:52:07.228942,0 days 00:00:01.046690
IVF,64,2025-02-17 09:52:07.229007,2025-02-17 09:52:08.270231,0 days 00:00:01.041224
IVF,64,2025-02-17 09:52:08.270290,2025-02-17 09:52:09.330560,0 days 00:00:01.060270
IVF,64,2025-02-17 09:52:09.330619,2025-02-17 09:52:10.327231,0 days 00:00:00.996612
IVF,64,2025-02-17 09:52:10.327312,2025-02-17 09:52:11.332203,0 days 00:00:01.004891
IVF,64,2025-02-17 09:52:11.332384,2025-02-17 09:52:12.271319,0 days 00:00:00.938935
IVF,64,2025-02-17 09:52:12.271381,2025-02-17 09:52:13.227769,0 days 00:00:00.956388
IVF,64,2025-02-17 09:52:13.227848,2025-02-17 09:52:14.215214,0 days 00:00:00.987366
IVF,64,2025-02-17 09:52:14.215283,2025-02-17 09:52:15.205962,0 days 00:00:00.990679
IVF,64,2025-02-17 09:52:15.206028,2025-02-17 09:52:16.229154,0 days 00:00:01.023126
IVF,64,2025-02-17 09:52:16.229222,2025-02-17 09:52:17.378110,0 days 00:00:01.148888
IVF,64,2025-02-17 09:52:17.378173,2025-02-17 09:52:18.391565,0 days 00:00:01.013392
IVF,64,2025-02-17 09:52:18.391637,2025-02-17 09:52:19.421158,0 days 00:00:01.029521
IVF,64,2025-02-17 09:52:19.421222,2025-02-17 09:52:20.436804,0 days 00:00:01.015582
IVF,64,2025-02-17 09:52:20.436873,2025-02-17 09:52:21.509284,0 days 00:00:01.072411
IVF,64,2025-02-17 09:52:21.509351,2025-02-17 09:52:22.487753,0 days 00:00:00.978402
IVF,64,2025-02-17 09:52:22.487816,2025-02-17 09:52:23.475190,0 days 00:00:00.987374
IVF,64,2025-02-17 09:52:23.475259,2025-02-17 09:52:24.457653,0 days 00:00:00.982394
IVF,64,2025-02-17 09:52:24.457986,2025-02-17 09:52:25.517957,0 days 00:00:01.059971
IVF,64,2025-02-17 09:52:25.518100,2025-02-17 09:52:26.475703,0 days 00:00:00.957603
IVF,64,2025-02-17 09:52:26.475773,2025-02-17 09:52:27.497602,0 days 00:00:01.021829
IVF,64,2025-02-17 09:52:27.497668,2025-02-17 09:52:28.499216,0 days 00:00:01.001548
IVF,64,2025-02-17 09:52:28.499299,2025-02-17 09:52:29.460221,0 days 00:00:00.960922
IVF,64,2025-02-17 09:52:29.460285,2025-02-17 09:52:30.519118,0 days 00:00:01.058833
IVF,64,2025-02-17 09:52:30.519272,2025-02-17 09:52:31.501926,0 days 00:00:00.982654
IVF,64,2025-02-17 09:52:31.501993,2025-02-17 09:52:32.548127,0 days 00:00:01.046134
IVF,64,2025-02-17 09:52:32.548194,2025-02-17 09:52:33.535273,0 days 00:00:00.987079
IVF,64,2025-02-17 09:52:33.535335,2025-02-17 09:52:34.581277,0 days 00:00:01.045942
IVF,64,2025-02-17 09:52:34.581329,2025-02-17 09:52:35.585536,0 days 00:00:01.004207
IVF,64,2025-02-17 09:52:35.585598,2025-02-17 09:52:36.592022,0 days 00:00:01.006424
IVF,64,2025-02-17 09:52:36.592077,2025-02-17 09:52:37.646719,0 days 00:00:01.054642
IVF,64,2025-02-17 09:52:37.646774,2025-02-17 09:52:38.635103,0 days 00:00:00.988329
IVF,64,2025-02-17 09:52:38.635184,2025-02-17 09:52:39.708845,0 days 00:00:01.073661
