Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.61,1.42,2025-02-17 09:45:47.238,0.0,5.17,4.44,0.74,0.68,32.409999999999975,35880,29952,0.01,0.02,96,0.0,0.0,25,0.01,0.02,90
9.25,1.4,2025-02-17 09:45:47.338,0.1,4.81,4.44,0.72,0.68,16.450000000000003,35984,30160,0.0,0.0,69,0.0,0.0,44,0.0,0.0,60
9.17,1.39,2025-02-17 09:45:47.438,0.2,4.74,4.43,0.71,0.68,19.179999999999986,35776,30160,0.0,0.0,66,0.0,0.0,47,0.0,0.0,57
9.29,1.41,2025-02-17 09:45:47.539,0.301,4.84,4.45,0.73,0.68,19.919999999999984,35984,30264,0.0,0.0,61,0.0,0.0,49,0.0,0.0,57
9.17,1.39,2025-02-17 09:45:47.639,0.401,4.72,4.45,0.71,0.68,16.540000000000006,35984,30264,0.0,0.0,68,0.0,0.0,48,0.0,0.0,59
9.23,1.4,2025-02-17 09:45:47.739,0.501,4.79,4.44,0.72,0.68,22.249999999999957,35776,30264,0.0,0.0,86,0.0,0.0,46,0.01,0.0,77
9.84,1.42,2025-02-17 09:45:47.839,0.601,4.79,5.05,0.73,0.69,52.920000000000016,35672,35256,0.01,0.02,5,0.01,0.01,91,0.02,0.03,36
9.24,1.41,2025-02-17 09:45:47.940,0.702,4.8,4.44,0.72,0.69,15.730000000000002,35464,35152,0.0,0.0,61,0.0,0.0,50,0.0,0.0,55
9.25,1.4,2025-02-17 09:45:48.040,0.802,4.77,4.48,0.72,0.69,16.960000000000004,35360,35152,0.0,0.0,56,0.0,0.0,50,0.0,0.0,53
9.1,1.39,2025-02-17 09:45:48.139,0.901,4.74,4.36,0.71,0.68,17.47,35360,35152,0.0,0.0,56,0.0,0.0,54,0.0,0.0,55
9.11,1.39,2025-02-17 09:45:48.238,1.0,4.72,4.4,0.71,0.68,16.380000000000003,35256,35152,0.0,0.0,55,0.0,0.0,46,0.0,0.0,50
9.13,1.39,2025-02-17 09:45:48.338,1.1,4.73,4.4,0.71,0.68,26.589999999999968,35360,35672,0.0,0.0,28,0.0,0.0,76,0.01,0.0,48
9.4,1.39,2025-02-17 09:45:48.437,1.199,4.73,4.67,0.71,0.68,44.6,35256,34944,0.0,0.01,8,0.01,0.0,92,0.01,0.01,46
9.28,1.4,2025-02-17 09:45:48.538,1.3,4.79,4.49,0.71,0.68,17.17,35568,34632,0.0,0.0,49,0.0,0.0,55,0.0,0.0,52
9.19,1.4,2025-02-17 09:45:48.638,1.4,4.77,4.42,0.72,0.68,16.97000000000001,35672,34632,0.0,0.0,82,0.0,0.0,48,0.0,0.0,70
9.22,1.4,2025-02-17 09:45:48.738,1.5,4.79,4.43,0.72,0.68,13.650000000000011,35672,34632,0.0,0.0,62,0.0,0.0,55,0.0,0.0,58
9.35,1.4,2025-02-17 09:45:48.839,1.601,4.77,4.57,0.72,0.68,27.83000000000003,35672,34840,0.0,0.0,38,0.0,0.0,70,0.01,0.0,59
9.23,1.4,2025-02-17 09:45:48.939,1.701,4.77,4.46,0.72,0.68,20.089999999999993,35464,34528,0.0,0.0,35,0.0,0.0,69,0.0,0.0,54
9.37,1.4,2025-02-17 09:45:49.039,1.801,4.78,4.59,0.72,0.69,41.46999999999999,35360,33072,0.0,0.0,13,0.01,0.0,93,0.01,0.01,58
9.1,1.39,2025-02-17 09:45:49.139,1.901,4.72,4.38,0.71,0.68,14.210000000000013,35464,33280,0.0,0.0,60,0.0,0.0,52,0.0,0.0,55
9.12,1.38,2025-02-17 09:45:49.238,2.0,4.74,4.38,0.71,0.67,14.780000000000008,35360,33280,0.0,0.0,52,0.0,0.0,47,0.0,0.0,49
9.09,1.39,2025-02-17 09:45:49.337,2.099,4.71,4.38,0.71,0.68,18.97999999999999,34840,33280,0.0,0.0,64,0.0,0.0,52,0.0,0.0,57
9.2,1.4,2025-02-17 09:45:49.438,2.2,4.77,4.43,0.72,0.69,15.160000000000014,35256,33280,0.0,0.0,50,0.0,0.0,47,0.0,0.0,48
9.22,1.4,2025-02-17 09:45:49.538,2.3,4.78,4.44,0.71,0.69,23.42999999999999,35152,33800,0.0,0.0,44,0.0,0.0,72,0.0,0.0,59
9.33,1.4,2025-02-17 09:45:49.638,2.4,4.78,4.55,0.72,0.69,41.41999999999998,35256,34424,0.0,0.0,27,0.01,0.0,89,0.01,0.0,64
9.2,1.4,2025-02-17 09:45:49.739,2.501,4.77,4.43,0.71,0.68,14.95000000000001,34944,34320,0.0,0.0,53,0.0,0.0,59,0.0,0.0,55
9.24,1.4,2025-02-17 09:45:49.839,2.601,4.77,4.47,0.71,0.69,27.870000000000008,35048,34112,0.0,0.0,46,0.0,0.0,64,0.0,0.0,59
9.22,1.4,2025-02-17 09:45:49.939,2.701,4.79,4.43,0.71,0.69,14.000000000000016,35256,34112,0.0,0.0,60,0.0,0.0,50,0.0,0.0,55
9.19,1.4,2025-02-17 09:45:50.039,2.801,4.77,4.42,0.72,0.68,17.38000000000001,35256,34112,0.0,0.0,57,0.0,0.0,55,0.0,0.0,56
9.22,1.4,2025-02-17 09:45:50.140,2.902,4.78,4.45,0.72,0.69,17.790000000000006,35048,34216,0.0,0.0,46,0.0,0.0,68,0.0,0.0,58
9.13,1.39,2025-02-17 09:45:50.239,3.001,4.73,4.41,0.71,0.68,25.88,34944,35672,0.0,0.0,19,0.0,0.0,93,0.01,0.0,65
9.28,1.38,2025-02-17 09:45:50.338,3.1,4.68,4.6,0.7,0.68,29.739999999999952,35048,35152,0.0,0.0,36,0.0,0.0,79,0.0,0.0,58
9.11,1.38,2025-02-17 09:45:50.438,3.2,4.73,4.38,0.71,0.68,14.440000000000012,34840,35152,0.0,0.0,52,0.0,0.0,47,0.0,0.0,50
9.15,1.39,2025-02-17 09:45:50.537,3.299,4.77,4.37,0.72,0.68,17.879999999999985,34736,35048,0.0,0.0,50,0.0,0.0,69,0.0,0.0,60
9.14,1.39,2025-02-17 09:45:50.638,3.4,4.77,4.37,0.71,0.68,15.910000000000009,36088,35048,0.0,0.0,84,0.0,0.0,26,0.01,0.0,57
9.32,1.41,2025-02-17 09:45:50.738,3.5,4.78,4.54,0.72,0.69,20.43999999999999,35672,35048,0.0,0.0,77,0.0,0.0,22,0.0,0.0,53
9.31,1.41,2025-02-17 09:45:50.838,3.6,4.78,4.53,0.72,0.69,32.230000000000025,35568,33904,0.0,0.0,46,0.0,0.0,68,0.01,0.0,59
9.46,1.41,2025-02-17 09:45:50.939,3.701,4.79,4.67,0.72,0.69,43.89,36088,35568,0.0,0.0,58,0.01,0.0,77,0.01,0.0,68
