time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-17 08:23:58.192666
",faiss,98.74,0.05939453125,96.0,0.06%,0.0,0.0,0.01943359375,3.910064697265625e-06
"2025-02-17 08:23:58.192666
",faiss,99.11,0.059560546875,96.0,0.06%,0.0,0.0,0.017578125,3.910064697265625e-06
"2025-02-17 08:24:00.545567
",faiss,45.54,0.9169921875,96.0,0.96%,0.0,0.0,0.2294921875,3.910064697265625e-06
"2025-02-17 08:24:00.545567
",faiss,44.97,0.9416015625,96.0,0.98%,0.0,0.0,0.2353515625,3.910064697265625e-06
"2025-02-17 08:24:02.557447
",faiss,99.80,4.778,96.0,4.98%,0.0,0.0,0.2294921875,3.910064697265625e-06
"2025-02-17 08:24:02.557447
",faiss,99.86,4.886,96.0,5.09%,0.0,0.0,0.2353515625,3.910064697265625e-06
"2025-02-17 08:24:04.569024
",faiss,99.80,8.676,96.0,9.04%,0.0,0.0,0.2294921875,3.910064697265625e-06
"2025-02-17 08:24:04.569024
",faiss,99.94,8.912,96.0,9.28%,0.0,0.0,0.2353515625,3.910064697265625e-06
"2025-02-17 08:24:06.578900
",faiss,100.00,12.56,96.0,13.08%,0.0,0.0,0.2294921875,3.910064697265625e-06
"2025-02-17 08:24:06.578900
",faiss,100.08,12.94,96.0,13.48%,0.0,0.0,0.2353515625,3.910064697265625e-06
"2025-02-17 08:24:08.589763
",faiss,99.84,16.46,96.0,17.14%,0.0,0.0,0.2294921875,3.910064697265625e-06
"2025-02-17 08:24:08.589763
",faiss,99.88,17.0,96.0,17.71%,0.0,0.0,0.2353515625,3.910064697265625e-06
"2025-02-17 08:24:10.600392
",faiss,99.78,20.38,96.0,21.23%,0.0,0.0,0.2294921875,3.910064697265625e-06
"2025-02-17 08:24:10.600392
",faiss,100.13,21.06,96.0,21.93%,0.0,0.0,0.2353515625,3.910064697265625e-06
"2025-02-17 08:24:12.613688
",faiss,99.68,24.29,96.0,25.30%,0.0,0.0,0.2294921875,3.910064697265625e-06
"2025-02-17 08:24:12.613688
",faiss,99.75,25.11,96.0,26.16%,0.0,0.0,0.2353515625,3.910064697265625e-06
"2025-02-17 08:24:14.625146
",faiss,100.20,28.19,96.0,29.36%,0.0,0.0,0.2294921875,3.910064697265625e-06
"2025-02-17 08:24:14.625146
",faiss,100.19,29.19,96.0,30.40%,0.0,0.0,0.2353515625,3.910064697265625e-06
"2025-02-17 08:24:16.634941
",faiss,100.06,32.11,96.0,33.44%,0.0,0.0,0.2294921875,3.910064697265625e-06
"2025-02-17 08:24:16.634941
",faiss,100.08,33.24,96.0,34.63%,0.0,0.0,0.2353515625,3.910064697265625e-06
"2025-02-17 08:24:18.645646
",faiss,99.94,36.01,96.0,37.51%,0.0,0.0,0.2294921875,3.910064697265625e-06
"2025-02-17 08:24:18.645646
",faiss,99.92,37.34,96.0,38.89%,0.0,0.0,0.2353515625,3.910064697265625e-06
"2025-02-17 08:24:20.654373
",faiss,100.20,39.92,96.0,41.59%,0.0,0.0,0.2294921875,3.910064697265625e-06
"2025-02-17 08:24:20.654373
",faiss,99.91,41.44,96.0,43.16%,0.0,0.0,0.2353515625,3.910064697265625e-06
"2025-02-17 08:24:22.666672
",faiss,99.67,43.86,96.0,45.69%,0.0,0.0,0.2294921875,3.910064697265625e-06
"2025-02-17 08:24:22.666672
",faiss,99.70,45.54,96.0,47.44%,0.0,0.0,0.2353515625,3.910064697265625e-06
"2025-02-17 08:24:24.676239
",faiss,100.18,47.81,96.0,49.80%,0.0,0.0,0.2294921875,3.910064697265625e-06
"2025-02-17 08:24:24.676239
",faiss,99.82,49.59,96.0,51.66%,0.0,0.0,0.2353515625,3.910064697265625e-06
"2025-02-17 08:24:26.687593
",faiss,100.13,51.82,96.0,53.98%,0.0,0.0,0.2294921875,3.910064697265625e-06
"2025-02-17 08:24:26.687593
",faiss,99.76,53.61,96.0,55.84%,0.0,0.0,0.2353515625,3.910064697265625e-06
"2025-02-17 08:24:28.698057
",faiss,99.93,55.85,96.0,58.18%,0.0,0.0,0.2294921875,3.910064697265625e-06
"2025-02-17 08:24:28.698057
",faiss,99.95,57.61,96.0,60.01%,0.0,0.0,0.2353515625,3.910064697265625e-06
"2025-02-17 08:24:30.708978
",faiss,99.55,59.88,96.0,62.37%,0.0,0.0,0.2294921875,3.910064697265625e-06
"2025-02-17 08:24:30.708978
",faiss,100.05,61.63,96.0,64.19%,0.0,0.0,0.2353515625,3.910064697265625e-06
"2025-02-17 08:24:32.718880
",faiss,100.15,63.91,96.0,66.58%,0.0,0.0,0.2294921875,3.910064697265625e-06
"2025-02-17 08:24:32.718880
",faiss,100.32,65.63,96.0,68.37%,0.0,0.0,0.2353515625,3.910064697265625e-06
"2025-02-17 08:24:34.730409
",faiss,99.75,67.95,96.0,70.78%,0.0,0.0,0.2294921875,3.910064697265625e-06
"2025-02-17 08:24:34.730409
",faiss,99.77,69.65,96.0,72.55%,0.0,0.0,0.2353515625,3.910064697265625e-06
"2025-02-17 08:24:36.740211
",faiss,100.14,72.0,96.0,75.00%,0.0,0.0,0.2294921875,3.910064697265625e-06
"2025-02-17 08:24:36.740211
",faiss,81.66,73.02,96.0,76.06%,0.0,0.0,0.365234375,3.910064697265625e-06
"2025-02-17 08:24:38.752432
",faiss,45.55,73.13,96.0,76.17%,0.0,0.0,0.3642578125,3.910064697265625e-06
"2025-02-17 08:24:38.752432
",faiss,37.56,73.61,96.0,76.68%,0.0,0.0,0.939453125,3.910064697265625e-06
"2025-02-17 08:24:40.761144
",faiss,54.24,73.42,96.0,76.47%,0.0,0.0,0.69921875,3.910064697265625e-06
"2025-02-17 08:24:40.761144
",faiss,49.97,73.92,96.0,77.00%,0.0,0.0,1.33,3.910064697265625e-06
"2025-02-17 08:24:42.772966
",faiss,35.44,73.7,96.0,76.78%,0.0,0.0,1.06,3.910064697265625e-06
"2025-02-17 08:24:42.772966
",faiss,34.96,74.23,96.0,77.32%,0.0,0.0,1.7,3.910064697265625e-06
"2025-02-17 08:24:44.783597
",faiss,33.94,74.0,96.0,77.08%,0.0,0.0,1.42,3.910064697265625e-06
"2025-02-17 08:24:44.783597
",faiss,33.60,74.55,96.0,77.65%,0.0,0.0,2.08,3.910064697265625e-06
"2025-02-17 08:24:46.795610
",faiss,36.00,74.29,96.0,77.39%,0.0,0.0,1.77,3.910064697265625e-06
"2025-02-17 08:24:46.795610
",faiss,35.91,74.87,96.0,77.99%,0.0,0.0,2.47,3.910064697265625e-06
"2025-02-17 08:24:48.807485
",faiss,35.48,74.59,96.0,77.70%,0.0,0.0,2.13,3.910064697265625e-06
"2025-02-17 08:24:48.807485
",faiss,35.17,75.17,96.0,78.31%,0.0,0.0,2.83,3.910064697265625e-06
"2025-02-17 08:24:50.818716
",faiss,34.37,74.87,96.0,77.99%,0.0,0.0,2.47,3.910064697265625e-06
"2025-02-17 08:24:50.818716
",faiss,34.13,75.48,96.0,78.63%,0.0,0.0,3.21,3.910064697265625e-06
"2025-02-17 08:24:52.830266
",faiss,34.17,75.14,96.0,78.28%,0.0,0.0,2.8,3.910064697265625e-06
"2025-02-17 08:24:52.830266
",faiss,34.29,75.77,96.0,78.92%,0.0,0.0,3.55,3.910064697265625e-06
"2025-02-17 08:24:54.841597
",faiss,33.44,75.43,96.0,78.57%,0.0,0.0,3.14,3.910064697265625e-06
"2025-02-17 08:24:54.841597
",faiss,33.90,76.05,96.0,79.22%,0.0,0.0,3.89,3.910064697265625e-06
"2025-02-17 08:24:56.852011
",faiss,34.81,75.72,96.0,78.88%,0.0,0.0,3.49,3.910064697265625e-06
"2025-02-17 08:24:56.852011
",faiss,34.89,76.35,96.0,79.53%,0.0,0.0,4.25,3.910064697265625e-06
"2025-02-17 08:24:58.862602
",faiss,35.99,76.0,96.0,79.16%,0.0,0.0,3.82,3.910064697265625e-06
"2025-02-17 08:24:58.862602
",faiss,34.77,76.64,96.0,79.83%,0.0,0.0,4.6,3.910064697265625e-06
"2025-02-17 08:25:00.873614
",faiss,36.23,76.27,96.0,79.45%,0.0,0.0,4.16,3.910064697265625e-06
"2025-02-17 08:25:00.873614
",faiss,34.91,76.95,96.0,80.15%,0.0,0.0,4.97,3.910064697265625e-06
"2025-02-17 08:25:02.885442
",faiss,34.24,76.41,96.0,79.59%,0.0,0.0,4.49,3.910064697265625e-06
"2025-02-17 08:25:02.885442
",faiss,33.87,77.2,96.0,80.42%,0.0,0.0,5.33,3.910064697265625e-06
"2025-02-17 08:25:04.896809
",faiss,36.61,76.7,96.0,79.89%,0.0,0.0,4.83,3.910064697265625e-06
"2025-02-17 08:25:04.896809
",faiss,37.32,77.48,96.0,80.71%,0.0,0.0,5.73,3.910064697265625e-06
"2025-02-17 08:25:06.914468
",faiss,36.96,76.95,96.0,80.16%,0.0,0.0,5.17,3.910064697265625e-06
"2025-02-17 08:25:06.914468
",faiss,39.06,77.81,96.0,81.05%,0.0,0.0,6.12,3.910064697265625e-06
"2025-02-17 08:25:08.924869
",faiss,36.86,77.26,96.0,80.47%,0.0,0.0,5.53,3.910064697265625e-06
"2025-02-17 08:25:08.924869
",faiss,39.34,78.12,96.0,81.37%,0.0,0.0,6.49,3.910064697265625e-06
"2025-02-17 08:25:10.937621
",faiss,36.77,77.55,96.0,80.78%,0.0,0.0,5.88,3.910064697265625e-06
"2025-02-17 08:25:10.937621
",faiss,38.85,78.45,96.0,81.72%,0.0,0.0,6.89,3.910064697265625e-06
"2025-02-17 08:25:12.948180
",faiss,38.13,77.84,96.0,81.08%,0.0,0.0,6.23,3.910064697265625e-06
"2025-02-17 08:25:12.948180
",faiss,40.69,78.78,96.0,82.06%,0.0,0.0,7.29,3.910064697265625e-06
"2025-02-17 08:25:14.958108
",faiss,36.80,77.97,96.0,81.22%,0.0,0.0,6.6,3.910064697265625e-06
"2025-02-17 08:25:14.958108
",faiss,39.32,79.04,96.0,82.34%,0.0,0.0,7.67,3.910064697265625e-06
"2025-02-17 08:25:16.966670
",faiss,34.90,78.11,96.0,81.37%,0.0,0.0,6.94,3.910064697265625e-06
"2025-02-17 08:25:16.966670
",faiss,37.36,79.32,96.0,82.62%,0.0,0.0,8.06,3.910064697265625e-06
"2025-02-17 08:25:18.978111
",faiss,36.33,78.25,96.0,81.51%,0.0,0.0,7.28,3.910064697265625e-06
"2025-02-17 08:25:18.978111
",faiss,38.76,79.54,96.0,82.86%,0.0,0.0,8.41,3.910064697265625e-06
"2025-02-17 08:25:20.987980
",faiss,35.86,78.35,96.0,81.62%,0.0,0.0,7.6,3.910064697265625e-06
"2025-02-17 08:25:20.987980
",faiss,39.18,79.76,96.0,83.09%,0.0,0.0,8.76,3.910064697265625e-06
"2025-02-17 08:25:23.001315
",faiss,37.03,78.26,96.0,81.52%,0.0,0.0,7.96,3.910064697265625e-06
"2025-02-17 08:25:23.001315
",faiss,39.75,79.87,96.0,83.20%,0.0,0.0,9.12,3.910064697265625e-06
"2025-02-17 08:25:25.012615
",faiss,35.10,78.37,96.0,81.63%,0.0,0.0,8.3,3.910064697265625e-06
"2025-02-17 08:25:25.012615
",faiss,37.00,80.06,96.0,83.39%,0.0,0.0,9.45,3.910064697265625e-06
