mode,batch_size,query_start,query_end,query_time
IVF,64,2025-02-17 08:29:07.127724,2025-02-17 08:29:08.136908,0 days 00:00:01.009184
IVF,64,2025-02-17 08:29:08.137009,2025-02-17 08:29:09.268990,0 days 00:00:01.131981
IVF,64,2025-02-17 08:29:09.269137,2025-02-17 08:29:10.479165,0 days 00:00:01.210028
IVF,64,2025-02-17 08:29:10.479350,2025-02-17 08:29:11.459786,0 days 00:00:00.980436
IVF,64,2025-02-17 08:29:11.459935,2025-02-17 08:29:12.416382,0 days 00:00:00.956447
IVF,64,2025-02-17 08:29:12.416446,2025-02-17 08:29:13.435772,0 days 00:00:01.019326
IVF,64,2025-02-17 08:29:13.435831,2025-02-17 08:29:14.429327,0 days 00:00:00.993496
IVF,64,2025-02-17 08:29:14.429384,2025-02-17 08:29:15.404920,0 days 00:00:00.975536
IVF,64,2025-02-17 08:29:15.405041,2025-02-17 08:29:16.523248,0 days 00:00:01.118207
IVF,64,2025-02-17 08:29:16.523332,2025-02-17 08:29:17.621224,0 days 00:00:01.097892
IVF,64,2025-02-17 08:29:17.621306,2025-02-17 08:29:18.711945,0 days 00:00:01.090639
IVF,64,2025-02-17 08:29:18.712051,2025-02-17 08:29:19.746891,0 days 00:00:01.034840
IVF,64,2025-02-17 08:29:19.747010,2025-02-17 08:29:20.834930,0 days 00:00:01.087920
IVF,64,2025-02-17 08:29:20.834984,2025-02-17 08:29:21.881743,0 days 00:00:01.046759
IVF,64,2025-02-17 08:29:21.881847,2025-02-17 08:29:22.845399,0 days 00:00:00.963552
IVF,64,2025-02-17 08:29:22.845524,2025-02-17 08:29:23.831245,0 days 00:00:00.985721
IVF,64,2025-02-17 08:29:23.831299,2025-02-17 08:29:24.714971,0 days 00:00:00.883672
IVF,64,2025-02-17 08:29:24.715035,2025-02-17 08:29:25.724933,0 days 00:00:01.009898
IVF,64,2025-02-17 08:29:25.725023,2025-02-17 08:29:26.716953,0 days 00:00:00.991930
IVF,64,2025-02-17 08:29:26.717007,2025-02-17 08:29:27.735844,0 days 00:00:01.018837
IVF,64,2025-02-17 08:29:27.735902,2025-02-17 08:29:28.748046,0 days 00:00:01.012144
IVF,64,2025-02-17 08:29:28.748196,2025-02-17 08:29:29.753037,0 days 00:00:01.004841
IVF,64,2025-02-17 08:29:29.753188,2025-02-17 08:29:30.801492,0 days 00:00:01.048304
