Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.73,1.4,2025-02-17 08:23:39.171,0.0,5.01,4.72,0.72,0.69,14.190000000000012,34944,33280,0.0,0.0,68,0.0,0.0,50,0.0,0.0,60
9.62,1.4,2025-02-17 08:23:39.271,0.1,4.96,4.66,0.72,0.68,14.700000000000008,34736,33384,0.0,0.0,85,0.0,0.0,32,0.0,0.0,63
9.68,1.4,2025-02-17 08:23:39.372,0.201,4.97,4.71,0.72,0.68,13.650000000000016,34944,33384,0.0,0.0,79,0.0,0.0,46,0.0,0.0,65
9.66,1.4,2025-02-17 08:23:39.472,0.301,4.96,4.71,0.72,0.68,14.450000000000014,34736,33280,0.0,0.0,62,0.0,0.0,51,0.0,0.0,56
9.68,1.4,2025-02-17 08:23:39.572,0.401,4.98,4.7,0.72,0.68,19.029999999999973,35048,32240,0.0,0.0,31,0.0,0.0,84,0.0,0.0,58
9.95,1.41,2025-02-17 08:23:39.673,0.502,4.97,4.98,0.73,0.69,49.360000000000035,35360,32344,0.01,0.01,12,0.01,0.01,92,0.02,0.02,52
9.58,1.4,2025-02-17 08:23:39.773,0.602,4.97,4.61,0.72,0.68,14.290000000000013,35256,32344,0.0,0.0,64,0.0,0.0,47,0.0,0.0,57
9.58,1.4,2025-02-17 08:23:39.873,0.702,4.96,4.62,0.72,0.68,14.710000000000003,35256,32240,0.0,0.0,51,0.0,0.0,54,0.0,0.0,52
9.47,1.38,2025-02-17 08:23:39.973,0.802,4.91,4.56,0.71,0.67,16.750000000000014,35464,32136,0.0,0.0,65,0.0,0.0,46,0.0,0.0,56
9.54,1.39,2025-02-17 08:23:40.072,0.901,4.91,4.63,0.71,0.67,14.130000000000017,35672,32136,0.0,0.0,64,0.0,0.0,51,0.0,0.0,57
