time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-19 04:14:42.672911
",minSpanningForest,4794.83,26.07,155.0,16.82%,0.0,0.0,1.1730194091796876e-05,0.0
"2025-02-19 04:14:44.998360
",minSpanningForest,1033.92,40.49,155.0,26.13%,0.0,0.0,0.4111328125,0.0
"2025-02-19 04:14:47.005571
",minSpanningForest,41.16,40.49,155.0,26.13%,0.0,0.0,1.48,0.0
"2025-02-19 04:14:49.010994
",minSpanningForest,33.70,40.49,155.0,26.13%,0.0,0.0,2.39,0.0
"2025-02-19 04:14:51.019469
",minSpanningForest,30.92,40.49,155.0,26.13%,0.0,0.0,3.07,0.0
"2025-02-19 04:14:53.025760
",minSpanningForest,31.17,40.49,155.0,26.13%,0.0,0.0,3.75,0.0
"2025-02-19 04:14:55.032199
",minSpanningForest,36.79,40.49,155.0,26.13%,0.0,0.0,4.52,0.0
"2025-02-19 04:14:57.039194
",minSpanningForest,43.29,40.49,155.0,26.13%,0.0,0.0,5.57,0.0
"2025-02-19 04:14:59.045834
",minSpanningForest,38.98,40.49,155.0,26.13%,0.0,0.0,6.53,0.0
"2025-02-19 04:15:01.052422
",minSpanningForest,31.58,40.49,155.0,26.13%,0.0,0.0,7.18,0.0
"2025-02-19 04:15:03.059360
",minSpanningForest,31.93,40.49,155.0,26.13%,0.0,0.0,7.82,0.0
"2025-02-19 04:15:05.064605
",minSpanningForest,32.07,40.49,155.0,26.13%,0.0,0.0,8.48,0.0
"2025-02-19 04:15:07.070461
",minSpanningForest,40.84,40.49,155.0,26.13%,0.0,0.0,9.37,0.0
"2025-02-19 04:15:09.077819
",minSpanningForest,41.85,40.49,155.0,26.13%,0.0,0.0,10.4,0.0
"2025-02-19 04:15:11.083561
",minSpanningForest,30.24,40.49,155.0,26.13%,0.0,0.0,11.2,0.0
"2025-02-19 04:15:13.090801
",minSpanningForest,31.67,40.49,155.0,26.13%,0.0,0.0,11.8,0.0
"2025-02-19 04:15:15.098206
",minSpanningForest,32.16,40.49,155.0,26.13%,0.0,0.0,12.5,0.0
"2025-02-19 04:15:17.104371
",minSpanningForest,39.11,40.49,155.0,26.13%,0.0,0.0,13.2,0.0
"2025-02-19 04:15:19.112473
",minSpanningForest,40.26,40.49,155.0,26.13%,0.0,0.0,14.2,0.0
"2025-02-19 04:15:21.118717
",minSpanningForest,39.05,40.49,155.0,26.13%,0.0,0.0,15.1,0.0
"2025-02-19 04:15:23.126365
",minSpanningForest,30.30,40.49,155.0,26.13%,0.0,0.0,15.8,0.0
