mode,batch_size,query_start,query_end,query_time
IVF,64,2025-02-19 04:21:32.396420,2025-02-19 04:21:33.385532,0 days 00:00:00.989112
IVF,64,2025-02-19 04:21:33.386861,2025-02-19 04:21:35.148883,0 days 00:00:01.762022
IVF,64,2025-02-19 04:21:35.148988,2025-02-19 04:21:36.538625,0 days 00:00:01.389637
IVF,64,2025-02-19 04:21:36.538712,2025-02-19 04:21:37.734306,0 days 00:00:01.195594
IVF,64,2025-02-19 04:21:37.734391,2025-02-19 04:21:39.019001,0 days 00:00:01.284610
IVF,64,2025-02-19 04:21:39.019112,2025-02-19 04:21:40.218474,0 days 00:00:01.199362
IVF,64,2025-02-19 04:21:40.218549,2025-02-19 04:21:41.177301,0 days 00:00:00.958752
IVF,64,2025-02-19 04:21:41.177364,2025-02-19 04:21:42.103574,0 days 00:00:00.926210
IVF,64,2025-02-19 04:21:42.103651,2025-02-19 04:21:43.124798,0 days 00:00:01.021147
IVF,64,2025-02-19 04:21:43.124865,2025-02-19 04:21:44.140913,0 days 00:00:01.016048
IVF,64,2025-02-19 04:21:44.141213,2025-02-19 04:21:45.134076,0 days 00:00:00.992863
IVF,64,2025-02-19 04:21:45.134150,2025-02-19 04:21:46.218970,0 days 00:00:01.084820
IVF,64,2025-02-19 04:21:46.219064,2025-02-19 04:21:47.219031,0 days 00:00:00.999967
IVF,64,2025-02-19 04:21:47.219109,2025-02-19 04:21:48.378670,0 days 00:00:01.159561
IVF,64,2025-02-19 04:21:48.378737,2025-02-19 04:21:49.476997,0 days 00:00:01.098260
IVF,64,2025-02-19 04:21:49.477074,2025-02-19 04:21:50.469889,0 days 00:00:00.992815
IVF,64,2025-02-19 04:21:50.470057,2025-02-19 04:21:51.659669,0 days 00:00:01.189612
IVF,64,2025-02-19 04:21:51.659754,2025-02-19 04:21:52.715695,0 days 00:00:01.055941
IVF,64,2025-02-19 04:21:52.715772,2025-02-19 04:21:53.799775,0 days 00:00:01.084003
IVF,64,2025-02-19 04:21:53.799874,2025-02-19 04:21:54.823221,0 days 00:00:01.023347
IVF,64,2025-02-19 04:21:54.823377,2025-02-19 04:21:55.914404,0 days 00:00:01.091027
IVF,64,2025-02-19 04:21:55.914470,2025-02-19 04:21:56.996090,0 days 00:00:01.081620
IVF,64,2025-02-19 04:21:56.996166,2025-02-19 04:21:58.146229,0 days 00:00:01.150063
IVF,64,2025-02-19 04:21:58.146290,2025-02-19 04:21:59.355920,0 days 00:00:01.209630
IVF,64,2025-02-19 04:21:59.355991,2025-02-19 04:22:00.504834,0 days 00:00:01.148843
IVF,64,2025-02-19 04:22:00.504926,2025-02-19 04:22:01.823555,0 days 00:00:01.318629
IVF,64,2025-02-19 04:22:01.823638,2025-02-19 04:22:03.003329,0 days 00:00:01.179691
IVF,64,2025-02-19 04:22:03.003388,2025-02-19 04:22:04.169340,0 days 00:00:01.165952
IVF,64,2025-02-19 04:22:04.169404,2025-02-19 04:22:05.140803,0 days 00:00:00.971399
IVF,64,2025-02-19 04:22:05.140967,2025-02-19 04:22:06.175747,0 days 00:00:01.034780
IVF,64,2025-02-19 04:22:06.175826,2025-02-19 04:22:07.274520,0 days 00:00:01.098694
IVF,64,2025-02-19 04:22:07.274601,2025-02-19 04:22:08.387013,0 days 00:00:01.112412
IVF,64,2025-02-19 04:22:08.387206,2025-02-19 04:22:09.632243,0 days 00:00:01.245037
