Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.19,1.39,2025-02-19 04:14:23.603,0.0,4.72,4.46,0.71,0.68,38.71,34528,33384,0.01,0.01,88,0.0,0.0,58,0.02,0.01,84
8.89,1.37,2025-02-19 04:14:23.704,0.101,4.47,4.41,0.7,0.67,23.270000000000003,34112,33176,0.0,0.0,89,0.0,0.0,36,0.01,0.0,75
8.87,1.36,2025-02-19 04:14:23.804,0.201,4.47,4.39,0.69,0.67,22.51999999999999,33384,33176,0.0,0.0,81,0.0,0.0,48,0.01,0.0,72
8.87,1.36,2025-02-19 04:14:23.905,0.302,4.46,4.41,0.69,0.67,20.919999999999977,33592,33176,0.0,0.0,75,0.0,0.0,49,0.0,0.0,64
8.8,1.35,2025-02-19 04:14:24.004,0.401,4.43,4.37,0.69,0.67,23.379999999999985,34840,33072,0.0,0.0,91,0.0,0.0,49,0.01,0.0,84
9.07,1.35,2025-02-19 04:14:24.103,0.5,4.49,4.58,0.69,0.67,35.770000000000024,34528,32760,0.0,0.0,79,0.0,0.0,66,0.01,0.0,73
8.85,1.36,2025-02-19 04:14:24.202,0.599,4.53,4.31,0.7,0.66,46.06999999999997,34216,33176,0.01,0.01,96,0.0,0.0,18,0.02,0.01,85
8.82,1.36,2025-02-19 04:14:24.302,0.699,4.41,4.41,0.68,0.67,20.51999999999999,34008,33280,0.0,0.0,64,0.0,0.0,51,0.01,0.0,59
8.87,1.36,2025-02-19 04:14:24.402,0.799,4.46,4.41,0.69,0.67,23.64999999999999,34008,33280,0.0,0.0,65,0.0,0.0,48,0.0,0.0,59
8.86,1.36,2025-02-19 04:14:24.503,0.9,4.47,4.4,0.69,0.68,19.099999999999962,34216,33176,0.0,0.0,69,0.0,0.0,51,0.0,0.0,62
8.87,1.36,2025-02-19 04:14:24.603,1.0,4.46,4.42,0.68,0.67,18.719999999999974,33384,33176,0.0,0.0,65,0.0,0.0,49,0.0,0.0,58
8.83,1.36,2025-02-19 04:14:24.703,1.1,4.43,4.4,0.68,0.68,25.94999999999999,33904,33176,0.0,0.0,80,0.0,0.0,46,0.01,0.0,68
9.04,1.38,2025-02-19 04:14:24.804,1.201,4.63,4.41,0.7,0.68,47.58,33072,33072,0.01,0.01,94,0.0,0.0,27,0.01,0.01,82
8.87,1.36,2025-02-19 04:14:24.904,1.301,4.46,4.41,0.68,0.67,19.43999999999999,32864,33072,0.0,0.0,73,0.0,0.0,48,0.01,0.0,63
8.94,1.36,2025-02-19 04:14:25.004,1.401,4.51,4.43,0.69,0.68,65.87000000000002,32032,33072,0.01,0.01,22,0.01,0.0,77,0.02,0.01,43
8.96,1.36,2025-02-19 04:14:25.104,1.501,4.52,4.44,0.69,0.67,32.46,33072,32240,0.0,0.0,70,0.0,0.0,57,0.01,0.0,64
8.89,1.36,2025-02-19 04:14:25.205,1.602,4.49,4.39,0.69,0.67,20.429999999999996,32656,32240,0.0,0.0,70,0.0,0.0,47,0.0,0.0,61
8.89,1.36,2025-02-19 04:14:25.305,1.702,4.49,4.4,0.69,0.68,25.99999999999997,32864,32240,0.0,0.0,72,0.0,0.0,52,0.01,0.0,67
9.03,1.37,2025-02-19 04:14:25.405,1.802,4.61,4.42,0.69,0.68,44.28999999999999,32864,32240,0.01,0.0,90,0.0,0.0,31,0.01,0.01,79
8.89,1.37,2025-02-19 04:14:25.505,1.902,4.49,4.4,0.7,0.68,19.669999999999987,32760,32136,0.0,0.0,67,0.0,0.0,49,0.01,0.0,59
8.91,1.37,2025-02-19 04:14:25.606,2.003,4.51,4.4,0.69,0.68,21.859999999999985,33072,32032,0.0,0.0,89,0.0,0.0,17,0.01,0.0,60
8.81,1.35,2025-02-19 04:14:25.705,2.102,4.44,4.37,0.68,0.67,21.280000000000026,32864,32032,0.0,0.0,72,0.0,0.0,61,0.0,0.0,67
8.79,1.34,2025-02-19 04:14:25.804,2.201,4.43,4.36,0.68,0.67,18.109999999999985,32136,32032,0.0,0.0,59,0.0,0.0,53,0.0,0.0,57
8.91,1.36,2025-02-19 04:14:25.905,2.302,4.48,4.42,0.68,0.67,23.659999999999968,33488,31824,0.0,0.0,80,0.0,0.0,50,0.0,0.0,69
9.0,1.37,2025-02-19 04:14:26.005,2.402,4.6,4.4,0.69,0.68,43.16999999999998,33488,32240,0.01,0.0,89,0.0,0.0,33,0.01,0.01,77
8.85,1.36,2025-02-19 04:14:26.105,2.502,4.44,4.41,0.68,0.68,33.85000000000001,34008,31824,0.0,0.0,66,0.0,0.0,59,0.01,0.0,62
8.88,1.38,2025-02-19 04:14:26.206,2.603,4.52,4.36,0.7,0.68,18.069999999999993,33696,31720,0.0,0.0,61,0.0,0.0,53,0.0,0.0,59
8.86,1.36,2025-02-19 04:14:26.306,2.703,4.46,4.4,0.68,0.68,19.859999999999975,34008,31720,0.0,0.0,73,0.0,0.0,53,0.0,0.0,68
8.92,1.37,2025-02-19 04:14:26.406,2.803,4.51,4.41,0.69,0.68,25.239999999999956,31928,31824,0.01,0.0,88,0.0,0.0,45,0.01,0.0,80
8.92,1.37,2025-02-19 04:14:26.507,2.904,4.52,4.4,0.69,0.68,31.809999999999967,32448,32032,0.0,0.0,83,0.0,0.0,42,0.01,0.0,71
9.01,1.37,2025-02-19 04:14:26.607,3.004,4.61,4.4,0.7,0.68,43.51999999999996,34528,32240,0.01,0.0,93,0.0,0.0,31,0.01,0.0,82
8.84,1.36,2025-02-19 04:14:26.707,3.104,4.48,4.36,0.69,0.67,18.239999999999995,33488,32656,0.0,0.0,58,0.0,0.0,61,0.0,0.0,59
8.87,1.35,2025-02-19 04:14:26.807,3.204,4.45,4.42,0.68,0.67,17.7,32968,32656,0.0,0.0,64,0.0,0.0,51,0.0,0.0,59
8.85,1.36,2025-02-19 04:14:26.907,3.304,4.44,4.41,0.68,0.67,19.139999999999972,33488,32656,0.0,0.0,56,0.0,0.0,53,0.0,0.0,55
8.87,1.36,2025-02-19 04:14:27.008,3.405,4.47,4.39,0.69,0.67,20.569999999999965,32656,32656,0.0,0.0,66,0.0,0.0,49,0.0,0.0,59
8.86,1.36,2025-02-19 04:14:27.108,3.505,4.46,4.4,0.68,0.68,37.11000000000002,33072,32136,0.0,0.0,74,0.0,0.0,56,0.01,0.0,65
8.91,1.37,2025-02-19 04:14:27.208,3.605,4.51,4.4,0.7,0.68,21.439999999999973,32240,32344,0.0,0.0,77,0.0,0.0,46,0.0,0.0,65
8.93,1.36,2025-02-19 04:14:27.308,3.705,4.57,4.36,0.69,0.67,43.26999999999998,31824,32552,0.01,0.0,91,0.0,0.0,35,0.01,0.0,78
8.8,1.35,2025-02-19 04:14:27.407,3.804,4.43,4.37,0.68,0.67,19.849999999999984,31616,32760,0.0,0.0,56,0.0,0.0,56,0.01,0.0,56
8.92,1.37,2025-02-19 04:14:27.508,3.905,4.5,4.42,0.69,0.68,34.32000000000001,32240,32760,0.0,0.0,88,0.0,0.0,50,0.01,0.0,78
8.88,1.36,2025-02-19 04:14:27.608,4.005,4.48,4.41,0.68,0.68,20.229999999999986,31096,32760,0.0,0.0,80,0.0,0.0,39,0.0,0.0,64
8.85,1.37,2025-02-19 04:14:27.708,4.105,4.45,4.4,0.69,0.68,20.409999999999968,31408,32656,0.0,0.0,69,0.0,0.0,57,0.0,0.0,64
8.85,1.36,2025-02-19 04:14:27.809,4.206,4.44,4.42,0.68,0.68,23.00999999999997,31408,32656,0.0,0.0,84,0.0,0.0,45,0.0,0.0,71
9.03,1.38,2025-02-19 04:14:27.909,4.306,4.64,4.4,0.7,0.68,48.01999999999997,33696,32656,0.01,0.0,95,0.0,0.0,33,0.01,0.0,85
8.79,1.36,2025-02-19 04:14:28.008,4.405,4.43,4.36,0.69,0.67,33.079999999999984,33592,32864,0.0,0.0,91,0.0,0.0,47,0.01,0.0,87
8.77,1.35,2025-02-19 04:14:28.108,4.505,4.41,4.37,0.68,0.67,31.540000000000003,33384,31928,0.0,0.0,69,0.0,0.0,58,0.0,0.0,63
8.89,1.37,2025-02-19 04:14:28.208,4.605,4.48,4.41,0.69,0.67,39.07000000000003,32864,32448,0.01,0.0,86,0.0,0.0,51,0.01,0.0,79
8.97,1.37,2025-02-19 04:14:28.309,4.706,4.5,4.47,0.69,0.68,27.83999999999999,32968,32656,0.0,0.0,58,0.0,0.0,78,0.0,0.0,71
8.89,1.36,2025-02-19 04:14:28.409,4.806,4.46,4.42,0.69,0.68,22.74999999999998,31512,32760,0.0,0.0,84,0.0,0.0,37,0.0,0.0,65
9.06,1.37,2025-02-19 04:14:28.509,4.906,4.66,4.4,0.7,0.67,43.65999999999999,33280,32968,0.01,0.0,93,0.0,0.0,33,0.01,0.01,81
8.86,1.36,2025-02-19 04:14:28.610,5.007,4.46,4.4,0.68,0.67,20.969999999999967,33280,32864,0.0,0.0,80,0.0,0.0,49,0.0,0.0,70
8.77,1.35,2025-02-19 04:14:28.709,5.106,4.41,4.36,0.68,0.67,15.950000000000006,33488,32760,0.0,0.0,71,0.0,0.0,47,0.0,0.0,59
8.77,1.35,2025-02-19 04:14:28.809,5.206,4.4,4.38,0.68,0.66,17.15,32968,32656,0.0,0.0,66,0.0,0.0,50,0.0,0.0,59
8.83,1.36,2025-02-19 04:14:28.909,5.306,4.43,4.4,0.69,0.67,16.60000000000001,33072,32656,0.0,0.0,70,0.0,0.0,49,0.0,0.0,59
8.88,1.36,2025-02-19 04:14:29.009,5.406,4.47,4.41,0.69,0.67,24.049999999999983,32864,32552,0.0,0.0,85,0.0,0.0,47,0.0,0.0,73
9.05,1.37,2025-02-19 04:14:29.110,5.507,4.64,4.41,0.7,0.68,54.73999999999999,34320,32032,0.01,0.0,90,0.0,0.0,46,0.01,0.01,78
8.96,1.37,2025-02-19 04:14:29.211,5.608,4.5,4.45,0.69,0.68,19.219999999999995,34320,32136,0.0,0.0,65,0.0,0.0,38,0.0,0.0,56
8.79,1.34,2025-02-19 04:14:29.310,5.707,4.43,4.37,0.67,0.67,21.029999999999987,34736,32136,0.0,0.0,82,0.0,0.0,45,0.0,0.0,69
8.87,1.35,2025-02-19 04:14:29.411,5.808,4.47,4.41,0.68,0.67,17.899999999999984,33280,32344,0.0,0.0,61,0.0,0.0,48,0.0,0.0,55
8.81,1.34,2025-02-19 04:14:29.510,5.907,4.45,4.36,0.68,0.67,21.449999999999978,33176,32344,0.0,0.0,73,0.0,0.0,51,0.0,0.0,65
8.95,1.36,2025-02-19 04:14:29.610,6.007,4.55,4.41,0.69,0.67,38.13000000000002,34944,32448,0.01,0.0,96,0.0,0.0,19,0.01,0.0,79
9.0,1.37,2025-02-19 04:14:29.711,6.108,4.61,4.4,0.7,0.67,44.08999999999999,34216,32552,0.01,0.0,94,0.0,0.0,31,0.01,0.0,83
8.88,1.36,2025-02-19 04:14:29.811,6.208,4.47,4.41,0.69,0.67,18.00999999999999,33384,32656,0.0,0.0,74,0.0,0.0,47,0.0,0.0,64
8.91,1.36,2025-02-19 04:14:29.912,6.309,4.49,4.42,0.68,0.67,24.89999999999998,34008,32552,0.0,0.0,79,0.0,0.0,49,0.0,0.0,71
8.76,1.35,2025-02-19 04:14:30.011,6.408,4.42,4.34,0.68,0.67,21.249999999999982,33800,32552,0.0,0.0,89,0.0,0.0,46,0.0,0.0,80
8.79,1.35,2025-02-19 04:14:30.110,6.507,4.43,4.36,0.68,0.67,32.550000000000004,34008,32136,0.0,0.0,66,0.0,0.0,57,0.01,0.0,61
8.8,1.34,2025-02-19 04:14:30.210,6.607,4.44,4.35,0.67,0.67,22.32999999999998,34008,32136,0.0,0.0,83,0.0,0.0,46,0.0,0.0,71
8.99,1.36,2025-02-19 04:14:30.310,6.707,4.58,4.41,0.69,0.67,41.18999999999997,33592,32136,0.01,0.0,96,0.0,0.0,20,0.01,0.0,82
8.92,1.36,2025-02-19 04:14:30.411,6.808,4.52,4.41,0.68,0.67,25.23999999999997,33280,32448,0.0,0.0,81,0.0,0.0,48,0.0,0.0,72
8.87,1.35,2025-02-19 04:14:30.511,6.908,4.47,4.4,0.68,0.67,16.95,33488,32448,0.0,0.0,65,0.0,0.0,46,0.0,0.0,56
8.88,1.36,2025-02-19 04:14:30.611,7.008,4.47,4.41,0.68,0.68,20.109999999999967,33072,32448,0.0,0.0,70,0.0,0.0,55,0.0,0.0,64
8.86,1.36,2025-02-19 04:14:30.712,7.109,4.47,4.39,0.68,0.67,22.92999999999996,33176,32344,0.0,0.0,85,0.0,0.0,54,0.0,0.0,81
8.82,1.35,2025-02-19 04:14:30.811,7.208,4.46,4.35,0.68,0.66,31.82999999999996,34008,32344,0.01,0.01,98,0.0,0.0,35,0.02,0.01,96
8.8,1.34,2025-02-19 04:14:30.910,7.307,4.44,4.36,0.67,0.66,23.90999999999997,33696,32344,0.0,0.0,89,0.0,0.0,45,0.0,0.0,77
9.06,1.36,2025-02-19 04:14:31.011,7.408,4.64,4.42,0.69,0.67,44.139999999999986,35360,32448,0.01,0.0,96,0.0,0.0,24,0.01,0.01,85
8.86,1.35,2025-02-19 04:14:31.111,7.508,4.45,4.41,0.68,0.67,33.47,34944,32344,0.0,0.0,68,0.0,0.0,52,0.01,0.0,61
8.88,1.36,2025-02-19 04:14:31.212,7.609,4.48,4.4,0.68,0.68,24.449999999999996,34216,32344,0.0,0.0,78,0.0,0.0,51,0.0,0.0,68
8.86,1.35,2025-02-19 04:14:31.312,7.709,4.46,4.4,0.68,0.67,18.450000000000003,34424,32448,0.0,0.0,89,0.0,0.0,44,0.0,0.0,76
8.91,1.35,2025-02-19 04:14:31.411,7.808,4.55,4.36,0.69,0.66,98.44999999999997,32864,32448,0.01,0.0,97,0.0,0.0,40,0.01,0.0,94
9.06,1.35,2025-02-19 04:14:31.511,7.908,4.69,4.37,0.69,0.66,69.30000000000004,31512,32448,0.01,0.0,96,0.0,0.0,33,0.01,0.0,86
