mode,batch_size,query_start,query_end,query_time
IVF,64,2025-02-17 10:13:07.000138,2025-02-17 10:13:08.179089,0 days 00:00:01.178951
IVF,64,2025-02-17 10:13:08.179296,2025-02-17 10:13:09.501847,0 days 00:00:01.322551
IVF,64,2025-02-17 10:13:09.501911,2025-02-17 10:13:10.624412,0 days 00:00:01.122501
IVF,64,2025-02-17 10:13:10.624461,2025-02-17 10:13:11.894686,0 days 00:00:01.270225
IVF,64,2025-02-17 10:13:11.894741,2025-02-17 10:13:12.885473,0 days 00:00:00.990732
IVF,64,2025-02-17 10:13:12.885537,2025-02-17 10:13:13.926465,0 days 00:00:01.040928
IVF,64,2025-02-17 10:13:13.926565,2025-02-17 10:13:15.090725,0 days 00:00:01.164160
IVF,64,2025-02-17 10:13:15.090789,2025-02-17 10:13:16.024814,0 days 00:00:00.934025
IVF,64,2025-02-17 10:13:16.024928,2025-02-17 10:13:17.049676,0 days 00:00:01.024748
IVF,64,2025-02-17 10:13:17.049743,2025-02-17 10:13:18.020856,0 days 00:00:00.971113
IVF,64,2025-02-17 10:13:18.020926,2025-02-17 10:13:18.991311,0 days 00:00:00.970385
IVF,64,2025-02-17 10:13:18.991371,2025-02-17 10:13:19.993567,0 days 00:00:01.002196
IVF,64,2025-02-17 10:13:19.993625,2025-02-17 10:13:20.990708,0 days 00:00:00.997083
IVF,64,2025-02-17 10:13:20.990913,2025-02-17 10:13:21.959852,0 days 00:00:00.968939
IVF,64,2025-02-17 10:13:21.959910,2025-02-17 10:13:22.891149,0 days 00:00:00.931239
IVF,64,2025-02-17 10:13:22.891197,2025-02-17 10:13:23.798274,0 days 00:00:00.907077
IVF,64,2025-02-17 10:13:23.798508,2025-02-17 10:13:24.736372,0 days 00:00:00.937864
IVF,64,2025-02-17 10:13:24.736431,2025-02-17 10:13:25.676207,0 days 00:00:00.939776
IVF,64,2025-02-17 10:13:25.676270,2025-02-17 10:13:26.606764,0 days 00:00:00.930494
IVF,64,2025-02-17 10:13:26.606822,2025-02-17 10:13:27.529500,0 days 00:00:00.922678
IVF,64,2025-02-17 10:13:27.529550,2025-02-17 10:13:28.408303,0 days 00:00:00.878753
IVF,64,2025-02-17 10:13:28.408359,2025-02-17 10:13:29.428518,0 days 00:00:01.020159
IVF,64,2025-02-17 10:13:29.428577,2025-02-17 10:13:30.560694,0 days 00:00:01.132117
IVF,64,2025-02-17 10:13:30.560759,2025-02-17 10:13:31.676710,0 days 00:00:01.115951
IVF,64,2025-02-17 10:13:31.676768,2025-02-17 10:13:32.772637,0 days 00:00:01.095869
IVF,64,2025-02-17 10:13:32.772740,2025-02-17 10:13:33.854012,0 days 00:00:01.081272
IVF,64,2025-02-17 10:13:33.854470,2025-02-17 10:13:34.858655,0 days 00:00:01.004185
IVF,64,2025-02-17 10:13:34.859069,2025-02-17 10:13:36.004545,0 days 00:00:01.145476
IVF,64,2025-02-17 10:13:36.004596,2025-02-17 10:13:37.010269,0 days 00:00:01.005673
IVF,64,2025-02-17 10:13:37.010325,2025-02-17 10:13:38.168070,0 days 00:00:01.157745
IVF,64,2025-02-17 10:13:38.168132,2025-02-17 10:13:39.218857,0 days 00:00:01.050725
IVF,64,2025-02-17 10:13:39.219265,2025-02-17 10:13:40.303776,0 days 00:00:01.084511
IVF,64,2025-02-17 10:13:40.303854,2025-02-17 10:13:41.356169,0 days 00:00:01.052315
IVF,64,2025-02-17 10:13:41.356256,2025-02-17 10:13:42.400123,0 days 00:00:01.043867
IVF,64,2025-02-17 10:13:42.400187,2025-02-17 10:13:43.485498,0 days 00:00:01.085311
IVF,64,2025-02-17 10:13:43.485566,2025-02-17 10:13:44.556674,0 days 00:00:01.071108
IVF,64,2025-02-17 10:13:44.557189,2025-02-17 10:13:45.571896,0 days 00:00:01.014707
IVF,64,2025-02-17 10:13:45.571950,2025-02-17 10:13:46.552938,0 days 00:00:00.980988
IVF,64,2025-02-17 10:13:46.553017,2025-02-17 10:13:47.662115,0 days 00:00:01.109098
IVF,64,2025-02-17 10:13:47.662179,2025-02-17 10:13:48.717967,0 days 00:00:01.055788
IVF,64,2025-02-17 10:13:48.718012,2025-02-17 10:13:49.950243,0 days 00:00:01.232231
IVF,64,2025-02-17 10:13:49.950372,2025-02-17 10:13:51.177187,0 days 00:00:01.226815
IVF,64,2025-02-17 10:13:51.177287,2025-02-17 10:13:52.202255,0 days 00:00:01.024968
IVF,64,2025-02-17 10:13:52.202322,2025-02-17 10:13:53.208796,0 days 00:00:01.006474
IVF,64,2025-02-17 10:13:53.208855,2025-02-17 10:13:54.220642,0 days 00:00:01.011787
IVF,64,2025-02-17 10:13:54.220691,2025-02-17 10:13:55.134132,0 days 00:00:00.913441
IVF,64,2025-02-17 10:13:55.134781,2025-02-17 10:13:55.992644,0 days 00:00:00.857863
IVF,64,2025-02-17 10:13:55.992708,2025-02-17 10:13:56.825799,0 days 00:00:00.833091
IVF,64,2025-02-17 10:13:56.825874,2025-02-17 10:13:57.669497,0 days 00:00:00.843623
IVF,64,2025-02-17 10:13:57.669565,2025-02-17 10:13:58.499361,0 days 00:00:00.829796
IVF,64,2025-02-17 10:13:58.499425,2025-02-17 10:13:59.374078,0 days 00:00:00.874653
IVF,64,2025-02-17 10:13:59.374139,2025-02-17 10:14:00.255371,0 days 00:00:00.881232
IVF,64,2025-02-17 10:14:00.255511,2025-02-17 10:14:01.086368,0 days 00:00:00.830857
IVF,64,2025-02-17 10:14:01.086631,2025-02-17 10:14:01.899541,0 days 00:00:00.812910
IVF,64,2025-02-17 10:14:01.899604,2025-02-17 10:14:02.725551,0 days 00:00:00.825947
IVF,64,2025-02-17 10:14:02.725707,2025-02-17 10:14:03.559086,0 days 00:00:00.833379
IVF,64,2025-02-17 10:14:03.559150,2025-02-17 10:14:04.400631,0 days 00:00:00.841481
IVF,64,2025-02-17 10:14:04.400875,2025-02-17 10:14:05.233588,0 days 00:00:00.832713
IVF,64,2025-02-17 10:14:05.233648,2025-02-17 10:14:06.025884,0 days 00:00:00.792236
IVF,64,2025-02-17 10:14:06.025962,2025-02-17 10:14:06.824572,0 days 00:00:00.798610
IVF,64,2025-02-17 10:14:06.824650,2025-02-17 10:14:07.633047,0 days 00:00:00.808397
IVF,64,2025-02-17 10:14:07.633123,2025-02-17 10:14:08.517266,0 days 00:00:00.884143
IVF,64,2025-02-17 10:14:08.517318,2025-02-17 10:14:09.346126,0 days 00:00:00.828808
IVF,64,2025-02-17 10:14:09.346747,2025-02-17 10:14:10.118721,0 days 00:00:00.771974
IVF,64,2025-02-17 10:14:10.118799,2025-02-17 10:14:10.941630,0 days 00:00:00.822831
IVF,64,2025-02-17 10:14:10.941689,2025-02-17 10:14:11.788731,0 days 00:00:00.847042
IVF,64,2025-02-17 10:14:11.788778,2025-02-17 10:14:12.578129,0 days 00:00:00.789351
IVF,64,2025-02-17 10:14:12.578226,2025-02-17 10:14:13.538315,0 days 00:00:00.960089
IVF,64,2025-02-17 10:14:13.538926,2025-02-17 10:14:14.519543,0 days 00:00:00.980617
IVF,64,2025-02-17 10:14:14.519692,2025-02-17 10:14:15.509047,0 days 00:00:00.989355
IVF,64,2025-02-17 10:14:15.509211,2025-02-17 10:14:16.511431,0 days 00:00:01.002220
IVF,64,2025-02-17 10:14:16.511494,2025-02-17 10:14:17.547323,0 days 00:00:01.035829
IVF,64,2025-02-17 10:14:17.547945,2025-02-17 10:14:18.576631,0 days 00:00:01.028686
IVF,64,2025-02-17 10:14:18.576735,2025-02-17 10:14:19.592659,0 days 00:00:01.015924
IVF,64,2025-02-17 10:14:19.592710,2025-02-17 10:14:20.575086,0 days 00:00:00.982376
IVF,64,2025-02-17 10:14:20.575139,2025-02-17 10:14:21.610179,0 days 00:00:01.035040
IVF,64,2025-02-17 10:14:21.610231,2025-02-17 10:14:22.698704,0 days 00:00:01.088473
IVF,64,2025-02-17 10:14:22.698782,2025-02-17 10:14:23.706495,0 days 00:00:01.007713
IVF,64,2025-02-17 10:14:23.706560,2025-02-17 10:14:24.727075,0 days 00:00:01.020515
IVF,64,2025-02-17 10:14:24.727127,2025-02-17 10:14:25.717792,0 days 00:00:00.990665
IVF,64,2025-02-17 10:14:25.717857,2025-02-17 10:14:26.707889,0 days 00:00:00.990032
IVF,64,2025-02-17 10:14:26.707951,2025-02-17 10:14:27.746494,0 days 00:00:01.038543
IVF,64,2025-02-17 10:14:27.746567,2025-02-17 10:14:28.797730,0 days 00:00:01.051163
IVF,64,2025-02-17 10:14:28.798471,2025-02-17 10:14:29.791081,0 days 00:00:00.992610
IVF,64,2025-02-17 10:14:29.791234,2025-02-17 10:14:30.830780,0 days 00:00:01.039546
IVF,64,2025-02-17 10:14:30.830852,2025-02-17 10:14:31.803697,0 days 00:00:00.972845
IVF,64,2025-02-17 10:14:31.803856,2025-02-17 10:14:32.911998,0 days 00:00:01.108142
IVF,64,2025-02-17 10:14:32.912060,2025-02-17 10:14:33.835382,0 days 00:00:00.923322
IVF,64,2025-02-17 10:14:33.835569,2025-02-17 10:14:35.054852,0 days 00:00:01.219283
IVF,64,2025-02-17 10:14:35.054985,2025-02-17 10:14:36.212224,0 days 00:00:01.157239
IVF,64,2025-02-17 10:14:36.212289,2025-02-17 10:14:37.187001,0 days 00:00:00.974712
IVF,64,2025-02-17 10:14:37.187068,2025-02-17 10:14:38.089717,0 days 00:00:00.902649
IVF,64,2025-02-17 10:14:38.089766,2025-02-17 10:14:39.155153,0 days 00:00:01.065387
IVF,64,2025-02-17 10:14:39.155202,2025-02-17 10:14:40.260911,0 days 00:00:01.105709
IVF,64,2025-02-17 10:14:40.260971,2025-02-17 10:14:41.049225,0 days 00:00:00.788254
IVF,64,2025-02-17 10:14:41.049373,2025-02-17 10:14:41.884356,0 days 00:00:00.834983
IVF,64,2025-02-17 10:14:41.884420,2025-02-17 10:14:42.722563,0 days 00:00:00.838143
IVF,64,2025-02-17 10:14:42.722646,2025-02-17 10:14:43.572751,0 days 00:00:00.850105
IVF,64,2025-02-17 10:14:43.572804,2025-02-17 10:14:44.394279,0 days 00:00:00.821475
IVF,64,2025-02-17 10:14:44.394353,2025-02-17 10:14:45.242377,0 days 00:00:00.848024
IVF,64,2025-02-17 10:14:45.242439,2025-02-17 10:14:46.081374,0 days 00:00:00.838935
IVF,64,2025-02-17 10:14:46.081437,2025-02-17 10:14:46.944301,0 days 00:00:00.862864
IVF,64,2025-02-17 10:14:46.944364,2025-02-17 10:14:47.773430,0 days 00:00:00.829066
IVF,64,2025-02-17 10:14:47.773487,2025-02-17 10:14:48.653425,0 days 00:00:00.879938
IVF,64,2025-02-17 10:14:48.653477,2025-02-17 10:14:49.501781,0 days 00:00:00.848304
IVF,64,2025-02-17 10:14:49.501865,2025-02-17 10:14:50.396209,0 days 00:00:00.894344
IVF,64,2025-02-17 10:14:50.396270,2025-02-17 10:14:51.260543,0 days 00:00:00.864273
IVF,64,2025-02-17 10:14:51.260604,2025-02-17 10:14:52.106594,0 days 00:00:00.845990
IVF,64,2025-02-17 10:14:52.106666,2025-02-17 10:14:52.932935,0 days 00:00:00.826269
IVF,64,2025-02-17 10:14:52.933003,2025-02-17 10:14:53.812596,0 days 00:00:00.879593
IVF,64,2025-02-17 10:14:53.812655,2025-02-17 10:14:54.675117,0 days 00:00:00.862462
IVF,64,2025-02-17 10:14:54.675179,2025-02-17 10:14:55.521882,0 days 00:00:00.846703
IVF,64,2025-02-17 10:14:55.522002,2025-02-17 10:14:56.380873,0 days 00:00:00.858871
IVF,64,2025-02-17 10:14:56.380965,2025-02-17 10:14:57.225779,0 days 00:00:00.844814
IVF,64,2025-02-17 10:14:57.225852,2025-02-17 10:14:58.039958,0 days 00:00:00.814106
IVF,64,2025-02-17 10:14:58.040381,2025-02-17 10:14:59.075587,0 days 00:00:01.035206
IVF,64,2025-02-17 10:14:59.075648,2025-02-17 10:15:00.077011,0 days 00:00:01.001363
IVF,64,2025-02-17 10:15:00.077096,2025-02-17 10:15:01.031505,0 days 00:00:00.954409
IVF,64,2025-02-17 10:15:01.031586,2025-02-17 10:15:02.066484,0 days 00:00:01.034898
IVF,64,2025-02-17 10:15:02.066574,2025-02-17 10:15:03.027899,0 days 00:00:00.961325
IVF,64,2025-02-17 10:15:03.027965,2025-02-17 10:15:04.048639,0 days 00:00:01.020674
IVF,64,2025-02-17 10:15:04.048739,2025-02-17 10:15:05.017498,0 days 00:00:00.968759
IVF,64,2025-02-17 10:15:05.017581,2025-02-17 10:15:05.951110,0 days 00:00:00.933529
IVF,64,2025-02-17 10:15:05.951256,2025-02-17 10:15:06.897831,0 days 00:00:00.946575
IVF,64,2025-02-17 10:15:06.897895,2025-02-17 10:15:07.862424,0 days 00:00:00.964529
IVF,64,2025-02-17 10:15:07.862487,2025-02-17 10:15:08.838833,0 days 00:00:00.976346
IVF,64,2025-02-17 10:15:08.839161,2025-02-17 10:15:09.843369,0 days 00:00:01.004208
IVF,64,2025-02-17 10:15:09.843589,2025-02-17 10:15:10.916410,0 days 00:00:01.072821
IVF,64,2025-02-17 10:15:10.916476,2025-02-17 10:15:11.899267,0 days 00:00:00.982791
IVF,64,2025-02-17 10:15:11.899340,2025-02-17 10:15:12.889907,0 days 00:00:00.990567
IVF,64,2025-02-17 10:15:12.889990,2025-02-17 10:15:13.847259,0 days 00:00:00.957269
IVF,64,2025-02-17 10:15:13.847341,2025-02-17 10:15:14.814596,0 days 00:00:00.967255
IVF,64,2025-02-17 10:15:14.814667,2025-02-17 10:15:16.111712,0 days 00:00:01.297045
IVF,64,2025-02-17 10:15:16.111815,2025-02-17 10:15:17.160225,0 days 00:00:01.048410
IVF,64,2025-02-17 10:15:17.160290,2025-02-17 10:15:18.245457,0 days 00:00:01.085167
IVF,64,2025-02-17 10:15:18.245553,2025-02-17 10:15:19.334751,0 days 00:00:01.089198
IVF,64,2025-02-17 10:15:19.334835,2025-02-17 10:15:20.634016,0 days 00:00:01.299181
IVF,64,2025-02-17 10:15:20.634262,2025-02-17 10:15:21.793162,0 days 00:00:01.158900
IVF,64,2025-02-17 10:15:21.793424,2025-02-17 10:15:22.903279,0 days 00:00:01.109855
IVF,64,2025-02-17 10:15:22.903326,2025-02-17 10:15:24.012932,0 days 00:00:01.109606
IVF,64,2025-02-17 10:15:24.012977,2025-02-17 10:15:24.992763,0 days 00:00:00.979786
IVF,64,2025-02-17 10:15:24.992819,2025-02-17 10:15:25.950629,0 days 00:00:00.957810
IVF,64,2025-02-17 10:15:25.950689,2025-02-17 10:15:26.860204,0 days 00:00:00.909515
IVF,64,2025-02-17 10:15:26.860330,2025-02-17 10:15:27.803225,0 days 00:00:00.942895
IVF,64,2025-02-17 10:15:27.803277,2025-02-17 10:15:28.882273,0 days 00:00:01.078996
IVF,64,2025-02-17 10:15:28.882321,2025-02-17 10:15:29.878883,0 days 00:00:00.996562
IVF,64,2025-02-17 10:15:29.878937,2025-02-17 10:15:31.010647,0 days 00:00:01.131710
IVF,64,2025-02-17 10:15:31.010696,2025-02-17 10:15:32.124249,0 days 00:00:01.113553
IVF,64,2025-02-17 10:15:32.124302,2025-02-17 10:15:33.231761,0 days 00:00:01.107459
IVF,64,2025-02-17 10:15:33.231836,2025-02-17 10:15:34.371162,0 days 00:00:01.139326
IVF,64,2025-02-17 10:15:34.371221,2025-02-17 10:15:35.543029,0 days 00:00:01.171808
IVF,64,2025-02-17 10:15:35.543092,2025-02-17 10:15:36.678778,0 days 00:00:01.135686
IVF,64,2025-02-17 10:15:36.678830,2025-02-17 10:15:37.719891,0 days 00:00:01.041061
IVF,64,2025-02-17 10:15:37.719950,2025-02-17 10:15:38.950569,0 days 00:00:01.230619
IVF,64,2025-02-17 10:15:38.950626,2025-02-17 10:15:40.207758,0 days 00:00:01.257132
IVF,64,2025-02-17 10:15:40.207811,2025-02-17 10:15:41.306725,0 days 00:00:01.098914
IVF,64,2025-02-17 10:15:41.306786,2025-02-17 10:15:42.392235,0 days 00:00:01.085449
IVF,64,2025-02-17 10:15:42.392389,2025-02-17 10:15:43.495508,0 days 00:00:01.103119
IVF,64,2025-02-17 10:15:43.495572,2025-02-17 10:15:44.624938,0 days 00:00:01.129366
IVF,64,2025-02-17 10:15:44.624983,2025-02-17 10:15:45.736941,0 days 00:00:01.111958
IVF,64,2025-02-17 10:15:45.737073,2025-02-17 10:15:46.889804,0 days 00:00:01.152731
IVF,64,2025-02-17 10:15:46.890173,2025-02-17 10:15:48.064147,0 days 00:00:01.173974
IVF,64,2025-02-17 10:15:48.064195,2025-02-17 10:15:49.210578,0 days 00:00:01.146383
IVF,64,2025-02-17 10:15:49.210635,2025-02-17 10:15:50.352220,0 days 00:00:01.141585
IVF,64,2025-02-17 10:15:50.352277,2025-02-17 10:15:51.493529,0 days 00:00:01.141252
IVF,64,2025-02-17 10:15:51.493591,2025-02-17 10:15:52.677414,0 days 00:00:01.183823
IVF,64,2025-02-17 10:15:52.677466,2025-02-17 10:15:53.792235,0 days 00:00:01.114769
IVF,64,2025-02-17 10:15:53.792721,2025-02-17 10:15:54.998987,0 days 00:00:01.206266
IVF,64,2025-02-17 10:15:54.999054,2025-02-17 10:15:56.098612,0 days 00:00:01.099558
