Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.67,1.4,2025-02-17 10:07:48.787,0.0,5.0,4.68,0.71,0.69,12.329999999999993,35984,33696,0.0,0.0,58,0.0,0.0,58,0.0,0.0,58
9.62,1.39,2025-02-17 10:07:48.886,0.099,4.99,4.63,0.71,0.68,14.380000000000004,36400,33592,0.0,0.0,75,0.0,0.0,41,0.0,0.0,59
9.44,1.37,2025-02-17 10:07:48.986,0.199,4.91,4.52,0.71,0.67,15.700000000000019,36192,33592,0.0,0.0,66,0.0,0.0,52,0.0,0.0,60
9.58,1.38,2025-02-17 10:07:49.085,0.298,4.94,4.64,0.71,0.67,14.850000000000014,36088,33488,0.0,0.0,53,0.0,0.0,50,0.0,0.0,52
9.59,1.38,2025-02-17 10:07:49.184,0.397,4.93,4.66,0.7,0.68,23.70999999999998,36504,34008,0.0,0.0,30,0.0,0.0,82,0.0,0.0,53
9.97,1.4,2025-02-17 10:07:49.285,0.498,5.0,4.97,0.71,0.69,33.90000000000001,36400,34008,0.01,0.01,7,0.01,0.0,90,0.01,0.01,46
9.85,1.41,2025-02-17 10:07:49.385,0.598,5.0,4.85,0.71,0.69,33.01999999999998,35776,33800,0.0,0.0,20,0.01,0.0,80,0.01,0.01,46
9.58,1.39,2025-02-17 10:07:49.486,0.699,4.98,4.6,0.71,0.68,15.17000000000002,35776,33800,0.0,0.0,66,0.0,0.0,51,0.0,0.0,58
9.61,1.39,2025-02-17 10:07:49.586,0.799,4.97,4.65,0.71,0.68,13.970000000000018,35880,33800,0.0,0.0,56,0.0,0.0,49,0.0,0.0,53
9.66,1.4,2025-02-17 10:07:49.686,0.899,4.97,4.69,0.71,0.69,16.91,35672,33696,0.0,0.0,66,0.0,0.0,58,0.0,0.0,61
9.6,1.39,2025-02-17 10:07:49.787,1.0,4.96,4.64,0.71,0.67,14.590000000000012,35776,33696,0.0,0.0,60,0.0,0.0,51,0.0,0.0,56
