time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-17 09:57:48.499493
",faiss,92.86,0.0491796875,96.0,0.05%,0.0,0.0,0.009765625,3.910064697265625e-06
"2025-02-17 09:57:48.499493
",nearestNeighbors,39.59,2.607,96.0,2.72%,0.0,0.0,0.845703125,0.0
"2025-02-17 09:57:50.874099
",faiss,31.02,0.1662109375,96.0,0.17%,0.0,0.0,0.1337890625,3.910064697265625e-06
"2025-02-17 09:57:50.874099
",nearestNeighbors,26.43,2.608,96.0,2.72%,0.0,0.0,1.49,0.0
"2025-02-17 09:57:52.884534
",faiss,72.88,1.703,96.0,1.77%,0.0,0.0,0.40234375,3.910064697265625e-06
"2025-02-17 09:57:52.884534
",nearestNeighbors,33.54,2.61,96.0,2.72%,0.0,0.0,2.12,0.0
"2025-02-17 09:57:54.895245
",faiss,100.36,5.606,96.0,5.84%,0.0,0.0,0.40234375,3.910064697265625e-06
"2025-02-17 09:57:54.895245
",nearestNeighbors,194.06,2.611,96.0,2.72%,0.0,0.0,2.78,0.0
"2025-02-17 09:57:56.906779
",faiss,100.27,9.414,96.0,9.81%,0.0,0.0,0.40234375,3.910064697265625e-06
"2025-02-17 09:57:56.906779
",nearestNeighbors,4799.04,12.82,96.0,13.36%,0.0,0.0,2.78,0.0
"2025-02-17 09:57:58.919595
",faiss,100.02,13.16,96.0,13.71%,0.0,0.0,0.40234375,3.910064697265625e-06
"2025-02-17 09:57:58.919595
",nearestNeighbors,4793.65,38.26,96.0,39.86%,0.0,0.0,2.78,0.0
"2025-02-17 09:58:00.931585
",faiss,99.50,16.97,96.0,17.68%,0.0,0.0,0.40234375,3.910064697265625e-06
"2025-02-17 09:58:00.931585
",nearestNeighbors,4120.57,52.36,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 09:58:02.941357
",faiss,99.95,20.75,96.0,21.62%,0.0,0.0,0.40234375,3.910064697265625e-06
"2025-02-17 09:58:02.941357
",nearestNeighbors,4801.31,52.36,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 09:58:04.950214
",faiss,99.98,24.39,96.0,25.40%,0.0,0.0,0.40234375,3.910064697265625e-06
"2025-02-17 09:58:04.950214
",nearestNeighbors,4781.91,52.36,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 09:58:06.960549
",faiss,99.78,28.21,96.0,29.38%,0.0,0.0,0.40234375,3.910064697265625e-06
"2025-02-17 09:58:06.960549
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 09:58:08.971124
",faiss,99.99,32.16,96.0,33.50%,0.0,0.0,0.40234375,3.910064697265625e-06
"2025-02-17 09:58:08.971124
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 09:58:10.981705
",faiss,99.92,36.1,96.0,37.60%,0.0,0.0,0.40234375,3.910064697265625e-06
"2025-02-17 09:58:10.981705
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 09:58:12.993681
",faiss,99.72,40.04,96.0,41.71%,0.0,0.0,0.40234375,3.910064697265625e-06
"2025-02-17 09:58:12.993681
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 09:58:15.004648
",faiss,99.76,44.0,96.0,45.83%,0.0,0.0,0.40234375,3.910064697265625e-06
"2025-02-17 09:58:15.004648
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 09:58:17.013790
",faiss,99.84,47.95,96.0,49.95%,0.0,0.0,0.40234375,3.910064697265625e-06
"2025-02-17 09:58:17.013790
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 09:58:19.025655
",faiss,99.74,51.97,96.0,54.14%,0.0,0.0,0.40234375,3.910064697265625e-06
"2025-02-17 09:58:19.025655
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 09:58:21.034905
",faiss,99.84,55.54,96.0,57.85%,0.0,0.0,0.40234375,3.910064697265625e-06
