mode,batch_size,query_start,query_end,query_time
IVF,64,2025-02-17 10:02:48.000196,2025-02-17 10:02:49.007077,0 days 00:00:01.006881
IVF,64,2025-02-17 10:02:49.007866,2025-02-17 10:02:50.131270,0 days 00:00:01.123404
IVF,64,2025-02-17 10:02:50.131559,2025-02-17 10:02:51.098461,0 days 00:00:00.966902
IVF,64,2025-02-17 10:02:51.098532,2025-02-17 10:02:52.084133,0 days 00:00:00.985601
IVF,64,2025-02-17 10:02:52.084226,2025-02-17 10:02:53.015681,0 days 00:00:00.931455
IVF,64,2025-02-17 10:02:53.015776,2025-02-17 10:02:53.975852,0 days 00:00:00.960076
IVF,64,2025-02-17 10:02:53.975930,2025-02-17 10:02:54.922564,0 days 00:00:00.946634
IVF,64,2025-02-17 10:02:54.922904,2025-02-17 10:02:55.815543,0 days 00:00:00.892639
IVF,64,2025-02-17 10:02:55.816097,2025-02-17 10:02:56.747703,0 days 00:00:00.931606
IVF,64,2025-02-17 10:02:56.747765,2025-02-17 10:02:57.745286,0 days 00:00:00.997521
IVF,64,2025-02-17 10:02:57.745368,2025-02-17 10:02:58.816627,0 days 00:00:01.071259
IVF,64,2025-02-17 10:02:58.816712,2025-02-17 10:02:59.880824,0 days 00:00:01.064112
IVF,64,2025-02-17 10:02:59.880904,2025-02-17 10:03:00.851651,0 days 00:00:00.970747
IVF,64,2025-02-17 10:03:00.852209,2025-02-17 10:03:01.849430,0 days 00:00:00.997221
IVF,64,2025-02-17 10:03:01.849505,2025-02-17 10:03:02.799002,0 days 00:00:00.949497
IVF,64,2025-02-17 10:03:02.799085,2025-02-17 10:03:03.712740,0 days 00:00:00.913655
IVF,64,2025-02-17 10:03:03.712803,2025-02-17 10:03:04.613810,0 days 00:00:00.901007
IVF,64,2025-02-17 10:03:04.613871,2025-02-17 10:03:05.607475,0 days 00:00:00.993604
IVF,64,2025-02-17 10:03:05.607553,2025-02-17 10:03:06.521942,0 days 00:00:00.914389
IVF,64,2025-02-17 10:03:06.522047,2025-02-17 10:03:07.425913,0 days 00:00:00.903866
IVF,64,2025-02-17 10:03:07.425988,2025-02-17 10:03:08.402393,0 days 00:00:00.976405
IVF,64,2025-02-17 10:03:08.402477,2025-02-17 10:03:09.413748,0 days 00:00:01.011271
IVF,64,2025-02-17 10:03:09.413836,2025-02-17 10:03:10.393724,0 days 00:00:00.979888
IVF,64,2025-02-17 10:03:10.393809,2025-02-17 10:03:11.425025,0 days 00:00:01.031216
IVF,64,2025-02-17 10:03:11.425109,2025-02-17 10:03:12.370145,0 days 00:00:00.945036
IVF,64,2025-02-17 10:03:12.370252,2025-02-17 10:03:13.303453,0 days 00:00:00.933201
IVF,64,2025-02-17 10:03:13.304201,2025-02-17 10:03:14.181124,0 days 00:00:00.876923
IVF,64,2025-02-17 10:03:14.181477,2025-02-17 10:03:15.063641,0 days 00:00:00.882164
IVF,64,2025-02-17 10:03:15.063756,2025-02-17 10:03:15.874764,0 days 00:00:00.811008
IVF,64,2025-02-17 10:03:15.875032,2025-02-17 10:03:16.727843,0 days 00:00:00.852811
IVF,64,2025-02-17 10:03:16.728300,2025-02-17 10:03:17.600578,0 days 00:00:00.872278
IVF,64,2025-02-17 10:03:17.601166,2025-02-17 10:03:18.558207,0 days 00:00:00.957041
IVF,64,2025-02-17 10:03:18.558297,2025-02-17 10:03:19.523947,0 days 00:00:00.965650
IVF,64,2025-02-17 10:03:19.524044,2025-02-17 10:03:20.447787,0 days 00:00:00.923743
IVF,64,2025-02-17 10:03:20.447872,2025-02-17 10:03:21.407872,0 days 00:00:00.960000
IVF,64,2025-02-17 10:03:21.408115,2025-02-17 10:03:22.348461,0 days 00:00:00.940346
IVF,64,2025-02-17 10:03:22.348557,2025-02-17 10:03:23.238448,0 days 00:00:00.889891
IVF,64,2025-02-17 10:03:23.238605,2025-02-17 10:03:24.142541,0 days 00:00:00.903936
IVF,64,2025-02-17 10:03:24.142856,2025-02-17 10:03:25.125995,0 days 00:00:00.983139
IVF,64,2025-02-17 10:03:25.126067,2025-02-17 10:03:26.086429,0 days 00:00:00.960362
IVF,64,2025-02-17 10:03:26.086516,2025-02-17 10:03:27.040823,0 days 00:00:00.954307
IVF,64,2025-02-17 10:03:27.041047,2025-02-17 10:03:28.023303,0 days 00:00:00.982256
