Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.69,1.42,2025-02-17 09:57:29.495,0.0,5.04,4.65,0.72,0.69,12.209999999999996,35048,34840,0.0,0.0,67,0.0,0.0,53,0.0,0.0,62
9.61,1.4,2025-02-17 09:57:29.596,0.101,5.01,4.6,0.72,0.68,15.82000000000001,34944,34944,0.0,0.0,65,0.0,0.0,40,0.0,0.0,56
9.65,1.4,2025-02-17 09:57:29.696,0.201,4.97,4.68,0.72,0.68,17.909999999999993,34736,35048,0.0,0.0,63,0.0,0.0,56,0.0,0.0,60
9.65,1.4,2025-02-17 09:57:29.797,0.302,4.98,4.67,0.72,0.68,19.699999999999978,34632,35048,0.0,0.0,66,0.0,0.0,49,0.0,0.0,58
9.64,1.4,2025-02-17 09:57:29.897,0.402,5.0,4.64,0.72,0.68,22.54999999999997,34112,34944,0.0,0.0,87,0.0,0.0,37,0.01,0.0,77
10.08,1.41,2025-02-17 09:57:29.997,0.502,5.0,5.08,0.72,0.68,54.12000000000002,34008,33072,0.01,0.02,4,0.01,0.01,91,0.02,0.03,34
9.53,1.39,2025-02-17 09:57:30.097,0.602,4.92,4.61,0.71,0.68,15.820000000000007,33696,32864,0.0,0.0,56,0.0,0.0,50,0.0,0.0,53
9.63,1.4,2025-02-17 09:57:30.197,0.702,4.97,4.66,0.72,0.68,17.409999999999993,33592,32864,0.0,0.0,51,0.0,0.0,52,0.0,0.0,51
9.6,1.4,2025-02-17 09:57:30.298,0.803,4.98,4.62,0.72,0.68,19.31999999999998,33592,32864,0.0,0.0,58,0.0,0.0,48,0.0,0.0,53
9.58,1.4,2025-02-17 09:57:30.398,0.903,4.96,4.63,0.72,0.68,16.589999999999993,33800,32968,0.0,0.0,57,0.0,0.0,52,0.0,0.0,54
9.57,1.39,2025-02-17 09:57:30.498,1.003,4.94,4.63,0.71,0.68,24.10999999999998,34112,33384,0.0,0.0,26,0.0,0.0,74,0.01,0.0,49
9.64,1.39,2025-02-17 09:57:30.597,1.102,4.92,4.72,0.71,0.68,43.339999999999996,34320,35568,0.01,0.01,7,0.01,0.0,91,0.01,0.01,38
9.47,1.39,2025-02-17 09:57:30.696,1.201,4.91,4.57,0.71,0.67,16.400000000000002,34216,35360,0.0,0.0,66,0.0,0.0,50,0.0,0.0,59
9.59,1.4,2025-02-17 09:57:30.797,1.302,4.99,4.61,0.72,0.68,16.93000000000001,34216,35464,0.0,0.0,47,0.0,0.0,64,0.0,0.0,55
9.59,1.4,2025-02-17 09:57:30.897,1.402,4.97,4.63,0.72,0.68,15.919999999999996,34216,35464,0.0,0.0,56,0.0,0.0,49,0.0,0.0,52
9.77,1.4,2025-02-17 09:57:30.997,1.502,4.97,4.8,0.72,0.68,29.190000000000005,34216,35568,0.0,0.0,61,0.0,0.0,55,0.01,0.0,58
9.6,1.4,2025-02-17 09:57:31.097,1.602,4.97,4.62,0.72,0.68,28.530000000000005,34528,35360,0.0,0.0,75,0.0,0.0,39,0.01,0.0,59
9.62,1.4,2025-02-17 09:57:31.198,1.703,4.97,4.65,0.72,0.68,23.059999999999988,34632,35880,0.0,0.0,25,0.0,0.0,81,0.01,0.0,54
