mode,batch_size,query_start,query_end,query_time
IVF,64,2025-02-17 08:51:19.097236,2025-02-17 08:51:20.004377,0 days 00:00:00.907141
IVF,64,2025-02-17 08:51:20.005508,2025-02-17 08:51:21.372878,0 days 00:00:01.367370
IVF,64,2025-02-17 08:51:21.373174,2025-02-17 08:51:22.531412,0 days 00:00:01.158238
IVF,64,2025-02-17 08:51:22.531491,2025-02-17 08:51:24.238428,0 days 00:00:01.706937
IVF,64,2025-02-17 08:51:24.238526,2025-02-17 08:51:25.745723,0 days 00:00:01.507197
IVF,64,2025-02-17 08:51:25.745831,2025-02-17 08:51:27.024546,0 days 00:00:01.278715
IVF,64,2025-02-17 08:51:27.024630,2025-02-17 08:51:28.039777,0 days 00:00:01.015147
IVF,64,2025-02-17 08:51:28.039861,2025-02-17 08:51:28.924522,0 days 00:00:00.884661
IVF,64,2025-02-17 08:51:28.924766,2025-02-17 08:51:29.853632,0 days 00:00:00.928866
IVF,64,2025-02-17 08:51:29.853689,2025-02-17 08:51:30.924608,0 days 00:00:01.070919
IVF,64,2025-02-17 08:51:30.924675,2025-02-17 08:51:32.022526,0 days 00:00:01.097851
IVF,64,2025-02-17 08:51:32.022602,2025-02-17 08:51:33.415295,0 days 00:00:01.392693
IVF,64,2025-02-17 08:51:33.415384,2025-02-17 08:51:34.788114,0 days 00:00:01.372730
IVF,64,2025-02-17 08:51:34.788195,2025-02-17 08:51:36.127646,0 days 00:00:01.339451
IVF,64,2025-02-17 08:51:36.127738,2025-02-17 08:51:37.337350,0 days 00:00:01.209612
IVF,64,2025-02-17 08:51:37.337404,2025-02-17 08:51:38.255713,0 days 00:00:00.918309
IVF,64,2025-02-17 08:51:38.255765,2025-02-17 08:51:39.168252,0 days 00:00:00.912487
IVF,64,2025-02-17 08:51:39.168316,2025-02-17 08:51:40.081694,0 days 00:00:00.913378
IVF,64,2025-02-17 08:51:40.081749,2025-02-17 08:51:41.165990,0 days 00:00:01.084241
IVF,64,2025-02-17 08:51:41.166041,2025-02-17 08:51:42.301204,0 days 00:00:01.135163
IVF,64,2025-02-17 08:51:42.301289,2025-02-17 08:51:43.467911,0 days 00:00:01.166622
IVF,64,2025-02-17 08:51:43.468033,2025-02-17 08:51:44.681380,0 days 00:00:01.213347
IVF,64,2025-02-17 08:51:44.681471,2025-02-17 08:51:45.916915,0 days 00:00:01.235444
IVF,64,2025-02-17 08:51:45.916993,2025-02-17 08:51:47.252486,0 days 00:00:01.335493
