Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
10.01,1.43,2025-02-17 08:45:31.571,0.0,4.93,5.08,0.73,0.69,40.55000000000002,35776,35256,0.01,0.02,11,0.02,0.0,93,0.02,0.02,43
9.38,1.39,2025-02-17 08:45:31.671,0.1,4.79,4.59,0.71,0.68,17.28,35464,35360,0.0,0.0,78,0.0,0.0,38,0.0,0.0,62
9.39,1.39,2025-02-17 08:45:31.772,0.201,4.8,4.59,0.71,0.68,17.279999999999994,35360,35360,0.0,0.0,58,0.0,0.0,49,0.0,0.0,54
9.4,1.4,2025-02-17 08:45:31.872,0.301,4.8,4.6,0.72,0.68,18.29999999999998,35464,35256,0.0,0.0,61,0.0,0.0,52,0.0,0.0,57
9.34,1.39,2025-02-17 08:45:31.972,0.401,4.8,4.54,0.72,0.67,17.010000000000005,35256,35048,0.0,0.0,50,0.0,0.0,53,0.0,0.0,51
9.62,1.4,2025-02-17 08:45:32.072,0.501,4.79,4.83,0.72,0.68,33.29,35152,34320,0.0,0.0,28,0.01,0.0,75,0.01,0.01,55
9.76,1.41,2025-02-17 08:45:32.173,0.602,4.81,4.95,0.72,0.69,43.449999999999974,35360,34008,0.0,0.01,8,0.01,0.0,93,0.01,0.01,44
9.41,1.39,2025-02-17 08:45:32.273,0.702,4.79,4.62,0.71,0.68,17.639999999999997,35672,34216,0.0,0.0,68,0.0,0.0,48,0.0,0.0,59
9.38,1.39,2025-02-17 08:45:32.373,0.802,4.8,4.58,0.71,0.68,16.660000000000004,35152,33904,0.0,0.0,57,0.0,0.0,51,0.0,0.0,54
9.38,1.4,2025-02-17 08:45:32.474,0.903,4.79,4.6,0.72,0.68,18.069999999999983,35048,34008,0.0,0.0,63,0.0,0.0,55,0.0,0.0,60
9.37,1.4,2025-02-17 08:45:32.574,1.003,4.78,4.58,0.71,0.68,14.260000000000016,35048,33904,0.0,0.0,61,0.0,0.0,46,0.0,0.0,54
9.31,1.38,2025-02-17 08:45:32.673,1.102,4.75,4.56,0.71,0.67,19.939999999999994,34944,33696,0.0,0.0,48,0.0,0.0,71,0.0,0.0,59
9.49,1.39,2025-02-17 08:45:32.773,1.202,4.74,4.74,0.71,0.68,43.13999999999998,34840,32552,0.0,0.0,22,0.01,0.0,89,0.01,0.0,53
9.28,1.38,2025-02-17 08:45:32.872,1.301,4.74,4.55,0.71,0.67,14.130000000000017,34736,32448,0.0,0.0,58,0.0,0.0,53,0.0,0.0,56
9.39,1.39,2025-02-17 08:45:32.972,1.401,4.79,4.6,0.71,0.68,13.840000000000018,34736,32656,0.0,0.0,56,0.0,0.0,51,0.0,0.0,54
9.48,1.39,2025-02-17 08:45:33.073,1.502,4.8,4.68,0.71,0.68,25.820000000000018,34736,32448,0.0,0.0,42,0.0,0.0,67,0.0,0.0,59
9.37,1.39,2025-02-17 08:45:33.173,1.602,4.79,4.58,0.71,0.68,14.140000000000018,34736,32344,0.0,0.0,57,0.0,0.0,47,0.0,0.0,52
9.39,1.39,2025-02-17 08:45:33.273,1.702,4.78,4.61,0.71,0.68,19.369999999999997,34840,31928,0.0,0.0,75,0.0,0.0,42,0.01,0.0,59
9.49,1.4,2025-02-17 08:45:33.374,1.803,4.79,4.7,0.71,0.68,41.859999999999985,34320,33384,0.0,0.0,44,0.01,0.0,76,0.01,0.0,61
9.38,1.39,2025-02-17 08:45:33.474,1.903,4.79,4.59,0.71,0.68,14.42000000000001,34320,33176,0.0,0.0,58,0.0,0.0,57,0.0,0.0,57
9.35,1.39,2025-02-17 08:45:33.574,2.003,4.75,4.6,0.71,0.68,13.790000000000019,34320,33176,0.0,0.0,58,0.0,0.0,49,0.0,0.0,53
9.43,1.41,2025-02-17 08:45:33.674,2.103,4.84,4.59,0.73,0.68,17.14,34320,33384,0.0,0.0,69,0.0,0.0,67,0.0,0.0,68
9.32,1.39,2025-02-17 08:45:33.775,2.204,4.74,4.59,0.71,0.68,13.800000000000015,34320,33176,0.0,0.0,56,0.0,0.0,49,0.0,0.0,52
