time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-17 08:34:46.797259
",faiss,100.20,0.091982421875,96.0,0.10%,0.0,0.0,0.0302734375,3.910064697265625e-06
"2025-02-17 08:34:46.797259
",spark,270.14,0.22470703125,96.0,0.23%,0.0,0.0,0.077734375,3.1280517578125e-05
"2025-02-17 08:34:49.168574
",faiss,49.39,1.085,96.0,1.13%,0.0,0.0,0.4130859375,3.910064697265625e-06
"2025-02-17 08:34:49.168574
",spark,195.15,0.3310546875,96.0,0.34%,0.0,0.0,0.1005859375,3.1280517578125e-05
"2025-02-17 08:34:51.182621
",faiss,100.33,5.029,96.0,5.24%,0.0,0.0,0.4130859375,3.910064697265625e-06
"2025-02-17 08:34:51.182621
",spark,561.99,0.5775390625,96.0,0.60%,0.0,0.0,0.1181640625,3.1280517578125e-05
"2025-02-17 08:34:53.194675
",faiss,99.71,9.036,96.0,9.41%,0.0,0.0,0.4130859375,3.910064697265625e-06
"2025-02-17 08:34:53.194675
",spark,217.89,0.71201171875,96.0,0.74%,0.0,0.0,0.1328125,3.1280517578125e-05
"2025-02-17 08:34:55.208385
",faiss,100.10,13.04,96.0,13.59%,0.0,0.0,0.4130859375,3.910064697265625e-06
"2025-02-17 08:34:55.208385
",spark,450.58,1.003,96.0,1.05%,0.0,0.0,0.138671875,3.1280517578125e-05
"2025-02-17 08:34:57.219203
",faiss,99.98,17.04,96.0,17.74%,0.0,0.0,0.4130859375,3.910064697265625e-06
"2025-02-17 08:34:57.219203
",spark,868.86,1.338,96.0,1.39%,0.0,0.0,0.2744140625,3.1280517578125e-05
"2025-02-17 08:34:59.231680
",faiss,100.27,21.04,96.0,21.92%,0.0,0.0,0.4130859375,3.910064697265625e-06
"2025-02-17 08:34:59.231680
",spark,710.97,2.499,96.0,2.60%,0.0,0.0,1.1,3.1280517578125e-05
"2025-02-17 08:35:01.247261
",faiss,100.09,25.01,96.0,26.05%,0.0,0.0,0.4130859375,3.910064697265625e-06
"2025-02-17 08:35:01.247261
",spark,689.29,2.512,96.0,2.62%,0.0,0.0,1.83,3.1280517578125e-05
"2025-02-17 08:35:03.259489
",faiss,99.87,28.95,96.0,30.15%,0.0,0.0,0.4130859375,3.910064697265625e-06
"2025-02-17 08:35:03.259489
",spark,706.71,2.515,96.0,2.62%,0.0,0.0,2.69,3.1280517578125e-05
"2025-02-17 08:35:05.272783
",faiss,100.12,32.97,96.0,34.34%,0.0,0.0,0.4130859375,3.910064697265625e-06
"2025-02-17 08:35:05.272783
",spark,658.11,2.518,96.0,2.62%,0.0,0.0,3.53,3.1280517578125e-05
"2025-02-17 08:35:07.284168
",faiss,99.75,36.98,96.0,38.52%,0.0,0.0,0.4130859375,3.910064697265625e-06
"2025-02-17 08:35:07.284168
",spark,668.65,2.515,96.0,2.62%,0.0,0.0,4.37,3.1280517578125e-05
"2025-02-17 08:35:09.295929
",faiss,100.12,41.01,96.0,42.72%,0.0,0.0,0.4130859375,3.910064697265625e-06
"2025-02-17 08:35:09.295929
",spark,632.80,2.522,96.0,2.63%,0.0,0.0,5.19,3.1280517578125e-05
"2025-02-17 08:35:11.310662
",faiss,100.21,45.05,96.0,46.92%,0.0,0.0,0.4130859375,3.910064697265625e-06
"2025-02-17 08:35:11.310662
",spark,659.34,2.535,96.0,2.64%,0.0,0.0,6.03,3.1280517578125e-05
"2025-02-17 08:35:13.326505
",faiss,100.54,49.08,96.0,51.13%,0.0,0.0,0.4130859375,3.910064697265625e-06
"2025-02-17 08:35:13.326505
",spark,657.33,2.539,96.0,2.64%,0.0,0.0,6.89,3.1280517578125e-05
"2025-02-17 08:35:15.336532
",faiss,100.50,53.12,96.0,55.33%,0.0,0.0,0.4130859375,3.910064697265625e-06
"2025-02-17 08:35:15.336532
",spark,692.99,2.542,96.0,2.65%,0.0,0.0,7.73,3.1280517578125e-05
"2025-02-17 08:35:17.348420
",faiss,99.87,57.15,96.0,59.53%,0.0,0.0,0.4130859375,3.910064697265625e-06
"2025-02-17 08:35:17.348420
",spark,611.94,2.558,96.0,2.66%,0.0,0.0,8.57,3.1280517578125e-05
"2025-02-17 08:35:19.360791
",faiss,99.88,61.2,96.0,63.75%,0.0,0.0,0.4130859375,3.910064697265625e-06
"2025-02-17 08:35:19.360791
",spark,637.11,2.561,96.0,2.67%,0.0,0.0,9.4,3.1280517578125e-05
"2025-02-17 08:35:21.372990
",faiss,99.89,65.26,96.0,67.98%,0.0,0.0,0.4130859375,3.910064697265625e-06
"2025-02-17 08:35:21.372990
",spark,623.39,2.553,96.0,2.66%,0.0,0.0,10.2,3.1280517578125e-05
"2025-02-17 08:35:23.385480
",faiss,99.84,69.21,96.0,72.09%,0.0,0.0,0.4130859375,3.910064697265625e-06
"2025-02-17 08:35:23.385480
",spark,658.85,2.556,96.0,2.66%,0.0,0.0,11.1,3.1280517578125e-05
"2025-02-17 08:35:25.397942
",faiss,99.99,72.1,96.0,75.11%,0.0,0.0,0.4130859375,3.910064697265625e-06
"2025-02-17 08:35:25.397942
",spark,672.30,2.558,96.0,2.66%,0.0,0.0,11.9,3.1280517578125e-05
"2025-02-17 08:35:27.410423
",faiss,14.84,73.21,96.0,76.26%,0.0,0.0,0.578125,3.910064697265625e-06
"2025-02-17 08:35:27.410423
",spark,649.96,2.552,96.0,2.66%,0.0,0.0,12.7,3.1280517578125e-05
"2025-02-17 08:35:29.421206
",faiss,13.67,73.44,96.0,76.50%,0.0,0.0,0.8203125,3.910064697265625e-06
"2025-02-17 08:35:29.421206
",spark,605.87,2.554,96.0,2.66%,0.0,0.0,13.3,3.1280517578125e-05
"2025-02-17 08:35:31.434751
",faiss,9.88,73.46,96.0,76.52%,0.0,0.0,0.9521484375,3.910064697265625e-06
"2025-02-17 08:35:31.434751
",spark,622.47,2.556,96.0,2.66%,0.0,0.0,14.1,3.1280517578125e-05
"2025-02-17 08:35:33.445468
",faiss,8.72,73.48,96.0,76.54%,0.0,0.0,1.03,3.910064697265625e-06
"2025-02-17 08:35:33.445468
",spark,609.57,2.559,96.0,2.67%,0.0,0.0,14.8,3.1280517578125e-05
"2025-02-17 08:35:35.460330
",faiss,11.31,73.49,96.0,76.55%,0.0,0.0,1.17,3.910064697265625e-06
"2025-02-17 08:35:35.460330
",spark,608.42,2.562,96.0,2.67%,0.0,0.0,15.6,3.1280517578125e-05
"2025-02-17 08:35:37.470672
",faiss,9.50,73.49,96.0,76.56%,0.0,0.0,1.33,3.910064697265625e-06
"2025-02-17 08:35:37.470672
",spark,628.96,2.564,96.0,2.67%,0.0,0.0,16.3,3.1280517578125e-05
"2025-02-17 08:35:39.481929
",faiss,11.18,73.51,96.0,76.57%,0.0,0.0,1.41,3.910064697265625e-06
"2025-02-17 08:35:39.481929
",spark,600.17,2.566,96.0,2.67%,0.0,0.0,17.0,3.1280517578125e-05
"2025-02-17 08:35:41.494604
",faiss,11.11,73.52,96.0,76.59%,0.0,0.0,1.54,3.910064697265625e-06
