mode,batch_size,query_start,query_end,query_time
IVF,64,2025-02-17 08:40:01.222773,2025-02-17 08:40:02.163963,0 days 00:00:00.941190
IVF,64,2025-02-17 08:40:02.165345,2025-02-17 08:40:03.788541,0 days 00:00:01.623196
IVF,64,2025-02-17 08:40:03.788984,2025-02-17 08:40:04.832090,0 days 00:00:01.043106
IVF,64,2025-02-17 08:40:04.832151,2025-02-17 08:40:05.886524,0 days 00:00:01.054373
IVF,64,2025-02-17 08:40:05.886576,2025-02-17 08:40:06.927885,0 days 00:00:01.041309
IVF,64,2025-02-17 08:40:06.927954,2025-02-17 08:40:07.962582,0 days 00:00:01.034628
IVF,64,2025-02-17 08:40:07.962634,2025-02-17 08:40:09.020052,0 days 00:00:01.057418
IVF,64,2025-02-17 08:40:09.020114,2025-02-17 08:40:10.046045,0 days 00:00:01.025931
IVF,64,2025-02-17 08:40:10.046096,2025-02-17 08:40:11.221721,0 days 00:00:01.175625
IVF,64,2025-02-17 08:40:11.221772,2025-02-17 08:40:12.300313,0 days 00:00:01.078541
IVF,64,2025-02-17 08:40:12.300363,2025-02-17 08:40:13.360992,0 days 00:00:01.060629
IVF,64,2025-02-17 08:40:13.361059,2025-02-17 08:40:14.425503,0 days 00:00:01.064444
IVF,64,2025-02-17 08:40:14.425551,2025-02-17 08:40:15.524334,0 days 00:00:01.098783
IVF,64,2025-02-17 08:40:15.524388,2025-02-17 08:40:16.802324,0 days 00:00:01.277936
IVF,64,2025-02-17 08:40:16.802375,2025-02-17 08:40:17.958878,0 days 00:00:01.156503
IVF,64,2025-02-17 08:40:17.958928,2025-02-17 08:40:19.015392,0 days 00:00:01.056464
IVF,64,2025-02-17 08:40:19.015443,2025-02-17 08:40:20.142223,0 days 00:00:01.126780
IVF,64,2025-02-17 08:40:20.142275,2025-02-17 08:40:21.309867,0 days 00:00:01.167592
IVF,64,2025-02-17 08:40:21.309934,2025-02-17 08:40:22.392425,0 days 00:00:01.082491
IVF,64,2025-02-17 08:40:22.392498,2025-02-17 08:40:23.402399,0 days 00:00:01.009901
IVF,64,2025-02-17 08:40:23.402466,2025-02-17 08:40:24.388556,0 days 00:00:00.986090
IVF,64,2025-02-17 08:40:24.388618,2025-02-17 08:40:25.417944,0 days 00:00:01.029326
IVF,64,2025-02-17 08:40:25.418006,2025-02-17 08:40:26.418737,0 days 00:00:01.000731
IVF,64,2025-02-17 08:40:26.418799,2025-02-17 08:40:27.412012,0 days 00:00:00.993213
IVF,64,2025-02-17 08:40:27.412073,2025-02-17 08:40:28.475129,0 days 00:00:01.063056
