Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.73,1.42,2025-02-17 08:34:27.773,0.0,4.99,4.74,0.72,0.7,13.129999999999994,33072,35672,0.0,0.0,55,0.0,0.0,61,0.0,0.0,57
9.68,1.42,2025-02-17 08:34:27.874,0.101,5.03,4.65,0.73,0.69,16.07000000000001,33176,35464,0.0,0.0,71,0.0,0.0,42,0.0,0.0,60
9.66,1.4,2025-02-17 08:34:27.975,0.202,4.99,4.68,0.72,0.69,17.150000000000006,33176,35464,0.0,0.0,67,0.0,0.0,46,0.0,0.0,58
9.63,1.4,2025-02-17 08:34:28.075,0.302,4.97,4.67,0.72,0.68,16.5,33280,35464,0.0,0.0,68,0.0,0.0,50,0.0,0.0,60
9.66,1.41,2025-02-17 08:34:28.175,0.402,4.99,4.67,0.72,0.68,21.17999999999999,32760,34736,0.0,0.0,33,0.0,0.0,72,0.01,0.0,52
10.02,1.41,2025-02-17 08:34:28.276,0.503,5.0,5.01,0.73,0.68,48.900000000000006,32656,34008,0.01,0.01,5,0.01,0.01,93,0.02,0.02,47
9.64,1.4,2025-02-17 08:34:28.376,0.603,4.98,4.66,0.72,0.68,18.509999999999984,32864,33592,0.0,0.0,52,0.0,0.0,54,0.0,0.0,53
9.47,1.38,2025-02-17 08:34:28.475,0.702,4.87,4.6,0.7,0.68,16.710000000000004,32760,33592,0.0,0.0,59,0.0,0.0,51,0.0,0.0,55
9.57,1.4,2025-02-17 08:34:28.574,0.801,4.94,4.63,0.71,0.68,16.72,32656,33592,0.0,0.0,72,0.0,0.0,36,0.0,0.0,54
9.51,1.39,2025-02-17 08:34:28.674,0.901,4.91,4.6,0.71,0.68,16.949999999999996,32656,33592,0.0,0.0,47,0.0,0.0,54,0.0,0.0,51
9.63,1.41,2025-02-17 08:34:28.774,1.001,5.02,4.61,0.73,0.68,21.849999999999973,32656,34008,0.0,0.0,34,0.0,0.0,82,0.01,0.0,56
9.57,1.4,2025-02-17 08:34:28.874,1.101,4.95,4.62,0.71,0.68,19.20999999999999,32760,34008,0.0,0.0,47,0.0,0.0,66,0.0,0.0,56
9.8,1.42,2025-02-17 08:34:28.975,1.202,4.96,4.83,0.73,0.69,42.47999999999998,32760,33072,0.0,0.01,8,0.01,0.0,94,0.01,0.01,53
9.59,1.41,2025-02-17 08:34:29.075,1.302,4.98,4.61,0.72,0.68,15.480000000000002,32448,33072,0.0,0.0,55,0.0,0.0,54,0.0,0.0,55
9.61,1.41,2025-02-17 08:34:29.175,1.402,4.97,4.64,0.72,0.69,16.060000000000002,32552,33072,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50
9.66,1.41,2025-02-17 08:34:29.276,1.503,4.97,4.69,0.72,0.69,33.71,32552,32760,0.0,0.0,44,0.0,0.0,66,0.01,0.0,58
9.58,1.41,2025-02-17 08:34:29.376,1.603,4.99,4.6,0.72,0.68,22.620000000000008,32968,32864,0.0,0.0,85,0.0,0.0,17,0.01,0.0,56
9.61,1.41,2025-02-17 08:34:29.476,1.703,4.98,4.63,0.72,0.69,23.77999999999999,33280,33384,0.0,0.0,51,0.0,0.0,64,0.01,0.0,58
9.82,1.42,2025-02-17 08:34:29.577,1.804,4.98,4.85,0.72,0.69,44.13,32968,33592,0.0,0.0,15,0.01,0.0,90,0.01,0.01,61
9.47,1.39,2025-02-17 08:34:29.676,1.903,4.91,4.56,0.71,0.68,21.16000000000002,32760,33488,0.0,0.0,60,0.0,0.0,56,0.0,0.0,58
9.5,1.39,2025-02-17 08:34:29.775,2.002,4.94,4.56,0.72,0.68,21.67,32968,33592,0.0,0.0,59,0.0,0.0,49,0.0,0.0,54
9.57,1.41,2025-02-17 08:34:29.876,2.103,4.95,4.61,0.72,0.68,16.540000000000003,32760,33280,0.0,0.0,58,0.0,0.0,57,0.0,0.0,58
9.57,1.41,2025-02-17 08:34:29.976,2.203,4.97,4.6,0.72,0.68,16.560000000000002,32864,33384,0.0,0.0,50,0.0,0.0,53,0.0,0.0,51
9.58,1.41,2025-02-17 08:34:30.076,2.303,4.97,4.61,0.72,0.69,23.14999999999999,32760,32968,0.0,0.0,42,0.0,0.0,68,0.01,0.0,56
9.69,1.42,2025-02-17 08:34:30.177,2.404,4.99,4.7,0.72,0.69,40.93999999999998,32968,32552,0.0,0.0,17,0.01,0.0,94,0.01,0.0,66
9.61,1.41,2025-02-17 08:34:30.277,2.504,4.97,4.65,0.72,0.69,27.490000000000016,32552,32032,0.0,0.0,48,0.0,0.0,62,0.01,0.0,57
9.57,1.41,2025-02-17 08:34:30.377,2.604,4.96,4.61,0.72,0.69,21.019999999999982,32864,32240,0.0,0.0,51,0.0,0.0,51,0.0,0.0,51
9.58,1.41,2025-02-17 08:34:30.478,2.705,4.97,4.61,0.72,0.69,19.06999999999998,32760,32240,0.0,0.0,58,0.0,0.0,57,0.0,0.0,58
9.56,1.41,2025-02-17 08:34:30.578,2.805,4.96,4.61,0.72,0.69,15.879999999999999,32864,32240,0.0,0.0,55,0.0,0.0,50,0.0,0.0,52
9.63,1.41,2025-02-17 08:34:30.678,2.905,4.97,4.66,0.72,0.69,22.519999999999996,32656,32136,0.0,0.0,46,0.0,0.0,68,0.01,0.0,57
9.76,1.39,2025-02-17 08:34:30.778,3.005,4.92,4.85,0.72,0.68,41.679999999999964,32656,32864,0.0,0.0,22,0.01,0.0,90,0.01,0.0,66
9.47,1.4,2025-02-17 08:34:30.877,3.104,4.91,4.56,0.71,0.68,17.570000000000004,32448,32864,0.0,0.0,54,0.0,0.0,57,0.0,0.0,55
9.61,1.41,2025-02-17 08:34:30.977,3.204,4.97,4.65,0.72,0.69,15.830000000000004,32552,33072,0.0,0.0,51,0.0,0.0,52,0.0,0.0,51
9.59,1.41,2025-02-17 08:34:31.078,3.305,4.96,4.63,0.72,0.68,16.79,32552,32968,0.0,0.0,59,0.0,0.0,51,0.0,0.0,55
9.64,1.41,2025-02-17 08:34:31.178,3.405,4.98,4.67,0.72,0.69,16.15,32656,32968,0.0,0.0,51,0.0,0.0,54,0.0,0.0,52
9.69,1.41,2025-02-17 08:34:31.278,3.505,4.96,4.73,0.72,0.69,33.61000000000001,32448,32032,0.0,0.0,47,0.01,0.0,64,0.01,0.0,59
9.8,1.42,2025-02-17 08:34:31.378,3.605,4.97,4.83,0.72,0.69,41.739999999999995,32240,32656,0.0,0.0,41,0.01,0.0,79,0.01,0.0,64
9.56,1.4,2025-02-17 08:34:31.479,3.706,4.98,4.58,0.72,0.68,16.460000000000004,32136,32968,0.0,0.0,49,0.0,0.0,61,0.0,0.0,56
9.61,1.4,2025-02-17 08:34:31.579,3.806,4.97,4.64,0.71,0.69,16.270000000000003,32136,32968,0.0,0.0,53,0.0,0.0,52,0.0,0.0,52
9.59,1.42,2025-02-17 08:34:31.679,3.906,4.96,4.62,0.73,0.69,16.420000000000005,32136,33072,0.0,0.0,52,0.0,0.0,54,0.0,0.0,53
9.6,1.41,2025-02-17 08:34:31.780,4.007,4.97,4.64,0.72,0.69,18.10999999999999,32136,33072,0.0,0.0,52,0.0,0.0,48,0.0,0.0,50
9.6,1.41,2025-02-17 08:34:31.880,4.107,4.97,4.63,0.72,0.69,24.330000000000005,32136,32968,0.0,0.0,60,0.0,0.0,64,0.01,0.0,62
9.64,1.4,2025-02-17 08:34:31.979,4.206,4.92,4.71,0.71,0.68,38.949999999999996,32136,33384,0.0,0.0,31,0.01,0.0,86,0.01,0.0,68
9.45,1.39,2025-02-17 08:34:32.078,4.305,4.88,4.56,0.71,0.68,18.929999999999993,32136,33696,0.0,0.0,62,0.0,0.0,52,0.0,0.0,57
9.48,1.39,2025-02-17 08:34:32.178,4.405,4.91,4.56,0.71,0.68,17.430000000000003,32240,33696,0.0,0.0,54,0.0,0.0,51,0.0,0.0,52
9.48,1.4,2025-02-17 08:34:32.277,4.504,4.91,4.58,0.72,0.68,31.609999999999985,32344,32552,0.0,0.0,55,0.01,0.0,51,0.01,0.0,52
9.5,1.4,2025-02-17 08:34:32.376,4.603,4.93,4.57,0.72,0.68,24.730000000000025,32760,32656,0.0,0.0,65,0.0,0.0,49,0.0,0.0,57
9.94,1.42,2025-02-17 08:34:32.477,4.704,4.97,4.98,0.73,0.69,22.209999999999987,32656,33176,0.0,0.0,32,0.0,0.0,76,0.01,0.0,60
9.63,1.42,2025-02-17 08:34:32.577,4.804,4.99,4.64,0.73,0.69,25.60000000000001,32656,33280,0.0,0.0,50,0.0,0.0,65,0.01,0.0,59
9.74,1.42,2025-02-17 08:34:32.678,4.905,4.97,4.77,0.72,0.69,42.760000000000026,32760,34528,0.0,0.0,25,0.01,0.0,93,0.01,0.01,72
9.52,1.41,2025-02-17 08:34:32.778,5.005,4.92,4.6,0.72,0.68,14.330000000000002,32656,34528,0.0,0.0,58,0.0,0.0,47,0.0,0.0,53
9.62,1.41,2025-02-17 08:34:32.878,5.105,4.98,4.63,0.72,0.69,18.629999999999992,32656,34424,0.0,0.0,61,0.0,0.0,64,0.0,0.0,62
9.56,1.41,2025-02-17 08:34:32.979,5.206,4.95,4.61,0.72,0.68,13.970000000000008,32656,34424,0.0,0.0,67,0.0,0.0,49,0.0,0.0,58
9.63,1.41,2025-02-17 08:34:33.080,5.307,5.01,4.62,0.73,0.68,17.560000000000002,32552,34320,0.0,0.0,65,0.0,0.0,49,0.0,0.0,58
9.51,1.39,2025-02-17 08:34:33.179,5.406,4.92,4.59,0.72,0.68,23.039999999999996,32968,34112,0.0,0.0,49,0.0,0.0,66,0.0,0.0,60
9.72,1.41,2025-02-17 08:34:33.278,5.505,4.9,4.81,0.72,0.69,56.35000000000001,33072,32968,0.0,0.0,30,0.01,0.0,83,0.01,0.01,69
9.36,1.38,2025-02-17 08:34:33.378,5.605,4.86,4.5,0.71,0.67,19.369999999999983,33072,33280,0.0,0.0,61,0.0,0.0,58,0.0,0.0,60
9.61,1.42,2025-02-17 08:34:33.478,5.705,4.95,4.66,0.72,0.69,15.22,32864,33176,0.0,0.0,53,0.0,0.0,54,0.0,0.0,53
9.53,1.41,2025-02-17 08:34:33.579,5.806,4.93,4.6,0.72,0.69,17.860000000000003,32864,33072,0.0,0.0,51,0.0,0.0,51,0.0,0.0,51
9.57,1.41,2025-02-17 08:34:33.679,5.906,4.96,4.61,0.72,0.69,20.409999999999997,32656,33176,0.0,0.0,56,0.0,0.0,57,0.0,0.0,57
9.53,1.4,2025-02-17 08:34:33.779,6.006,4.95,4.58,0.72,0.68,25.499999999999982,32864,33176,0.0,0.0,51,0.0,0.0,72,0.0,0.0,65
9.64,1.41,2025-02-17 08:34:33.880,6.107,4.93,4.72,0.72,0.69,38.86,32864,31616,0.0,0.0,31,0.0,0.0,89,0.01,0.0,73
9.54,1.41,2025-02-17 08:34:33.980,6.207,4.94,4.6,0.72,0.69,14.020000000000014,32656,31824,0.0,0.0,54,0.0,0.0,49,0.0,0.0,51
9.5,1.4,2025-02-17 08:34:34.079,6.306,4.9,4.6,0.71,0.69,16.17000000000001,32656,31720,0.0,0.0,54,0.0,0.0,49,0.0,0.0,51
9.42,1.39,2025-02-17 08:34:34.179,6.406,4.86,4.56,0.71,0.68,16.20000000000001,32552,31616,0.0,0.0,51,0.0,0.0,52,0.0,0.0,52
9.57,1.41,2025-02-17 08:34:34.279,6.506,4.94,4.63,0.72,0.69,32.03,32864,30680,0.0,0.0,52,0.0,0.0,63,0.0,0.0,59
9.56,1.41,2025-02-17 08:34:34.379,6.606,4.94,4.62,0.72,0.69,19.23999999999999,31928,30784,0.0,0.0,52,0.0,0.0,63,0.0,0.0,59
9.75,1.41,2025-02-17 08:34:34.480,6.707,4.93,4.82,0.72,0.69,39.720000000000006,32448,31824,0.0,0.0,24,0.01,0.0,92,0.01,0.0,72
9.46,1.41,2025-02-17 08:34:34.580,6.807,4.85,4.6,0.72,0.69,14.480000000000016,32240,31720,0.0,0.0,51,0.0,0.0,50,0.0,0.0,50
9.49,1.41,2025-02-17 08:34:34.680,6.907,4.87,4.63,0.72,0.69,19.329999999999977,32344,31824,0.0,0.0,55,0.0,0.0,51,0.0,0.0,53
9.44,1.41,2025-02-17 08:34:34.781,7.008,4.85,4.59,0.72,0.69,17.31000000000001,32240,31720,0.0,0.0,51,0.0,0.0,53,0.0,0.0,52
9.45,1.41,2025-02-17 08:34:34.881,7.108,4.85,4.6,0.72,0.69,19.73999999999999,32344,31824,0.0,0.0,53,0.0,0.0,54,0.0,0.0,53
9.54,1.41,2025-02-17 08:34:34.981,7.208,4.91,4.62,0.72,0.69,20.359999999999992,32344,31304,0.0,0.0,76,0.0,0.0,46,0.0,0.0,59
9.55,1.4,2025-02-17 08:34:35.081,7.308,4.86,4.69,0.71,0.69,39.77,32656,32240,0.0,0.0,47,0.0,0.0,81,0.01,0.0,70
9.48,1.41,2025-02-17 08:34:35.181,7.408,4.88,4.6,0.72,0.69,16.290000000000006,32448,32032,0.0,0.0,53,0.0,0.0,48,0.0,0.0,50
9.49,1.41,2025-02-17 08:34:35.281,7.508,4.88,4.62,0.72,0.69,30.459999999999997,32448,31200,0.0,0.0,49,0.0,0.0,59,0.01,0.0,55
9.48,1.41,2025-02-17 08:34:35.382,7.609,4.87,4.62,0.72,0.69,20.139999999999976,32240,31304,0.0,0.0,63,0.0,0.0,51,0.0,0.0,56
9.46,1.41,2025-02-17 08:34:35.482,7.709,4.86,4.6,0.72,0.69,19.16999999999999,32240,31408,0.0,0.0,56,0.0,0.0,58,0.0,0.0,57
9.45,1.41,2025-02-17 08:34:35.582,7.809,4.84,4.61,0.72,0.69,18.16999999999999,32344,31096,0.0,0.0,50,0.0,0.0,67,0.0,0.0,60
9.52,1.41,2025-02-17 08:34:35.683,7.91,4.87,4.65,0.72,0.69,23.339999999999986,32552,32448,0.0,0.0,39,0.0,0.0,83,0.0,0.0,69
9.53,1.41,2025-02-17 08:34:35.783,8.01,4.86,4.67,0.72,0.69,33.869999999999976,32552,30160,0.0,0.0,86,0.01,0.0,30,0.01,0.01,55
9.42,1.41,2025-02-17 08:34:35.883,8.11,4.83,4.6,0.72,0.69,13.460000000000008,32344,30160,0.0,0.0,54,0.0,0.0,49,0.0,0.0,51
9.3,1.39,2025-02-17 08:34:35.983,8.21,4.79,4.51,0.71,0.67,16.44000000000001,32136,30264,0.0,0.0,61,0.0,0.0,56,0.0,0.0,59
9.38,1.4,2025-02-17 08:34:36.082,8.309,4.78,4.6,0.71,0.69,14.250000000000012,32240,30160,0.0,0.0,52,0.0,0.0,51,0.0,0.0,51
9.31,1.39,2025-02-17 08:34:36.181,8.408,4.77,4.54,0.71,0.68,16.03000000000002,32136,30160,0.0,0.0,63,0.0,0.0,53,0.0,0.0,58
9.44,1.41,2025-02-17 08:34:36.282,8.509,4.86,4.58,0.72,0.69,33.56,32240,29536,0.0,0.0,50,0.01,0.0,56,0.01,0.0,54
9.67,1.41,2025-02-17 08:34:36.382,8.609,4.83,4.84,0.72,0.69,47.18999999999999,30472,32240,0.0,0.0,37,0.01,0.0,85,0.01,0.0,70
9.45,1.41,2025-02-17 08:34:36.482,8.709,4.85,4.61,0.72,0.69,20.73999999999998,30888,32032,0.0,0.0,68,0.0,0.0,50,0.0,0.0,59
9.38,1.41,2025-02-17 08:34:36.583,8.81,4.83,4.55,0.72,0.69,18.89999999999998,31096,32032,0.0,0.0,74,0.0,0.0,42,0.0,0.0,59
9.46,1.41,2025-02-17 08:34:36.683,8.91,4.82,4.64,0.72,0.68,14.460000000000013,30992,32032,0.0,0.0,71,0.0,0.0,52,0.0,0.0,62
9.43,1.41,2025-02-17 08:34:36.783,9.01,4.82,4.61,0.72,0.68,14.270000000000016,30992,31928,0.0,0.0,68,0.0,0.0,51,0.0,0.0,61
9.43,1.41,2025-02-17 08:34:36.884,9.111,4.82,4.61,0.72,0.68,19.899999999999988,31200,31824,0.0,0.0,44,0.0,0.0,68,0.0,0.0,56
9.68,1.41,2025-02-17 08:34:36.984,9.211,4.82,4.86,0.72,0.69,42.07,31408,33280,0.0,0.0,44,0.0,0.0,84,0.01,0.0,73
9.33,1.39,2025-02-17 08:34:37.083,9.31,4.76,4.57,0.71,0.68,14.41000000000001,31304,33176,0.0,0.0,52,0.0,0.0,54,0.0,0.0,53
9.25,1.38,2025-02-17 08:34:37.183,9.41,4.72,4.53,0.7,0.68,15.330000000000014,31408,33072,0.0,0.0,58,0.0,0.0,55,0.0,0.0,56
9.48,1.42,2025-02-17 08:34:37.283,9.51,4.86,4.61,0.73,0.69,28.080000000000002,31512,31928,0.0,0.0,47,0.0,0.0,57,0.01,0.0,53
9.42,1.4,2025-02-17 08:34:37.383,9.61,4.8,4.61,0.72,0.68,22.849999999999994,31616,31928,0.0,0.0,62,0.0,0.0,49,0.0,0.0,55
9.42,1.41,2025-02-17 08:34:37.484,9.711,4.8,4.61,0.72,0.69,19.579999999999988,30888,32136,0.0,0.0,49,0.0,0.0,68,0.0,0.0,59
9.53,1.4,2025-02-17 08:34:37.584,9.811,4.82,4.71,0.71,0.69,39.960000000000015,31200,33904,0.0,0.0,28,0.01,0.0,91,0.01,0.0,71
9.35,1.4,2025-02-17 08:34:37.684,9.911,4.75,4.6,0.72,0.68,17.229999999999997,31096,33592,0.0,0.0,58,0.0,0.0,54,0.0,0.0,56
9.46,1.41,2025-02-17 08:34:37.785,10.012,4.86,4.59,0.73,0.68,20.53999999999998,31096,33592,0.0,0.0,64,0.0,0.0,64,0.0,0.0,64
9.41,1.4,2025-02-17 08:34:37.885,10.112,4.81,4.6,0.72,0.68,13.860000000000014,30992,33592,0.0,0.0,54,0.0,0.0,49,0.0,0.0,52
9.35,1.39,2025-02-17 08:34:37.984,10.211,4.75,4.6,0.71,0.68,21.57,31304,34112,0.0,0.0,41,0.0,0.0,75,0.0,0.0,62
9.32,1.39,2025-02-17 08:34:38.084,10.311,4.75,4.57,0.71,0.68,19.299999999999997,31408,33696,0.0,0.0,52,0.0,0.0,71,0.0,0.0,63
9.53,1.41,2025-02-17 08:34:38.184,10.411,4.82,4.71,0.72,0.69,38.96,31512,32968,0.0,0.0,28,0.01,0.01,87,0.01,0.01,75
9.44,1.41,2025-02-17 08:34:38.284,10.511,4.8,4.64,0.72,0.69,29.69,31512,32552,0.0,0.0,47,0.0,0.0,64,0.0,0.0,58
9.41,1.41,2025-02-17 08:34:38.385,10.612,4.81,4.6,0.72,0.69,16.20000000000001,31512,32760,0.0,0.0,63,0.0,0.0,51,0.0,0.0,56
9.39,1.41,2025-02-17 08:34:38.485,10.712,4.8,4.59,0.72,0.69,13.590000000000018,31616,32760,0.0,0.0,74,0.0,0.0,34,0.0,0.0,56
9.4,1.41,2025-02-17 08:34:38.586,10.813,4.81,4.59,0.72,0.69,15.530000000000003,31928,32864,0.0,0.0,66,0.0,0.0,37,0.0,0.0,54
9.43,1.41,2025-02-17 08:34:38.686,10.913,4.81,4.62,0.72,0.69,18.600000000000005,32136,33592,0.0,0.0,41,0.0,0.0,80,0.0,0.0,61
9.52,1.41,2025-02-17 08:34:38.786,11.013,4.8,4.72,0.72,0.69,37.32,32136,35048,0.0,0.0,37,0.01,0.0,90,0.01,0.0,78
9.4,1.41,2025-02-17 08:34:38.886,11.113,4.81,4.6,0.72,0.69,13.890000000000013,32032,34944,0.0,0.0,51,0.0,0.0,47,0.0,0.0,49
9.31,1.39,2025-02-17 08:34:38.986,11.213,4.76,4.56,0.71,0.68,15.650000000000018,32136,34944,0.0,0.0,55,0.0,0.0,58,0.0,0.0,57
9.3,1.39,2025-02-17 08:34:39.085,11.312,4.76,4.54,0.71,0.68,14.420000000000012,31928,34840,0.0,0.0,54,0.0,0.0,53,0.0,0.0,54
9.36,1.39,2025-02-17 08:34:39.185,11.412,4.75,4.61,0.71,0.68,14.420000000000005,32032,34840,0.0,0.0,49,0.0,0.0,48,0.0,0.0,49
9.47,1.41,2025-02-17 08:34:39.286,11.513,4.86,4.62,0.73,0.69,36.38000000000001,32032,34112,0.0,0.0,47,0.0,0.0,68,0.01,0.0,61
9.39,1.4,2025-02-17 08:34:39.386,11.613,4.78,4.61,0.71,0.69,16.58,32032,34008,0.0,0.0,54,0.0,0.0,56,0.0,0.0,55
9.63,1.41,2025-02-17 08:34:39.487,11.714,4.84,4.79,0.72,0.69,38.58000000000001,31720,33384,0.0,0.0,41,0.01,0.0,85,0.01,0.0,74
9.4,1.42,2025-02-17 08:34:39.587,11.814,4.8,4.6,0.73,0.69,14.240000000000009,31616,33384,0.0,0.0,51,0.0,0.0,59,0.0,0.0,55
9.4,1.41,2025-02-17 08:34:39.687,11.914,4.8,4.6,0.72,0.69,14.61000000000001,31720,33384,0.0,0.0,59,0.0,0.0,48,0.0,0.0,53
9.41,1.41,2025-02-17 08:34:39.788,12.015,4.81,4.6,0.72,0.69,17.420000000000012,31616,33384,0.0,0.0,56,0.0,0.0,56,0.0,0.0,56
9.39,1.41,2025-02-17 08:34:39.888,12.115,4.8,4.59,0.72,0.69,15.300000000000008,31616,33384,0.0,0.0,49,0.0,0.0,51,0.0,0.0,50
9.32,1.39,2025-02-17 08:34:39.987,12.214,4.76,4.56,0.71,0.68,22.589999999999982,31616,32968,0.0,0.0,49,0.0,0.0,60,0.0,0.0,56
9.5,1.39,2025-02-17 08:34:40.086,12.313,4.72,4.79,0.71,0.68,40.380000000000024,31616,34424,0.0,0.0,35,0.0,0.0,87,0.01,0.0,73
9.38,1.41,2025-02-17 08:34:40.187,12.414,4.79,4.59,0.72,0.68,13.430000000000016,31720,34424,0.0,0.0,49,0.0,0.0,48,0.0,0.0,48
9.46,1.42,2025-02-17 08:34:40.287,12.514,4.86,4.6,0.73,0.69,32.92000000000001,31720,33800,0.0,0.0,53,0.0,0.0,63,0.0,0.0,59
9.4,1.41,2025-02-17 08:34:40.388,12.615,4.8,4.6,0.72,0.69,14.470000000000015,31720,33800,0.0,0.0,51,0.0,0.0,56,0.0,0.0,53
9.38,1.41,2025-02-17 08:34:40.488,12.715,4.79,4.59,0.72,0.69,14.440000000000014,31824,33904,0.0,0.0,53,0.0,0.0,53,0.0,0.0,53
9.43,1.41,2025-02-17 08:34:40.588,12.815,4.81,4.63,0.72,0.69,19.879999999999992,31824,34840,0.0,0.0,46,0.0,0.0,73,0.0,0.0,61
9.47,1.4,2025-02-17 08:34:40.688,12.915,4.75,4.72,0.71,0.69,39.320000000000014,31928,32552,0.0,0.0,37,0.0,0.0,81,0.01,0.0,66
9.41,1.41,2025-02-17 08:34:40.789,13.016,4.81,4.6,0.72,0.69,17.270000000000024,31928,32448,0.0,0.0,61,0.0,0.0,61,0.0,0.0,61
9.35,1.4,2025-02-17 08:34:40.889,13.116,4.8,4.55,0.72,0.68,13.380000000000013,31928,32344,0.0,0.0,55,0.0,0.0,49,0.0,0.0,52
9.43,1.41,2025-02-17 08:34:40.989,13.216,4.83,4.61,0.72,0.69,16.55000000000001,32032,32448,0.0,0.0,62,0.0,0.0,48,0.0,0.0,54
9.29,1.39,2025-02-17 08:34:41.089,13.316,4.75,4.55,0.71,0.68,15.250000000000004,31928,32448,0.0,0.0,56,0.0,0.0,50,0.0,0.0,53
9.35,1.4,2025-02-17 08:34:41.188,13.415,4.75,4.6,0.71,0.69,18.75999999999999,31928,33280,0.0,0.0,48,0.0,0.0,70,0.0,0.0,60
9.44,1.4,2025-02-17 08:34:41.287,13.514,4.77,4.67,0.71,0.69,50.83000000000002,31824,33904,0.0,0.0,44,0.01,0.0,76,0.01,0.0,67
9.38,1.41,2025-02-17 08:34:41.388,13.615,4.79,4.59,0.72,0.69,14.110000000000014,31928,34008,0.0,0.0,60,0.0,0.0,50,0.0,0.0,54
9.36,1.4,2025-02-17 08:34:41.488,13.715,4.81,4.55,0.72,0.68,14.88000000000001,31824,34112,0.0,0.0,48,0.0,0.0,68,0.0,0.0,57
9.45,1.41,2025-02-17 08:34:41.588,13.815,4.82,4.64,0.72,0.69,14.560000000000011,31616,34112,0.0,0.0,49,0.0,0.0,51,0.0,0.0,50
9.38,1.4,2025-02-17 08:34:41.689,13.916,4.78,4.6,0.72,0.68,19.25999999999998,31304,34216,0.0,0.0,71,0.0,0.0,60,0.0,0.0,66
9.36,1.4,2025-02-17 08:34:41.789,14.016,4.8,4.56,0.72,0.68,18.419999999999995,31512,34320,0.0,0.0,48,0.0,0.0,72,0.0,0.0,61
9.57,1.41,2025-02-17 08:34:41.889,14.116,4.81,4.76,0.72,0.69,43.980000000000004,31512,34320,0.0,0.0,37,0.01,0.0,81,0.01,0.0,67
9.39,1.4,2025-02-17 08:34:41.990,14.217,4.8,4.58,0.72,0.69,22.849999999999998,31616,34216,0.0,0.0,53,0.0,0.0,51,0.0,0.0,52
9.34,1.4,2025-02-17 08:34:42.089,14.316,4.75,4.59,0.71,0.69,17.48000000000001,31616,34216,0.0,0.0,57,0.0,0.0,56,0.0,0.0,56
9.29,1.39,2025-02-17 08:34:42.188,14.415,4.75,4.54,0.71,0.68,13.790000000000017,31720,34216,0.0,0.0,50,0.0,0.0,48,0.0,0.0,49
9.37,1.4,2025-02-17 08:34:42.289,14.516,4.8,4.56,0.72,0.68,32.72,31720,33488,0.0,0.0,54,0.0,0.0,62,0.0,0.0,59
9.41,1.41,2025-02-17 08:34:42.389,14.616,4.81,4.61,0.72,0.69,19.149999999999995,31616,34008,0.0,0.0,52,0.0,0.0,66,0.0,0.0,61
9.53,1.4,2025-02-17 08:34:42.489,14.716,4.81,4.72,0.72,0.68,37.3,31824,33488,0.0,0.0,38,0.0,0.0,82,0.01,0.0,71
9.4,1.4,2025-02-17 08:34:42.590,14.817,4.8,4.6,0.72,0.68,14.040000000000015,31928,33280,0.0,0.0,46,0.0,0.0,50,0.0,0.0,49
9.44,1.41,2025-02-17 08:34:42.690,14.917,4.81,4.63,0.72,0.69,23.92999999999998,32656,33592,0.0,0.0,92,0.0,0.0,53,0.0,0.0,87
9.4,1.4,2025-02-17 08:34:42.790,15.017,4.8,4.6,0.72,0.69,13.880000000000013,32656,33384,0.0,0.0,49,0.0,0.0,50,0.0,0.0,50
9.41,1.41,2025-02-17 08:34:42.891,15.118,4.82,4.59,0.72,0.69,21.369999999999987,32760,33384,0.0,0.0,54,0.0,0.0,49,0.0,0.0,51
9.42,1.41,2025-02-17 08:34:42.991,15.218,4.8,4.62,0.72,0.69,20.259999999999977,32656,33384,0.0,0.0,51,0.0,0.0,73,0.0,0.0,62
9.38,1.41,2025-02-17 08:34:43.091,15.318,4.79,4.59,0.72,0.69,15.77000000000001,32552,33488,0.0,0.0,51,0.0,0.0,57,0.0,0.0,55
