time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-17 09:33:33.242719
",faiss,90.52,0.059833984375,96.0,0.06%,0.0,0.0,0.0287109375,3.910064697265625e-06
"2025-02-17 09:33:33.242719
",suffixArray,4774.35,16.09,96.0,16.76%,0.0,0.0,0.0006914138793945312,0.0
"2025-02-17 09:33:35.581697
",faiss,84.50,1.869,96.0,1.95%,0.0,0.0,0.3955078125,3.910064697265625e-06
"2025-02-17 09:33:35.581697
",suffixArray,4775.20,24.99,96.0,26.04%,0.0,0.0,0.0006914138793945312,0.0
"2025-02-17 09:33:37.595165
",faiss,100.33,5.351,96.0,5.57%,0.0,0.0,0.3955078125,3.910064697265625e-06
"2025-02-17 09:33:37.595165
",suffixArray,123.39,19.53,96.0,20.34%,0.0,0.0,0.0006990432739257812,0.0
"2025-02-17 09:33:39.607203
",faiss,100.27,8.979,96.0,9.35%,0.0,0.0,0.3955078125,3.910064697265625e-06
"2025-02-17 09:33:39.607203
",suffixArray,3678.60,23.81,96.0,24.80%,0.0,0.0,0.0006990432739257812,0.0
"2025-02-17 09:33:41.622319
",faiss,99.94,12.53,96.0,13.05%,0.0,0.0,0.3955078125,3.910064697265625e-06
"2025-02-17 09:33:41.622319
",suffixArray,1392.42,18.08,96.0,18.83%,0.0,0.0,0.0006990432739257812,0.0
"2025-02-17 09:33:43.631187
",faiss,100.19,16.31,96.0,16.99%,0.0,0.0,0.3955078125,3.910064697265625e-06
"2025-02-17 09:33:43.631187
",suffixArray,4800.39,35.28,96.0,36.75%,0.0,0.0,0.0006990432739257812,0.0
"2025-02-17 09:33:45.643806
",faiss,100.30,20.08,96.0,20.92%,0.0,0.0,0.3955078125,3.910064697265625e-06
"2025-02-17 09:33:45.643806
",suffixArray,4815.04,39.75,96.0,41.41%,0.0,0.0,0.0006990432739257812,0.0
"2025-02-17 09:33:47.657113
",faiss,100.18,23.97,96.0,24.97%,0.0,0.0,0.3955078125,3.910064697265625e-06
"2025-02-17 09:33:47.657113
",suffixArray,2013.43,26.06,96.0,27.15%,0.0,0.0,0.0006990432739257812,0.0
"2025-02-17 09:33:49.666980
",faiss,100.22,27.6,96.0,28.75%,0.0,0.0,0.3955078125,3.910064697265625e-06
"2025-02-17 09:33:49.666980
",suffixArray,4781.62,31.52,96.0,32.83%,0.0,0.0,0.0006990432739257812,0.0
"2025-02-17 09:33:51.681885
",faiss,99.64,31.28,96.0,32.59%,0.0,0.0,0.3955078125,3.910064697265625e-06
"2025-02-17 09:33:51.681885
",suffixArray,4804.45,41.06,96.0,42.78%,0.0,0.0,0.0006990432739257812,0.0
"2025-02-17 09:33:53.691126
",faiss,100.14,35.03,96.0,36.49%,0.0,0.0,0.3955078125,3.910064697265625e-06
"2025-02-17 09:33:53.691126
",suffixArray,2198.73,29.23,96.0,30.45%,0.0,0.0,0.0006990432739257812,0.0
"2025-02-17 09:33:55.702543
",faiss,100.10,38.7,96.0,40.31%,0.0,0.0,0.3955078125,3.910064697265625e-06
"2025-02-17 09:33:55.702543
",suffixArray,4815.52,32.15,96.0,33.49%,0.0,0.0,0.0006990432739257812,0.0
"2025-02-17 09:33:57.714730
",faiss,100.37,42.34,96.0,44.11%,0.0,0.0,0.3955078125,3.910064697265625e-06
"2025-02-17 09:33:57.714730
",suffixArray,4801.15,36.59,96.0,38.11%,0.0,0.0,0.0006990432739257812,0.0
"2025-02-17 09:33:59.741641
",faiss,99.64,45.92,96.0,47.83%,0.0,0.0,0.3955078125,3.910064697265625e-06
"2025-02-17 09:33:59.741641
",suffixArray,4811.91,38.8,96.0,40.41%,0.0,0.0,0.0006990432739257812,0.0
"2025-02-17 09:34:01.738647
",faiss,100.28,49.05,96.0,51.10%,0.0,0.0,0.3955078125,3.910064697265625e-06
"2025-02-17 09:34:01.738647
",suffixArray,2123.43,36.46,96.0,37.97%,0.0,0.0,0.0006990432739257812,0.0
"2025-02-17 09:34:03.750793
",faiss,99.95,51.42,96.0,53.57%,0.0,0.0,0.3955078125,3.910064697265625e-06
"2025-02-17 09:34:03.750793
",suffixArray,4796.78,38.82,96.0,40.44%,0.0,0.0,0.0006990432739257812,0.0
"2025-02-17 09:34:05.768761
",faiss,100.14,53.49,96.0,55.72%,0.0,0.0,0.3955078125,3.910064697265625e-06
"2025-02-17 09:34:05.768761
",suffixArray,3062.42,43.79,96.0,45.62%,0.0,0.0,0.0006990432739257812,0.0
"2025-02-17 09:34:07.783631
",faiss,100.28,55.95,96.0,58.28%,0.0,0.0,0.3955078125,3.910064697265625e-06
"2025-02-17 09:34:07.783631
",suffixArray,4786.25,41.39,96.0,43.12%,0.0,0.0,0.0006990432739257812,0.0
"2025-02-17 09:34:09.794113
",faiss,99.84,58.48,96.0,60.92%,0.0,0.0,0.3955078125,3.910064697265625e-06
"2025-02-17 09:34:09.794113
",suffixArray,4783.91,44.43,96.0,46.28%,0.0,0.0,0.0006990432739257812,0.0
"2025-02-17 09:34:11.804481
",faiss,99.57,61.78,96.0,64.35%,0.0,0.0,0.3955078125,3.910064697265625e-06
"2025-02-17 09:34:11.804481
",suffixArray,99.66,32.54,96.0,33.90%,0.0,0.0,0.0006990432739257812,0.0
"2025-02-17 09:34:13.814626
",faiss,99.81,65.57,96.0,68.30%,0.0,0.0,0.3955078125,3.910064697265625e-06
"2025-02-17 09:34:13.814626
",suffixArray,0.00,27.74,96.0,28.89%,0.0,0.0,0.0006990432739257812,0.0
"2025-02-17 09:34:15.824761
",faiss,100.29,68.66,96.0,71.52%,0.0,0.0,0.3955078125,3.910064697265625e-06
"2025-02-17 09:34:15.824761
",suffixArray,0.00,27.74,96.0,28.89%,0.0,0.0,0.0006990432739257812,0.0
"2025-02-17 09:34:17.833162
",faiss,99.74,71.6,96.0,74.58%,0.0,0.0,0.3955078125,3.910064697265625e-06
"2025-02-17 09:34:17.833162
",suffixArray,0.00,27.74,96.0,28.89%,0.0,0.0,0.0006990432739257812,0.0
"2025-02-17 09:34:19.842889
",faiss,45.65,72.85,96.0,75.89%,0.0,0.0,0.853515625,3.910064697265625e-06
"2025-02-17 09:34:19.842889
",suffixArray,0.00,27.74,96.0,28.89%,0.0,0.0,0.0006990432739257812,0.0
"2025-02-17 09:34:21.853862
",faiss,43.90,72.85,96.0,75.89%,0.0,0.0,1.61,3.910064697265625e-06
"2025-02-17 09:34:21.853862
",suffixArray,0.00,27.74,96.0,28.89%,0.0,0.0,0.0006990432739257812,0.0
"2025-02-17 09:34:23.862582
",faiss,47.58,72.85,96.0,75.89%,0.0,0.0,2.44,3.910064697265625e-06
"2025-02-17 09:34:23.862582
",suffixArray,0.00,27.74,96.0,28.89%,0.0,0.0,0.0006990432739257812,0.0
"2025-02-17 09:34:25.875653
",faiss,44.63,72.85,96.0,75.89%,0.0,0.0,3.21,3.910064697265625e-06
"2025-02-17 09:34:25.875653
",suffixArray,0.00,27.74,96.0,28.89%,0.0,0.0,0.0006990432739257812,0.0
"2025-02-17 09:34:27.886608
",faiss,46.01,72.85,96.0,75.89%,0.0,0.0,3.99,3.910064697265625e-06
"2025-02-17 09:34:27.886608
",suffixArray,0.00,27.74,96.0,28.89%,0.0,0.0,0.0006990432739257812,0.0
"2025-02-17 09:34:29.893473
",faiss,48.28,72.85,96.0,75.89%,0.0,0.0,4.83,3.910064697265625e-06
"2025-02-17 09:34:29.893473
",suffixArray,0.00,27.74,96.0,28.89%,0.0,0.0,0.0006990432739257812,0.0
"2025-02-17 09:34:31.906485
",faiss,44.13,72.85,96.0,75.89%,0.0,0.0,5.54,3.910064697265625e-06
"2025-02-17 09:34:31.906485
",suffixArray,0.00,27.74,96.0,28.89%,0.0,0.0,0.0006990432739257812,0.0
"2025-02-17 09:34:33.914163
",faiss,45.43,72.85,96.0,75.89%,0.0,0.0,6.26,3.910064697265625e-06
"2025-02-17 09:34:33.914163
",suffixArray,0.00,27.74,96.0,28.89%,0.0,0.0,0.0006990432739257812,0.0
