Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
10.36,1.43,2025-02-17 09:33:14.188,0.0,5.49,4.86,0.73,0.7,15.739999999999998,34632,35256,0.0,0.0,72,0.0,0.0,48,0.0,0.0,64
9.97,1.41,2025-02-17 09:33:14.289,0.101,5.19,4.78,0.72,0.69,14.53000000000001,34320,35464,0.0,0.0,72,0.0,0.0,39,0.0,0.0,59
9.96,1.41,2025-02-17 09:33:14.389,0.201,5.18,4.78,0.72,0.69,16.760000000000012,34840,35256,0.0,0.0,57,0.0,0.0,47,0.0,0.0,52
10.01,1.41,2025-02-17 09:33:14.490,0.302,5.23,4.77,0.72,0.69,22.919999999999998,34528,35360,0.0,0.0,62,0.0,0.0,61,0.0,0.0,62
10.01,1.4,2025-02-17 09:33:14.590,0.402,5.25,4.77,0.72,0.69,17.370000000000008,34632,35152,0.0,0.0,59,0.0,0.0,53,0.0,0.0,57
10.03,1.4,2025-02-17 09:33:14.690,0.502,5.14,4.88,0.71,0.68,29.87,34216,35152,0.0,0.0,28,0.01,0.0,77,0.01,0.0,59
10.26,1.43,2025-02-17 09:33:14.790,0.602,5.26,5.0,0.73,0.7,39.62999999999998,33904,35048,0.01,0.01,4,0.01,0.0,88,0.02,0.01,25
9.94,1.41,2025-02-17 09:33:14.890,0.702,5.17,4.77,0.72,0.69,14.06000000000001,33592,34944,0.0,0.0,44,0.0,0.0,58,0.0,0.0,50
9.94,1.4,2025-02-17 09:33:14.991,0.803,5.17,4.77,0.71,0.69,16.82000000000001,33696,34944,0.0,0.0,59,0.0,0.0,49,0.0,0.0,54
9.88,1.41,2025-02-17 09:33:15.091,0.903,5.1,4.78,0.72,0.69,18.599999999999994,33696,34944,0.0,0.0,57,0.0,0.0,53,0.0,0.0,55
9.95,1.41,2025-02-17 09:33:15.191,1.003,5.17,4.78,0.72,0.69,17.200000000000017,33800,34944,0.0,0.0,56,0.0,0.0,57,0.0,0.0,56
10.02,1.42,2025-02-17 09:33:15.291,1.103,5.22,4.8,0.73,0.69,21.25999999999997,34008,34528,0.0,0.0,26,0.0,0.0,74,0.0,0.0,55
10.06,1.41,2025-02-17 09:33:15.392,1.204,5.11,4.94,0.72,0.7,38.71999999999997,34008,34528,0.0,0.0,7,0.01,0.0,86,0.01,0.01,35
9.94,1.41,2025-02-17 09:33:15.492,1.304,5.18,4.76,0.72,0.69,13.960000000000008,33800,34632,0.0,0.0,50,0.0,0.0,52,0.0,0.0,51
9.92,1.41,2025-02-17 09:33:15.592,1.404,5.15,4.77,0.72,0.69,15.470000000000017,33904,34528,0.0,0.0,51,0.0,0.0,52,0.0,0.0,51
10.01,1.41,2025-02-17 09:33:15.693,1.505,5.16,4.85,0.72,0.69,26.050000000000008,33800,34840,0.0,0.0,43,0.0,0.0,71,0.0,0.0,64
9.84,1.4,2025-02-17 09:33:15.792,1.604,5.12,4.72,0.71,0.68,13.650000000000016,34008,34632,0.0,0.0,53,0.0,0.0,46,0.0,0.0,49
9.84,1.39,2025-02-17 09:33:15.891,1.703,5.1,4.74,0.71,0.68,23.339999999999968,33696,34528,0.0,0.0,40,0.0,0.0,73,0.0,0.0,58
10.03,1.41,2025-02-17 09:33:15.992,1.804,5.16,4.87,0.72,0.69,40.029999999999966,34008,34632,0.0,0.0,14,0.01,0.0,83,0.01,0.0,43
