time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-17 09:22:49.225791
",faiss,2.31,0.0152734375,96.0,0.02%,0.0,0.0,0.009765625,0.0
"2025-02-17 09:22:49.225791
",wordCounts,284.91,0.88544921875,96.0,0.92%,0.0,0.0,0.9228515625,0.0
"2025-02-17 09:22:51.600195
",faiss,23.25,0.0307421875,96.0,0.03%,0.0,0.0,0.01875,0.0
"2025-02-17 09:22:51.600195
",wordCounts,1156.49,3.354,96.0,3.49%,0.0,0.0,1.79,0.0
"2025-02-17 09:22:53.611992
",faiss,95.40,0.07779296875,96.0,0.08%,0.0,0.0,0.04267578125,3.910064697265625e-06
"2025-02-17 09:22:53.611992
",wordCounts,3149.76,11.81,96.0,12.30%,0.0,0.0,1.79,0.0
"2025-02-17 09:22:55.623468
",faiss,77.58,1.639,96.0,1.71%,0.0,0.0,0.427734375,3.910064697265625e-06
"2025-02-17 09:22:55.623468
",wordCounts,0.00,4.895,96.0,5.10%,0.0,0.0,1.79,0.0
"2025-02-17 09:22:57.633711
",faiss,100.17,5.61,96.0,5.84%,0.0,0.0,0.427734375,3.910064697265625e-06
"2025-02-17 09:22:57.633711
",wordCounts,0.00,4.894,96.0,5.10%,0.0,0.0,1.79,0.0
"2025-02-17 09:22:59.645943
",faiss,99.99,9.532,96.0,9.93%,0.0,0.0,0.427734375,3.910064697265625e-06
"2025-02-17 09:22:59.645943
",wordCounts,0.00,4.894,96.0,5.10%,0.0,0.0,1.79,0.0
"2025-02-17 09:23:01.654948
",faiss,100.32,13.45,96.0,14.01%,0.0,0.0,0.427734375,3.910064697265625e-06
"2025-02-17 09:23:01.654948
",wordCounts,0.00,4.894,96.0,5.10%,0.0,0.0,1.79,0.0
"2025-02-17 09:23:03.664492
",faiss,99.92,17.43,96.0,18.16%,0.0,0.0,0.427734375,3.910064697265625e-06
"2025-02-17 09:23:03.664492
",wordCounts,0.00,4.894,96.0,5.10%,0.0,0.0,1.79,0.0
"2025-02-17 09:23:05.673555
",faiss,99.44,21.34,96.0,22.23%,0.0,0.0,0.427734375,3.910064697265625e-06
"2025-02-17 09:23:05.673555
",wordCounts,0.00,4.893,96.0,5.10%,0.0,0.0,1.79,0.0
"2025-02-17 09:23:07.684983
",faiss,100.33,25.29,96.0,26.34%,0.0,0.0,0.427734375,3.910064697265625e-06
"2025-02-17 09:23:07.684983
",wordCounts,0.00,4.893,96.0,5.10%,0.0,0.0,1.79,0.0
"2025-02-17 09:23:09.693887
",faiss,99.86,29.25,96.0,30.47%,0.0,0.0,0.427734375,3.910064697265625e-06
"2025-02-17 09:23:09.693887
",wordCounts,0.00,4.893,96.0,5.10%,0.0,0.0,1.79,0.0
"2025-02-17 09:23:11.704048
",faiss,100.04,33.18,96.0,34.56%,0.0,0.0,0.427734375,3.910064697265625e-06
"2025-02-17 09:23:11.704048
",wordCounts,0.00,4.893,96.0,5.10%,0.0,0.0,1.79,0.0
"2025-02-17 09:23:13.714764
",faiss,100.05,37.18,96.0,38.73%,0.0,0.0,0.427734375,3.910064697265625e-06
"2025-02-17 09:23:13.714764
",wordCounts,0.00,4.893,96.0,5.10%,0.0,0.0,1.79,0.0
"2025-02-17 09:23:15.722633
",faiss,99.91,41.19,96.0,42.91%,0.0,0.0,0.427734375,3.910064697265625e-06
"2025-02-17 09:23:15.722633
",wordCounts,0.00,4.893,96.0,5.10%,0.0,0.0,1.79,0.0
