mode,batch_size,query_start,query_end,query_time
IVF,64,2025-02-17 09:27:48.000158,2025-02-17 09:27:48.763904,0 days 00:00:00.763746
IVF,64,2025-02-17 09:27:48.765003,2025-02-17 09:27:50.309736,0 days 00:00:01.544733
IVF,64,2025-02-17 09:27:50.309827,2025-02-17 09:27:51.585522,0 days 00:00:01.275695
IVF,64,2025-02-17 09:27:51.585570,2025-02-17 09:27:52.989029,0 days 00:00:01.403459
IVF,64,2025-02-17 09:27:52.989094,2025-02-17 09:27:54.010129,0 days 00:00:01.021035
IVF,64,2025-02-17 09:27:54.010249,2025-02-17 09:27:55.446948,0 days 00:00:01.436699
IVF,64,2025-02-17 09:27:55.447010,2025-02-17 09:27:56.536626,0 days 00:00:01.089616
IVF,64,2025-02-17 09:27:56.536688,2025-02-17 09:27:57.581765,0 days 00:00:01.045077
IVF,64,2025-02-17 09:27:57.581827,2025-02-17 09:27:58.703946,0 days 00:00:01.122119
IVF,64,2025-02-17 09:27:58.704032,2025-02-17 09:27:59.964191,0 days 00:00:01.260159
IVF,64,2025-02-17 09:27:59.964243,2025-02-17 09:28:01.082004,0 days 00:00:01.117761
IVF,64,2025-02-17 09:28:01.082053,2025-02-17 09:28:02.201586,0 days 00:00:01.119533
IVF,64,2025-02-17 09:28:02.201641,2025-02-17 09:28:03.536345,0 days 00:00:01.334704
IVF,64,2025-02-17 09:28:03.536403,2025-02-17 09:28:04.702192,0 days 00:00:01.165789
IVF,64,2025-02-17 09:28:04.702238,2025-02-17 09:28:05.804337,0 days 00:00:01.102099
IVF,64,2025-02-17 09:28:05.804409,2025-02-17 09:28:06.734668,0 days 00:00:00.930259
IVF,64,2025-02-17 09:28:06.734737,2025-02-17 09:28:07.904822,0 days 00:00:01.170085
IVF,64,2025-02-17 09:28:07.904889,2025-02-17 09:28:09.038473,0 days 00:00:01.133584
IVF,64,2025-02-17 09:28:09.038528,2025-02-17 09:28:10.175231,0 days 00:00:01.136703
IVF,64,2025-02-17 09:28:10.175291,2025-02-17 09:28:11.244887,0 days 00:00:01.069596
IVF,64,2025-02-17 09:28:11.244957,2025-02-17 09:28:12.445529,0 days 00:00:01.200572
IVF,64,2025-02-17 09:28:12.445606,2025-02-17 09:28:13.640629,0 days 00:00:01.195023
IVF,64,2025-02-17 09:28:13.640704,2025-02-17 09:28:14.776553,0 days 00:00:01.135849
IVF,64,2025-02-17 09:28:14.776626,2025-02-17 09:28:15.839485,0 days 00:00:01.062859
IVF,64,2025-02-17 09:28:15.839547,2025-02-17 09:28:17.119045,0 days 00:00:01.279498
IVF,64,2025-02-17 09:28:17.119116,2025-02-17 09:28:18.182554,0 days 00:00:01.063438
IVF,64,2025-02-17 09:28:18.182602,2025-02-17 09:28:19.254301,0 days 00:00:01.071699
IVF,64,2025-02-17 09:28:19.254664,2025-02-17 09:28:20.216347,0 days 00:00:00.961683
IVF,64,2025-02-17 09:28:20.216413,2025-02-17 09:28:21.307857,0 days 00:00:01.091444
IVF,64,2025-02-17 09:28:21.307929,2025-02-17 09:28:22.426099,0 days 00:00:01.118170
IVF,64,2025-02-17 09:28:22.426156,2025-02-17 09:28:23.535560,0 days 00:00:01.109404
IVF,64,2025-02-17 09:28:23.535617,2025-02-17 09:28:24.651026,0 days 00:00:01.115409
IVF,64,2025-02-17 09:28:24.651089,2025-02-17 09:28:25.734123,0 days 00:00:01.083034
IVF,64,2025-02-17 09:28:25.734297,2025-02-17 09:28:26.868826,0 days 00:00:01.134529
IVF,64,2025-02-17 09:28:26.868884,2025-02-17 09:28:27.950539,0 days 00:00:01.081655
IVF,64,2025-02-17 09:28:27.950583,2025-02-17 09:28:29.000604,0 days 00:00:01.050021
IVF,64,2025-02-17 09:28:29.000662,2025-02-17 09:28:29.991622,0 days 00:00:00.990960
IVF,64,2025-02-17 09:28:29.991680,2025-02-17 09:28:31.123714,0 days 00:00:01.132034
IVF,64,2025-02-17 09:28:31.123786,2025-02-17 09:28:32.256422,0 days 00:00:01.132636
IVF,64,2025-02-17 09:28:32.256482,2025-02-17 09:28:33.364037,0 days 00:00:01.107555
IVF,64,2025-02-17 09:28:33.364122,2025-02-17 09:28:34.391658,0 days 00:00:01.027536
IVF,64,2025-02-17 09:28:34.391731,2025-02-17 09:28:35.509817,0 days 00:00:01.118086
IVF,64,2025-02-17 09:28:35.509882,2025-02-17 09:28:36.597835,0 days 00:00:01.087953
IVF,64,2025-02-17 09:28:36.597880,2025-02-17 09:28:37.709847,0 days 00:00:01.111967
IVF,64,2025-02-17 09:28:37.710071,2025-02-17 09:28:38.750398,0 days 00:00:01.040327
IVF,64,2025-02-17 09:28:38.750464,2025-02-17 09:28:39.901407,0 days 00:00:01.150943
IVF,64,2025-02-17 09:28:39.901476,2025-02-17 09:28:40.995791,0 days 00:00:01.094315
IVF,64,2025-02-17 09:28:40.995847,2025-02-17 09:28:42.144459,0 days 00:00:01.148612
IVF,64,2025-02-17 09:28:42.144523,2025-02-17 09:28:43.250451,0 days 00:00:01.105928
IVF,64,2025-02-17 09:28:43.250520,2025-02-17 09:28:44.513002,0 days 00:00:01.262482
IVF,64,2025-02-17 09:28:44.513069,2025-02-17 09:28:45.660572,0 days 00:00:01.147503
IVF,64,2025-02-17 09:28:45.660626,2025-02-17 09:28:46.759506,0 days 00:00:01.098880
IVF,64,2025-02-17 09:28:46.759566,2025-02-17 09:28:47.711494,0 days 00:00:00.951928
IVF,64,2025-02-17 09:28:47.711566,2025-02-17 09:28:48.731884,0 days 00:00:01.020318
IVF,64,2025-02-17 09:28:48.732246,2025-02-17 09:28:49.780297,0 days 00:00:01.048051
IVF,64,2025-02-17 09:28:49.780351,2025-02-17 09:28:50.874426,0 days 00:00:01.094075
IVF,64,2025-02-17 09:28:50.874576,2025-02-17 09:28:51.836144,0 days 00:00:00.961568
IVF,64,2025-02-17 09:28:51.836198,2025-02-17 09:28:52.900158,0 days 00:00:01.063960
IVF,64,2025-02-17 09:28:52.900231,2025-02-17 09:28:54.039235,0 days 00:00:01.139004
IVF,64,2025-02-17 09:28:54.039295,2025-02-17 09:28:55.058852,0 days 00:00:01.019557
IVF,64,2025-02-17 09:28:55.058907,2025-02-17 09:28:56.149373,0 days 00:00:01.090466
IVF,64,2025-02-17 09:28:56.149431,2025-02-17 09:28:57.106392,0 days 00:00:00.956961
IVF,64,2025-02-17 09:28:57.106578,2025-02-17 09:28:58.251380,0 days 00:00:01.144802
IVF,64,2025-02-17 09:28:58.251438,2025-02-17 09:28:59.327485,0 days 00:00:01.076047
IVF,64,2025-02-17 09:28:59.327539,2025-02-17 09:29:00.434570,0 days 00:00:01.107031
IVF,64,2025-02-17 09:29:00.434664,2025-02-17 09:29:01.369266,0 days 00:00:00.934602
IVF,64,2025-02-17 09:29:01.369323,2025-02-17 09:29:02.381782,0 days 00:00:01.012459
IVF,64,2025-02-17 09:29:02.381857,2025-02-17 09:29:03.417281,0 days 00:00:01.035424
IVF,64,2025-02-17 09:29:03.417328,2025-02-17 09:29:04.462657,0 days 00:00:01.045329
IVF,64,2025-02-17 09:29:04.462718,2025-02-17 09:29:05.523176,0 days 00:00:01.060458
IVF,64,2025-02-17 09:29:05.523792,2025-02-17 09:29:06.466169,0 days 00:00:00.942377
IVF,64,2025-02-17 09:29:06.466235,2025-02-17 09:29:07.508955,0 days 00:00:01.042720
IVF,64,2025-02-17 09:29:07.509125,2025-02-17 09:29:08.580627,0 days 00:00:01.071502
IVF,64,2025-02-17 09:29:08.580685,2025-02-17 09:29:09.632529,0 days 00:00:01.051844
IVF,64,2025-02-17 09:29:09.632575,2025-02-17 09:29:10.721716,0 days 00:00:01.089141
IVF,64,2025-02-17 09:29:10.721779,2025-02-17 09:29:11.709006,0 days 00:00:00.987227
IVF,64,2025-02-17 09:29:11.709080,2025-02-17 09:29:12.870049,0 days 00:00:01.160969
IVF,64,2025-02-17 09:29:12.870105,2025-02-17 09:29:13.919312,0 days 00:00:01.049207
IVF,64,2025-02-17 09:29:13.919360,2025-02-17 09:29:15.020683,0 days 00:00:01.101323
IVF,64,2025-02-17 09:29:15.020777,2025-02-17 09:29:15.963841,0 days 00:00:00.943064
IVF,64,2025-02-17 09:29:15.963902,2025-02-17 09:29:17.042827,0 days 00:00:01.078925
IVF,64,2025-02-17 09:29:17.043007,2025-02-17 09:29:18.072933,0 days 00:00:01.029926
IVF,64,2025-02-17 09:29:18.072981,2025-02-17 09:29:19.117804,0 days 00:00:01.044823
IVF,64,2025-02-17 09:29:19.117862,2025-02-17 09:29:20.130612,0 days 00:00:01.012750
IVF,64,2025-02-17 09:29:20.130694,2025-02-17 09:29:21.080994,0 days 00:00:00.950300
IVF,64,2025-02-17 09:29:21.081062,2025-02-17 09:29:22.177359,0 days 00:00:01.096297
IVF,64,2025-02-17 09:29:22.177412,2025-02-17 09:29:23.286642,0 days 00:00:01.109230
IVF,64,2025-02-17 09:29:23.286698,2025-02-17 09:29:24.348115,0 days 00:00:01.061417
IVF,64,2025-02-17 09:29:24.348173,2025-02-17 09:29:25.422434,0 days 00:00:01.074261
IVF,64,2025-02-17 09:29:25.422501,2025-02-17 09:29:26.434418,0 days 00:00:01.011917
IVF,64,2025-02-17 09:29:26.434490,2025-02-17 09:29:27.563490,0 days 00:00:01.129000
IVF,64,2025-02-17 09:29:27.563547,2025-02-17 09:29:28.615864,0 days 00:00:01.052317
IVF,64,2025-02-17 09:29:28.615918,2025-02-17 09:29:29.710173,0 days 00:00:01.094255
IVF,64,2025-02-17 09:29:29.710240,2025-02-17 09:29:30.684396,0 days 00:00:00.974156
IVF,64,2025-02-17 09:29:30.684462,2025-02-17 09:29:31.867680,0 days 00:00:01.183218
IVF,64,2025-02-17 09:29:31.867732,2025-02-17 09:29:32.990053,0 days 00:00:01.122321
IVF,64,2025-02-17 09:29:32.990102,2025-02-17 09:29:34.042582,0 days 00:00:01.052480
IVF,64,2025-02-17 09:29:34.042670,2025-02-17 09:29:35.022994,0 days 00:00:00.980324
IVF,64,2025-02-17 09:29:35.023058,2025-02-17 09:29:36.191060,0 days 00:00:01.168002
IVF,64,2025-02-17 09:29:36.191320,2025-02-17 09:29:37.276914,0 days 00:00:01.085594
IVF,64,2025-02-17 09:29:37.276972,2025-02-17 09:29:38.332584,0 days 00:00:01.055612
IVF,64,2025-02-17 09:29:38.332648,2025-02-17 09:29:39.339122,0 days 00:00:01.006474
IVF,64,2025-02-17 09:29:39.339192,2025-02-17 09:29:40.575749,0 days 00:00:01.236557
IVF,64,2025-02-17 09:29:40.575818,2025-02-17 09:29:41.718939,0 days 00:00:01.143121
IVF,64,2025-02-17 09:29:41.718991,2025-02-17 09:29:42.776936,0 days 00:00:01.057945
IVF,64,2025-02-17 09:29:42.777083,2025-02-17 09:29:43.799429,0 days 00:00:01.022346
IVF,64,2025-02-17 09:29:43.799576,2025-02-17 09:29:44.900951,0 days 00:00:01.101375
IVF,64,2025-02-17 09:29:44.901026,2025-02-17 09:29:45.996488,0 days 00:00:01.095462
IVF,64,2025-02-17 09:29:45.996534,2025-02-17 09:29:47.073905,0 days 00:00:01.077371
IVF,64,2025-02-17 09:29:47.073954,2025-02-17 09:29:48.173717,0 days 00:00:01.099763
IVF,64,2025-02-17 09:29:48.173782,2025-02-17 09:29:49.200958,0 days 00:00:01.027176
IVF,64,2025-02-17 09:29:49.201030,2025-02-17 09:29:50.403948,0 days 00:00:01.202918
IVF,64,2025-02-17 09:29:50.403992,2025-02-17 09:29:51.531623,0 days 00:00:01.127631
IVF,64,2025-02-17 09:29:51.531668,2025-02-17 09:29:52.607400,0 days 00:00:01.075732
IVF,64,2025-02-17 09:29:52.607472,2025-02-17 09:29:53.644435,0 days 00:00:01.036963
IVF,64,2025-02-17 09:29:53.644509,2025-02-17 09:29:54.817935,0 days 00:00:01.173426
IVF,64,2025-02-17 09:29:54.818029,2025-02-17 09:29:55.902258,0 days 00:00:01.084229
IVF,64,2025-02-17 09:29:55.902306,2025-02-17 09:29:57.012578,0 days 00:00:01.110272
IVF,64,2025-02-17 09:29:57.012645,2025-02-17 09:29:58.099682,0 days 00:00:01.087037
IVF,64,2025-02-17 09:29:58.099738,2025-02-17 09:29:59.296410,0 days 00:00:01.196672
IVF,64,2025-02-17 09:29:59.296568,2025-02-17 09:30:00.369510,0 days 00:00:01.072942
IVF,64,2025-02-17 09:30:00.369556,2025-02-17 09:30:01.542974,0 days 00:00:01.173418
IVF,64,2025-02-17 09:30:01.543044,2025-02-17 09:30:02.548274,0 days 00:00:01.005230
IVF,64,2025-02-17 09:30:02.548353,2025-02-17 09:30:03.847697,0 days 00:00:01.299344
IVF,64,2025-02-17 09:30:03.847748,2025-02-17 09:30:04.945611,0 days 00:00:01.097863
IVF,64,2025-02-17 09:30:04.945657,2025-02-17 09:30:06.227338,0 days 00:00:01.281681
IVF,64,2025-02-17 09:30:06.227441,2025-02-17 09:30:07.579644,0 days 00:00:01.352203
IVF,64,2025-02-17 09:30:07.579718,2025-02-17 09:30:08.752053,0 days 00:00:01.172335
IVF,64,2025-02-17 09:30:08.752101,2025-02-17 09:30:09.820657,0 days 00:00:01.068556
IVF,64,2025-02-17 09:30:09.820724,2025-02-17 09:30:11.265887,0 days 00:00:01.445163
IVF,64,2025-02-17 09:30:11.265942,2025-02-17 09:30:12.479367,0 days 00:00:01.213425
IVF,64,2025-02-17 09:30:12.479434,2025-02-17 09:30:13.642797,0 days 00:00:01.163363
IVF,64,2025-02-17 09:30:13.642868,2025-02-17 09:30:14.715717,0 days 00:00:01.072849
IVF,64,2025-02-17 09:30:14.715787,2025-02-17 09:30:16.106198,0 days 00:00:01.390411
IVF,64,2025-02-17 09:30:16.106244,2025-02-17 09:30:17.221133,0 days 00:00:01.114889
IVF,64,2025-02-17 09:30:17.221188,2025-02-17 09:30:18.276753,0 days 00:00:01.055565
IVF,64,2025-02-17 09:30:18.277190,2025-02-17 09:30:19.354289,0 days 00:00:01.077099
IVF,64,2025-02-17 09:30:19.354363,2025-02-17 09:30:20.623345,0 days 00:00:01.268982
IVF,64,2025-02-17 09:30:20.623393,2025-02-17 09:30:21.695898,0 days 00:00:01.072505
IVF,64,2025-02-17 09:30:21.695957,2025-02-17 09:30:22.802910,0 days 00:00:01.106953
IVF,64,2025-02-17 09:30:22.802976,2025-02-17 09:30:23.788250,0 days 00:00:00.985274
IVF,64,2025-02-17 09:30:23.788317,2025-02-17 09:30:24.935915,0 days 00:00:01.147598
IVF,64,2025-02-17 09:30:24.935967,2025-02-17 09:30:25.981253,0 days 00:00:01.045286
IVF,64,2025-02-17 09:30:25.981297,2025-02-17 09:30:27.045219,0 days 00:00:01.063922
IVF,64,2025-02-17 09:30:27.045279,2025-02-17 09:30:28.080290,0 days 00:00:01.035011
IVF,64,2025-02-17 09:30:28.080350,2025-02-17 09:30:29.300557,0 days 00:00:01.220207
IVF,64,2025-02-17 09:30:29.300791,2025-02-17 09:30:30.431591,0 days 00:00:01.130800
IVF,64,2025-02-17 09:30:30.431647,2025-02-17 09:30:31.561378,0 days 00:00:01.129731
IVF,64,2025-02-17 09:30:31.561441,2025-02-17 09:30:32.574549,0 days 00:00:01.013108
IVF,64,2025-02-17 09:30:32.574603,2025-02-17 09:30:33.748448,0 days 00:00:01.173845
IVF,64,2025-02-17 09:30:33.748504,2025-02-17 09:30:34.844013,0 days 00:00:01.095509
IVF,64,2025-02-17 09:30:34.844070,2025-02-17 09:30:35.947947,0 days 00:00:01.103877
IVF,64,2025-02-17 09:30:35.948010,2025-02-17 09:30:36.960279,0 days 00:00:01.012269
IVF,64,2025-02-17 09:30:36.960331,2025-02-17 09:30:38.119448,0 days 00:00:01.159117
IVF,64,2025-02-17 09:30:38.119525,2025-02-17 09:30:39.278339,0 days 00:00:01.158814
IVF,64,2025-02-17 09:30:39.278396,2025-02-17 09:30:40.305907,0 days 00:00:01.027511
IVF,64,2025-02-17 09:30:40.305977,2025-02-17 09:30:41.336192,0 days 00:00:01.030215
IVF,64,2025-02-17 09:30:41.336255,2025-02-17 09:30:42.503837,0 days 00:00:01.167582
IVF,64,2025-02-17 09:30:42.503899,2025-02-17 09:30:43.715111,0 days 00:00:01.211212
IVF,64,2025-02-17 09:30:43.715169,2025-02-17 09:30:44.812883,0 days 00:00:01.097714
IVF,64,2025-02-17 09:30:44.812936,2025-02-17 09:30:45.968585,0 days 00:00:01.155649
IVF,64,2025-02-17 09:30:45.968655,2025-02-17 09:30:47.101070,0 days 00:00:01.132415
IVF,64,2025-02-17 09:30:47.101139,2025-02-17 09:30:48.335225,0 days 00:00:01.234086
IVF,64,2025-02-17 09:30:48.335275,2025-02-17 09:30:49.398201,0 days 00:00:01.062926
IVF,64,2025-02-17 09:30:49.398248,2025-02-17 09:30:50.454517,0 days 00:00:01.056269
IVF,64,2025-02-17 09:30:50.454662,2025-02-17 09:30:51.528641,0 days 00:00:01.073979
IVF,64,2025-02-17 09:30:51.528789,2025-02-17 09:30:52.712701,0 days 00:00:01.183912
IVF,64,2025-02-17 09:30:52.712759,2025-02-17 09:30:53.775823,0 days 00:00:01.063064
IVF,64,2025-02-17 09:30:53.775871,2025-02-17 09:30:54.802470,0 days 00:00:01.026599
IVF,64,2025-02-17 09:30:54.802797,2025-02-17 09:30:55.733578,0 days 00:00:00.930781
IVF,64,2025-02-17 09:30:55.733825,2025-02-17 09:30:56.837952,0 days 00:00:01.104127
IVF,64,2025-02-17 09:30:56.838024,2025-02-17 09:30:57.928749,0 days 00:00:01.090725
IVF,64,2025-02-17 09:30:57.928807,2025-02-17 09:30:59.002875,0 days 00:00:01.074068
IVF,64,2025-02-17 09:30:59.002936,2025-02-17 09:30:59.972571,0 days 00:00:00.969635
IVF,64,2025-02-17 09:30:59.972644,2025-02-17 09:31:01.029588,0 days 00:00:01.056944
IVF,64,2025-02-17 09:31:01.029655,2025-02-17 09:31:02.112198,0 days 00:00:01.082543
IVF,64,2025-02-17 09:31:02.112262,2025-02-17 09:31:03.199184,0 days 00:00:01.086922
IVF,64,2025-02-17 09:31:03.199240,2025-02-17 09:31:04.224759,0 days 00:00:01.025519
IVF,64,2025-02-17 09:31:04.224823,2025-02-17 09:31:05.256724,0 days 00:00:01.031901
IVF,64,2025-02-17 09:31:05.256788,2025-02-17 09:31:06.425946,0 days 00:00:01.169158
IVF,64,2025-02-17 09:31:06.426002,2025-02-17 09:31:07.478374,0 days 00:00:01.052372
IVF,64,2025-02-17 09:31:07.478430,2025-02-17 09:31:08.508233,0 days 00:00:01.029803
IVF,64,2025-02-17 09:31:08.508371,2025-02-17 09:31:09.535225,0 days 00:00:01.026854
IVF,64,2025-02-17 09:31:09.535295,2025-02-17 09:31:10.687166,0 days 00:00:01.151871
IVF,64,2025-02-17 09:31:10.687233,2025-02-17 09:31:11.664109,0 days 00:00:00.976876
IVF,64,2025-02-17 09:31:11.664157,2025-02-17 09:31:12.675571,0 days 00:00:01.011414
IVF,64,2025-02-17 09:31:12.675632,2025-02-17 09:31:13.640814,0 days 00:00:00.965182
IVF,64,2025-02-17 09:31:13.640878,2025-02-17 09:31:14.604318,0 days 00:00:00.963440
IVF,64,2025-02-17 09:31:14.604467,2025-02-17 09:31:15.741302,0 days 00:00:01.136835
IVF,64,2025-02-17 09:31:15.741376,2025-02-17 09:31:16.754422,0 days 00:00:01.013046
IVF,64,2025-02-17 09:31:16.754480,2025-02-17 09:31:17.846402,0 days 00:00:01.091922
IVF,64,2025-02-17 09:31:17.846461,2025-02-17 09:31:18.776439,0 days 00:00:00.929978
IVF,64,2025-02-17 09:31:18.776503,2025-02-17 09:31:19.736005,0 days 00:00:00.959502
IVF,64,2025-02-17 09:31:19.736093,2025-02-17 09:31:20.850787,0 days 00:00:01.114694
IVF,64,2025-02-17 09:31:20.850868,2025-02-17 09:31:21.893306,0 days 00:00:01.042438
IVF,64,2025-02-17 09:31:21.893352,2025-02-17 09:31:22.935359,0 days 00:00:01.042007
IVF,64,2025-02-17 09:31:22.935459,2025-02-17 09:31:23.828149,0 days 00:00:00.892690
IVF,64,2025-02-17 09:31:23.828217,2025-02-17 09:31:24.926326,0 days 00:00:01.098109
IVF,64,2025-02-17 09:31:24.926379,2025-02-17 09:31:25.927669,0 days 00:00:01.001290
IVF,64,2025-02-17 09:31:25.927724,2025-02-17 09:31:26.992154,0 days 00:00:01.064430
IVF,64,2025-02-17 09:31:26.992206,2025-02-17 09:31:28.054363,0 days 00:00:01.062157
IVF,64,2025-02-17 09:31:28.054416,2025-02-17 09:31:28.984311,0 days 00:00:00.929895
IVF,64,2025-02-17 09:31:28.984382,2025-02-17 09:31:30.132650,0 days 00:00:01.148268
IVF,64,2025-02-17 09:31:30.132722,2025-02-17 09:31:31.133632,0 days 00:00:01.000910
IVF,64,2025-02-17 09:31:31.133688,2025-02-17 09:31:32.196215,0 days 00:00:01.062527
IVF,64,2025-02-17 09:31:32.196264,2025-02-17 09:31:33.159438,0 days 00:00:00.963174
IVF,64,2025-02-17 09:31:33.159527,2025-02-17 09:31:34.129219,0 days 00:00:00.969692
IVF,64,2025-02-17 09:31:34.129320,2025-02-17 09:31:35.216054,0 days 00:00:01.086734
IVF,64,2025-02-17 09:31:35.216120,2025-02-17 09:31:36.204954,0 days 00:00:00.988834
IVF,64,2025-02-17 09:31:36.205009,2025-02-17 09:31:37.204392,0 days 00:00:00.999383
IVF,64,2025-02-17 09:31:37.204440,2025-02-17 09:31:38.227534,0 days 00:00:01.023094
IVF,64,2025-02-17 09:31:38.227592,2025-02-17 09:31:39.430282,0 days 00:00:01.202690
IVF,64,2025-02-17 09:31:39.430369,2025-02-17 09:31:40.460412,0 days 00:00:01.030043
IVF,64,2025-02-17 09:31:40.460479,2025-02-17 09:31:41.439618,0 days 00:00:00.979139
IVF,64,2025-02-17 09:31:41.439689,2025-02-17 09:31:42.486786,0 days 00:00:01.047097
IVF,64,2025-02-17 09:31:42.486850,2025-02-17 09:31:43.469132,0 days 00:00:00.982282
IVF,64,2025-02-17 09:31:43.469205,2025-02-17 09:31:44.616336,0 days 00:00:01.147131
IVF,64,2025-02-17 09:31:44.616394,2025-02-17 09:31:45.662285,0 days 00:00:01.045891
IVF,64,2025-02-17 09:31:45.662336,2025-02-17 09:31:46.690606,0 days 00:00:01.028270
IVF,64,2025-02-17 09:31:46.690671,2025-02-17 09:31:47.627198,0 days 00:00:00.936527
IVF,64,2025-02-17 09:31:47.627270,2025-02-17 09:31:48.774220,0 days 00:00:01.146950
IVF,64,2025-02-17 09:31:48.774272,2025-02-17 09:31:49.768660,0 days 00:00:00.994388
IVF,64,2025-02-17 09:31:49.768707,2025-02-17 09:31:50.863026,0 days 00:00:01.094319
IVF,64,2025-02-17 09:31:50.863086,2025-02-17 09:31:51.890806,0 days 00:00:01.027720
IVF,64,2025-02-17 09:31:51.890876,2025-02-17 09:31:53.102358,0 days 00:00:01.211482
IVF,64,2025-02-17 09:31:53.102420,2025-02-17 09:31:54.131407,0 days 00:00:01.028987
IVF,64,2025-02-17 09:31:54.131477,2025-02-17 09:31:55.214393,0 days 00:00:01.082916
IVF,64,2025-02-17 09:31:55.214462,2025-02-17 09:31:56.221729,0 days 00:00:01.007267
IVF,64,2025-02-17 09:31:56.221790,2025-02-17 09:31:57.309721,0 days 00:00:01.087931
IVF,64,2025-02-17 09:31:57.309775,2025-02-17 09:31:58.320339,0 days 00:00:01.010564
IVF,64,2025-02-17 09:31:58.320393,2025-02-17 09:31:59.346205,0 days 00:00:01.025812
IVF,64,2025-02-17 09:31:59.346792,2025-02-17 09:32:00.315372,0 days 00:00:00.968580
IVF,64,2025-02-17 09:32:00.315437,2025-02-17 09:32:01.350306,0 days 00:00:01.034869
IVF,64,2025-02-17 09:32:01.350382,2025-02-17 09:32:02.319289,0 days 00:00:00.968907
IVF,64,2025-02-17 09:32:02.319359,2025-02-17 09:32:03.314223,0 days 00:00:00.994864
IVF,64,2025-02-17 09:32:03.314292,2025-02-17 09:32:04.368811,0 days 00:00:01.054519
IVF,64,2025-02-17 09:32:04.368874,2025-02-17 09:32:05.360399,0 days 00:00:00.991525
IVF,64,2025-02-17 09:32:05.360450,2025-02-17 09:32:06.408143,0 days 00:00:01.047693
IVF,64,2025-02-17 09:32:06.408204,2025-02-17 09:32:07.436920,0 days 00:00:01.028716
IVF,64,2025-02-17 09:32:07.436969,2025-02-17 09:32:08.460590,0 days 00:00:01.023621
IVF,64,2025-02-17 09:32:08.460645,2025-02-17 09:32:09.452244,0 days 00:00:00.991599
IVF,64,2025-02-17 09:32:09.452318,2025-02-17 09:32:10.404133,0 days 00:00:00.951815
IVF,64,2025-02-17 09:32:10.404935,2025-02-17 09:32:11.435479,0 days 00:00:01.030544
IVF,64,2025-02-17 09:32:11.435533,2025-02-17 09:32:12.421710,0 days 00:00:00.986177
IVF,64,2025-02-17 09:32:12.421775,2025-02-17 09:32:13.491062,0 days 00:00:01.069287
IVF,64,2025-02-17 09:32:13.491128,2025-02-17 09:32:14.465615,0 days 00:00:00.974487
IVF,64,2025-02-17 09:32:14.465667,2025-02-17 09:32:15.408370,0 days 00:00:00.942703
IVF,64,2025-02-17 09:32:15.408468,2025-02-17 09:32:16.570499,0 days 00:00:01.162031
IVF,64,2025-02-17 09:32:16.570542,2025-02-17 09:32:17.607599,0 days 00:00:01.037057
