Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.74,1.42,2025-02-17 09:22:30.189,0.0,5.07,4.67,0.72,0.7,14.479999999999997,35048,36192,0.0,0.0,64,0.0,0.0,48,0.0,0.0,58
9.57,1.4,2025-02-17 09:22:30.289,0.1,4.97,4.6,0.72,0.69,16.270000000000007,35152,36192,0.0,0.0,77,0.0,0.0,33,0.0,0.0,59
9.58,1.4,2025-02-17 09:22:30.389,0.2,4.98,4.6,0.71,0.69,15.980000000000018,34528,36192,0.0,0.0,63,0.0,0.0,53,0.0,0.0,58
9.6,1.4,2025-02-17 09:22:30.490,0.301,4.99,4.61,0.71,0.69,18.129999999999992,34528,36296,0.0,0.0,57,0.0,0.0,62,0.0,0.0,60
9.6,1.4,2025-02-17 09:22:30.590,0.401,5.0,4.6,0.72,0.69,19.179999999999982,34424,36504,0.0,0.0,87,0.0,0.0,50,0.0,0.0,80
9.91,1.42,2025-02-17 09:22:30.690,0.501,5.02,4.89,0.73,0.69,50.28,34320,34008,0.01,0.02,3,0.01,0.01,89,0.02,0.03,26
9.6,1.41,2025-02-17 09:22:30.790,0.601,4.98,4.62,0.72,0.69,18.2,34736,33904,0.0,0.0,89,0.0,0.0,16,0.01,0.01,58
9.56,1.4,2025-02-17 09:22:30.891,0.702,4.98,4.59,0.71,0.68,16.550000000000008,34632,33696,0.0,0.0,62,0.0,0.0,65,0.0,0.0,63
9.57,1.4,2025-02-17 09:22:30.991,0.802,4.97,4.6,0.71,0.69,14.040000000000015,34424,33800,0.0,0.0,55,0.0,0.0,52,0.0,0.0,54
9.47,1.38,2025-02-17 09:22:31.091,0.902,4.92,4.54,0.7,0.68,14.320000000000014,34632,33800,0.0,0.0,56,0.0,0.0,51,0.0,0.0,54
9.51,1.39,2025-02-17 09:22:31.190,1.001,4.93,4.58,0.71,0.68,21.789999999999996,34736,33696,0.0,0.0,20,0.0,0.0,85,0.0,0.0,46
9.66,1.4,2025-02-17 09:22:31.290,1.101,4.99,4.67,0.72,0.69,24.209999999999997,34944,34840,0.01,0.01,2,0.0,0.0,90,0.01,0.01,21
9.72,1.4,2025-02-17 09:22:31.390,1.201,4.96,4.76,0.72,0.69,32.02999999999997,34008,33696,0.0,0.0,9,0.0,0.0,87,0.01,0.01,45
9.52,1.39,2025-02-17 09:22:31.491,1.302,4.93,4.59,0.71,0.68,14.500000000000012,34112,33592,0.0,0.0,52,0.0,0.0,60,0.0,0.0,56
9.61,1.41,2025-02-17 09:22:31.591,1.402,5.02,4.59,0.72,0.68,14.13000000000002,34112,33592,0.0,0.0,62,0.0,0.0,44,0.0,0.0,53
9.65,1.4,2025-02-17 09:22:31.691,1.502,4.99,4.67,0.72,0.68,32.78999999999999,33696,33280,0.0,0.0,49,0.01,0.0,69,0.01,0.0,61
9.5,1.4,2025-02-17 09:22:31.792,1.603,4.91,4.58,0.71,0.69,13.580000000000018,33592,33280,0.0,0.0,59,0.0,0.0,54,0.0,0.0,58
9.64,1.41,2025-02-17 09:22:31.892,1.703,4.98,4.66,0.72,0.69,19.92,33696,33280,0.0,0.0,38,0.0,0.0,75,0.0,0.0,59
9.76,1.42,2025-02-17 09:22:31.992,1.803,4.97,4.79,0.72,0.7,39.769999999999975,33800,33696,0.0,0.0,4,0.01,0.01,94,0.01,0.01,47
9.52,1.4,2025-02-17 09:22:32.093,1.904,4.96,4.55,0.71,0.68,13.850000000000012,33696,33592,0.0,0.0,61,0.0,0.0,53,0.0,0.0,56
9.58,1.4,2025-02-17 09:22:32.193,2.004,4.97,4.61,0.71,0.69,14.150000000000016,33696,33488,0.0,0.0,49,0.0,0.0,53,0.0,0.0,51
9.64,1.41,2025-02-17 09:22:32.293,2.104,5.02,4.63,0.72,0.69,14.040000000000013,33800,33488,0.0,0.0,49,0.0,0.0,58,0.0,0.0,53
9.56,1.39,2025-02-17 09:22:32.393,2.204,4.94,4.63,0.71,0.69,16.35,33488,33384,0.0,0.0,60,0.0,0.0,56,0.0,0.0,58
9.49,1.39,2025-02-17 09:22:32.493,2.304,4.91,4.59,0.71,0.68,19.310000000000002,33384,33488,0.0,0.0,39,0.0,0.0,76,0.0,0.0,60
9.68,1.4,2025-02-17 09:22:32.592,2.403,4.92,4.76,0.71,0.69,42.18999999999997,33488,35672,0.0,0.0,6,0.01,0.01,96,0.01,0.01,60
9.63,1.4,2025-02-17 09:22:32.692,2.503,4.99,4.64,0.72,0.69,26.80000000000001,33488,35256,0.0,0.0,44,0.0,0.0,76,0.0,0.0,67
9.59,1.41,2025-02-17 09:22:32.793,2.604,4.96,4.63,0.72,0.69,14.170000000000012,33488,35256,0.0,0.0,55,0.0,0.0,47,0.0,0.0,51
9.61,1.4,2025-02-17 09:22:32.893,2.704,4.97,4.64,0.72,0.68,17.52,33384,35256,0.0,0.0,78,0.0,0.0,24,0.0,0.0,51
9.67,1.4,2025-02-17 09:22:32.993,2.804,4.97,4.69,0.72,0.68,14.930000000000017,33592,35256,0.0,0.0,65,0.0,0.0,49,0.0,0.0,60
9.68,1.4,2025-02-17 09:22:33.094,2.905,4.97,4.72,0.72,0.69,19.569999999999993,33488,34944,0.0,0.0,48,0.0,0.0,78,0.0,0.0,68
9.81,1.41,2025-02-17 09:22:33.194,3.005,4.97,4.84,0.72,0.7,40.22999999999998,33488,35776,0.0,0.0,9,0.01,0.01,97,0.01,0.01,68
