workload,pgbench-100,pgbench-50,pgbench-10,x265,llama,faiss,spark,removeDuplicates,breadthFirstSearch,minSpanningForest,wordCounts,suffixArray,convexHull,nearestNeighbors,nBody,nothing
pgbench-100,0.002738924579744422,0.002760285735837964,0.002214940739897163,0.0025936304450004917,0.003371077601320735,0.003230934330370171,0.0022099942735923014,0.002654991176576755,0.0025956407686183107,0.003002138541140188,0.0024762874519043752,0.002667759638903539,0.002730025704702217,0.0032356638817446206,0.002524351692239693,0.004139087075088736
pgbench-50,0.003310481328451852,0.0032021547980771526,0.0022637613019179936,0.003270344053599941,0.003394857932788408,0.0039093897854706045,0.00224933984080065,0.002900554241511584,0.0031953533682822425,0.0033097833474253326,0.0025936260995426566,0.0029756379379501947,0.003244951656504376,0.0031324260772069828,0.0029918132400288573,0.004139087075088786
pgbench-10,0.0027678670940392072,0.002504198777087518,0.0021057563105040342,0.0024565476430668796,0.003314904628285038,0.002827945444347047,0.0021647450227967467,0.0023451358221831314,0.0023283307239133945,0.0026145395927959477,0.0022101913738314153,0.0023774875652047872,0.0025823448854098876,0.0024197222380122037,0.0023834391309938757,0.004139087075088782
x265,0.0033170714581840007,0.0026726639869716056,0.0020323377446608733,0.0024985831896156903,0.0026768912605693133,0.003140406085538568,0.0020460068617617518,0.002549768068301622,0.0026086272590399866,0.0027286321759783464,0.002367433064422873,0.0025595761786294975,0.0028020006153472677,0.002744618798809061,0.0025343961324894478,0.004139087075088786
llama,0.0028175425875527015,0.003185390463319819,0.0023932742236871143,0.003369306900762003,0.003917195557729963,0.0027294504469543806,0.0020515825158139113,0.003384734220571044,0.003508550947222161,0.003461492750391971,0.0030097907574187133,0.003722936163489686,0.003312327776019776,0.0033592897027746936,0.003974713556543151,0.004139087075088787
faiss,0.0022865085491596115,0.0024284556500287816,0.0025194431404519293,0.002525408543972996,0.0020189817696710695,0.0023533952729406084,0.002206218106788877,0.0024730050778976197,0.0021507213029566675,0.0024902061814938534,0.002462202981525497,0.0023341110835139603,0.0022682100258823185,0.0021184826441375854,0.0023101019547678526,0.004139087075088694
spark,0.002610537264915361,0.0023348381714062717,0.0021100253843067897,0.002637031507191166,0.0023760300787603723,0.0024683920134259845,0.0020059700728786625,0.0021222849128843214,0.0021995113627754125,0.0026354966283431906,0.0021867582615455444,0.002256290295832943,0.0024435991205545107,0.002470205307308501,0.0023481260604826647,0.004139087075088786
removeDuplicates,0.0029248233202743956,0.0028724633336041036,0.002228738810650728,0.0027523835114497673,0.0033771990279398904,0.0040118546082309435,0.002241639908232494,0.0031935650093865287,0.0028988822679065548,0.003145172599235058,0.0026933048659101085,0.0027976981824321626,0.0029690417844196334,0.0029095697884596737,0.00255652168661539,0.00413908707508878
breadthFirstSearch,0.002886205379125075,0.002665839977143471,0.0022025234694373255,0.002682000611029013,0.002845983550496901,0.003572272786927265,0.002242878185355502,0.0030349631126427882,0.0031278398335769847,0.003117210293045596,0.00254885568256212,0.0030015336986329005,0.0029814071494615457,0.0028796886227583237,0.002564385782448967,0.004139087075088776
minSpanningForest,0.002592136836801198,0.0026173938709637117,0.002174549157846271,0.0025704517597001267,0.0028254597492464208,0.0031259076334753063,0.002154294294202355,0.002796654069381246,0.002858139261285139,0.003128611350312009,0.0024784254196254037,0.002690208793457876,0.0027580161022202412,0.002770687390850126,0.0025873135461678552,0.0041390870750887794
wordCounts,0.003230604770417996,0.002935434414336939,0.0023743751376120383,0.0030271346736764084,0.0032990696667209336,0.0038592999435953543,0.0023720095633660114,0.0030368387877013916,0.003025850542886527,0.003270287504867535,0.002901580558613903,0.0030683365527282925,0.0033367605301299385,0.0031128339243897225,0.0029411344381765235,0.004139087075088758
suffixArray,0.002963408858748794,0.0028057473903680664,0.002307012988363898,0.002802687938391169,0.003041049340814619,0.0037058536612978726,0.002303544693245595,0.003058192126307734,0.002949813296003304,0.003161109447206184,0.0026583329717573025,0.0030875967758460395,0.0029590119195571675,0.002837966317590964,0.00265281198654402,0.0041390870750887855
convexHull,0.0032349118241237883,0.0031148745204362944,0.0023060572346339874,0.0031031581549686438,0.0034837026147719317,0.003193613639751286,0.0022902849861981874,0.0031627202385354097,0.0033629734444084384,0.0034636405457500632,0.0026409155523057447,0.003140217643422984,0.003598291105477439,0.0032573045898851905,0.0028800723976507704,0.0041390870750887855
nearestNeighbors,0.0030687190617698255,0.003116682596419852,0.002233533550703062,0.003051979984839069,0.0033243995894321845,0.0037623904997358786,0.0022323143675364553,0.003136844568442816,0.0032460896804258313,0.0034008640331180152,0.0028021008587277205,0.003203187589365632,0.003559507525704833,0.00347634982804827,0.003087512818677939,0.004139087075088781
nBody,0.004419564242381839,0.003553066083110729,0.0024378316463312096,0.0036492851182588684,0.0037373160907779976,0.004760605248430145,0.0024418333290711484,0.0030191042251577088,0.003134601276616284,0.0033345261024379175,0.002895762590166761,0.0029882174381568446,0.0038749019723330162,0.0035618894598337895,0.003551111538245675,0.004139087075088783
