workload,pgbench-100,pgbench-50,pgbench-10,x265,llama,faiss,spark,removeDuplicates,breadthFirstSearch,minSpanningForest,wordCounts,suffixArray,convexHull,nearestNeighbors,nBody,nothing
pgbench-100,234.44568545606404,251.41502365614662,302.05635047106,269.0092425608883,217.17507495904505,274.22954652867486,309.220279827334,252.50140222633624,222.0664456102635,240.3120727466957,251.77187103486256,253.20402521642546,227.79286302003155,244.2601003177477,237.10981842838288,333.87862585643836
pgbench-50,265.5541142445973,274.6249197665793,299.0577751826474,285.03360356964924,201.62943672717256,288.7941873354031,310.7845978801918,253.16240828939223,243.46867187457372,257.49363586975113,242.61409068558086,265.3452189548125,250.2932824016659,238.24453003920144,233.66257458678635,340.44703622941967
pgbench-10,95.02002342857051,93.04369583855743,109.50239411468067,88.75328073065677,89.27921424323509,90.02503975739138,123.07747688147887,86.82322411321601,76.28298152071183,89.57568680813607,91.18662550613242,88.26677924286324,90.59129016487455,86.13414955941754,85.42526171478765,157.5774672684785
x265,222.5621669817852,223.34450824189318,252.22442203586533,210.23507449618535,174.8598368500195,240.74217129064934,256.60745376889435,216.1869277464077,195.60882733959525,204.50033785139897,215.03189686505914,222.49033613580795,211.10753791744517,203.78525703568212,197.1548083184259,271.89095863694956
llama,258.23714513606575,277.171319145512,267.5490940867303,279.01073638168907,293.8815361193857,224.3327179506035,256.7008298257986,272.52211411777307,266.7901964365445,274.18379305356666,255.12067261996424,299.5320077764641,258.739677646851,257.83391012238604,301.21213318534814,286.80003295961933
faiss,206.08029811817804,244.03530739791734,317.48630510535344,235.48765236144732,168.465799065005,206.71231931791846,292.4061738031426,241.09517308046082,189.43282352744936,217.43754815747968,248.01225272537204,221.27859647740448,199.3110297443782,183.0329834224012,220.00633732461236,287.75844033987244
spark,81.93916215176246,78.07038854084288,102.25793195782924,83.64228321748776,69.55999084286088,75.46993731591783,108.41378871420702,70.59557860564053,65.40740958956754,79.68311527582306,79.97777036707008,75.84613305930485,77.2916049056092,78.98541943477908,75.79742629122819,167.187828541189
removeDuplicates,230.76092759941778,248.56835470521085,256.0304478535018,232.9113906154885,233.1033905343261,296.3479379346059,270.97101339883164,261.8903719471447,216.59939528221952,232.8184157090727,233.64498768576846,238.3110479115636,223.69638295942474,221.52717422596564,197.73960621211853,297.2154118689105
breadthFirstSearch,244.88983822793227,258.46606937005174,271.3480522182559,262.45086100454665,217.1936139691951,296.2949473204573,289.8896405240901,286.22564843481865,259.18600102307977,268.4737047557175,264.12779424563394,280.6473120099611,254.0254708854229,252.72253614771333,229.29874700349086,314.263347203611
minSpanningForest,245.03014078952648,254.32609582193408,291.9569595026433,255.56020937724577,224.49691021762888,274.45018624052136,297.8726663313689,276.4946790216333,246.5584312692932,269.0059202437986,265.865154206246,270.1262969854132,239.87762504126312,243.70276295575718,231.13386833213326,341.36848872422127
wordCounts,226.66525361098934,222.16856174346339,252.76141196238976,225.443536190841,200.0152489285808,261.0804347958459,265.5925788598976,236.4805687930064,203.88871965526,217.19734529563078,223.4278271797247,245.2755513935893,226.6488407516746,225.64268196574426,211.0227320729026,292.3744042797672
suffixArray,233.83915533296044,236.50604328612852,260.9575097667234,228.74851701679097,203.3328450645412,282.38421367537524,273.0756438766832,256.7488054906911,219.70629541846375,230.7672133955712,226.39405041201277,249.8777446519381,229.83862790586747,217.59420064656808,205.3810533371669,300.71878189860496
convexHull,293.0433888566811,299.62659742200617,309.2320330093461,303.386637565686,272.85788600540536,277.608702562141,320.4391644583126,311.1078370164081,287.08683250510535,301.97143259963525,277.18387476723944,303.25093106798505,310.9523004845509,284.42834015540325,253.14849518427346,338.5716054541795
nearestNeighbors,299.59151446647456,300.4106106197674,304.71288160759525,298.3155685293735,258.1512954738451,329.5553800590049,313.14327766414567,312.75355042316437,285.867143837108,299.92034272081656,283.836164225334,317.9007356005865,311.64534760515454,302.22370376281583,269.9838359412269,354.9550312708397
nBody,336.50074911678485,322.7015300953904,315.5081857779093,329.10851828124225,279.99358890020676,364.5639563462753,326.11055013010866,287.4420646932052,265.4210953906081,282.26638780884616,281.68333882645675,282.7393148328793,328.0522850155085,299.6025327677562,297.49135355684035,337.7862214183517
