workload,pgbench-100,pgbench-50,pgbench-10,x265,llama,faiss,spark,removeDuplicates,breadthFirstSearch,minSpanningForest,wordCounts,suffixArray,convexHull,nearestNeighbors,nBody,nothing
pgbench-100,25.350963171633044,25.548677955543322,20.50106875513983,24.006148390609837,31.20205088954055,29.90491152071886,20.455285207081776,24.574091611054452,24.0247555623355,27.787221362512536,22.92004404205323,24.692274061421138,25.268596882640242,29.948687345580534,23.36491747727825,38.31060000000001
pgbench-50,30.641183352990474,29.638533662542816,20.95294255953775,30.269680397375666,31.42215709900124,36.18456572625722,20.819460267848815,26.846976473059655,29.575580926451046,30.63472297382261,24.006108169881696,27.541936837168436,30.03465321613478,28.993137930269818,27.69165234606529,38.31060000000001
pgbench-10,25.61884956011081,23.178385940921878,19.49047851511205,22.737336138902034,30.68212457203574,26.17492330428399,20.036466777780586,21.70612958834705,21.550584806105693,24.199679471981177,20.45710952927694,22.005571147251352,23.90169140494885,22.39648721804241,22.06065770430679,38.310600000000015
x265,30.70218033602932,24.737667771117874,18.81093028199576,23.12640913504764,24.77679460874036,29.066999364359376,18.937449021056988,23.60016660325532,24.144956039136616,25.255698646734484,21.91250860696943,23.690948600519555,25.934782918772108,25.40366777652266,23.45788689919444,38.3106
llama,26.078636447236647,29.483366179592284,22.151689445195082,31.18566162311624,36.2568144645158,25.26327240671724,18.989056210820227,31.32845395088179,32.474477941676554,32.038916253126196,27.858048815919627,34.45878658687762,30.658273719274487,31.0929443503818,36.789190083911365,38.31060000000001
faiss,21.163486738571905,22.477322012849633,23.319484858754503,23.374699495216216,18.687309926550398,21.782577488198495,20.420333727850913,22.88966301470612,19.9066659034431,23.048873146669173,22.78968087232341,21.604086711356338,20.994119099489065,19.608271030335626,21.38186279795366,38.31060000000001
spark,24.162634688984188,21.610816498118336,19.529992247454647,24.40786033892047,21.992080930890907,22.846965370384012,18.566876144391536,19.643464104171347,20.358257385280112,24.393653793243487,20.24021711429439,20.883792353095966,22.61748708582255,22.863748872483704,21.733806663344367,38.310600000000015
removeDuplicates,27.071606434204057,26.58697239076881,20.62878106459846,25.47553647478792,31.258709646020026,37.13296056976419,20.7481911615715,29.559028217829702,26.831501004476724,29.11111730541947,24.928715807150073,25.894960420852435,27.48088409900082,26.930422654945563,23.662676805403247,38.3106
breadthFirstSearch,26.714166141367645,24.674506038547715,20.38613686966612,24.824085781448403,26.341880572137498,33.06427512833136,20.759652418290244,28.09103933159432,28.950688534539776,28.85230353608624,23.591721734984308,27.781623055702262,27.595335557832367,26.653848288195025,23.7354653755339,38.31060000000001
minSpanningForest,23.99232383818022,24.226098125947647,20.12721198062703,23.79161090324618,26.15191618484093,28.932804459169468,19.939736828488545,25.88529630972764,26.454391511210684,28.957829546191032,22.939832663236313,24.900059151434267,25.52767065994923,25.64495368912386,23.947680380628956,38.3106
wordCounts,29.90186117669951,27.169820695662757,21.97676311147668,28.018580794621275,30.5355591899862,35.720943709775106,21.95486780773792,28.108400221954213,28.00669512511335,30.269156993101294,26.856475868280583,28.399937523525583,30.88441862819582,28.811796703061017,27.222579028441935,38.31060000000001
suffixArray,27.428746814065573,25.969462353272483,21.35327191446393,25.94114464968715,28.147372297963415,34.30067420687759,21.321170036791692,28.306042648694934,27.30290888007958,29.25862572860694,24.605022629445582,28.57820647278601,27.388049584087373,26.26767459449213,24.55392144402116,38.3106
convexHull,29.941726443775867,28.830684070609202,21.344425640350618,28.722239627971987,32.24448651895509,29.559478331204524,21.19844071904724,29.273534905722087,31.127040359881853,32.05879583704242,24.443810319210108,29.06525518010272,33.305095719095725,30.14898960988369,26.65740043535393,38.31060000000001
nearestNeighbors,28.403477954209887,28.847419276832085,20.673160263420957,28.248544252881626,30.770008120249376,34.8239683931002,20.661875736718574,29.034034641855893,30.045186548353673,31.47774841735522,25.935710752369737,29.64809298159529,32.94612230677526,32.17643052835981,28.57742938126182,38.31060000000001
nBody,40.906643129889176,32.88650154350813,22.564104445165178,33.777086568919174,34.5918844493718,44.06325359236269,22.601143256863384,27.944252495786415,29.013271160853733,30.863737191930866,26.80262586272434,27.658370290215764,35.86535311003983,32.96816903446791,32.86841064927258,38.3106
