Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.73,1.41,2025-02-17 07:17:47.597,0.0,4.88,4.85,0.73,0.69,12.030000000000008,34216,34528,0.0,0.0,55,0.0,0.0,65,0.0,0.0,59
9.6,1.4,2025-02-17 07:17:47.697,0.1,4.82,4.79,0.72,0.68,14.650000000000013,34528,34528,0.0,0.0,79,0.0,0.0,38,0.0,0.0,63
9.57,1.4,2025-02-17 07:17:47.798,0.201,4.79,4.77,0.72,0.68,14.950000000000001,34008,34528,0.0,0.0,76,0.0,0.0,41,0.0,0.0,63
9.57,1.4,2025-02-17 07:17:47.898,0.301,4.8,4.77,0.72,0.68,16.000000000000007,34112,34528,0.0,0.0,66,0.0,0.0,50,0.0,0.0,58
9.6,1.4,2025-02-17 07:17:47.998,0.401,4.81,4.79,0.72,0.68,21.999999999999968,34008,34528,0.0,0.0,31,0.0,0.0,84,0.01,0.0,61
9.66,1.41,2025-02-17 07:17:48.098,0.501,4.79,4.87,0.72,0.69,38.949999999999974,34112,34736,0.01,0.01,6,0.01,0.01,95,0.02,0.01,51
9.73,1.39,2025-02-17 07:17:48.199,0.602,4.75,4.98,0.71,0.68,32.919999999999995,34216,34736,0.0,0.0,39,0.01,0.0,76,0.01,0.01,59
9.63,1.39,2025-02-17 07:17:48.299,0.702,4.85,4.78,0.71,0.68,15.900000000000004,34112,34528,0.0,0.0,62,0.0,0.0,50,0.0,0.0,56
9.53,1.4,2025-02-17 07:17:48.399,0.802,4.76,4.77,0.72,0.68,17.81,33280,34632,0.0,0.0,62,0.0,0.0,51,0.0,0.0,57
9.46,1.38,2025-02-17 07:17:48.499,0.902,4.74,4.72,0.71,0.67,16.560000000000002,33280,34632,0.0,0.0,56,0.0,0.0,52,0.0,0.0,54
9.46,1.38,2025-02-17 07:17:48.598,1.001,4.74,4.72,0.71,0.67,17.659999999999993,33280,34632,0.0,0.0,58,0.0,0.0,50,0.0,0.0,54
9.51,1.38,2025-02-17 07:17:48.697,1.1,4.76,4.75,0.71,0.67,22.219999999999967,33176,34424,0.0,0.0,38,0.0,0.0,74,0.01,0.0,59
9.76,1.4,2025-02-17 07:17:48.798,1.201,4.81,4.96,0.72,0.68,45.77999999999998,33072,34216,0.0,0.01,9,0.01,0.0,92,0.01,0.01,44
9.56,1.39,2025-02-17 07:17:48.898,1.301,4.79,4.77,0.71,0.68,16.240000000000006,33072,34112,0.0,0.0,56,0.0,0.0,52,0.0,0.0,54
9.57,1.39,2025-02-17 07:17:48.998,1.401,4.8,4.77,0.71,0.68,17.689999999999998,32968,34112,0.0,0.0,56,0.0,0.0,50,0.0,0.0,53
9.59,1.39,2025-02-17 07:17:49.098,1.501,4.81,4.78,0.71,0.68,18.37999999999999,32864,34008,0.0,0.0,55,0.0,0.0,58,0.0,0.0,57
9.7,1.39,2025-02-17 07:17:49.199,1.602,4.79,4.91,0.71,0.68,25.85000000000001,32968,33696,0.0,0.0,43,0.0,0.0,68,0.01,0.0,59
