Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.83,1.42,2025-02-17 07:55:10.195,0.0,4.96,4.87,0.73,0.69,18.52999999999999,34840,35360,0.0,0.0,66,0.0,0.0,39,0.01,0.01,58
9.57,1.4,2025-02-17 07:55:10.295,0.1,4.8,4.77,0.72,0.68,16.390000000000004,34736,35256,0.0,0.0,82,0.0,0.0,37,0.0,0.0,64
9.56,1.4,2025-02-17 07:55:10.396,0.201,4.79,4.77,0.72,0.68,14.740000000000018,34736,35152,0.0,0.0,58,0.0,0.0,55,0.0,0.0,57
9.6,1.4,2025-02-17 07:55:10.496,0.301,4.81,4.79,0.72,0.69,14.920000000000007,34424,35048,0.0,0.0,63,0.0,0.0,48,0.0,0.0,56
9.56,1.4,2025-02-17 07:55:10.597,0.402,4.79,4.76,0.71,0.68,16.900000000000006,34320,35048,0.0,0.0,52,0.0,0.0,51,0.0,0.0,52
9.89,1.41,2025-02-17 07:55:10.697,0.502,4.85,5.04,0.72,0.69,36.500000000000014,33904,34944,0.0,0.0,67,0.0,0.0,62,0.01,0.0,65
9.79,1.42,2025-02-17 07:55:10.797,0.602,4.79,5.0,0.72,0.69,41.88,33904,35672,0.01,0.02,2,0.01,0.0,96,0.02,0.02,38
9.47,1.39,2025-02-17 07:55:10.897,0.702,4.74,4.72,0.71,0.68,18.89,34944,35568,0.0,0.0,86,0.0,0.0,19,0.01,0.0,56
9.49,1.38,2025-02-17 07:55:10.996,0.801,4.76,4.73,0.7,0.68,18.13999999999999,35048,35672,0.0,0.0,55,0.0,0.0,61,0.0,0.0,57
9.55,1.4,2025-02-17 07:55:11.096,0.901,4.78,4.77,0.72,0.69,14.140000000000015,34736,35464,0.0,0.0,57,0.0,0.0,50,0.0,0.0,53
9.58,1.4,2025-02-17 07:55:11.197,1.002,4.79,4.78,0.72,0.69,16.900000000000013,34736,35464,0.0,0.0,56,0.0,0.0,51,0.0,0.0,53
9.61,1.4,2025-02-17 07:55:11.297,1.102,4.81,4.81,0.71,0.69,20.769999999999992,34528,35464,0.0,0.0,24,0.0,0.0,84,0.0,0.0,53
9.79,1.41,2025-02-17 07:55:11.398,1.203,4.79,5.0,0.72,0.69,38.07999999999999,34840,33904,0.0,0.01,4,0.01,0.0,94,0.01,0.01,42
9.56,1.4,2025-02-17 07:55:11.498,1.303,4.79,4.77,0.72,0.68,14.000000000000014,34424,33800,0.0,0.0,62,0.0,0.0,54,0.0,0.0,58
9.56,1.4,2025-02-17 07:55:11.598,1.403,4.78,4.78,0.72,0.68,14.460000000000013,34424,33800,0.0,0.0,57,0.0,0.0,51,0.0,0.0,54
9.65,1.4,2025-02-17 07:55:11.699,1.504,4.79,4.86,0.72,0.68,25.050000000000022,34320,33384,0.0,0.0,40,0.0,0.0,71,0.0,0.0,60
9.48,1.39,2025-02-17 07:55:11.798,1.603,4.76,4.73,0.71,0.68,14.210000000000017,34320,33280,0.0,0.0,65,0.0,0.0,49,0.0,0.0,60
9.48,1.38,2025-02-17 07:55:11.897,1.702,4.74,4.73,0.71,0.68,19.040000000000006,34320,33280,0.0,0.0,39,0.0,0.0,69,0.0,0.0,56
9.79,1.41,2025-02-17 07:55:11.997,1.802,4.79,5.0,0.72,0.69,40.19000000000001,34320,33072,0.0,0.0,10,0.01,0.0,93,0.01,0.01,52
9.57,1.4,2025-02-17 07:55:12.098,1.903,4.8,4.77,0.72,0.68,13.650000000000015,34320,33072,0.0,0.0,53,0.0,0.0,58,0.0,0.0,55
9.54,1.4,2025-02-17 07:55:12.198,2.003,4.78,4.77,0.72,0.68,14.100000000000016,34216,33072,0.0,0.0,55,0.0,0.0,49,0.0,0.0,51
9.56,1.4,2025-02-17 07:55:12.298,2.103,4.79,4.77,0.72,0.68,14.120000000000015,34216,32864,0.0,0.0,51,0.0,0.0,52,0.0,0.0,51
9.54,1.4,2025-02-17 07:55:12.399,2.204,4.77,4.77,0.72,0.68,18.339999999999993,34216,32864,0.0,0.0,56,0.0,0.0,52,0.0,0.0,54
9.58,1.41,2025-02-17 07:55:12.499,2.304,4.79,4.79,0.72,0.69,19.439999999999998,34216,32552,0.0,0.0,41,0.0,0.0,77,0.0,0.0,60
9.61,1.41,2025-02-17 07:55:12.599,2.404,4.74,4.87,0.72,0.69,37.589999999999975,34112,32552,0.0,0.0,12,0.01,0.0,89,0.01,0.0,58
9.66,1.41,2025-02-17 07:55:12.700,2.505,4.85,4.81,0.72,0.69,26.60000000000002,34424,32240,0.0,0.0,44,0.0,0.0,67,0.0,0.0,60
9.46,1.39,2025-02-17 07:55:12.799,2.604,4.74,4.72,0.71,0.68,14.430000000000016,34320,32136,0.0,0.0,50,0.0,0.0,48,0.0,0.0,49
9.48,1.39,2025-02-17 07:55:12.898,2.703,4.75,4.73,0.71,0.68,17.370000000000015,34216,32240,0.0,0.0,59,0.0,0.0,59,0.0,0.0,59
9.39,1.38,2025-02-17 07:55:12.998,2.803,4.68,4.72,0.7,0.68,14.34000000000001,34216,32136,0.0,0.0,62,0.0,0.0,44,0.0,0.0,53
