mode,batch_size,query_start,query_end,query_time
IVF,64,2025-02-17 06:54:09.115925,2025-02-17 06:54:09.921545,0 days 00:00:00.805620
IVF,64,2025-02-17 06:54:09.922592,2025-02-17 06:54:11.879808,0 days 00:00:01.957216
IVF,64,2025-02-17 06:54:11.879961,2025-02-17 06:54:13.439840,0 days 00:00:01.559879
IVF,64,2025-02-17 06:54:13.440059,2025-02-17 06:54:15.268243,0 days 00:00:01.828184
IVF,64,2025-02-17 06:54:15.268395,2025-02-17 06:54:16.560763,0 days 00:00:01.292368
IVF,64,2025-02-17 06:54:16.560881,2025-02-17 06:54:17.609454,0 days 00:00:01.048573
IVF,64,2025-02-17 06:54:17.609569,2025-02-17 06:54:18.990814,0 days 00:00:01.381245
IVF,64,2025-02-17 06:54:18.990889,2025-02-17 06:54:19.988489,0 days 00:00:00.997600
IVF,64,2025-02-17 06:54:19.988599,2025-02-17 06:54:21.006596,0 days 00:00:01.017997
IVF,64,2025-02-17 06:54:21.006669,2025-02-17 06:54:21.992739,0 days 00:00:00.986070
IVF,64,2025-02-17 06:54:21.992841,2025-02-17 06:54:23.210133,0 days 00:00:01.217292
IVF,64,2025-02-17 06:54:23.210221,2025-02-17 06:54:24.186529,0 days 00:00:00.976308
IVF,64,2025-02-17 06:54:24.186600,2025-02-17 06:54:25.269829,0 days 00:00:01.083229
IVF,64,2025-02-17 06:54:25.269923,2025-02-17 06:54:26.272330,0 days 00:00:01.002407
IVF,64,2025-02-17 06:54:26.272394,2025-02-17 06:54:27.261647,0 days 00:00:00.989253
IVF,64,2025-02-17 06:54:27.261740,2025-02-17 06:54:28.199059,0 days 00:00:00.937319
IVF,64,2025-02-17 06:54:28.199121,2025-02-17 06:54:29.171066,0 days 00:00:00.971945
IVF,64,2025-02-17 06:54:29.171140,2025-02-17 06:54:30.155463,0 days 00:00:00.984323
IVF,64,2025-02-17 06:54:30.155529,2025-02-17 06:54:31.100137,0 days 00:00:00.944608
IVF,64,2025-02-17 06:54:31.100225,2025-02-17 06:54:32.027052,0 days 00:00:00.926827
IVF,64,2025-02-17 06:54:32.027116,2025-02-17 06:54:32.977017,0 days 00:00:00.949901
IVF,64,2025-02-17 06:54:32.977087,2025-02-17 06:54:33.937196,0 days 00:00:00.960109
IVF,64,2025-02-17 06:54:33.937270,2025-02-17 06:54:34.888981,0 days 00:00:00.951711
IVF,64,2025-02-17 06:54:34.889041,2025-02-17 06:54:35.887397,0 days 00:00:00.998356
IVF,64,2025-02-17 06:54:35.887472,2025-02-17 06:54:36.946688,0 days 00:00:01.059216
IVF,64,2025-02-17 06:54:36.946815,2025-02-17 06:54:37.885344,0 days 00:00:00.938529
IVF,64,2025-02-17 06:54:37.885440,2025-02-17 06:54:38.765453,0 days 00:00:00.880013
IVF,64,2025-02-17 06:54:38.765529,2025-02-17 06:54:39.726264,0 days 00:00:00.960735
