Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
10.02,1.41,2025-02-17 06:48:32.396,0.0,5.16,4.86,0.72,0.69,11.979999999999999,34632,32968,0.0,0.0,61,0.0,0.0,52,0.0,0.0,57
9.74,1.39,2025-02-17 06:48:32.496,0.1,5.03,4.72,0.71,0.68,18.459999999999997,34944,32864,0.0,0.0,80,0.0,0.0,33,0.0,0.0,61
9.76,1.39,2025-02-17 06:48:32.595,0.199,5.03,4.72,0.71,0.68,17.719999999999988,34736,32760,0.0,0.0,65,0.0,0.0,49,0.0,0.0,58
9.8,1.39,2025-02-17 06:48:32.695,0.299,5.08,4.72,0.71,0.68,16.430000000000003,34528,32760,0.0,0.0,63,0.0,0.0,51,0.0,0.0,57
9.93,1.4,2025-02-17 06:48:32.795,0.399,5.15,4.79,0.72,0.68,20.009999999999977,34736,33176,0.0,0.0,31,0.0,0.0,78,0.01,0.0,52
10.09,1.4,2025-02-17 06:48:32.895,0.499,5.15,4.94,0.72,0.68,30.620000000000008,34320,33800,0.0,0.0,10,0.01,0.0,86,0.01,0.01,46
10.15,1.4,2025-02-17 06:48:32.996,0.6,5.16,4.99,0.72,0.69,37.569999999999986,34424,33280,0.0,0.01,11,0.01,0.0,88,0.01,0.01,42
9.95,1.4,2025-02-17 06:48:33.096,0.7,5.13,4.82,0.71,0.69,18.64999999999999,34320,33176,0.0,0.0,84,0.0,0.0,33,0.0,0.0,64
9.88,1.4,2025-02-17 06:48:33.196,0.8,5.1,4.78,0.71,0.68,16.270000000000003,34112,33176,0.0,0.0,59,0.0,0.0,48,0.0,0.0,54
9.88,1.4,2025-02-17 06:48:33.297,0.901,5.1,4.77,0.71,0.68,16.15,34008,33176,0.0,0.0,56,0.0,0.0,52,0.0,0.0,54
