time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-17 06:37:43.220140
",llama,20.39,0.3001953125,96.0,0.31%,0.0,0.0,0.2568359375,0.0
"2025-02-17 06:37:43.220140
",llama,20.19,0.2951171875,96.0,0.31%,0.0,0.0,0.2490234375,0.0
"2025-02-17 06:37:45.569760
",llama,20.51,0.56640625,96.0,0.59%,0.0,0.0,0.5478515625,0.0
"2025-02-17 06:37:45.569760
",llama,20.53,0.56318359375,96.0,0.59%,0.0,0.0,0.541015625,0.0
"2025-02-17 06:37:47.579498
",llama,20.86,0.8390625,96.0,0.87%,0.0,0.0,0.8466796875,0.0
"2025-02-17 06:37:47.579498
",llama,20.73,0.8419921875,96.0,0.88%,0.0,0.0,0.84375,0.0
"2025-02-17 06:37:49.590699
",llama,20.10,1.116,96.0,1.16%,0.0,0.0,1.18,0.0
"2025-02-17 06:37:49.590699
",llama,19.90,1.111,96.0,1.16%,0.0,0.0,1.16,0.0
"2025-02-17 06:37:51.600110
",llama,20.15,1.394,96.0,1.45%,0.0,0.0,1.49,0.0
"2025-02-17 06:37:51.600110
",llama,19.94,1.374,96.0,1.43%,0.0,0.0,1.46,0.0
"2025-02-17 06:37:53.611117
",llama,21.98,1.658,96.0,1.73%,0.0,0.0,1.78,0.0
"2025-02-17 06:37:53.611117
",llama,21.94,1.637,96.0,1.71%,0.0,0.0,1.75,0.0
"2025-02-17 06:37:55.619671
",llama,22.86,1.927,96.0,2.01%,0.0,0.0,2.08,0.0
"2025-02-17 06:37:55.619671
",llama,22.93,1.925,96.0,2.00%,0.0,0.0,2.07,0.0
"2025-02-17 06:37:57.630411
",llama,19.23,2.172,96.0,2.26%,0.0,0.0,2.34,0.0
"2025-02-17 06:37:57.630411
",llama,19.55,2.173,96.0,2.26%,0.0,0.0,2.34,0.0
"2025-02-17 06:37:59.641068
",llama,19.32,2.439,96.0,2.54%,0.0,0.0,2.64,0.0
"2025-02-17 06:37:59.641068
",llama,19.17,2.422,96.0,2.52%,0.0,0.0,2.61,0.0
"2025-02-17 06:38:01.649648
",llama,19.56,2.703,96.0,2.82%,0.0,0.0,2.93,0.0
"2025-02-17 06:38:01.649648
",llama,19.66,2.681,96.0,2.79%,0.0,0.0,2.89,0.0
"2025-02-17 06:38:03.665677
",llama,4770.56,2.725,96.0,2.84%,0.0,0.0,2.93,0.0
"2025-02-17 06:38:03.665677
",llama,4793.50,2.704,96.0,2.82%,0.0,0.0,2.89,0.0
"2025-02-17 06:38:05.693715
",llama,4762.52,2.725,96.0,2.84%,0.0,0.0,2.93,0.0
"2025-02-17 06:38:05.693715
",llama,4758.17,2.704,96.0,2.82%,0.0,0.0,2.89,0.0
"2025-02-17 06:38:07.708269
",llama,4779.05,2.728,96.0,2.84%,0.0,0.0,2.93,0.0
"2025-02-17 06:38:07.708269
",llama,4775.41,2.705,96.0,2.82%,0.0,0.0,2.89,0.0
"2025-02-17 06:38:09.721267
",llama,4785.37,2.727,96.0,2.84%,0.0,0.0,2.93,0.0
"2025-02-17 06:38:09.721267
",llama,4786.13,2.704,96.0,2.82%,0.0,0.0,2.89,0.0
"2025-02-17 06:38:11.738160
",llama,4766.25,2.727,96.0,2.84%,0.0,0.0,2.93,0.0
"2025-02-17 06:38:11.738160
",llama,4803.68,2.704,96.0,2.82%,0.0,0.0,2.89,0.0
"2025-02-17 06:38:13.893096
",llama,4755.16,2.727,96.0,2.84%,0.0,0.0,2.93,0.0
"2025-02-17 06:38:13.893096
",llama,4754.89,2.704,96.0,2.82%,0.0,0.0,2.89,0.0
"2025-02-17 06:38:15.918611
",llama,4753.64,2.727,96.0,2.84%,0.0,0.0,2.93,0.0
"2025-02-17 06:38:15.918611
",llama,4778.04,2.703,96.0,2.82%,0.0,0.0,2.89,0.0
"2025-02-17 06:38:19.015022
",llama,4757.94,2.726,96.0,2.84%,0.0,0.0,2.93,0.0
"2025-02-17 06:38:19.015022
",llama,4770.54,2.703,96.0,2.82%,0.0,0.0,2.89,0.0
"2025-02-17 06:38:22.384842
",llama,4781.72,2.726,96.0,2.84%,0.0,0.0,2.93,0.0
"2025-02-17 06:38:22.384842
",llama,4767.28,2.704,96.0,2.82%,0.0,0.0,2.89,0.0
"2025-02-17 06:38:24.402045
",llama,4755.99,2.726,96.0,2.84%,0.0,0.0,2.93,0.0
"2025-02-17 06:38:24.402045
",llama,4779.37,2.703,96.0,2.82%,0.0,0.0,2.89,0.0
"2025-02-17 06:38:26.419816
",llama,4790.04,2.726,96.0,2.84%,0.0,0.0,2.93,0.0
"2025-02-17 06:38:26.419816
",llama,4766.73,2.703,96.0,2.82%,0.0,0.0,2.89,0.0
"2025-02-17 06:38:28.443439
",llama,4767.99,2.725,96.0,2.84%,0.0,0.0,2.93,0.0
"2025-02-17 06:38:28.443439
",llama,4799.12,2.703,96.0,2.82%,0.0,0.0,2.89,0.0
"2025-02-17 06:38:30.474967
",llama,4760.24,2.725,96.0,2.84%,0.0,0.0,2.93,0.0
"2025-02-17 06:38:30.474967
",llama,4778.26,2.703,96.0,2.82%,0.0,0.0,2.89,0.0
"2025-02-17 06:38:32.481947
",llama,4765.65,2.725,96.0,2.84%,0.0,0.0,2.93,0.0
"2025-02-17 06:38:32.481947
",llama,4742.50,2.702,96.0,2.81%,0.0,0.0,2.89,0.0
"2025-02-17 06:38:34.494352
",llama,4784.87,2.725,96.0,2.84%,0.0,0.0,2.93,0.0
"2025-02-17 06:38:34.494352
",llama,4758.15,2.703,96.0,2.82%,0.0,0.0,2.89,0.0
"2025-02-17 06:38:36.512114
",llama,4758.81,2.725,96.0,2.84%,0.0,0.0,2.93,0.0
"2025-02-17 06:38:36.512114
",llama,4759.47,2.703,96.0,2.82%,0.0,0.0,2.89,0.0
"2025-02-17 06:38:38.526423
",llama,4803.98,2.725,96.0,2.84%,0.0,0.0,2.93,0.0
"2025-02-17 06:38:38.526423
",llama,4791.05,2.702,96.0,2.82%,0.0,0.0,2.89,0.0
"2025-02-17 06:38:40.544739
",llama,4759.67,2.724,96.0,2.84%,0.0,0.0,2.93,0.0
"2025-02-17 06:38:40.544739
",llama,4781.08,2.702,96.0,2.82%,0.0,0.0,2.89,0.0
"2025-02-17 06:38:43.787174
",llama,4780.21,2.724,96.0,2.84%,0.0,0.0,2.93,0.0
