Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.48,1.41,2025-02-17 06:37:24.196,0.0,4.87,4.6,0.72,0.68,14.04999999999999,33280,33800,0.0,0.0,54,0.0,0.0,58,0.0,0.0,55
9.45,1.41,2025-02-17 06:37:24.297,0.101,4.8,4.66,0.72,0.69,16.22,33384,33904,0.0,0.0,72,0.0,0.0,40,0.0,0.0,59
9.35,1.39,2025-02-17 06:37:24.397,0.201,4.8,4.55,0.72,0.67,15.040000000000013,33696,33904,0.0,0.0,55,0.0,0.0,49,0.0,0.0,52
9.3,1.38,2025-02-17 06:37:24.496,0.3,4.75,4.56,0.71,0.68,17.250000000000007,33488,33904,0.0,0.0,71,0.0,0.0,51,0.0,0.0,61
9.34,1.38,2025-02-17 06:37:24.595,0.399,4.79,4.56,0.71,0.68,20.229999999999965,34112,33904,0.0,0.0,87,0.0,0.0,11,0.01,0.0,60
9.66,1.4,2025-02-17 06:37:24.695,0.499,4.82,4.84,0.71,0.68,37.850000000000016,33488,35360,0.01,0.02,4,0.01,0.0,93,0.02,0.02,39
9.46,1.4,2025-02-17 06:37:24.795,0.599,4.8,4.65,0.72,0.69,26.629999999999978,33488,34632,0.0,0.0,9,0.0,0.0,88,0.01,0.01,42
9.39,1.4,2025-02-17 06:37:24.895,0.699,4.8,4.59,0.72,0.68,14.470000000000015,33280,34736,0.0,0.0,51,0.0,0.0,60,0.0,0.0,55
9.39,1.4,2025-02-17 06:37:24.996,0.8,4.79,4.6,0.72,0.68,13.660000000000018,33384,34840,0.0,0.0,51,0.0,0.0,55,0.0,0.0,52
9.39,1.4,2025-02-17 06:37:25.096,0.9,4.79,4.61,0.72,0.68,14.860000000000012,33176,34840,0.0,0.0,64,0.0,0.0,51,0.0,0.0,57
9.39,1.4,2025-02-17 06:37:25.196,1.0,4.8,4.59,0.72,0.68,13.910000000000014,33176,34736,0.0,0.0,49,0.0,0.0,50,0.0,0.0,49
9.41,1.4,2025-02-17 06:37:25.297,1.101,4.8,4.61,0.72,0.68,23.769999999999996,33072,34528,0.0,0.0,22,0.0,0.0,81,0.0,0.0,55
9.61,1.4,2025-02-17 06:37:25.397,1.201,4.75,4.86,0.71,0.69,38.649999999999984,33176,34736,0.0,0.01,4,0.01,0.0,93,0.01,0.01,44
9.35,1.39,2025-02-17 06:37:25.497,1.301,4.8,4.56,0.72,0.68,15.340000000000012,32864,34528,0.0,0.0,60,0.0,0.0,48,0.0,0.0,54
9.39,1.39,2025-02-17 06:37:25.597,1.401,4.8,4.59,0.71,0.68,14.820000000000007,33176,34528,0.0,0.0,54,0.0,0.0,49,0.0,0.0,51
9.6,1.4,2025-02-17 06:37:25.698,1.502,4.82,4.78,0.71,0.69,27.36000000000002,32864,34320,0.0,0.0,43,0.0,0.0,71,0.01,0.0,63
9.35,1.39,2025-02-17 06:37:25.798,1.602,4.79,4.55,0.72,0.67,13.68000000000002,33072,34320,0.0,0.0,45,0.0,0.0,59,0.0,0.0,50
9.4,1.4,2025-02-17 06:37:25.898,1.702,4.78,4.61,0.72,0.68,19.799999999999994,32760,34632,0.0,0.0,42,0.0,0.0,74,0.0,0.0,59
9.65,1.41,2025-02-17 06:37:25.999,1.803,4.81,4.84,0.72,0.69,37.74999999999999,32864,35672,0.0,0.0,7,0.01,0.0,92,0.01,0.01,51
