time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-17 07:27:37.486402
",minSpanningForest,4787.84,20.67,155.0,13.33%,0.0,0.0,0.001611328125,0.0
"2025-02-17 07:27:37.486402
",llama,3703.17,0.11513671875,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:27:39.830385
",minSpanningForest,4788.89,35.66,155.0,23.00%,0.0,0.0,0.001611328125,0.0
"2025-02-17 07:27:39.830385
",llama,4782.46,0.115234375,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:27:41.842654
",minSpanningForest,40.31,40.49,155.0,26.13%,0.0,0.0,0.69921875,0.0
"2025-02-17 07:27:41.842654
",llama,4785.26,0.1154296875,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:27:43.854732
",minSpanningForest,41.22,40.5,155.0,26.13%,0.0,0.0,1.78,0.0
"2025-02-17 07:27:43.854732
",llama,4811.42,0.11533203125,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:27:45.867441
",minSpanningForest,27.70,40.5,155.0,26.13%,0.0,0.0,2.6,0.0
"2025-02-17 07:27:45.867441
",llama,4813.54,0.116015625,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:27:47.879164
",minSpanningForest,27.68,40.5,155.0,26.13%,0.0,0.0,3.3,0.0
"2025-02-17 07:27:47.879164
",llama,4795.10,0.1162109375,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:27:49.894193
",minSpanningForest,28.64,40.5,155.0,26.13%,0.0,0.0,4.0,0.0
"2025-02-17 07:27:49.894193
",llama,4818.75,0.116015625,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:27:51.904572
",minSpanningForest,42.73,40.5,155.0,26.13%,0.0,0.0,4.89,0.0
"2025-02-17 07:27:51.904572
",llama,4814.30,0.11630859375,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:27:53.916319
",minSpanningForest,46.67,40.5,155.0,26.13%,0.0,0.0,5.96,0.0
"2025-02-17 07:27:53.916319
",llama,4803.81,0.11669921875,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:27:55.930258
",minSpanningForest,30.47,40.51,155.0,26.13%,0.0,0.0,6.75,0.0
"2025-02-17 07:27:55.930258
",llama,4783.71,0.1166015625,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:27:57.941600
",minSpanningForest,31.76,40.51,155.0,26.13%,0.0,0.0,7.4,0.0
"2025-02-17 07:27:57.941600
",llama,4785.05,0.11708984375,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:27:59.956131
",minSpanningForest,34.45,40.51,155.0,26.14%,0.0,0.0,8.05,0.0
