time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-17 08:14:28.240777
",nBody,2493.60,1.807,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 08:14:28.240777
",llama,4008.55,0.11513671875,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 08:14:30.593091
",nBody,0.17,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 08:14:30.593091
",llama,4800.32,0.11728515625,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 08:14:32.619463
",nBody,0.21,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 08:14:32.619463
",llama,4788.55,0.1173828125,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 08:14:34.648389
",nBody,0.11,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 08:14:34.648389
",llama,4782.55,0.1166015625,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 08:14:36.663880
",nBody,0.34,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 08:14:36.663880
",llama,4813.78,0.11640625,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 08:14:38.689086
",nBody,0.36,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 08:14:38.689086
",llama,4786.74,0.11630859375,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 08:14:40.716257
",nBody,0.32,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 08:14:40.716257
",llama,4796.73,0.11611328125,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 08:14:42.732016
",nBody,0.15,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 08:14:42.732016
",llama,4795.17,0.1162109375,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 08:14:44.759382
",nBody,0.23,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 08:14:44.759382
",llama,4814.68,0.1154296875,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 08:14:46.777331
",nBody,0.29,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 08:14:46.777331
",llama,4781.32,0.1154296875,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 08:14:48.801022
",nBody,0.20,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 08:14:48.801022
",llama,4812.69,0.11552734375,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 08:14:50.819355
",nBody,0.11,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 08:14:50.819355
",llama,4798.62,0.11513671875,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 08:14:52.836328
",nBody,0.20,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 08:14:52.836328
",llama,4752.78,0.11484375,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 08:14:54.854691
",nBody,0.38,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 08:14:54.854691
",llama,4782.02,0.11474609375,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 08:14:56.876918
",nBody,0.11,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 08:14:56.876918
",llama,4786.47,0.11474609375,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 08:14:58.896779
",nBody,0.20,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 08:14:58.896779
",llama,4787.64,0.11513671875,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 08:15:00.913047
",nBody,0.31,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 08:15:00.913047
",llama,4777.79,0.11513671875,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 08:15:02.935109
",nBody,0.20,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 08:15:02.935109
",llama,4783.61,0.11484375,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 08:15:04.955074
",nBody,0.19,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 08:15:04.955074
",llama,4779.73,0.1142578125,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 08:15:06.976550
",nBody,0.21,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 08:15:06.976550
",llama,4797.59,0.1140625,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 08:15:08.997477
",nBody,0.17,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 08:15:08.997477
",llama,4798.71,0.1140625,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 08:15:11.017174
",nBody,0.40,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 08:15:11.017174
",llama,4814.34,0.1140625,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 08:15:13.036737
",nBody,0.29,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 08:15:13.036737
",llama,4779.51,0.1138671875,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 08:15:15.059521
",nBody,0.23,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 08:15:15.059521
",llama,4785.36,0.1138671875,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 08:15:17.080608
",nBody,0.28,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 08:15:17.080608
",llama,4818.21,0.11376953125,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 08:15:19.099618
",nBody,0.14,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 08:15:19.099618
",llama,4818.41,0.11376953125,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 08:15:21.121119
",nBody,0.22,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 08:15:21.121119
",llama,4804.21,0.1134765625,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 08:15:23.135621
",nBody,0.13,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 08:15:23.135621
",llama,4801.00,0.11337890625,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 08:15:25.158006
",nBody,0.39,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 08:15:25.158006
",llama,4782.73,0.11318359375,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 08:15:27.177735
",nBody,0.15,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 08:15:27.177735
",llama,4768.15,0.11318359375,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 08:15:29.200692
",nBody,0.46,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 08:15:29.200692
",llama,4746.02,0.112890625,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 08:15:31.221901
",nBody,0.18,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 08:15:31.221901
",llama,4754.14,0.1126953125,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 08:15:33.241022
",nBody,0.17,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 08:15:33.241022
",llama,4797.00,0.112890625,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 08:15:35.263025
",nBody,0.00,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 08:15:35.263025
",llama,4776.07,0.11416015625,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 08:15:37.283330
",nBody,0.00,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 08:15:37.283330
",llama,4768.73,0.113671875,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 08:15:39.299714
",nBody,0.00,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 08:15:39.299714
",llama,4790.44,0.11337890625,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 08:15:41.321401
",nBody,0.01,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 08:15:41.321401
",llama,4799.72,0.11318359375,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 08:15:43.334761
",nBody,0.01,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 08:15:43.334761
",llama,4767.98,0.11298828125,96.0,0.12%,0.0,0.0,0.0,0.0
