Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.9,1.41,2025-02-17 08:14:09.205,0.0,5.05,4.85,0.72,0.69,11.729999999999999,33280,35360,0.0,0.0,57,0.0,0.0,55,0.0,0.0,56
9.76,1.4,2025-02-17 08:14:09.306,0.101,4.98,4.78,0.71,0.68,16.63,32552,35048,0.0,0.0,72,0.0,0.0,40,0.0,0.0,58
9.73,1.4,2025-02-17 08:14:09.406,0.201,4.97,4.77,0.71,0.68,15.270000000000007,32552,35152,0.0,0.0,70,0.0,0.0,45,0.0,0.0,62
9.75,1.39,2025-02-17 08:14:09.507,0.302,4.97,4.77,0.71,0.68,14.900000000000016,32344,35048,0.0,0.0,55,0.0,0.0,56,0.0,0.0,56
9.75,1.38,2025-02-17 08:14:09.607,0.402,4.99,4.76,0.7,0.68,18.239999999999988,32344,35256,0.0,0.0,78,0.0,0.0,39,0.0,0.0,66
10.02,1.39,2025-02-17 08:14:09.706,0.501,4.96,5.05,0.71,0.68,41.69000000000001,31824,35568,0.01,0.02,5,0.01,0.01,94,0.02,0.02,43
9.84,1.39,2025-02-17 08:14:09.806,0.601,4.93,4.9,0.71,0.68,26.379999999999974,32136,34424,0.0,0.0,11,0.0,0.0,87,0.01,0.01,42
9.63,1.38,2025-02-17 08:14:09.905,0.7,4.91,4.72,0.71,0.68,14.750000000000005,32136,34320,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50
9.75,1.4,2025-02-17 08:14:10.005,0.8,4.97,4.78,0.71,0.69,18.479999999999993,32240,34424,0.0,0.0,55,0.0,0.0,56,0.0,0.0,55
9.72,1.4,2025-02-17 08:14:10.106,0.901,4.96,4.77,0.71,0.68,15.450000000000014,32240,34424,0.0,0.0,62,0.0,0.0,50,0.0,0.0,55
9.74,1.39,2025-02-17 08:14:10.206,1.001,4.98,4.77,0.71,0.69,14.25000000000001,32240,34320,0.0,0.0,50,0.0,0.0,49,0.0,0.0,49
9.76,1.4,2025-02-17 08:14:10.306,1.101,4.96,4.79,0.71,0.68,24.059999999999977,31928,34320,0.0,0.0,18,0.0,0.0,81,0.0,0.0,53
9.95,1.41,2025-02-17 08:14:10.407,1.202,4.97,4.98,0.72,0.69,41.139999999999986,31824,34424,0.0,0.01,6,0.01,0.0,89,0.01,0.01,41
9.75,1.39,2025-02-17 08:14:10.507,1.302,4.96,4.79,0.71,0.68,17.850000000000005,31408,34528,0.0,0.0,62,0.0,0.0,53,0.0,0.0,57
9.73,1.39,2025-02-17 08:14:10.607,1.402,4.97,4.76,0.71,0.68,13.81000000000001,31408,34528,0.0,0.0,51,0.0,0.0,52,0.0,0.0,52
9.7,1.39,2025-02-17 08:14:10.707,1.502,4.91,4.79,0.71,0.68,25.950000000000003,31304,34944,0.0,0.0,39,0.0,0.0,65,0.01,0.0,57
9.64,1.38,2025-02-17 08:14:10.806,1.601,4.91,4.73,0.71,0.68,19.039999999999996,31304,35048,0.0,0.0,50,0.0,0.0,51,0.0,0.0,50
9.67,1.38,2025-02-17 08:14:10.905,1.7,4.91,4.75,0.71,0.68,26.57999999999999,31720,34632,0.0,0.0,70,0.0,0.0,42,0.01,0.0,55
9.93,1.41,2025-02-17 08:14:11.006,1.801,4.97,4.97,0.72,0.69,39.83999999999997,31720,34008,0.0,0.0,19,0.01,0.0,84,0.01,0.01,53
9.75,1.4,2025-02-17 08:14:11.106,1.901,4.98,4.77,0.71,0.68,18.549999999999976,31616,34008,0.0,0.0,72,0.0,0.0,55,0.0,0.0,64
9.7,1.4,2025-02-17 08:14:11.206,2.001,4.95,4.76,0.72,0.68,15.060000000000006,31824,33904,0.0,0.0,55,0.0,0.0,50,0.0,0.0,52
9.71,1.4,2025-02-17 08:14:11.307,2.102,4.95,4.76,0.71,0.68,14.370000000000012,31512,33904,0.0,0.0,52,0.0,0.0,50,0.0,0.0,51
9.75,1.4,2025-02-17 08:14:11.407,2.202,4.97,4.78,0.71,0.68,16.310000000000013,31304,34008,0.0,0.0,63,0.0,0.0,50,0.0,0.0,56
9.74,1.4,2025-02-17 08:14:11.507,2.302,4.96,4.78,0.72,0.68,20.249999999999982,31304,33592,0.0,0.0,45,0.0,0.0,69,0.0,0.0,61
9.77,1.39,2025-02-17 08:14:11.607,2.402,4.91,4.85,0.71,0.68,38.26999999999995,31304,34320,0.0,0.0,12,0.01,0.0,92,0.01,0.0,58
