Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
10.19,1.42,2025-02-17 08:05:36.929,0.0,5.05,5.14,0.73,0.69,23.95000000000001,35256,32552,0.0,0.0,16,0.0,0.0,84,0.01,0.01,41
9.77,1.4,2025-02-17 08:05:37.030,0.101,4.98,4.79,0.72,0.68,19.639999999999983,35152,32552,0.0,0.0,72,0.0,0.0,37,0.0,0.0,58
9.65,1.38,2025-02-17 08:05:37.129,0.2,4.91,4.74,0.71,0.67,17.490000000000006,35048,32448,0.0,0.0,69,0.0,0.0,46,0.0,0.0,59
9.65,1.38,2025-02-17 08:05:37.228,0.299,4.92,4.73,0.71,0.67,16.089999999999996,34944,32448,0.0,0.0,59,0.0,0.0,53,0.0,0.0,57
9.65,1.39,2025-02-17 08:05:37.328,0.399,4.92,4.73,0.71,0.67,16.429999999999993,35152,32448,0.0,0.0,58,0.0,0.0,50,0.0,0.0,54
9.83,1.4,2025-02-17 08:05:37.428,0.499,4.97,4.86,0.72,0.68,28.979999999999997,35360,31824,0.0,0.0,28,0.01,0.0,79,0.01,0.0,57
10.12,1.41,2025-02-17 08:05:37.528,0.599,4.98,5.14,0.72,0.69,45.67999999999996,35464,32240,0.01,0.01,6,0.01,0.0,92,0.02,0.01,46
9.74,1.4,2025-02-17 08:05:37.628,0.699,4.97,4.77,0.72,0.68,18.960000000000008,35360,32344,0.0,0.0,57,0.0,0.0,67,0.0,0.0,61
9.71,1.39,2025-02-17 08:05:37.729,0.8,4.98,4.73,0.71,0.68,16.35,35568,32344,0.0,0.0,63,0.0,0.0,51,0.0,0.0,57
9.79,1.41,2025-02-17 08:05:37.829,0.9,4.96,4.82,0.72,0.69,17.13,35256,32344,0.0,0.0,52,0.0,0.0,54,0.0,0.0,53
9.68,1.38,2025-02-17 08:05:37.929,1.0,4.96,4.72,0.71,0.67,19.209999999999987,35360,32344,0.0,0.0,57,0.0,0.0,52,0.0,0.0,55
9.72,1.39,2025-02-17 08:05:38.030,1.101,4.93,4.79,0.7,0.68,22.98999999999996,35256,32136,0.0,0.0,35,0.0,0.0,81,0.01,0.0,58
9.98,1.41,2025-02-17 08:05:38.130,1.201,5.01,4.96,0.72,0.69,43.62999999999997,35152,31616,0.0,0.0,13,0.01,0.0,88,0.01,0.01,55
9.75,1.39,2025-02-17 08:05:38.230,1.301,4.97,4.78,0.71,0.68,18.729999999999983,35152,31512,0.0,0.0,51,0.0,0.0,61,0.0,0.0,55
9.67,1.39,2025-02-17 08:05:38.330,1.401,4.92,4.76,0.71,0.68,14.780000000000001,35152,31512,0.0,0.0,61,0.0,0.0,47,0.0,0.0,54
9.82,1.4,2025-02-17 08:05:38.431,1.502,5.01,4.81,0.71,0.68,23.840000000000007,34840,31408,0.0,0.0,58,0.0,0.0,69,0.0,0.0,66
9.69,1.38,2025-02-17 08:05:38.530,1.601,4.92,4.78,0.7,0.68,15.820000000000004,34632,31304,0.0,0.0,58,0.0,0.0,55,0.0,0.0,57
9.63,1.37,2025-02-17 08:05:38.630,1.701,4.88,4.76,0.7,0.68,20.82999999999999,34632,32032,0.0,0.0,46,0.0,0.0,85,0.0,0.0,66
9.98,1.4,2025-02-17 08:05:38.730,1.801,4.96,5.02,0.71,0.69,40.219999999999985,34528,32448,0.0,0.0,16,0.01,0.0,92,0.01,0.0,64
9.74,1.39,2025-02-17 08:05:38.830,1.901,4.98,4.77,0.71,0.68,13.820000000000016,34528,32344,0.0,0.0,55,0.0,0.0,60,0.0,0.0,57
9.75,1.39,2025-02-17 08:05:38.931,2.002,4.97,4.78,0.71,0.68,14.640000000000018,34528,32552,0.0,0.0,51,0.0,0.0,55,0.0,0.0,52
9.73,1.39,2025-02-17 08:05:39.031,2.102,4.96,4.76,0.71,0.68,14.490000000000016,34424,32552,0.0,0.0,71,0.0,0.0,52,0.0,0.0,61
9.73,1.39,2025-02-17 08:05:39.131,2.202,4.96,4.76,0.71,0.68,14.600000000000012,34424,32552,0.0,0.0,56,0.0,0.0,47,0.0,0.0,50
9.76,1.39,2025-02-17 08:05:39.231,2.302,4.98,4.78,0.71,0.68,21.030000000000005,34320,32136,0.0,0.0,69,0.0,0.0,63,0.0,0.0,66
9.97,1.4,2025-02-17 08:05:39.332,2.403,4.97,5.0,0.71,0.69,38.93000000000001,34320,32448,0.0,0.0,25,0.01,0.0,90,0.01,0.0,63
9.8,1.4,2025-02-17 08:05:39.432,2.503,4.98,4.81,0.71,0.68,25.33000000000002,34112,32032,0.0,0.0,55,0.0,0.0,65,0.0,0.0,62
9.72,1.4,2025-02-17 08:05:39.532,2.603,4.95,4.77,0.71,0.68,14.290000000000013,33904,32032,0.0,0.0,51,0.0,0.0,48,0.0,0.0,49
9.73,1.39,2025-02-17 08:05:39.633,2.704,4.96,4.77,0.71,0.68,17.680000000000003,34112,32032,0.0,0.0,73,0.0,0.0,51,0.0,0.0,62
9.64,1.37,2025-02-17 08:05:39.732,2.803,4.92,4.71,0.7,0.68,15.000000000000014,34112,32032,0.0,0.0,75,0.0,0.0,45,0.0,0.0,63
9.67,1.38,2025-02-17 08:05:39.831,2.902,4.93,4.74,0.7,0.68,18.32,34112,31824,0.0,0.0,49,0.0,0.0,81,0.0,0.0,64
9.85,1.4,2025-02-17 08:05:39.932,3.003,4.96,4.89,0.71,0.68,37.98999999999998,34112,32656,0.0,0.0,21,0.01,0.0,94,0.01,0.0,67
9.71,1.39,2025-02-17 08:05:40.032,3.103,4.97,4.74,0.71,0.68,13.980000000000015,34216,32656,0.0,0.0,59,0.0,0.0,53,0.0,0.0,57
9.77,1.39,2025-02-17 08:05:40.132,3.203,4.96,4.81,0.71,0.68,14.160000000000009,34112,32864,0.0,0.0,56,0.0,0.0,51,0.0,0.0,54
9.68,1.38,2025-02-17 08:05:40.233,3.304,4.97,4.71,0.71,0.67,14.150000000000013,34112,32760,0.0,0.0,59,0.0,0.0,55,0.0,0.0,57
9.77,1.39,2025-02-17 08:05:40.333,3.404,4.95,4.82,0.71,0.68,13.34000000000002,34216,32760,0.0,0.0,52,0.0,0.0,50,0.0,0.0,51
9.73,1.4,2025-02-17 08:05:40.433,3.504,4.96,4.77,0.71,0.68,29.35000000000003,34008,32136,0.0,0.0,47,0.0,0.0,70,0.01,0.0,64
9.83,1.39,2025-02-17 08:05:40.533,3.604,4.97,4.86,0.71,0.68,20.399999999999988,34112,32032,0.0,0.0,34,0.0,0.0,85,0.0,0.0,67
9.79,1.39,2025-02-17 08:05:40.634,3.705,4.92,4.87,0.71,0.69,39.800000000000004,34216,32448,0.0,0.0,72,0.01,0.0,53,0.01,0.01,63
9.74,1.4,2025-02-17 08:05:40.734,3.805,4.97,4.77,0.71,0.68,18.829999999999988,34216,32552,0.0,0.0,76,0.0,0.0,44,0.0,0.0,64
9.72,1.39,2025-02-17 08:05:40.834,3.905,4.96,4.76,0.71,0.68,13.410000000000013,34216,32448,0.0,0.0,58,0.0,0.0,50,0.0,0.0,53
9.7,1.39,2025-02-17 08:05:40.934,4.005,4.92,4.78,0.71,0.68,17.549999999999997,34112,32656,0.0,0.0,48,0.0,0.0,54,0.0,0.0,51
9.66,1.39,2025-02-17 08:05:41.035,4.106,4.9,4.76,0.71,0.68,18.41999999999999,34216,32656,0.0,0.0,62,0.0,0.0,44,0.0,0.0,52
9.73,1.4,2025-02-17 08:05:41.135,4.206,4.95,4.78,0.71,0.68,20.650000000000006,34112,32552,0.0,0.0,48,0.0,0.0,80,0.0,0.0,67
9.86,1.4,2025-02-17 08:05:41.235,4.306,4.94,4.92,0.71,0.68,38.05999999999999,34008,33280,0.0,0.0,26,0.01,0.0,89,0.01,0.0,71
9.62,1.38,2025-02-17 08:05:41.336,4.407,4.89,4.73,0.71,0.67,14.270000000000008,34008,33176,0.0,0.0,51,0.0,0.0,60,0.0,0.0,55
9.66,1.39,2025-02-17 08:05:41.436,4.507,4.9,4.75,0.71,0.68,27.580000000000016,34216,32448,0.0,0.0,53,0.0,0.0,66,0.0,0.0,62
9.66,1.39,2025-02-17 08:05:41.536,4.607,4.89,4.76,0.71,0.68,14.190000000000014,34216,32344,0.0,0.0,46,0.0,0.0,49,0.0,0.0,48
9.66,1.38,2025-02-17 08:05:41.636,4.707,4.86,4.8,0.7,0.68,24.769999999999982,34216,32760,0.0,0.0,37,0.0,0.0,82,0.0,0.0,66
9.63,1.38,2025-02-17 08:05:41.735,4.806,4.89,4.74,0.7,0.68,18.430000000000003,34216,32656,0.0,0.0,57,0.0,0.0,72,0.0,0.0,65
9.82,1.39,2025-02-17 08:05:41.835,4.906,4.84,4.99,0.7,0.69,40.969999999999985,34112,34320,0.0,0.0,37,0.01,0.0,92,0.01,0.0,75
9.68,1.4,2025-02-17 08:05:41.935,5.006,4.91,4.77,0.72,0.68,13.980000000000008,34112,34320,0.0,0.0,54,0.0,0.0,57,0.0,0.0,55
9.6,1.39,2025-02-17 08:05:42.036,5.107,4.83,4.77,0.71,0.68,14.650000000000016,34112,34320,0.0,0.0,64,0.0,0.0,52,0.0,0.0,57
9.52,1.39,2025-02-17 08:05:42.136,5.207,4.76,4.76,0.71,0.68,14.320000000000013,34216,34320,0.0,0.0,57,0.0,0.0,49,0.0,0.0,52
9.59,1.39,2025-02-17 08:05:42.236,5.307,4.83,4.76,0.71,0.68,14.490000000000016,34112,34216,0.0,0.0,60,0.0,0.0,53,0.0,0.0,56
9.74,1.41,2025-02-17 08:05:42.338,5.409,4.91,4.83,0.72,0.69,21.090000000000003,33800,34112,0.0,0.0,60,0.0,0.0,54,0.01,0.0,57
9.66,1.39,2025-02-17 08:05:42.437,5.508,4.79,4.86,0.71,0.68,52.30000000000001,33696,33176,0.0,0.0,28,0.01,0.0,88,0.01,0.01,69
9.63,1.39,2025-02-17 08:05:42.538,5.609,4.86,4.77,0.71,0.68,14.320000000000013,33592,33072,0.0,0.0,68,0.0,0.0,49,0.0,0.0,59
9.45,1.38,2025-02-17 08:05:42.637,5.708,4.75,4.7,0.7,0.67,13.980000000000015,33592,33072,0.0,0.0,64,0.0,0.0,50,0.0,0.0,57
9.47,1.38,2025-02-17 08:05:42.736,5.807,4.76,4.71,0.7,0.67,13.80000000000002,33696,33072,0.0,0.0,60,0.0,0.0,52,0.0,0.0,56
9.5,1.38,2025-02-17 08:05:42.835,5.906,4.77,4.72,0.7,0.67,13.67000000000002,33696,33072,0.0,0.0,55,0.0,0.0,47,0.0,0.0,50
9.59,1.39,2025-02-17 08:05:42.936,6.007,4.83,4.76,0.71,0.68,21.14999999999999,33696,33384,0.0,0.0,45,0.0,0.0,83,0.0,0.0,65
9.74,1.4,2025-02-17 08:05:43.036,6.107,4.81,4.93,0.71,0.69,41.219999999999985,33800,32864,0.0,0.0,23,0.01,0.0,92,0.01,0.0,72
9.57,1.39,2025-02-17 08:05:43.136,6.207,4.81,4.76,0.71,0.68,14.120000000000015,33904,32656,0.0,0.0,53,0.0,0.0,55,0.0,0.0,54
9.56,1.39,2025-02-17 08:05:43.237,6.308,4.8,4.76,0.71,0.68,14.340000000000016,33904,32656,0.0,0.0,55,0.0,0.0,52,0.0,0.0,53
9.59,1.39,2025-02-17 08:05:43.337,6.408,4.82,4.78,0.71,0.68,13.450000000000017,34008,32656,0.0,0.0,51,0.0,0.0,55,0.0,0.0,53
