Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.43,1.41,2025-02-17 07:09:01.910,0.0,4.86,4.58,0.72,0.69,31.029999999999987,35464,34216,0.0,0.01,69,0.01,0.01,27,0.01,0.01,50
9.35,1.4,2025-02-17 07:09:02.010,0.1,4.85,4.5,0.71,0.69,15.920000000000003,35568,34112,0.0,0.0,81,0.0,0.0,37,0.0,0.0,62
9.19,1.39,2025-02-17 07:09:02.111,0.201,4.78,4.42,0.71,0.68,15.540000000000003,35568,34112,0.0,0.0,72,0.0,0.0,46,0.0,0.0,61
9.02,1.38,2025-02-17 07:09:02.211,0.301,4.64,4.39,0.71,0.67,16.939999999999994,35464,34112,0.0,0.0,63,0.0,0.0,49,0.0,0.0,55
8.98,1.37,2025-02-17 07:09:02.310,0.4,4.58,4.4,0.7,0.67,18.79999999999997,35464,34216,0.0,0.0,62,0.0,0.0,47,0.0,0.0,55
8.98,1.37,2025-02-17 07:09:02.410,0.5,4.59,4.39,0.7,0.67,21.849999999999966,35880,34216,0.0,0.0,43,0.0,0.0,64,0.01,0.0,54
9.43,1.38,2025-02-17 07:09:02.509,0.599,4.61,4.83,0.7,0.68,51.88999999999999,35464,34112,0.01,0.01,4,0.01,0.01,91,0.02,0.02,43
8.95,1.37,2025-02-17 07:09:02.608,0.698,4.53,4.41,0.7,0.67,17.40999999999999,35256,33800,0.0,0.0,54,0.0,0.0,52,0.0,0.0,53
9.23,1.4,2025-02-17 07:09:02.709,0.799,4.79,4.44,0.72,0.68,18.319999999999983,35256,33696,0.0,0.0,55,0.0,0.0,50,0.0,0.0,52
9.13,1.39,2025-02-17 07:09:02.809,0.899,4.7,4.44,0.71,0.68,19.149999999999984,35256,33696,0.0,0.0,57,0.0,0.0,52,0.0,0.0,54
9.05,1.39,2025-02-17 07:09:02.909,0.999,4.62,4.44,0.71,0.68,19.82999999999998,35464,33800,0.0,0.0,53,0.0,0.0,50,0.0,0.0,52
9.23,1.4,2025-02-17 07:09:03.010,1.1,4.77,4.46,0.72,0.68,24.269999999999975,35360,33592,0.0,0.0,35,0.0,0.0,76,0.01,0.0,58
9.2,1.4,2025-02-17 07:09:03.110,1.2,4.64,4.56,0.71,0.68,44.26,35360,34216,0.0,0.0,10,0.01,0.0,87,0.01,0.01,50
9.17,1.39,2025-02-17 07:09:03.210,1.3,4.71,4.46,0.71,0.67,18.799999999999986,35360,34216,0.0,0.0,51,0.0,0.0,52,0.0,0.0,51
9.24,1.39,2025-02-17 07:09:03.311,1.401,4.78,4.46,0.72,0.68,20.569999999999986,35360,34112,0.0,0.0,51,0.0,0.0,54,0.0,0.0,52
9.24,1.39,2025-02-17 07:09:03.411,1.501,4.8,4.44,0.71,0.68,16.239999999999995,35360,34112,0.0,0.0,54,0.0,0.0,50,0.0,0.0,52
9.21,1.4,2025-02-17 07:09:03.511,1.601,4.69,4.52,0.72,0.68,31.329999999999984,35256,33592,0.0,0.0,46,0.0,0.0,67,0.01,0.0,60
9.2,1.4,2025-02-17 07:09:03.611,1.701,4.76,4.44,0.72,0.68,22.929999999999982,35256,33280,0.0,0.0,39,0.0,0.0,76,0.01,0.0,58
9.26,1.39,2025-02-17 07:09:03.711,1.801,4.74,4.52,0.71,0.68,41.33999999999999,35256,32032,0.0,0.0,20,0.01,0.0,89,0.01,0.0,61
8.98,1.38,2025-02-17 07:09:03.810,1.9,4.59,4.39,0.71,0.67,17.070000000000004,35360,32032,0.0,0.0,55,0.0,0.0,56,0.0,0.0,55
