Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
10.09,1.41,2025-02-17 07:00:45.191,0.0,5.29,4.8,0.73,0.69,14.360000000000012,34112,34840,0.0,0.0,72,0.0,0.0,51,0.0,0.0,63
9.87,1.4,2025-02-17 07:00:45.291,0.1,5.14,4.73,0.72,0.68,16.330000000000013,33592,34840,0.0,0.0,84,0.0,0.0,35,0.0,0.0,64
9.75,1.38,2025-02-17 07:00:45.391,0.2,5.1,4.65,0.71,0.67,13.840000000000018,33384,34736,0.0,0.0,65,0.0,0.0,48,0.0,0.0,57
9.96,1.41,2025-02-17 07:00:45.491,0.3,5.2,4.76,0.73,0.68,13.900000000000018,33592,34736,0.0,0.0,68,0.0,0.0,51,0.0,0.0,62
9.85,1.39,2025-02-17 07:00:45.592,0.401,5.1,4.75,0.71,0.68,18.759999999999987,33800,34320,0.0,0.0,29,0.0,0.0,83,0.0,0.0,56
10.11,1.41,2025-02-17 07:00:45.692,0.501,5.16,4.95,0.72,0.69,50.20000000000002,33384,35048,0.01,0.01,5,0.02,0.01,94,0.02,0.02,48
9.81,1.4,2025-02-17 07:00:45.792,0.601,5.15,4.66,0.71,0.68,13.970000000000011,33592,34944,0.0,0.0,60,0.0,0.0,51,0.0,0.0,56
9.82,1.39,2025-02-17 07:00:45.892,0.701,5.15,4.67,0.71,0.68,14.28000000000001,33592,34840,0.0,0.0,44,0.0,0.0,59,0.0,0.0,50
9.84,1.39,2025-02-17 07:00:45.993,0.802,5.16,4.67,0.71,0.68,16.96000000000001,33488,34944,0.0,0.0,59,0.0,0.0,49,0.0,0.0,55
9.84,1.39,2025-02-17 07:00:46.093,0.902,5.14,4.69,0.71,0.68,14.680000000000014,33592,34840,0.0,0.0,72,0.0,0.0,54,0.0,0.0,64
