Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.88,1.41,2025-02-17 07:45:18.729,0.0,5.25,4.63,0.73,0.68,12.330000000000007,35048,33904,0.0,0.0,61,0.0,0.0,50,0.01,0.0,56
9.95,1.41,2025-02-17 07:45:18.830,0.101,5.29,4.66,0.73,0.69,18.48999999999999,34944,33904,0.0,0.0,86,0.0,0.0,38,0.0,0.0,67
9.73,1.4,2025-02-17 07:45:18.930,0.201,5.14,4.59,0.72,0.68,14.630000000000008,34840,33904,0.0,0.0,64,0.0,0.0,48,0.0,0.0,56
9.74,1.4,2025-02-17 07:45:19.030,0.301,5.15,4.59,0.72,0.68,18.229999999999986,35048,33904,0.0,0.0,69,0.0,0.0,53,0.0,0.0,61
9.77,1.4,2025-02-17 07:45:19.130,0.401,5.16,4.61,0.72,0.68,18.20999999999999,34944,34112,0.0,0.0,42,0.0,0.0,66,0.0,0.0,52
9.86,1.4,2025-02-17 07:45:19.231,0.502,5.17,4.68,0.72,0.68,21.279999999999983,35048,34112,0.0,0.0,30,0.0,0.0,75,0.01,0.0,58
9.95,1.4,2025-02-17 07:45:19.330,0.601,5.04,4.91,0.72,0.68,43.470000000000006,33904,34008,0.0,0.01,7,0.01,0.0,90,0.02,0.01,43
9.71,1.39,2025-02-17 07:45:19.430,0.701,5.15,4.56,0.71,0.68,17.979999999999997,32968,33904,0.0,0.0,69,0.0,0.0,52,0.0,0.0,62
9.73,1.4,2025-02-17 07:45:19.530,0.801,5.14,4.59,0.72,0.68,13.910000000000014,33072,33904,0.0,0.0,51,0.0,0.0,49,0.0,0.0,50
9.76,1.4,2025-02-17 07:45:19.631,0.902,5.15,4.61,0.72,0.68,18.609999999999978,33072,33904,0.0,0.0,65,0.0,0.0,55,0.0,0.0,60
9.76,1.4,2025-02-17 07:45:19.731,1.002,5.16,4.59,0.72,0.68,14.290000000000012,33072,33904,0.0,0.0,52,0.0,0.0,49,0.0,0.0,50
9.77,1.4,2025-02-17 07:45:19.831,1.102,5.15,4.62,0.72,0.68,24.669999999999998,32968,33072,0.0,0.0,41,0.0,0.0,75,0.0,0.0,59
9.95,1.41,2025-02-17 07:45:19.932,1.203,5.15,4.8,0.72,0.68,42.71,33280,33072,0.0,0.0,15,0.01,0.0,86,0.01,0.01,51
9.74,1.4,2025-02-17 07:45:20.032,1.303,5.14,4.6,0.72,0.68,17.710000000000004,33280,33072,0.0,0.0,64,0.0,0.0,54,0.0,0.0,58
9.66,1.38,2025-02-17 07:45:20.131,1.402,5.11,4.55,0.71,0.67,14.040000000000004,33176,33072,0.0,0.0,55,0.0,0.0,50,0.0,0.0,52
9.67,1.39,2025-02-17 07:45:20.231,1.502,5.08,4.59,0.71,0.67,22.459999999999983,33384,32968,0.0,0.0,46,0.0,0.0,69,0.0,0.0,62
9.8,1.4,2025-02-17 07:45:20.331,1.602,5.15,4.65,0.72,0.68,18.58999999999999,33280,32760,0.0,0.0,50,0.0,0.0,63,0.0,0.0,59
9.78,1.4,2025-02-17 07:45:20.431,1.702,5.15,4.64,0.72,0.68,19.649999999999995,33072,32344,0.0,0.0,40,0.0,0.0,72,0.0,0.0,57
9.88,1.4,2025-02-17 07:45:20.532,1.803,5.17,4.71,0.72,0.68,39.280000000000015,33176,33176,0.0,0.0,21,0.01,0.0,86,0.01,0.0,54
9.76,1.4,2025-02-17 07:45:20.632,1.903,5.14,4.61,0.72,0.68,14.560000000000011,33176,33176,0.0,0.0,62,0.0,0.0,50,0.0,0.0,55
9.76,1.4,2025-02-17 07:45:20.732,2.003,5.14,4.62,0.71,0.68,13.640000000000022,33280,33488,0.0,0.0,50,0.0,0.0,47,0.0,0.0,49
9.77,1.4,2025-02-17 07:45:20.833,2.104,5.15,4.61,0.72,0.68,15.800000000000011,32864,33592,0.0,0.0,58,0.0,0.0,59,0.0,0.0,59
9.64,1.38,2025-02-17 07:45:20.932,2.203,5.09,4.55,0.71,0.67,14.790000000000012,32760,33592,0.0,0.0,56,0.0,0.0,45,0.0,0.0,49
9.7,1.38,2025-02-17 07:45:21.031,2.302,5.09,4.61,0.71,0.67,19.650000000000002,32864,33384,0.0,0.0,40,0.0,0.0,77,0.0,0.0,60
10.01,1.4,2025-02-17 07:45:21.132,2.403,5.15,4.86,0.72,0.68,40.18999999999999,32968,34424,0.0,0.0,22,0.01,0.0,83,0.01,0.0,58
9.79,1.4,2025-02-17 07:45:21.232,2.503,5.14,4.65,0.71,0.68,25.050000000000004,33072,34008,0.0,0.0,48,0.0,0.0,68,0.0,0.0,61
9.75,1.4,2025-02-17 07:45:21.333,2.604,5.16,4.6,0.72,0.68,17.269999999999996,32968,33800,0.0,0.0,54,0.0,0.0,52,0.0,0.0,53
9.76,1.39,2025-02-17 07:45:21.433,2.704,5.13,4.63,0.71,0.68,14.770000000000008,32968,33904,0.0,0.0,63,0.0,0.0,51,0.0,0.0,56
9.76,1.39,2025-02-17 07:45:21.533,2.804,5.16,4.6,0.71,0.68,14.460000000000013,32968,33904,0.0,0.0,74,0.0,0.0,49,0.0,0.0,63
9.78,1.39,2025-02-17 07:45:21.634,2.905,5.14,4.64,0.71,0.68,21.849999999999987,33488,34008,0.0,0.0,58,0.0,0.0,69,0.0,0.0,65
9.84,1.38,2025-02-17 07:45:21.733,3.004,5.09,4.75,0.71,0.68,37.42,33696,34632,0.0,0.0,28,0.01,0.0,88,0.01,0.0,63
9.66,1.38,2025-02-17 07:45:21.832,3.103,5.1,4.56,0.7,0.67,13.750000000000016,33696,34528,0.0,0.0,72,0.0,0.0,52,0.0,0.0,61
9.64,1.38,2025-02-17 07:45:21.932,3.203,5.09,4.55,0.7,0.67,14.840000000000009,33384,34528,0.0,0.0,66,0.0,0.0,51,0.0,0.0,59
9.75,1.39,2025-02-17 07:45:22.032,3.303,5.14,4.61,0.71,0.68,14.35000000000002,33384,34528,0.0,0.0,74,0.0,0.0,53,0.0,0.0,62
9.74,1.39,2025-02-17 07:45:22.132,3.403,5.14,4.6,0.71,0.68,13.680000000000017,33384,34528,0.0,0.0,60,0.0,0.0,50,0.0,0.0,55
9.82,1.39,2025-02-17 07:45:22.232,3.503,5.15,4.67,0.71,0.68,28.650000000000006,33176,33800,0.0,0.0,44,0.0,0.0,69,0.0,0.0,62
9.88,1.39,2025-02-17 07:45:22.333,3.604,5.14,4.74,0.71,0.68,32.739999999999995,33384,34008,0.0,0.0,25,0.0,0.0,85,0.01,0.0,66
9.77,1.39,2025-02-17 07:45:22.434,3.705,5.14,4.63,0.71,0.68,20.84,34320,34528,0.0,0.0,62,0.0,0.0,47,0.01,0.0,53
9.75,1.39,2025-02-17 07:45:22.533,3.804,5.15,4.6,0.71,0.67,24.36999999999999,33384,35048,0.0,0.0,74,0.0,0.0,39,0.01,0.0,59
9.7,1.39,2025-02-17 07:45:22.633,3.904,5.09,4.61,0.71,0.68,14.840000000000003,33280,34944,0.0,0.0,70,0.0,0.0,58,0.0,0.0,64
9.8,1.4,2025-02-17 07:45:22.734,4.005,5.2,4.6,0.72,0.68,14.360000000000012,33488,34944,0.0,0.0,53,0.0,0.0,49,0.0,0.0,51
9.72,1.39,2025-02-17 07:45:22.834,4.105,5.09,4.64,0.71,0.68,18.239999999999977,33592,34944,0.0,0.0,59,0.0,0.0,53,0.0,0.0,56
9.76,1.39,2025-02-17 07:45:22.935,4.206,5.14,4.62,0.71,0.68,21.419999999999998,33488,34216,0.0,0.0,50,0.0,0.0,67,0.0,0.0,60
10.06,1.41,2025-02-17 07:45:23.035,4.306,5.2,4.86,0.72,0.68,40.629999999999995,33280,34216,0.0,0.0,37,0.01,0.0,84,0.01,0.0,69
9.64,1.38,2025-02-17 07:45:23.134,4.405,5.09,4.56,0.71,0.67,14.240000000000007,33488,34112,0.0,0.0,57,0.0,0.0,48,0.0,0.0,52
9.63,1.37,2025-02-17 07:45:23.234,4.505,5.04,4.58,0.7,0.68,27.85000000000001,33384,33384,0.0,0.0,46,0.0,0.0,68,0.0,0.0,61
