time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-17 07:37:44.284136
",wordCounts,1281.79,2.464,96.0,2.57%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:37:44.284136
",llama,3804.52,0.11494140625,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:37:46.630283
",wordCounts,4660.22,8.608,96.0,8.97%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:37:46.630283
",llama,4809.49,0.1146484375,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:37:48.645604
",wordCounts,4040.83,15.09,96.0,15.72%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:37:48.645604
",llama,4753.20,0.1154296875,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:37:50.654589
",wordCounts,136.63,6.481,96.0,6.75%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:37:50.654589
",llama,4814.03,0.116015625,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:37:52.680281
",wordCounts,0.15,4.992,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:37:52.680281
",llama,4801.40,0.1154296875,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:37:54.694196
",wordCounts,0.30,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:37:54.694196
",llama,4786.16,0.11591796875,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:37:56.712853
",wordCounts,0.17,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:37:56.712853
",llama,4818.77,0.11513671875,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:37:58.733823
",wordCounts,0.31,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:37:58.733823
",llama,4784.74,0.11640625,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:38:00.745234
",wordCounts,0.16,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:38:00.745234
",llama,4766.83,0.11630859375,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:38:02.761723
",wordCounts,0.09,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:38:02.761723
",llama,4786.38,0.11611328125,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:38:04.781001
",wordCounts,0.29,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:38:04.781001
",llama,4771.41,0.11640625,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:38:06.802363
",wordCounts,0.24,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:38:06.802363
",llama,4798.82,0.11650390625,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:38:08.818618
",wordCounts,0.23,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:38:08.818618
",llama,4814.49,0.11572265625,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:38:10.836660
",wordCounts,0.17,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:38:10.836660
",llama,4794.97,0.11572265625,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:38:12.856204
",wordCounts,0.19,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:38:12.856204
",llama,4819.08,0.115625,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:38:14.876315
",wordCounts,0.21,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:38:14.876315
",llama,4788.25,0.115234375,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:38:16.894041
",wordCounts,0.00,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:38:16.894041
",llama,4819.42,0.1150390625,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:38:18.915199
",wordCounts,0.01,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:38:18.915199
",llama,4807.44,0.114453125,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:38:20.934452
",wordCounts,0.01,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:38:20.934452
",llama,4781.04,0.114453125,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:38:22.949515
",wordCounts,0.01,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:38:22.949515
",llama,4800.88,0.114453125,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:38:24.967189
",wordCounts,0.01,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:38:24.967189
",llama,4797.00,0.11435546875,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:38:26.986348
",wordCounts,0.01,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:38:26.986348
",llama,4792.16,0.11279296875,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:38:29.005675
",wordCounts,0.00,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:38:29.005675
",llama,4786.73,0.11357421875,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:38:31.025762
",wordCounts,0.02,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:38:31.025762
",llama,4803.73,0.1134765625,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:38:33.043946
",wordCounts,0.01,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:38:33.043946
",llama,4788.62,0.11337890625,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:38:35.060671
",wordCounts,0.01,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:38:35.060671
",llama,4808.10,0.1158203125,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:38:37.080960
",wordCounts,0.00,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:38:37.080960
",llama,4781.52,0.1154296875,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:38:39.101593
",wordCounts,0.01,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:38:39.101593
",llama,4800.63,0.11513671875,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:38:41.118208
",wordCounts,0.00,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:38:41.118208
",llama,4786.06,0.11513671875,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:38:43.141254
",wordCounts,0.00,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:38:43.141254
",llama,4818.12,0.115234375,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:38:45.161415
",wordCounts,0.02,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:38:45.161415
",llama,4803.38,0.11513671875,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:38:47.173811
",wordCounts,0.01,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:38:47.173811
",llama,4806.17,0.1150390625,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:38:49.201000
",wordCounts,0.01,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:38:49.201000
",llama,4783.66,0.1146484375,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:38:51.218431
",wordCounts,0.01,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:38:51.218431
",llama,4801.65,0.11494140625,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:38:53.235988
",wordCounts,0.00,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:38:53.235988
",llama,4794.34,0.11484375,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:38:55.262223
",wordCounts,0.01,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:38:55.262223
",llama,4775.60,0.11494140625,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:38:57.280563
",wordCounts,0.01,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:38:57.280563
",llama,4788.39,0.11435546875,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:38:59.301809
",wordCounts,0.01,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:38:59.301809
",llama,4815.27,0.1138671875,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:39:01.325403
",wordCounts,0.01,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:39:01.325403
",llama,4808.17,0.113671875,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:39:03.338105
",wordCounts,0.00,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:39:03.338105
",llama,4798.09,0.11298828125,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:39:05.359811
",wordCounts,0.01,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:39:05.359811
",llama,4804.37,0.11298828125,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:39:07.387853
",wordCounts,0.01,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:39:07.387853
",llama,4816.71,0.11298828125,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:39:09.407212
",wordCounts,0.01,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:39:09.407212
",llama,4796.01,0.11328125,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:39:11.427205
",wordCounts,0.01,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:39:11.427205
",llama,4811.14,0.11318359375,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:39:13.449264
",wordCounts,0.01,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:39:13.449264
",llama,4778.30,0.1130859375,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:39:15.473792
",wordCounts,0.01,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
"2025-02-17 07:39:15.473792
",llama,4808.36,0.1130859375,96.0,0.12%,0.0,0.0,0.0,0.0
"2025-02-17 07:39:17.494347
",wordCounts,0.00,4.991,96.0,5.20%,0.0,0.0,0.3681640625,0.0
