Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.9,1.42,2025-02-17 07:37:25.256,0.0,5.2,4.71,0.73,0.69,13.509999999999994,35776,33904,0.0,0.0,59,0.0,0.0,58,0.0,0.0,59
9.73,1.39,2025-02-17 07:37:25.356,0.1,5.17,4.57,0.72,0.67,21.490000000000013,35672,33904,0.0,0.0,77,0.0,0.0,42,0.0,0.0,63
9.62,1.39,2025-02-17 07:37:25.455,0.199,5.08,4.54,0.71,0.68,16.950000000000003,35568,33800,0.0,0.0,64,0.0,0.0,49,0.0,0.0,57
9.66,1.38,2025-02-17 07:37:25.555,0.299,5.11,4.55,0.71,0.67,18.54999999999997,35568,33696,0.0,0.0,56,0.0,0.0,61,0.0,0.0,58
9.76,1.4,2025-02-17 07:37:25.655,0.399,5.14,4.62,0.72,0.68,25.49000000000003,35256,34112,0.0,0.0,29,0.0,0.0,86,0.01,0.0,61
10.21,1.42,2025-02-17 07:37:25.755,0.499,5.16,5.05,0.73,0.69,52.62999999999999,35776,35568,0.01,0.01,14,0.01,0.01,92,0.02,0.02,53
9.73,1.4,2025-02-17 07:37:25.856,0.6,5.14,4.59,0.72,0.68,18.719999999999988,35776,35360,0.0,0.0,51,0.0,0.0,56,0.0,0.0,53
9.75,1.4,2025-02-17 07:37:25.956,0.7,5.16,4.59,0.72,0.68,16.179999999999996,35984,35256,0.0,0.0,55,0.0,0.0,52,0.0,0.0,53
9.74,1.4,2025-02-17 07:37:26.056,0.8,5.14,4.6,0.72,0.68,18.069999999999986,35776,35256,0.0,0.0,53,0.0,0.0,53,0.0,0.0,53
9.74,1.4,2025-02-17 07:37:26.157,0.901,5.14,4.59,0.72,0.68,15.990000000000002,35568,35256,0.0,0.0,70,0.0,0.0,52,0.0,0.0,62
9.66,1.39,2025-02-17 07:37:26.257,1.001,5.1,4.56,0.71,0.67,19.969999999999985,35464,34944,0.0,0.0,30,0.0,0.0,79,0.01,0.0,56
9.87,1.41,2025-02-17 07:37:26.357,1.101,5.21,4.66,0.73,0.68,29.91999999999998,36192,31928,0.01,0.02,97,0.01,0.0,9,0.02,0.02,74
9.85,1.41,2025-02-17 07:37:26.457,1.201,5.26,4.59,0.72,0.69,42.35,35048,31824,0.01,0.01,94,0.0,0.0,12,0.01,0.01,71
9.72,1.39,2025-02-17 07:37:26.558,1.302,5.16,4.56,0.72,0.67,14.76000000000001,34944,31824,0.0,0.0,68,0.0,0.0,50,0.0,0.0,62
9.73,1.4,2025-02-17 07:37:26.658,1.402,5.14,4.59,0.72,0.68,14.41000000000001,34944,31824,0.0,0.0,60,0.0,0.0,45,0.0,0.0,53
9.76,1.39,2025-02-17 07:37:26.758,1.502,5.08,4.67,0.71,0.68,28.14,34944,31616,0.0,0.0,50,0.0,0.0,65,0.01,0.0,59
9.65,1.38,2025-02-17 07:37:26.857,1.601,5.09,4.56,0.71,0.67,16.80000000000001,34944,31616,0.0,0.0,56,0.0,0.0,52,0.0,0.0,54
9.71,1.39,2025-02-17 07:37:26.957,1.701,5.16,4.55,0.72,0.67,19.94,34944,31512,0.0,0.0,88,0.0,0.0,35,0.0,0.0,71
9.88,1.41,2025-02-17 07:37:27.057,1.801,5.14,4.73,0.72,0.69,43.24000000000004,34632,31720,0.0,0.01,5,0.01,0.0,95,0.01,0.01,48
9.72,1.4,2025-02-17 07:37:27.158,1.902,5.13,4.59,0.72,0.68,14.050000000000011,34736,31616,0.0,0.0,74,0.0,0.0,45,0.0,0.0,58
9.74,1.4,2025-02-17 07:37:27.258,2.002,5.12,4.62,0.72,0.68,13.680000000000017,34528,31616,0.0,0.0,56,0.0,0.0,52,0.0,0.0,54
9.73,1.4,2025-02-17 07:37:27.358,2.102,5.14,4.59,0.72,0.68,14.900000000000007,34528,31720,0.0,0.0,49,0.0,0.0,53,0.0,0.0,51
9.69,1.4,2025-02-17 07:37:27.459,2.203,5.1,4.59,0.72,0.68,18.159999999999982,34320,31512,0.0,0.0,58,0.0,0.0,48,0.0,0.0,53
9.73,1.4,2025-02-17 07:37:27.559,2.303,5.12,4.61,0.72,0.68,19.64999999999998,34112,31824,0.0,0.0,31,0.0,0.0,80,0.0,0.0,54
